price,price_per_million,accuracy,tokens,calls,profit,fixed_accuracy,fixed_tokens,fixed_calls,fixed_profit,cap_rate,minimum,minimum_low,minimum_high,relative_profit_percent,token_change_percent,call_change_percent,profit_ci_low,profit_ci_high
1e-06,1.0,0.5653683574879228,39569.876721014494,279.22294685990335,0.5257984807669082,0.56875,44691.99667874396,310.7,0.5240580033212561,0.28351449275362317,121.7,19,318,0.3321154213124622,-11.4609333625177,-10.131011631830267,-1.433586694191835,2.4319202992408733
1.25e-06,1.25,0.558786231884058,33568.29217995169,238.18825483091786,0.5168258666591183,0.561231884057971,37173.5395531401,257.3,0.514764959616546,0.19695048309178745,127.1,19,318,0.40035884418152534,-9.698423708171934,-7.42780612867554,-0.7092212710668974,1.747990267999403
1.5e-06,1.5,0.5554951690821255,31682.851298309175,223.83599033816427,0.5079708921346617,0.5554347826086956,29125.814583333336,203.6,0.5117460607336957,0.20519323671497586,105.9,19,318,-0.7377034995875498,8.77927965811831,9.93909152169168,-1.8466951032024195,0.4303109544515603
1.75e-06,1.75,0.5485507246376813,23269.720169082128,165.1987620772947,0.5078287143417873,0.5477053140096617,17839.10893719807,125.3,0.5164868733695653,0.103743961352657,76.7,19,138,-1.6763560652165443,30.44216642771971,31.842587451951076,-3.0608467549044702,-0.29621877854109097
2e-06,2.0,0.5488828502415459,21434.073067632853,153.35323067632848,0.5060147041062801,0.54368961352657,15500.547524154588,108.9,0.5126885184782609,0.06754227053140097,76.8,19,138,-1.301728853181594,38.27945776903698,40.82023018946599,-2.6961787076830688,0.058384880706331216
2.25e-06,2.25,0.547373188405797,18442.539039855073,133.0750301932367,0.5058774755661232,0.541394927536232,13797.253985507248,96.9,0.5103511060688405,0.03357487922705314,76.2,22,138,-0.8765789766141618,33.66818541738286,37.332332500760266,-2.114316726006703,0.28408651411017055
2.5e-06,2.5,0.5417572463768117,13911.470652173914,102.2810688405797,0.5069785697463768,0.5397644927536233,12499.71992753623,87.8,0.5085151929347826,0.00196256038647343,80.0,24,138,-0.30217842254379734,11.294258853973748,16.493244693143172,-1.0960384279449806,0.424930045966709
2.75e-06,2.75,0.540066425120773,12116.686231884058,87.17518115942029,0.5067455379830917,0.5377415458937198,11416.409118357487,80.2,0.5063464208182367,0.0003321256038647343,79.7,33,138,0.07882294580261462,6.1339525087668045,8.6972333658607,-0.4979888516678918,0.6576757165173729
3e-06,3.0,0.5371376811594203,10453.834057971015,74.80477053140096,0.5057761789855072,0.5361413043478261,10588.46002415459,74.4,0.5043759242753623,3.0193236714975845e-05,66.7,33,98,0.27762124295616086,-1.2714404727076856,0.544046413173338,-0.27103863243585047,0.8150331807362804
3.25e-06,3.25,0.536322463768116,10228.250513285024,72.69148550724637,0.5030806495999396,0.5342089371980676,9848.555676328502,69.2,0.50220113125,0.0,66.7,33,98,0.17513268991458109,3.8553352332579838,5.045499287928279,-0.4271075603913779,0.7760238030368193
3.5e-06,3.5,0.5358997584541062,10100.189794685992,74.16847826086955,0.5005490941727053,0.5330615942028984,9192.838798309178,64.6,0.5008866584088165,0.0,57.2,26,98,-0.06739333748347898,9.870193704948903,14.811885852739248,-0.9898124516987467,0.7242639174602953
3.75e-06,3.75,0.5340277777777778,9305.767542270532,66.85815217391306,0.49913114949426324,0.5304951690821256,8637.945803140097,60.7,0.49810287232035017,0.0,57.4,24,98,0.20643871598711172,7.731256416168608,10.145225986677175,-0.5658108098264264,0.8657875722625319
4e-06,4.0,0.5297705314009662,8195.421829710143,60.57110507246377,0.4969888440821256,0.5285628019323672,8139.774124396135,57.2,0.49600370543478267,0.0,47.9,24,83,0.19861517898931424,0.683651713961253,5.8935403364751116,-0.5456854841173833,0.8901826369509535
4.25e-06,4.25,0.5294685990338165,7966.946557971014,58.441425120772955,0.4956090761624397,0.527536231884058,7696.346769323672,54.1,0.49482675811443233,0.0,47.5,23,82,0.15809938229460752,3.515951096771097,8.024815380356664,-0.5365587928793325,0.8501277160218823
4.5e-06,4.5,0.5280193236714975,7722.685748792271,56.663828502415456,0.49326723780193243,0.526117149758454,7269.04658816425,51.1,0.49340644011171503,0.0,46.4,23,82,-0.028212503620961282,6.240696838656312,10.888118400030233,-0.7372753587941852,0.6998499814458187
