split,price,minimum,cap,accuracy,tokens,calls,profit,fixed_accuracy,fixed_tokens,fixed_calls,fixed_profit,cap_rate,minimum_rate
0,1e-06,318,512,0.6020531400966184,70514.35446859903,475.16213768115944,0.5315387856280193,0.6086956521739131,76113.82608695653,512,0.5325818260869565,0.7895531400966184,0.17391304347826086
0,1.25e-06,318,512,0.6017512077294686,71287.33695652174,480.0860507246377,0.5126420365338165,0.6086956521739131,76113.82608695653,512,0.5135533695652174,0.8257850241545893,0.15428743961352656
0,1.5e-06,318,512,0.6026570048309179,71027.55525362318,478.45410628019323,0.4961156719504831,0.6086956521739131,76113.82608695653,512,0.4945249130434783,0.8152173913043478,0.16183574879227053
0,1.75e-06,125,512,0.5782004830917874,18586.838768115944,125.0072463768116,0.5456735152475846,0.582427536231884,23791.360809178743,160,0.5407926548158213,0.0,0.9996980676328503
0,2e-06,125,512,0.5782004830917874,18586.459541062803,125.0030193236715,0.5410275640096618,0.5785024154589372,18436.808574879225,124,0.5416287983091788,0.0,0.9996980676328503
0,2.25e-06,125,512,0.5782004830917874,18586.15458937198,125.0,0.5363816352657005,0.5788043478260869,15017.950483091787,101,0.5450139592391304,0.0,1.0
0,2.5e-06,90,512,0.5745772946859904,13376.223429951691,90.00452898550725,0.5411367361111111,0.5715579710144928,12777.033514492754,86,0.5396153872282609,0.0,0.9993961352657005
0,2.75e-06,90,512,0.5745772946859904,13375.926328502415,90.0024154589372,0.5377934972826087,0.5661231884057971,11286.705012077295,76,0.5350847496225846,0.0,0.9996980676328503
0,3e-06,90,512,0.5745772946859904,13375.66515700483,90.0,0.5344502992149759,0.561292270531401,10105.452596618357,68,0.5309759127415459,0.0,1.0
0,3.25e-06,90,512,0.5745772946859904,13375.66515700483,90.0,0.5311063829257247,0.5606884057971014,9222.07185990338,62,0.5307166722524155,0.0,1.0
0,3.5e-06,68,512,0.561292270531401,10106.148248792271,68.00815217391305,0.525920751660628,0.5558574879227053,8479.140398550724,57,0.5261804965277778,0.0,0.998792270531401
0,3.75e-06,68,512,0.561292270531401,10105.737922705313,68.0036231884058,0.523395753321256,0.5516304347826086,7874.761473429951,53,0.5221000792572463,0.0,0.9993961352657005
