generator,split_seed,price,quality,mean_length,samples,matched_length,matched_saving_percent,relative_profit_percent,relative_vs_test_oracle
gemma2_9b,71,2e-08,0.6307645953978916,925583.5525,728.24,1069372.7982448358,13.4461289814775,-0.2105609026359814,-0.3520437414340862
gemma2_9b,71,1e-07,0.5860003125898452,294039.7775,337.1025,418545.63443298347,29.747259722743337,2.2461194945738954,1.8025942050622952
gemma2_9b,71,2e-07,0.556284595558271,166201.24,199.3025,237360.7908133361,29.979488427512436,3.705609978793872,2.7041745148412346
gemma2_9b,71,1e-06,0.4757027972101205,42812.66,58.1225,67160.34972251415,36.25307167564089,6.224297527142869,5.933845336250476
gemma2_9b,71,2e-06,0.42883500080119125,23679.2675,33.275,34082.570994133304,30.52382255999421,6.275860183464316,5.460137285369016
gemma2_9b,71,1e-05,0.3372957059414093,7394.725,8.4225,8522.587857456927,13.233807340221093,7.9989811424,4.2548263790672705
gemma2_9b,72,2e-08,0.6249783145537092,885422.19,785.7975,984868.5127506916,10.097421276363349,-0.35219282195921586,-0.5230561983421397
gemma2_9b,72,1e-07,0.5894558877675482,292601.915,382.565,449573.08164573694,34.9156061726645,3.177690884654632,2.8596865094084825
gemma2_9b,72,2e-07,0.5625520731620813,164300.3975,229.9675,256776.41498714138,36.014217852434896,3.891615948727667,3.5571578594803768
gemma2_9b,72,1e-06,0.4857334549340714,42322.255,64.2475,59894.45945350933,29.338614312312227,4.792821112685269,4.120729074982569
gemma2_9b,72,2e-06,0.4453224782375937,23346.0925,36.015,33872.92693907865,31.077427876284325,5.870622853756569,5.320272936713375
gemma2_9b,72,1e-05,0.3521652249055867,6805.455,8.835,7816.017043736484,12.929373593757932,3.696049350310865,3.5387282958384993
gemma2_9b,73,2e-08,0.6460022797434789,849005.26,744.3775,984465.5965948242,13.759783690092275,-0.22187682861796532,-0.7478823049580291
gemma2_9b,73,1e-07,0.6019099063483337,276092.655,359.8725,453292.88548839383,39.09177402982444,4.124650713497711,3.0239798209248083
gemma2_9b,73,2e-07,0.5690510051113317,156061.2875,213.89,257390.382164349,39.367863636663905,4.304757315814432,3.830751658309788
gemma2_9b,73,1e-06,0.48871307940496744,40689.9125,63.2225,70596.74544914506,42.362906050235274,7.070552772011004,6.928828797994406
gemma2_9b,73,2e-06,0.44109798915131904,22609.3025,36.8175,33549.42702498756,32.60897575639481,6.17836691381419,5.847810335887158
gemma2_9b,73,1e-05,0.34572995875518653,6872.2475,9.3575,8074.6344510580675,14.89091498006465,5.286181268178774,4.486754514770698
gemma2_9b,74,2e-08,0.6494026760718644,849205.9975,737.3825,1026417.9172650988,17.265084405120458,-0.22430022975301225,-0.4114738562406968
gemma2_9b,74,1e-07,0.600338826458522,279117.45,365.25,437941.6579057505,36.26606536250796,3.012558503146059,2.633503562713397
gemma2_9b,74,2e-07,0.5688321480322339,159145.9825,224.855,261195.74440723337,39.070223804307616,3.949490598353651,3.8637131034335273
gemma2_9b,74,1e-06,0.4861474035789425,41544.0425,67.92,62924.30008441281,33.97774398083291,6.239498814357336,4.825121954614092
gemma2_9b,74,2e-06,0.44076552114954987,23138.9425,38.7875,32409.910903978605,28.605349861793382,5.118115288998013,4.6828965390459185
gemma2_9b,74,1e-05,0.34586675993394167,6876.335,9.445,7848.027519803626,12.381359741051723,4.499243583093054,3.2997116338170183
gemma2_9b,75,2e-08,0.6349992646114366,920635.8125,738.6275,1060688.0175320741,13.20390187474132,-0.16869106647950466,-0.3832091709471231
gemma2_9b,75,1e-07,0.5925500892011264,291936.4125,356.0275,429495.42071440554,32.02805002800622,3.152977247330531,2.169248792681841
gemma2_9b,75,2e-07,0.5634561119461184,166352.5475,221.1425,249106.9257924429,33.22042453423967,3.788576152273446,3.1312754766773994
gemma2_9b,75,1e-06,0.4811281514882062,42861.53,63.8625,61016.81905903585,29.754564952771446,4.606585874872786,3.8908223601264194
gemma2_9b,75,2e-06,0.43676013072241787,23906.3925,35.955,32108.67688400496,25.545382681560923,4.813046548836023,4.047072372949539
gemma2_9b,75,1e-05,0.3408512707020641,7249.385,8.9325,8482.625088060287,14.538425018879275,4.815799578314961,4.815799578314961
llama3.1_8b,71,2e-08,0.6459444933168994,1031382.3725,626.145,1249226.1692694938,17.43829917499099,-0.5326396462695977,-0.5511762966253232
llama3.1_8b,71,1e-07,0.5903568155771746,301294.0525,259.6775,466159.55963086395,35.36675452100895,2.910507440558925,2.509894691559975
llama3.1_8b,71,2e-07,0.5544484808437091,175169.475,169.3525,269769.6614623923,35.06702197332897,4.098769349485575,3.590313312718988
llama3.1_8b,71,1e-06,0.44616447372925316,45643.7025,50.2075,57547.13018875519,20.68465907806666,3.3035649415253574,2.267581738079624
llama3.1_8b,71,2e-06,0.4049315390155039,25131.3275,27.885,36012.52108670552,30.215028713228442,6.385033729074821,6.247351018665264
llama3.1_8b,71,1e-05,0.32356460526898007,9498.4525,8.235,13412.416279409781,29.181645557917456,13.520386168626974,11.259429481271658
