generator,split_seed,method,target,attained_quality,mean_length,samples,matched_feasible,matched_length,matched_saving_percent
gemma2_9b,71,rank_jensen_moment,0.45,0.41141336131360245,32863.8975,21.45,True,25339.759842095154,-29.69301092351131
gemma2_9b,71,rank_jensen_moment,0.5,0.4918588010812165,106647.3825,84.2,True,88015.67068944147,-21.16863015939461
gemma2_9b,71,rank_jensen_moment,0.55,0.549343601749283,275520.025,219.8925,True,211851.5377473616,-30.053351478885524
gemma2_9b,71,rank_jensen_moment,0.6,0.5948082681864446,690556.8625,470.515,True,482122.32655427424,-43.23270764816189
gemma2_9b,71,rank_empirical_moment,0.3,0.3165235262025302,6481.095,4.225,True,6404.582776575465,-1.1946480527096348
gemma2_9b,71,rank_empirical_moment,0.35,0.32565229499793735,7815.9275,5.0825,True,7307.983024110902,-6.950542635543333
gemma2_9b,71,rank_empirical_moment,0.4,0.3521189939599114,13166.1075,8.46,True,10579.385418298461,-24.45058932466395
gemma2_9b,71,rank_empirical_moment,0.45,0.41141336131360245,32863.8975,21.45,True,25339.759842095154,-29.69301092351131
gemma2_9b,71,rank_empirical_moment,0.5,0.4918588010812165,106647.3825,84.2,True,88015.67068944147,-21.16863015939461
gemma2_9b,71,rank_empirical_moment,0.55,0.549343601749283,275520.025,219.8925,True,211851.5377473616,-30.053351478885524
gemma2_9b,71,rank_empirical_moment,0.6,0.5948082681864446,690556.8625,470.515,True,482122.32655427424,-43.23270764816189
gemma2_9b,71,shape_jensen_moment,0.3,0.3165235262025302,6481.095,4.225,True,6404.582776575465,-1.1946480527096348
gemma2_9b,71,shape_jensen_moment,0.35,0.32565229499793735,7815.9275,5.0825,True,7307.983024110902,-6.950542635543333
gemma2_9b,71,shape_jensen_moment,0.4,0.3521189939599114,13166.1075,8.46,True,10579.385418298461,-24.45058932466395
gemma2_9b,71,shape_jensen_moment,0.45,0.41141336131360245,32863.8975,21.45,True,25339.759842095154,-29.69301092351131
gemma2_9b,71,shape_jensen_moment,0.5,0.4918588010812165,106647.3825,84.2,True,88015.67068944147,-21.16863015939461
gemma2_9b,71,shape_jensen_moment,0.55,0.549343601749283,275520.025,219.8925,True,211851.5377473616,-30.053351478885524
gemma2_9b,71,shape_jensen_moment,0.6,0.5948082681864446,690556.8625,470.515,True,482122.32655427424,-43.23270764816189
gemma2_9b,71,shape_empirical_moment,0.3,0.3165235262025302,6481.095,4.225,True,6404.582776575465,-1.1946480527096348
gemma2_9b,71,shape_empirical_moment,0.35,0.32565229499793735,7815.9275,5.0825,True,7307.983024110902,-6.950542635543333
gemma2_9b,71,shape_empirical_moment,0.4,0.3521189939599114,13166.1075,8.46,True,10579.385418298461,-24.45058932466395
gemma2_9b,71,shape_empirical_moment,0.45,0.41141336131360245,32863.8975,21.45,True,25339.759842095154,-29.69301092351131
gemma2_9b,71,shape_empirical_moment,0.5,0.4918588010812165,106647.3825,84.2,True,88015.67068944147,-21.16863015939461
gemma2_9b,71,shape_empirical_moment,0.55,0.549343601749283,275520.025,219.8925,True,211851.5377473616,-30.053351478885524
gemma2_9b,71,shape_empirical_moment,0.6,0.5948082681864446,690556.8625,470.515,True,482122.32655427424,-43.23270764816189
gemma2_9b,72,rank_jensen_bound,0.3,0.33311731517844445,6367.795,4.7975,True,6033.140731606458,-5.54693290412327
gemma2_9b,72,rank_jensen_bound,0.35,0.35120266092643826,9981.565,7.57,True,7716.620313367207,-29.351511343759086
gemma2_9b,72,rank_jensen_bound,0.4,0.40152465259349684,22574.2725,16.9875,True,16099.820606911604,-40.214435000033056
gemma2_9b,72,rank_jensen_bound,0.45,0.4827616132225237,66390.99,59.4025,True,56967.637969977746,-16.541588111812565
gemma2_9b,72,rank_jensen_bound,0.5,0.5503878721108854,198276.1275,184.6775,True,199568.5420982667,0.6476043692448918
gemma2_9b,72,rank_jensen_bound,0.55,0.5968170136858955,602516.48,455.7225,True,530034.2227836854,-13.675014574652389
gemma2_9b,72,rank_jensen_bound,0.6,0.6140475259975671,933919.0625,675.19,True,777764.1954288841,-20.077404949839206
gemma2_9b,72,rank_empirical_bound,0.3,0.33311731517844445,6367.795,4.7975,True,6033.140731606458,-5.54693290412327
gemma2_9b,72,rank_empirical_bound,0.35,0.35120266092643826,9981.565,7.57,True,7716.620313367207,-29.351511343759086
gemma2_9b,72,rank_empirical_bound,0.4,0.40152465259349684,22574.2725,16.9875,True,16099.820606911604,-40.214435000033056
gemma2_9b,72,rank_empirical_bound,0.45,0.4827616132225237,66390.99,59.4025,True,56967.637969977746,-16.541588111812565
gemma2_9b,72,rank_empirical_bound,0.5,0.5503878721108854,198276.1275,184.6775,True,199568.5420982667,0.6476043692448918
gemma2_9b,72,rank_empirical_bound,0.55,0.5968170136858955,602516.48,455.7225,True,530034.2227836854,-13.675014574652389
gemma2_9b,72,rank_empirical_bound,0.6,0.6140475259975671,933919.0625,675.19,True,777764.1954288841,-20.077404949839206
gemma2_9b,72,shape_jensen_bound,0.3,0.33311731517844445,6367.795,4.7975,True,6033.140731606458,-5.54693290412327
gemma2_9b,72,shape_jensen_bound,0.35,0.35120266092643826,9981.565,7.57,True,7716.620313367207,-29.351511343759086
