method,price,accuracy,tokens,calls,profit,fixed_accuracy,fixed_tokens,fixed_profit,cap_rate,relative_profit_percent,token_change_percent
matched_top3_full_history,1e-06,0.5602053140096618,29267.88429951691,205.32222222222222,0.5309374297101449,0.56875,44691.99667874396,0.5240580033212561,0.7217089371980676,1.312722321821247,-34.51202346160323
matched_top3_full_history,1.25e-06,0.5560084541062802,23247.35301932367,163.4013888888889,0.5269492628321256,0.561231884057971,37173.5395531401,0.514764959616546,0.8047403381642513,2.36696437625743,-37.46263256397404
matched_top3_full_history,1.5e-06,0.5522041062801932,19457.682638888888,137.29064009661835,0.52301758232186,0.5554347826086956,29125.814583333336,0.5117460607336957,0.832548309178744,2.2025614759015877,-33.194374415803786
matched_top3_full_history,1.7499999999999998e-06,0.5473128019323672,15921.906672705314,112.06443236714975,0.5194494652551329,0.5477053140096617,17839.10893719807,0.5164868733695653,0.79993961352657,0.5736044879978364,-10.747186259370899
matched_top3_full_history,2e-06,0.5436292270531401,14465.978351449274,101.80522342995168,0.5146972703502415,0.54368961352657,15500.547524154588,0.5126885184782609,0.8179045893719806,0.3918074619542633,-6.674404056328587
