variant,description,uses_training_scale,model,confidence_scale,ei_bonus_scale,min_open,mean_relative_utility_gain_pct,mean_utility_delta_vs_reference,positive_utility_cells,utility_cells,mean_h2h_score,minimum_h2h_cell_mean,h2h_cells_above_half,mean_target_abs_error_pp,mean_target_character_saving_pct,positive_target_saving_cells,target_cells
local_exp_open5_conf06,local tail with stronger scale confidence inflation,False,exp_tail_exponentiated,0.6,0.002,5,5.018871999550121,0.0010407769027247662,29,30,0.5788056883633014,0.5075,30,2.330570663698022,0.0008899776704836754,19,35
local_rayleigh_open5_conf06,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,0.6,0.002,5,2.2600633296364445,-0.009022386659584023,27,30,0.5447680805874575,0.48685311637211814,29,2.254935063887318,-6.9706240530893115,18,35
local_rayleigh_open5_conf08,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,0.8,0.002,5,3.2455702614775634,-0.005387192685268518,28,30,0.5501645225731725,0.49531299813920815,29,2.500881154142104,-11.039052847067403,13,35
local_rayleigh_open5_conf10,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,1.0,0.002,5,3.814834054828027,-0.003075129259116747,29,30,0.5567360837814344,0.5042493080053186,30,2.8359496481961743,-12.394892471284605,14,35
local_rayleigh_open5_conf12,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,1.2,0.002,5,4.124690463060374,-0.001978675535308414,29,30,0.5613248595393756,0.5075,30,2.3733249856639174,-3.6762021896770607,16,35
local_rayleigh_open5_conf14,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,1.4,0.002,5,4.139645546639016,-0.001551836217536538,29,30,0.5643033762344523,0.5075,30,2.386239271850314,-4.041128000765588,14,35
reference_train_scale,retained exponentiated-tail UCB with five training pseudo-observations,True,exp_tail_exponentiated,0.4,0.002,3,5.094021627719831,0.0,29,30,0.5849604940084572,0.5075,30,2.129973430471478,4.067428313283422,21,35
