variant,generator,split,divisor,fixed_n,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_quality,adaptive_chars,adaptive_opens
reference_train_scale,llama3.2_3b,22,100000.0,6,0.22341504003695636,0.19872815636511074,0.024686883671845627,12.422438834731588,0.0,0.3286812400369563,10526.62,16.245
reference_train_scale,llama3.2_3b,22,500000.0,22,0.3409939946253355,0.32787467127213155,0.013119323353203927,4.001322609734335,0.0,0.4084589746253354,33732.49,50.98
reference_train_scale,llama3.2_3b,22,1000000.0,37,0.42252314486159903,0.38912268720414345,0.033400457657455584,8.58352873162928,0.0,0.4819423448615991,59419.2,93.53
reference_train_scale,llama3.2_3b,22,5000000.0,230,0.5387760991194592,0.5070028129111392,0.031773286208319984,6.266885587060596,0.0,0.5877209081194592,244724.045,313.815
reference_train_scale,llama3.2_3b,22,10000000.0,321,0.5756298351967064,0.5567283710503266,0.01890146414637983,3.3950962676323164,0.0,0.6227947606967064,471649.255,455.74
reference_train_scale,llama3.2_3b,22,50000000.0,815,0.6452599790212613,0.6406750854082794,0.004584893612981866,0.7156347604901908,0.0,0.6789401852212614,1684010.31,932.335
local_exp_open5_conf06,llama3.2_3b,22,100000.0,6,0.21727204047629775,0.19872815636511074,0.018543884111187015,9.331281711846358,-0.006142999560658586,0.3328202904762978,11554.825,14.215
local_exp_open5_conf06,llama3.2_3b,22,500000.0,22,0.3590740353769415,0.32787467127213155,0.031199364104809946,9.515637174338147,0.018080040751605977,0.41727556537694144,29100.765,48.79
local_exp_open5_conf06,llama3.2_3b,22,1000000.0,37,0.4308480986868314,0.38912268720414345,0.041725411482687935,10.722944936078154,0.008324953825232349,0.4863344836868314,55486.385,94.2
local_exp_open5_conf06,llama3.2_3b,22,5000000.0,230,0.5429346620662142,0.5070028129111392,0.03593184915507497,7.087110414389876,0.004158562946754956,0.5933545200662143,252099.29,317.545
local_exp_open5_conf06,llama3.2_3b,22,10000000.0,321,0.5767052886251487,0.5567283710503266,0.019976917574822117,3.5882700817157143,0.0010754534284423015,0.6245684906251487,478632.02,457.415
local_exp_open5_conf06,llama3.2_3b,22,50000000.0,815,0.6452571483212615,0.6406750854082794,0.004582062912982021,0.7151929296676233,-2.830699999999964e-06,0.6789401852212614,1684151.845,932.355
local_rayleigh_open5_conf06,llama3.2_3b,22,100000.0,6,0.2049416476872232,0.19872815636511074,0.006213491322112463,3.1266285743107316,-0.01847339234973315,0.3131030976872232,10816.145,7.985
local_rayleigh_open5_conf06,llama3.2_3b,22,500000.0,22,0.3397136320216839,0.32787467127213155,0.011838960749552374,3.610818946037523,-0.0012803626036515924,0.3887913020216839,24538.835,30.39
local_rayleigh_open5_conf06,llama3.2_3b,22,1000000.0,37,0.4036373514158617,0.38912268720414345,0.014514664211718264,3.730099706086659,-0.01888579344573739,0.45896196141586165,55324.61,86.76
local_rayleigh_open5_conf06,llama3.2_3b,22,5000000.0,230,0.5371263226465711,0.5070028129111392,0.030123509735431875,5.941487693621835,-0.0016497764728880871,0.5772470346465712,200603.56,305.395
local_rayleigh_open5_conf06,llama3.2_3b,22,10000000.0,321,0.5754864557033055,0.5567283710503266,0.0187580846529789,3.3693423271369847,-0.00014337949340099049,0.6124385052033054,369520.495,423.325
local_rayleigh_open5_conf06,llama3.2_3b,22,50000000.0,815,0.6448220134362452,0.6406750854082794,0.0041469280279657905,0.6472747454075104,-0.00043796558501613207,0.6783238252362451,1675090.59,931.055
local_rayleigh_open5_conf08,llama3.2_3b,22,100000.0,6,0.2103696170256291,0.19872815636511074,0.011641460660518355,5.857982519160612,-0.013045423011327289,0.3224244670256291,11205.485,9.205
local_rayleigh_open5_conf08,llama3.2_3b,22,500000.0,22,0.36047205607946664,0.32787467127213155,0.032597384807335095,9.942025921325197,0.01947806145413119,0.40919851607946667,24363.23,29.51
local_rayleigh_open5_conf08,llama3.2_3b,22,1000000.0,37,0.41214916972990134,0.38912268720414345,0.023026482525757896,5.91753790846886,-0.010373975131697764,0.47866305972990125,66513.89,93.435
local_rayleigh_open5_conf08,llama3.2_3b,22,5000000.0,230,0.5388925915746365,0.5070028129111392,0.03188977866349729,6.289862275199351,0.00011649245517729472,0.5829411365746365,220242.725,313.09
