price,method,train_selected_fixed,test_oracle_fixed,mean_profit,baseline_profit,delta_profit,delta_ci_low,delta_ci_high,relative_profit_percent,quality,baseline_quality,cost,baseline_cost,samples,delta_vs_test_oracle
2e-08,dmrl_doubling,fixed_512,fixed_512,0.6008242368154122,0.6067785613011266,-0.005954324485714424,-0.010872109196642906,-0.002533082660886941,-0.9813010652430525,0.6205044871154122,0.6270688177011265,0.0196802503,0.020290256399999998,499.14,-0.005954324485714424
2e-08,dmrl_sequential,fixed_512,fixed_512,0.5978167980371878,0.6067785613011266,-0.008961763263938825,-0.01482245696055406,-0.004101225750359914,-1.4769413152504842,0.6168147148871878,0.6270688177011265,0.01899791685,0.020290256399999998,488.61,-0.008961763263938827
1e-07,dmrl_doubling,fixed_290,fixed_286,0.5236987853551851,0.5456937643304848,-0.02199497897529972,-0.03148908727594411,-0.012173491167606682,-4.030645100422854,0.6154561873551851,0.6029741940804848,0.091757402,0.05728042974999999,480.26,-0.022473692388697453
1e-07,dmrl_sequential,fixed_290,fixed_286,0.5255498027646561,0.5456937643304848,-0.02014396156582869,-0.029878673523375886,-0.010193905265323835,-3.691440672873264,0.6034487022646561,0.6029741940804848,0.0778988995,0.05728042974999999,429.12,-0.02062267497922643
2e-07,dmrl_doubling,fixed_183,fixed_170,0.4454282330182872,0.5001041407831849,-0.054675907764897703,-0.07266305930869268,-0.036146539433786144,-10.932904430519782,0.6022439265182872,0.5724854492831848,0.1568156935,0.0723813085,436.1,-0.05649069177348803
2e-07,dmrl_sequential,fixed_183,fixed_170,0.46881667101357366,0.5001041407831849,-0.03128746976961133,-0.045482943016663106,-0.015666986985178117,-6.25619090468113,0.5867756770135736,0.5724854492831848,0.11795900599999998,0.0723813085,356.0475,-0.033102253778201585
1e-06,dmrl_doubling,fixed_50,fixed_37,0.2542690839484663,0.3875501924729158,-0.13328110852444955,-0.1579198290861876,-0.10856657306432858,-34.39067019267807,0.5504011639484662,0.4868441174729158,0.29613208,0.09929392499999996,217.42,-0.1372110068198848
1e-06,dmrl_sequential,fixed_50,fixed_37,0.3285684659740532,0.3875501924729158,-0.058981726498862595,-0.07386355306997956,-0.04270324651707496,-15.219119392640883,0.5211364284740533,0.4868441174729158,0.1925679625,0.09929392499999996,150.455,-0.0629116247942979
2e-06,dmrl_doubling,fixed_22,fixed_18,0.15113517268916488,0.33237196734354657,-0.18123679465438167,-0.21038303709460207,-0.15250684234859457,-54.52830336532308,0.5179196326891649,0.41982119734354656,0.3667844599999999,0.08744922999999999,142.82,-0.18264671042353264
2e-06,dmrl_sequential,fixed_22,fixed_18,0.2523281147580668,0.33237196734354657,-0.08004385258547969,-0.0981638805572487,-0.061098154774936686,-24.082612389132297,0.4859794747580668,0.41982119734354656,0.23365136,0.08744922999999999,94.03,-0.0814537683546307
1e-05,dmrl_doubling,fixed_6,fixed_5,-0.08680686743568503,0.18918819961503838,-0.2759950670507234,-0.30445529302290947,-0.24885884709825457,-145.88386993074636,0.429233807564315,0.3066669746150384,0.516040675,0.11747877500000001,41.87,-0.2828450611209712
1e-05,dmrl_sequential,fixed_6,fixed_5,0.06310854228616287,0.18918819961503838,-0.1260796573288755,-0.14265207311726188,-0.10927741888706421,-66.64245316855035,0.39141079228616293,0.3066669746150384,0.3283022500000001,0.11747877500000001,26.3075,-0.13292965139912333
