generator,split_seed,method,price,profit,fixed_profit,fixed_n,relative_percent,relative_vs_test_oracle,quality,mean_length,samples,matched_length,matched_saving_percent
gemma2_9b,71,odds_current_n4,2e-08,0.6122529243478917,0.6135448098375619,951,-0.2105609026359814,-0.3520437414341042,0.6307645953978916,925583.5525,728.24,1069372.7982448358,13.4461289814775
gemma2_9b,71,odds_current_n4,1e-07,0.5565963348398452,0.5443691531680899,356,2.2461194945738954,1.8025942050623156,0.5860003125898452,294039.7775,337.1025,418545.63443298335,29.747259722743312
gemma2_9b,71,odds_current_n4,2e-07,0.523044347558271,0.5043549212672537,235,3.705609978793872,2.7041745148412564,0.556284595558271,166201.24,199.3025,237360.7908133361,29.979488427512436
gemma2_9b,71,odds_current_n4,1e-06,0.4328901372101205,0.4075245939842592,49,6.224297527142869,5.93384533625053,0.4757027972101205,42812.66,58.1225,67160.34972251413,36.25307167564088
gemma2_9b,71,odds_current_n4,2e-06,0.38147646580119127,0.35894930903654637,28,6.275860183464316,5.460137285369046,0.42883500080119125,23679.2675,33.275,34082.570994133304,30.52382255999421
gemma2_9b,71,odds_current_n4,1e-05,0.26334845594140927,0.24384346329543255,7,7.9989811424,4.254826379067226,0.3372957059414093,7394.725,8.4225,8522.587857456927,13.233807340221093
gemma2_9b,71,odds_current_n6,2e-08,0.6122529213478917,0.6135448098375619,951,-0.21056139159782708,-0.3520442297026931,0.6307645953978916,925583.7025,728.2475,1069372.7982448358,13.44611495456376
gemma2_9b,71,odds_current_n6,1e-07,0.5565963198398451,0.5443691531680899,356,2.2461167390907946,1.8025914615320056,0.5860003125898452,294039.9275,337.11,418545.63443298335,29.747223884357332
gemma2_9b,71,odds_current_n6,2e-07,0.5230443175582711,0.5043549212672537,235,3.7056040306017035,2.7041686240879343,0.556284595558271,166201.39,199.31,237360.7908133361,29.97942523257636
gemma2_9b,71,odds_current_n6,1e-06,0.43394944014121317,0.4075245939842592,49,6.484233478673098,6.193070537336924,0.4771389826412132,43189.5425,58.335,68785.27565822803,37.211064305978816
gemma2_9b,71,odds_current_n6,2e-06,0.38303502964414265,0.35894930903654637,28,6.710061839161807,5.891006215908332,0.43094652964414265,23955.75,33.455,35254.40330519636,32.0489137410276
gemma2_9b,71,odds_current_n6,1e-05,0.2575187836383221,0.24384346329543255,7,5.608237415132585,1.9469659755096314,0.3569886086383221,9946.9825,9.64,11345.770142811009,12.328714800355078
gemma2_9b,71,odds_current_n8,2e-08,0.6122529173478917,0.6135448098375619,951,-0.2105620435469486,-0.3520448807274722,0.6307645953978916,925583.9025,728.2575,1069372.7982448358,13.446096252012108
gemma2_9b,71,odds_current_n8,1e-07,0.5565962998398452,0.5443691531680899,356,2.246113065113334,1.802587803491599,0.5860003125898452,294040.1275,337.12,418545.63443298335,29.747176099842687
gemma2_9b,71,odds_current_n8,2e-07,0.523044277558271,0.5043549212672537,235,3.705596099678776,2.7041607697501346,0.556284595558271,166201.59,199.32,237360.7908133361,29.979340972661618
gemma2_9b,71,odds_current_n8,1e-06,0.4345346365026019,0.4075245939842592,49,6.627831281119178,6.336275696128974,0.47780231400260187,43267.6775,58.485,69569.67561486142,37.80669937354546
gemma2_9b,71,odds_current_n8,2e-06,0.3839488527138293,0.35894930903654637,28,6.9646446024325925,6.143634923111239,0.4326539627138293,24352.555,33.6475,36201.97513056612,32.73141890139964
gemma2_9b,71,odds_current_n8,1e-05,0.24701317372881726,0.24384346329543255,7,1.2998955930774303,-2.212012413812355,0.37372119872881726,12670.8025,10.955,14513.042847678807,12.693687788384455
