reward_model,generator,price_per_million,fixed_n,fixed_quality,adaptive_quality,fixed_cost_dollars,adaptive_cost_dollars,fixed_net_utility,adaptive_net_utility,net_utility_gain,relative_net_utility_gain_percent,fixed_output_tokens,adaptive_output_tokens,adaptive_calls,direct_cost_saving_percent
fsfairx_llama3_rm,qwen35_9b,0.1,482.0,0.591692767052828,0.595808266153203,0.039796248750000006,0.03307748705000001,0.551896518302828,0.5627307791032031,0.010834260800375061,1.961642240623482,397962.48749999993,330774.8705,550.0965,15.121635061686566
fsfairx_llama3_rm,qwen35_9b,0.2,231.4,0.5602699390637225,0.5755134384923235,0.038099615600000004,0.0383623761,0.5221703234637225,0.5371510623923234,0.014980738928600901,2.868903344567659,190498.07799999998,191811.88050000003,368.151,-2.4189100649738737
fsfairx_llama3_rm,qwen35_9b,0.5,103.4,0.5257674717972306,0.5437999608080252,0.042386771499999996,0.044406606249999994,0.4833807002972306,0.49939335455802514,0.016012654260794602,3.312448514868599,84773.543,88813.2125,193.007,-5.236562916212961
fsfairx_llama3_rm,qwen35_9b,1.0,66.4,0.5033446324374339,0.5134695518457729,0.054639113,0.04858447149999999,0.44870551943743386,0.4648850803457728,0.016179560908338952,3.6052431926882598,54639.113,48584.4715,108.50899999999999,9.982965857852786
fsfairx_llama3_rm,qwen35_9b,2.0,32.6,0.4655117233738265,0.47692212781342586,0.053476282,0.052666517999999996,0.41203544137382647,0.4242556098134259,0.012220168439599433,2.9660604627568765,26738.141000000003,26333.259000000002,59.7395,1.3623351385578153
fsfairx_llama3_rm,qwen35_9b,5.0,18.6,0.4275319752754788,0.4191106033058949,0.07642122,0.05794155250000001,0.35111075527547875,0.3611690508058949,0.01005829553041614,2.8617753919684867,15284.244,11588.3105,26.967000000000002,23.73254278857217
fsfairx_llama3_rm,qwen35_9b,10.0,10.2,0.380101531998572,0.3837727830761342,0.083975605,0.06462852500000002,0.2961259269985721,0.3191442580761342,0.02301833107756216,7.773821168139017,8397.560500000001,6462.852500000001,14.872499999999999,22.702106462190315
