reward_model,generator,split_seed,price_per_million,fixed_n,fixed_quality,adaptive_quality,fixed_cost_dollars,adaptive_cost_dollars,fixed_net_utility,adaptive_net_utility,net_utility_gain,relative_net_utility_gain_percent,fixed_output_tokens,adaptive_output_tokens,adaptive_calls,direct_cost_saving_percent
rm_mistral_7b,gemma3_4b,73,0.5,122,0.5281148538717041,0.5284718000535444,0.0493035575,0.04089329,0.47881129637170416,0.4875785100535443,0.008767213681840136,1.8310373519329197,98607.115,81786.58,185.1725,17.058135206572068
rm_mistral_7b,gemma3_4b,73,1.0,68,0.5013054042315002,0.4964663093575814,0.05496786,0.0443845325,0.4463375442315002,0.4520817768575816,0.005744232626081425,1.2869705227176869,54967.86,44384.5325,110.025,19.253664777926595
rm_mistral_7b,gemma3_4b,73,2.0,38,0.4686463698986069,0.46312486962339655,0.061414224999999996,0.047521025,0.4072321448986069,0.4156038446233965,0.008371699724789627,2.0557561159308833,30707.1125,23760.5125,60.14,22.622120526636948
rm_mistral_7b,gemma3_4b,73,5.0,17,0.42425562086356083,0.41158366694717075,0.06873757500000001,0.05170072500000001,0.3555180458635609,0.3598829419471708,0.004364896083609904,1.2277565469306848,13747.515,10340.145,26.52,24.7853521163643
rm_mistral_7b,gemma3_4b,73,10.0,8,0.38148116796529274,0.3816527753110923,0.06477815,0.0569332,0.3167030179652927,0.3247195753110923,0.008016557345799591,2.531253853311281,6477.815,5693.32,14.32,12.110487872839837
rm_mistral_7b,gemma3_4b,74,0.1,395,0.5825222377309642,0.5858932051955887,0.032377918250000005,0.03202408,0.5501443194809642,0.5538691251955887,0.003724805714624524,0.6770597428214302,323779.1825,320240.8,507.295,1.092838172200894
rm_mistral_7b,gemma3_4b,74,0.2,261,0.5664046637032059,0.5655040211078525,0.0427945755,0.036573805,0.5236100882032058,0.5289302161078523,0.005320127904646532,1.0160476324860006,213972.8775,182869.025,323.1,14.536352860890045
rm_mistral_7b,gemma3_4b,74,0.5,102,0.521416298876045,0.530691117019384,0.04181501125,0.041327825,0.479601287626045,0.48936329201938406,0.009762004393339074,2.0354416564766837,83630.0225,82655.65,157.3025,1.1650989332210315
rm_mistral_7b,gemma3_4b,74,1.0,62,0.4954148770279771,0.4976058607625589,0.050839075,0.044976565,0.4445758020279771,0.45262929576255884,0.008053493734581751,1.811500692985298,50839.075,44976.565,92.165,11.531504064540899
rm_mistral_7b,gemma3_4b,74,2.0,34,0.46154293106325317,0.4631685242337712,0.05576696,0.04817337,0.40577597106325314,0.4149951542337712,0.009219183170518064,2.271988443860063,27883.48,24086.685,49.7425,13.616646846089509
rm_mistral_7b,gemma3_4b,74,5.0,16,0.41692233548052515,0.40417881960758495,0.0655925375,0.052201275,0.35132979798052494,0.351977544607585,0.0006477466270600751,0.1843699654237644,13118.5075,10440.255,22.0025,20.415832365076593
rm_mistral_7b,gemma3_4b,74,10.0,8,0.36595556883656744,0.36621724578492293,0.06547175000000001,0.05799760000000001,0.3004838188365674,0.3082196457849228,0.007735826948355395,2.5744570800209705,6547.175,5799.76,12.0325,11.415839656034855
rm_mistral_7b,gemma3_4b,75,0.1,540,0.5973928728737853,0.5865402383480341,0.0458767055,0.031895480000000004,0.5515161673737853,0.5546447583480343,0.0031285909742490015,0.5672709449564741,458767.055,318954.8,492.6975,30.475652834312616
rm_mistral_7b,gemma3_4b,75,0.2,238,0.5658093148909636,0.5666050837236946,0.0404463035,0.0359967865,0.5253630113909636,0.5306082972236945,0.005245285832730873,0.9984117113314332,202231.5175,179983.9325,307.865,11.00104735158306
rm_mistral_7b,gemma3_4b,75,0.5,124,0.5366454286718065,0.5314273325027199,0.052671195,0.0409355425,0.4839742336718066,0.49049179000271986,0.006517556330913277,1.3466742395490774,105342.39,81871.085,154.075,22.280968753414456
rm_mistral_7b,gemma3_4b,75,1.0,65,0.5038185739699498,0.49946421788458223,0.055237375,0.04454926249999999,0.4485811989699497,0.4549149553845821,0.006333756414632408,1.4119531601360547,55237.375,44549.2625,91.9275,19.349421474137763
rm_mistral_7b,gemma3_4b,75,2.0,31,0.45908694556285295,0.46447265166912105,0.052656694999999996,0.04782211,0.406430250562853,0.4166505416691211,0.010220291106268098,2.514648231059161,26328.3475,23911.055,49.845,9.181330123358478
rm_mistral_7b,gemma3_4b,75,5.0,16,0.419891415788395,0.40598461324538015,0.0679288375,0.05203975000000001,0.35196257828839494,0.35394486324538016,0.001982284956985214,0.5632090112037273,13585.7675,10407.95,21.8025,23.390783774269654
