price,method,train_selected_fixed,test_oracle_fixed,mean_profit,baseline_profit,delta_profit,delta_ci_low,delta_ci_high,relative_profit_percent,quality,baseline_quality,cost,baseline_cost,samples,delta_vs_test_oracle
2e-08,dmrl_doubling,fixed_506,fixed_494,0.6127190177499138,0.6173809099373304,-0.00466189218741665,-0.008499797318028897,-0.0017681431581025892,-0.7551079264646963,0.6344161615499138,0.6394710981873303,0.021697143800000002,0.022090188249999997,491.69,-0.004809951289000525
2e-08,dmrl_sequential,fixed_506,fixed_494,0.6084000017053078,0.6173809099373304,-0.008980908232022527,-0.013578292164702683,-0.004913843209534691,-1.4546786412515036,0.6292061350553078,0.6394710981873303,0.02080613335,0.022090188249999997,473.88,-0.009128967333606464
1e-07,dmrl_doubling,fixed_252,fixed_330,0.5292012218241405,0.5422248515000958,-0.013023629675955255,-0.028443547858434025,0.002521809481545481,-2.401887268708663,0.6264940533241405,0.5972856207500957,0.09729283150000001,0.05506076925,458.09,-0.018357607860798653
1e-07,dmrl_sequential,fixed_252,fixed_330,0.5292919707367577,0.5422248515000958,-0.012932880763338135,-0.029182593340083697,0.0010463435338546867,-2.3851508700788218,0.6083732659867578,0.5972856207500957,0.07908129524999999,0.05506076925,401.8525,-0.018266858948181475
2e-07,dmrl_doubling,fixed_181,fixed_156,0.44908157348624506,0.5009458215877892,-0.05186424810154409,-0.07991373691875145,-0.026354277256483313,-10.353264937345134,0.6148664389862452,0.5799807455877892,0.16578486550000002,0.07903492399999999,417.29,-0.05403580229606403
2e-07,dmrl_sequential,fixed_181,fixed_156,0.4726573931241432,0.5009458215877892,-0.028288428463645935,-0.047872840248011535,-0.007864221466065434,-5.6470035769503815,0.5928300731241432,0.5799807455877892,0.12017267999999998,0.07903492399999999,336.29,-0.030459982658165907
1e-06,dmrl_doubling,fixed_35,fixed_34,0.23805783229879612,0.3731862623788983,-0.13512843008010222,-0.18131681646648654,-0.08578867117992987,-36.20937952504412,0.5519983947987961,0.44928083737889835,0.3139405624999999,0.07609457499999998,222.61,-0.13618600437421352
1e-06,dmrl_sequential,fixed_35,fixed_34,0.32248973418163873,0.3731862623788983,-0.05069652819725963,-0.08018496340707028,-0.013783359475873185,-13.584778784216644,0.5239607766816387,0.44928083737889835,0.20147104250000003,0.07609457499999998,155.595,-0.05175410249137091
2e-06,dmrl_doubling,fixed_22,fixed_19,0.1507377636583585,0.3224056515260086,-0.17166788786765008,-0.2124355124733418,-0.12750603611198877,-53.24593010547818,0.5153725236583585,0.4180256765260086,0.36463475999999995,0.095620025,153.05,-0.1736817896896209
2e-06,dmrl_sequential,fixed_22,fixed_19,0.24800156974173018,0.3224056515260086,-0.07440408178427839,-0.1039350372182787,-0.04010109625479007,-23.077784595930442,0.4858970247417302,0.4180256765260086,0.23789545500000003,0.095620025,102.125,-0.07641798360624921
1e-05,dmrl_doubling,fixed_4,fixed_4,-0.05238972677465155,0.2024897826756894,-0.25487950945034094,-0.2982645052973064,-0.21379041400803556,-125.87277544692697,0.42081204822534846,0.2896989326756894,0.473201775,0.08720915000000001,47.9,-0.25487950945034094
1e-05,dmrl_sequential,fixed_4,fixed_4,0.07213973623246343,0.2024897826756894,-0.13035004644322595,-0.1590949181162447,-0.10309331197310895,-64.37364133675648,0.38766311123246344,0.2896989326756894,0.315523375,0.08720915000000001,28.0275,-0.13035004644322595
