id,partition,price,method,quality,cost,samples,profit
59,train,2e-08,fixed_1,0.20833231646784375,4.7515e-05,1.0,0.20828480146784376
59,train,2e-08,fixed_2,0.21510899140417977,7.78525e-05,2.0,0.21503113890417974
59,train,2e-08,fixed_4,0.285153778838491,0.0001500975,4.0,0.285003681338491
59,train,2e-08,fixed_8,0.3388984314951992,0.00031406999999999995,8.0,0.33858436149519916
59,train,2e-08,fixed_16,0.4533982315541837,0.0006431825000000001,16.0,0.4527550490541838
59,train,2e-08,fixed_32,0.4760847579592911,0.0012630075,32.0,0.4748217504592911
59,train,2e-08,fixed_64,0.5164149614229051,0.0024772600000000002,64.0,0.5139377014229051
59,train,2e-08,fixed_128,0.5435984967579581,0.004807520000000001,128.0,0.538790976757958
59,train,2e-08,fixed_256,0.6240002178248206,0.0096669125,256.0,0.6143333053248208
59,train,2e-08,fixed_512,0.6405808878901936,0.01918568,512.0,0.6213952078901936
59,train,2e-08,dmrl_doubling,0.6405808878901936,0.01918568,512.0,0.6213952078901936
59,train,2e-08,dmrl_sequential,0.6405808878901936,0.01918568,512.0,0.6213952078901936
59,train,1e-07,fixed_1,0.20833231646784375,0.000237575,1.0,0.20809474146784374
59,train,1e-07,fixed_2,0.21510899140417977,0.00038926249999999993,2.0,0.21471972890417979
59,train,1e-07,fixed_4,0.285153778838491,0.0007504875,4.0,0.284403291338491
59,train,1e-07,fixed_8,0.3388984314951992,0.0015703499999999999,8.0,0.3373280814951992
59,train,1e-07,fixed_16,0.4533982315541837,0.0032159125,16.0,0.4501823190541837
59,train,1e-07,fixed_32,0.4760847579592911,0.0063150375,32.0,0.4697697204592911
59,train,1e-07,fixed_64,0.5164149614229051,0.0123863,64.0,0.5040286614229051
59,train,1e-07,fixed_128,0.5435984967579581,0.0240376,128.0,0.519560896757958
59,train,1e-07,fixed_256,0.6240002178248206,0.0483345625,256.0,0.5756656553248206
59,train,1e-07,fixed_512,0.6405808878901936,0.0959284,512.0,0.5446524878901938
59,train,1e-07,dmrl_doubling,0.6405808878901936,0.0959284,512.0,0.5446524878901938
59,train,1e-07,dmrl_sequential,0.6405808878901936,0.0943013,503.625,0.5462795878901937
59,train,2e-07,fixed_1,0.20833231646784375,0.00047515,1.0,0.20785716646784375
59,train,2e-07,fixed_2,0.21510899140417977,0.0007785249999999999,2.0,0.21433046640417974
59,train,2e-07,fixed_4,0.285153778838491,0.001500975,4.0,0.28365280383849106
59,train,2e-07,fixed_8,0.3388984314951992,0.0031406999999999997,8.0,0.33575773149519916
59,train,2e-07,fixed_16,0.4533982315541837,0.006431825,16.0,0.44696640655418374
59,train,2e-07,fixed_32,0.4760847579592911,0.012630075,32.0,0.4634546829592912
59,train,2e-07,fixed_64,0.5164149614229051,0.0247726,64.0,0.4916423614229052
59,train,2e-07,fixed_128,0.5435984967579581,0.0480752,128.0,0.49552329675795803
59,train,2e-07,fixed_256,0.6240002178248206,0.096669125,256.0,0.5273310928248207
59,train,2e-07,fixed_512,0.6405808878901936,0.1918568,512.0,0.4487240878901937
59,train,2e-07,dmrl_doubling,0.6405808878901936,0.1918568,512.0,0.4487240878901937
59,train,2e-07,dmrl_sequential,0.6369689462071687,0.180520375,483.125,0.4564485712071688
59,train,1e-06,fixed_1,0.20833231646784375,0.00237575,1.0,0.20595656646784374
59,train,1e-06,fixed_2,0.21510899140417977,0.0038926250000000003,2.0,0.21121636640417973
59,train,1e-06,fixed_4,0.285153778838491,0.0075048749999999985,4.0,0.27764890383849106
59,train,1e-06,fixed_8,0.3388984314951992,0.0157035,8.0,0.32319493149519923
59,train,1e-06,fixed_16,0.4533982315541837,0.032159125,16.0,0.4212391065541837
59,train,1e-06,fixed_32,0.4760847579592911,0.063150375,32.0,0.4129343829592911
59,train,1e-06,fixed_64,0.5164149614229051,0.123863,64.0,0.3925519614229051
59,train,1e-06,fixed_128,0.5435984967579581,0.24037599999999998,128.0,0.3032224967579581
59,train,1e-06,fixed_256,0.6240002178248206,0.483345625,256.0,0.1406545928248207
59,train,1e-06,fixed_512,0.6405808878901936,0.9592839999999999,512.0,-0.31870311210980623
59,train,1e-06,dmrl_doubling,0.5529552834572812,0.33170762499999995,176.0,0.22124765845728123
59,train,1e-06,dmrl_sequential,0.5455133547954598,0.26316124999999996,139.875,0.2823521047954598
59,train,2e-06,fixed_1,0.20833231646784375,0.0047515,1.0,0.20358081646784376
59,train,2e-06,fixed_2,0.21510899140417977,0.0077852500000000005,2.0,0.20732374140417978
59,train,2e-06,fixed_4,0.285153778838491,0.015009749999999997,4.0,0.2701440288384911
59,train,2e-06,fixed_8,0.3388984314951992,0.031407,8.0,0.3074914314951992
59,train,2e-06,fixed_16,0.4533982315541837,0.06431825,16.0,0.38907998155418366
59,train,2e-06,fixed_32,0.4760847579592911,0.12630075,32.0,0.34978400795929115
59,train,2e-06,fixed_64,0.5164149614229051,0.247726,64.0,0.2686889614229051
59,train,2e-06,fixed_128,0.5435984967579581,0.48075199999999996,128.0,0.06284649675795809
59,train,2e-06,fixed_256,0.6240002178248206,0.96669125,256.0,-0.34269103217517927
59,train,2e-06,fixed_512,0.6405808878901936,1.9185679999999998,512.0,-1.277987112109806
59,train,2e-06,dmrl_doubling,0.5338739446818563,0.44857449999999993,120.0,0.08529944468185637
59,train,2e-06,dmrl_sequential,0.49877758299977454,0.28925449999999997,76.75,0.20952308299977457
59,train,1e-05,fixed_1,0.20833231646784375,0.0237575,1.0,0.18457481646784374
59,train,1e-05,fixed_2,0.21510899140417977,0.038926249999999996,2.0,0.17618274140417978
59,train,1e-05,fixed_4,0.285153778838491,0.07504875,4.0,0.21010502883849105
59,train,1e-05,fixed_8,0.3388984314951992,0.15703500000000004,8.0,0.18186343149519918
59,train,1e-05,fixed_16,0.4533982315541837,0.32159125,16.0,0.1318069815541837
59,train,1e-05,fixed_32,0.4760847579592911,0.63150375,32.0,-0.15541899204070897
59,train,1e-05,fixed_64,0.5164149614229051,1.2386300000000001,64.0,-0.722215038577095
59,train,1e-05,fixed_128,0.5435984967579581,2.40376,128.0,-1.860161503242042
59,train,1e-05,fixed_256,0.6240002178248206,4.83345625,256.0,-4.209456032175179
59,train,1e-05,fixed_512,0.6405808878901936,9.592839999999999,512.0,-8.952259112109807
59,train,1e-05,dmrl_doubling,0.4723137823784061,0.6383937500000001,32.0,-0.16607996762159394
59,train,1e-05,dmrl_sequential,0.4533982315541837,0.42914625,21.875,0.02425198155418368
75,test,2e-08,fixed_1,0.41413512217493975,2.0125000000000002e-06,1.0,0.41413310967493977
75,test,2e-08,fixed_2,0.46060931672658906,4.0575e-06,2.0,0.46060525922658907
75,test,2e-08,fixed_4,0.4835628104908641,7.8775e-06,4.0,0.4835549329908641
75,test,2e-08,fixed_8,0.494520936830288,1.56025e-05,8.0,0.49450533433028804
75,test,2e-08,fixed_16,0.5,2.9919999999999998e-05,16.0,0.49997008
75,test,2e-08,fixed_32,0.5077807700045304,5.9442500000000006e-05,32.0,0.5077213275045305
75,test,2e-08,fixed_64,0.5149512078483742,0.00011913,64.0,0.5148320778483744
75,test,2e-08,fixed_128,0.5233423100135912,0.00023794,128.0,0.5231043700135912
75,test,2e-08,fixed_256,0.5235864168037778,0.00047455500000000004,256.0,0.5231118618037781
75,test,2e-08,fixed_512,0.5252952947055244,0.0009437050000000001,512.0,0.5243515897055243
75,test,2e-08,dmrl_doubling,0.5143408756876878,0.0002726825,148.0,0.5140681931876878
75,test,2e-08,dmrl_sequential,0.5016913746741319,0.0001452975,79.125,0.5015460771741319
75,test,1e-07,fixed_1,0.41413512217493975,1.0062499999999999e-05,1.0,0.4141250596749397
75,test,1e-07,fixed_2,0.46060931672658906,2.0287499999999995e-05,2.0,0.460589029226589
75,test,1e-07,fixed_4,0.4835628104908641,3.9387499999999995e-05,4.0,0.48352342299086415
75,test,1e-07,fixed_8,0.494520936830288,7.801249999999999e-05,8.0,0.494442924330288
75,test,1e-07,fixed_16,0.5,0.0001496,16.0,0.4998504
75,test,1e-07,fixed_32,0.5077807700045304,0.00029721250000000005,32.0,0.5074835575045304
75,test,1e-07,fixed_64,0.5149512078483742,0.0005956499999999999,64.0,0.5143555578483744
75,test,1e-07,fixed_128,0.5233423100135912,0.0011897,128.0,0.5221526100135913
75,test,1e-07,fixed_256,0.5235864168037778,0.002372775,256.0,0.521213641803778
75,test,1e-07,fixed_512,0.5252952947055244,0.0047185249999999995,512.0,0.5205767697055244
75,test,1e-07,dmrl_doubling,0.5143408756876878,0.0013634125000000002,148.0,0.5129774631876879
75,test,1e-07,dmrl_sequential,0.5016913746741319,0.0007264874999999999,79.125,0.5009648871741319
75,test,2e-07,fixed_1,0.41413512217493975,2.0124999999999998e-05,1.0,0.4141149971749397
75,test,2e-07,fixed_2,0.46060931672658906,4.057499999999999e-05,2.0,0.460568741726589
75,test,2e-07,fixed_4,0.4835628104908641,7.877499999999999e-05,4.0,0.4834840354908641
75,test,2e-07,fixed_8,0.494520936830288,0.00015602499999999998,8.0,0.494364911830288
75,test,2e-07,fixed_16,0.5,0.0002992,16.0,0.49970079999999995
75,test,2e-07,fixed_32,0.5077807700045304,0.0005944250000000001,32.0,0.5071863450045304
75,test,2e-07,fixed_64,0.5149512078483742,0.0011912999999999997,64.0,0.5137599078483743
75,test,2e-07,fixed_128,0.5233423100135912,0.0023794,128.0,0.5209629100135912
75,test,2e-07,fixed_256,0.5235864168037778,0.00474555,256.0,0.518840866803778
75,test,2e-07,fixed_512,0.5252952947055244,0.009437049999999999,512.0,0.5158582447055243
75,test,2e-07,dmrl_doubling,0.5143408756876878,0.0027268250000000004,148.0,0.5116140506876878
75,test,2e-07,dmrl_sequential,0.5016913746741319,0.0014529749999999998,79.125,0.500238399674132
