generator,split_seed,price,selected_length_budget,fixed_n,profit,fixed_profit,delta_profit,relative_percent,quality,fixed_quality,cost,fixed_cost,samples,ci_low,ci_high
gemma2_9b,41,2e-08,1305145.8351521813,507,0.6031838255437535,0.6032223670469036,-3.854150315019345e-05,-0.006389269572160385,0.6152142587437536,0.616600060846904,0.012030433200000001,0.013377693800000002,493.565,-0.0014477875987930664,0.0014633693958015538
gemma2_9b,41,1e-07,555798.1977492545,377,0.5636131667605425,0.5525451219320627,0.011068044828479881,2.003102441621181,0.6009200875105427,0.6022818041820625,0.03730692074999999,0.04973668225000002,401.77,0.0040231032257047675,0.019435162056388837
gemma2_9b,41,2e-07,272876.1283088787,191,0.5363007582522816,0.5157042726325847,0.0205964856196968,3.9938559195089,0.5813179072522815,0.5660579756325846,0.045017148999999985,0.050353703,313.2575,0.01146761091691618,0.02994747519770477
gemma2_9b,41,1e-06,57052.1541695464,41,0.45272720856197246,0.4240697761643478,0.028657432397624544,6.757716302450752,0.5084467760619725,0.4780873186643479,0.05571956749999999,0.05401754250000001,129.5175,0.01729080917435413,0.04073647257375108
gemma2_9b,41,2e-06,32293.177176233417,19,0.4119802178603517,0.3795118950205886,0.032468322839763177,8.555284634227805,0.47717807786035205,0.42951711502058854,0.06519786000000001,0.05000522000000001,86.3975,0.01895133039561033,0.04629070065048338
gemma2_9b,41,1e-05,7784.085470733542,6,0.2931827419176306,0.2709775361829162,0.02220520573471439,8.19448211372228,0.3776521419176305,0.3499603611829161,0.08446940000000001,0.07898282499999999,24.74,0.011620986235853288,0.03326316689764317
gemma2_9b,42,2e-08,inf,511,0.6030948375720527,0.6031249714720528,-3.013390000001115e-05,-0.004996294536845831,0.6184173156720528,0.6184173156720528,0.015322478099999998,0.015292344200000004,512.0,-3.61392525000177e-05,-2.444580874999658e-05
gemma2_9b,42,1e-07,418154.2337405715,336,0.552751966495753,0.5444086853931333,0.008343281102619695,1.5325400432571663,0.5867532542457531,0.5946723293931331,0.03400128775,0.050263643999999996,328.735,0.0018791604266198687,0.014820808421293904
gemma2_9b,42,2e-07,314597.931233393,257,0.521977600664237,0.5024497851608631,0.019527815503373916,3.8865208186171154,0.5756840566642372,0.5793188476608634,0.05370645600000002,0.0768690625,286.455,0.011622503662883903,0.02792365680176525
gemma2_9b,42,1e-06,49485.92916816544,42,0.4380919255751173,0.4192845195886368,0.01880740598648039,4.485595128800004,0.48826629057511717,0.482134507088637,0.050174365000000005,0.06284998750000001,90.1775,0.009747691827970369,0.02889506817640125
gemma2_9b,42,2e-06,32293.177176233417,22,0.39191765956498004,0.3757533411890005,0.016164318375979404,4.301842885769284,0.45801759956498,0.44160991118900056,0.06609994000000001,0.06585657,60.2025,0.0070332054965856474,0.026150063430211208
gemma2_9b,42,1e-05,5856.349136371518,6,0.2685990558728016,0.2500076182317931,0.018591437641008478,7.436348449098672,0.33558435587280144,0.33988641823179294,0.0669853,0.08987880000000001,11.3425,0.007412566385562601,0.029458744711004035
gemma2_9b,43,2e-08,inf,511,0.5964421378062699,0.5964722180062698,-3.0080200000015545e-05,-0.005043017778859796,0.61168015220627,0.61168015220627,0.015238014400000001,0.015207934199999997,512.0,-3.7133022500018204e-05,-2.3959883750018456e-05
gemma2_9b,43,1e-07,555798.1977492545,342,0.5540057390682656,0.5403261075678875,0.013679631500378103,2.5317361698387617,0.5943358895682657,0.5912207035678874,0.040330150500000016,0.05089459600000001,376.5675,0.006708298301812809,0.021039410998805137
gemma2_9b,43,2e-07,272876.1283088787,225,0.5262732184150282,0.4993181726427584,0.02695504577226981,5.398370668065998,0.5734928719150285,0.5663002026427586,0.04721965349999999,0.06698202999999998,285.355,0.016487309715907766,0.03837285089511759
gemma2_9b,43,1e-06,57052.1541695464,51,0.44428491813475063,0.4106990360074995,0.03358588212725102,8.177735807161167,0.5011113081347505,0.4865218735074995,0.056826389999999984,0.07582283750000002,108.6475,0.01993009209678749,0.05016678052176296
gemma2_9b,43,2e-06,32293.177176233417,22,0.40064862188637823,0.3727390753903641,0.027909546496013987,7.487690005880046,0.4660197768863781,0.4381502553903641,0.065371155,0.06541117999999999,66.8325,0.013787158677218652,0.04476458117773128
gemma2_9b,43,1e-05,6751.764378588197,6,0.2875776697506358,0.26028626112725806,0.02729140862337783,10.485151427195241,0.3629323947506359,0.34975053612725804,0.07535472500000001,0.08946427500000002,17.3475,0.015534927837572326,0.04122681303034788
gemma2_9b,44,2e-08,inf,511,0.6088247981632715,0.6088516191132716,-2.6820950000010503e-05,-0.004405170185647596,0.6225340681632714,0.6225340681632714,0.013709270000000004,0.013682449050000003,512.0,-3.282045499999292e-05,-2.1390757499994812e-05
gemma2_9b,44,1e-07,418154.2337405715,290,0.5621704738463374,0.5495274307422219,0.012643043104115632,2.3007119202474104,0.5953562330963373,0.5883542282422218,0.03318575925000001,0.038826797499999996,356.575,0.004203163527558533,0.02280747857648
gemma2_9b,44,2e-07,272876.1283088787,179,0.5355991470104516,0.5096496412448802,0.025949505765571486,5.091636227229889,0.5832379350104514,0.55757957724488,0.04763878800000001,0.047929936,294.6575,0.016128284841653136,0.03751163962713897
gemma2_9b,44,1e-06,57052.1541695464,51,0.4422730908729005,0.4222299686527677,0.020043122220133096,4.7469681709438545,0.4987396358729007,0.49053262615276744,0.05646654499999999,0.0683026575,106.22,0.00853714597427902,0.03224320098377567
gemma2_9b,44,2e-06,32293.177176233417,22,0.40131321680954135,0.379967138430186,0.021346078379355274,5.6178748687440345,0.46649665680954144,0.438968553430186,0.06518344000000001,0.05900141499999998,67.365,0.011032175313576385,0.03298840861986022
gemma2_9b,44,1e-05,6751.764378588197,6,0.28054002273039735,0.2667122364420078,0.013827786288389467,5.184533890478659,0.35530112273039727,0.3471203364420078,0.0747611,0.08040810000000001,17.505,0.004340254757553626,0.02429924590368244
gemma2_9b,45,2e-08,inf,509,0.608862618885124,0.6086386820295013,0.000223936855622644,0.03679306988440632,0.6227075711351239,0.6224026429295012,0.013844952249999995,0.013763960900000004,512.0,-8.108176499998598e-05,0.0006531279276886553
gemma2_9b,45,1e-07,555798.1977492545,331,0.5670378512288223,0.554254913464023,0.012782937764799369,2.306328271391881,0.6085433267288225,0.599023811964023,0.04150547550000001,0.0447688985,388.855,0.006303278089689927,0.02086905459663922
gemma2_9b,45,2e-07,272876.1283088787,188,0.5355817240896578,0.5166743605439723,0.018907363545685545,3.6594352244959922,0.5835780575896581,0.5675158240439724,0.04799633350000001,0.0508414635,284.105,0.010127836209241885,0.029355941945276173
gemma2_9b,45,1e-06,57052.1541695464,38,0.44452192885146774,0.42091742490453776,0.023604503946929815,5.607870463496068,0.5008498813514675,0.4722792374045377,0.05632795249999999,0.0513618125,99.5075,0.009783724066435861,0.04133445941178499
gemma2_9b,45,2e-06,28010.473953516794,22,0.39475265724361136,0.3736671313935145,0.021085525850097025,5.642863414682181,0.45158078724361145,0.4331630113935143,0.056828130000000004,0.05949587999999997,58.6,0.008339471205297842,0.03741892501013108
gemma2_9b,45,1e-05,6751.764378588197,6,0.2725438031639328,0.2561953957981896,0.01634840736574309,6.381226061775547,0.34660095316393275,0.3375083707981896,0.07405715000000002,0.08131297500000001,17.12,0.004435587776183791,0.02995593588349064
llama3.1_8b,41,2e-08,1734761.1107235006,510,0.6140519354479282,0.61534501929039,-0.0012930838424617796,-0.2101396455524986,0.6317852728979283,0.6348212708403902,0.017733337449999994,0.01947625155,494.8075,-0.003191350440214726,5.298294400615182e-05
llama3.1_8b,41,1e-07,640777.7927618554,252,0.559854625117569,0.5422048368128093,0.017649788304759585,3.2551882805968027,0.609585963367569,0.5903588058128093,0.04973133825000001,0.04815396899999998,365.5375,0.009023155309295022,0.026975756689875702
llama3.1_8b,41,2e-07,272876.1283088787,156,0.5294101048576519,0.5015700705891818,0.02784003426847028,5.550577257484142,0.577137340857652,0.5611999700891819,0.047727236,0.05962989949999998,236.6925,0.01708607626692699,0.04078822199980801
llama3.1_8b,41,1e-06,87426.48159758205,36,0.4327048460561132,0.389183013968692,0.043521832087421275,11.18287040423671,0.5193494085561134,0.45814142396869184,0.0866445625,0.06895840999999998,126.31,0.01937861894260118,0.07391880514460625
llama3.1_8b,41,2e-06,37230.69070042181,19,0.3805346261696592,0.33814379665345873,0.042390829516200546,12.536332156832115,0.45647998616965935,0.4112076616534587,0.07594536,0.073063865,62.08,0.020241218112192212,0.07010339515776258
llama3.1_8b,41,1e-05,6751.764378588197,5,0.2378603009535845,0.20466421465340645,0.033196086300178035,16.219780461569574,0.3157310259535844,0.30012286465340643,0.077870725,0.09545865,12.99,0.018708924982679596,0.04871799361483098
llama3.1_8b,42,2e-08,inf,511,0.6066926149643797,0.6067360654643796,-4.345050000000405e-05,-0.007161351116774013,0.6287794189143795,0.6287794189143795,0.022086803949999997,0.02204335345000001,512.0,-5.13749150000114e-05,-3.561947375001434e-05
llama3.1_8b,42,1e-07,640777.7927618554,361,0.5478133497448442,0.5348807963688712,0.012932553375973014,2.4178384162916005,0.6007859949948442,0.6127612303688711,0.05297264525,0.077880434,331.2325,0.006667708440161756,0.019505659192488763
llama3.1_8b,42,2e-07,314597.931233393,172,0.51458039003152,0.49731253898615835,0.017267851045361687,3.472233191739873,0.57110291603152,0.5716378864861582,0.056522526,0.0743253475,221.645,0.010120993048619145,0.025503493008882726
llama3.1_8b,42,1e-06,87426.48159758205,44,0.4176552371583002,0.3929396793990086,0.02471555775929181,6.2899114177253965,0.5044512496583003,0.48828802439900826,0.0867960125,0.09534834499999999,99.76,0.011155331636876474,0.039896005287417234
llama3.1_8b,42,2e-06,49485.92916816544,20,0.36549285542729826,0.3431278617150387,0.02236499371225968,6.51797659346981,0.4663169854272984,0.4296834967150386,0.10082412999999998,0.08655563499999999,64.4975,0.009541863672527257,0.039506420066928276
llama3.1_8b,42,1e-05,10346.375396127185,5,0.24741358781114817,0.21570977195474794,0.031703815856400336,14.697440718193903,0.3615741628111482,0.32409477195474784,0.11416057500000001,0.108385,14.5925,0.01551566879582093,0.05013878687535313
llama3.1_8b,43,2e-08,inf,510,0.6121307023131023,0.6121726675023523,-4.1965189249981716e-05,-0.006855122986983156,0.6328644981131022,0.6328262009523522,0.020733795799999993,0.020653533449999997,512.0,-9.141850375003895e-05,4.000934975009556e-05
llama3.1_8b,43,1e-07,640777.7927618554,339,0.5619808457265482,0.5398662916420209,0.022114554084527276,4.096302070882244,0.6118645599765482,0.608518045892021,0.04988371424999999,0.06865175425,345.3525,0.013586125672792677,0.03136842271091187
llama3.1_8b,43,2e-07,272876.1283088787,133,0.5323092827152452,0.5000613021352778,0.032247980579967535,6.448805464903527,0.5799749927152452,0.5540975041352776,0.04766571000000001,0.054036202,227.1675,0.01673870587013908,0.05070892649917477
llama3.1_8b,43,1e-06,87426.48159758205,42,0.4278942708691636,0.38478652499184535,0.04310774587731838,11.203028972553534,0.5144011608691637,0.47010144249184527,0.08650689,0.0853149175,126.9775,0.023305118700774185,0.06719576906205016
llama3.1_8b,43,2e-06,32293.177176233417,17,0.3738509296645032,0.33574678268872726,0.03810414697577585,11.349072855033853,0.44080609966450324,0.4052999526887273,0.06695517000000001,0.06955317,54.6875,0.019843692297990417,0.05894700423064961
llama3.1_8b,43,1e-05,11928.299905007809,4,0.23151755220021347,0.2067214922791389,0.024796059921074542,11.994911437458121,0.3621601772002133,0.2882851922791389,0.13064262500000004,0.0815637,20.7275,0.009889363925095193,0.04267771123173602
llama3.1_8b,44,2e-08,inf,502,0.638077248758276,0.6362040478048508,0.0018732009534253979,0.29443398857468184,0.658006836358276,0.6557441875048505,0.0199295876,0.019540139700000004,512.0,0.00047262833465894346,0.0036363763973955897
llama3.1_8b,44,1e-07,482088.54943280923,292,0.5717040307757975,0.5644951762661544,0.007208854509643127,1.2770444837679562,0.6124281147757976,0.6213608022661545,0.040724083999999994,0.05686562600000001,304.96,-0.0023985766331667173,0.017408995045312823
llama3.1_8b,44,2e-07,236687.44771751988,166,0.5358944254377142,0.5152030004772621,0.02069142496045205,4.016169343207318,0.579592498437714,0.5799409869772622,0.043698073000000004,0.06473798650000001,208.7975,0.005517428790925551,0.03551254438585138
llama3.1_8b,44,1e-06,65775.22843563423,36,0.4189859883737595,0.38906573340227985,0.029920254971479654,7.6902827472968935,0.4859163583737596,0.45980235340227993,0.06693036999999999,0.07073661999999997,85.5525,0.012771465895774232,0.04941539429489412
llama3.1_8b,44,2e-06,28010.473953516794,17,0.3637603498019945,0.32951351160886205,0.03424683819313233,10.393151414617526,0.42209108980199433,0.3962544866088621,0.05833074,0.06674097500000001,36.645,0.01850197840237807,0.052513614201489
llama3.1_8b,44,1e-05,10346.375396127185,4,0.2284694734917916,0.20116267434609497,0.02730679914569662,13.574486039450841,0.34245802349179166,0.27963427434609495,0.11398855,0.0784716,13.7575,0.011952135809506386,0.04483645797270409
llama3.1_8b,45,2e-08,inf,510,0.6257705627645824,0.6258460602645827,-7.549750000001464e-05,-0.01206326999455702,0.6451946384145826,0.6451946384145826,0.019424075649999997,0.019348578150000004,512.0,-8.984331999999639e-05,-6.128369250003075e-05
llama3.1_8b,45,1e-07,482088.54943280923,292,0.5693196691225391,0.5551423126836498,0.014177356438889293,2.5538237880578056,0.608667765622539,0.6105361264336495,0.03934809649999999,0.05539381375000001,310.0,0.004908065580666059,0.023391251585216388
llama3.1_8b,45,2e-07,272876.1283088787,166,0.5380908634097848,0.5129135724760643,0.02517729093372052,4.908680971762635,0.5853823249097849,0.5759526594760641,0.04729146149999999,0.06303908700000001,229.39,0.012241113228810467,0.04059879196394483
llama3.1_8b,45,1e-06,65775.22843563423,39,0.42559372804512663,0.3897710091037684,0.035822718941358384,9.190708930284071,0.4904723680451268,0.46384526410376836,0.06487864,0.074074255,109.295,0.018666853174458438,0.057739115432372534
llama3.1_8b,45,2e-06,28010.473953516794,20,0.37350060981380023,0.33259384913791523,0.040906760675884925,12.299313646934673,0.43125950981380007,0.4084057191379151,0.057758899999999995,0.07581186999999998,58.98,0.023664339229478908,0.06163877697090263
llama3.1_8b,45,1e-05,10346.375396127185,4,0.24083829396053458,0.2044994653164417,0.03633882864409281,17.769644819296836,0.35453329396053457,0.28127851531644166,0.113695,0.07677905,23.17,0.018717857625685938,0.05656286475305946
llama3.2_3b,41,2e-08,1734761.1107235006,510,0.6255375645296934,0.6251268664258796,0.000410698103813858,0.06569836074427524,0.6419512755796937,0.6429597673258798,0.016413711049999998,0.0178329009,498.4125,-0.0005802051197982234,0.001652296940064594
