variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
local_exp_open8,llama3.1_8b,11,50000000.0,0.52,1650606.97,1650606.97
local_exp_open5_no_bonus,llama3.1_8b,11,100000.0,0.5647634181373925,9822.98,9822.98
local_exp_open5_no_bonus,llama3.1_8b,11,500000.0,0.6106696945908564,16660.12,16660.12
local_exp_open5_no_bonus,llama3.1_8b,11,1000000.0,0.5720705354455663,33416.09,33416.09
local_exp_open5_no_bonus,llama3.1_8b,11,5000000.0,0.5218809476714797,88634.71,88634.71
local_exp_open5_no_bonus,llama3.1_8b,11,10000000.0,0.4768965938051642,137926.52,137926.51999999996
local_exp_open5_no_bonus,llama3.1_8b,11,50000000.0,0.475,205678.3,205678.30000000005
local_exp_open5_plugin,llama3.1_8b,11,100000.0,0.5375905686439606,9068.05,9068.049999999997
local_exp_open5_plugin,llama3.1_8b,11,500000.0,0.606637402357133,11295.86,11295.860000000002
local_exp_open5_plugin,llama3.1_8b,11,1000000.0,0.5999068125624142,15866.69,15866.690000000002
local_exp_open5_plugin,llama3.1_8b,11,5000000.0,0.535,58027.13,58027.13
local_exp_open5_plugin,llama3.1_8b,11,10000000.0,0.51,75532.68,75532.68
local_exp_open5_plugin,llama3.1_8b,11,50000000.0,0.4168992167129785,144701.14,144701.14
local_raw_tail_open5,llama3.1_8b,11,100000.0,0.4572828203902178,31342.54,31342.54
local_raw_tail_open5,llama3.1_8b,11,500000.0,0.52,337384.2,337384.20000000007
local_raw_tail_open5,llama3.1_8b,11,1000000.0,0.57,672726.0,672726.0
local_raw_tail_open5,llama3.1_8b,11,5000000.0,0.54,1601038.9,1601038.8999999997
local_raw_tail_open5,llama3.1_8b,11,10000000.0,0.52,1667883.5,1667883.5
local_raw_tail_open5,llama3.1_8b,11,50000000.0,0.5,1707979.76,1707979.76
local_gaussian_open5,llama3.1_8b,11,100000.0,0.455,64112.79,64112.78999999999
local_gaussian_open5,llama3.1_8b,11,500000.0,0.44,384897.94,384897.94000000006
local_gaussian_open5,llama3.1_8b,11,1000000.0,0.49,542019.26,542019.2599999999
local_gaussian_open5,llama3.1_8b,11,5000000.0,0.59,1214250.13,1214250.1299999997
local_gaussian_open5,llama3.1_8b,11,10000000.0,0.56,1520955.32,1520955.3199999996
local_gaussian_open5,llama3.1_8b,11,50000000.0,0.5,1707979.76,1707979.76
reference_train_scale,llama3.1_8b,12,100000.0,0.6075267412083337,9557.31,9557.31
reference_train_scale,llama3.1_8b,12,500000.0,0.5692222526186205,28926.99,28926.99
reference_train_scale,llama3.1_8b,12,1000000.0,0.5902352194351989,50919.11,50919.11000000001
reference_train_scale,llama3.1_8b,12,5000000.0,0.69,218568.32,218568.31999999995
reference_train_scale,llama3.1_8b,12,10000000.0,0.635,408735.73,408735.73
reference_train_scale,llama3.1_8b,12,50000000.0,0.5266531191620659,1745411.85,1745411.8500000003
local_exp_open3,llama3.1_8b,12,100000.0,0.5883742661608597,6975.98,6975.98
local_exp_open3,llama3.1_8b,12,500000.0,0.5175365129787157,21120.08,21120.080000000005
