variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
reference_train_scale,llama3.1_8b,10,0.3,75000.0,True,True,0.32730711094546344,0.3171922105961593,2.7307110945463453,1.719221059615933,8473.54,9849.3,13.968099255784658
reference_train_scale,llama3.1_8b,10,0.35,200000.0,True,True,0.37056335581166927,0.35600050335255956,2.0563355811669295,0.6000503352559583,13642.91,17411.85,21.645833153857858
reference_train_scale,llama3.1_8b,10,0.4,500000.0,True,True,0.422022746013185,0.3833357375420323,2.202274601318499,-1.6664262457967705,30696.27,28576.55,-7.417690378999569
reference_train_scale,llama3.1_8b,10,0.45,1000000.0,True,True,0.4610826615444815,0.4511726155345126,1.108266154448151,0.11726155345125888,53976.72,54365.17,0.7145199766688802
reference_train_scale,llama3.1_8b,10,0.5,2000000.0,True,True,0.5221979852360381,0.49992659779814047,2.219798523603811,-0.007340220185952928,100385.37,101440.15,1.03980524476748
reference_train_scale,llama3.1_8b,10,0.55,5000000.0,True,True,0.5579772405733858,0.570302794613755,0.797724057338578,2.030279461375495,216217.53,348651.06,37.98454821849674
reference_train_scale,llama3.1_8b,10,0.6,10000000.0,True,True,0.6021863182309519,0.6072321305318215,0.21863182309519447,0.7232130531821479,392004.2,559925.81,29.98997492185617
local_exp_open3,llama3.1_8b,10,0.3,100000.0,True,True,0.31120703566263525,0.3171922105961593,1.1207035662635256,1.719221059615933,6671.9,9849.3,32.26016062055171
local_exp_open3,llama3.1_8b,10,0.35,500000.0,True,True,0.40048493264547863,0.35600050335255956,5.048493264547865,0.6000503352559583,23806.98,17411.85,-36.72860724161994
local_exp_open3,llama3.1_8b,10,0.4,1000000.0,True,True,0.4571686962334995,0.3833357375420323,5.716869623349946,-1.6664262457967705,49762.9,28576.55,-74.13893559579445
local_exp_open3,llama3.1_8b,10,0.45,1000000.0,True,True,0.4571686962334995,0.4511726155345126,0.7168696233499472,0.11726155345125888,49762.9,54365.17,8.465475229820852
local_exp_open3,llama3.1_8b,10,0.5,2000000.0,True,True,0.5110361392879602,0.49992659779814047,1.1036139287960212,-0.007340220185952928,83530.41,101440.15,17.655474681376152
local_exp_open3,llama3.1_8b,10,0.55,5000000.0,True,True,0.5597364313126524,0.570302794613755,0.9736431312652338,2.030279461375495,207359.87,348651.06,40.52509979461987
local_exp_open3,llama3.1_8b,10,0.6,10000000.0,True,True,0.6021863182309519,0.6072321305318215,0.21863182309519447,0.7232130531821479,389830.09,559925.81,30.37826029130538
local_exp_open5,llama3.1_8b,10,0.3,50000.0,True,True,0.3331827282936652,0.3171922105961593,3.31827282936652,1.719221059615933,10031.57,9849.3,-1.850588366685962
local_exp_open5,llama3.1_8b,10,0.35,200000.0,True,True,0.36207320176481866,0.35600050335255956,1.2073201764818686,0.6000503352559583,13405.37,17411.85,23.01007647090917
local_exp_open5,llama3.1_8b,10,0.4,500000.0,True,True,0.4171676038750385,0.3833357375420323,1.7167603875038462,-1.6664262457967705,27108.35,28576.55,5.137779053104733
local_exp_open5,llama3.1_8b,10,0.45,1000000.0,True,True,0.4631040153186578,0.4511726155345126,1.3104015318657791,0.11726155345125888,51499.28,54365.17,5.271555299100508
local_exp_open5,llama3.1_8b,10,0.5,2000000.0,True,True,0.5142026738678519,0.49992659779814047,1.42026738678519,-0.007340220185952928,86063.64,101440.15,15.158209052332825
local_exp_open5,llama3.1_8b,10,0.55,5000000.0,True,True,0.5597364313126524,0.570302794613755,0.9736431312652338,2.030279461375495,207359.87,348651.06,40.52509979461987
local_exp_open5,llama3.1_8b,10,0.6,10000000.0,True,True,0.6021863182309519,0.6072321305318215,0.21863182309519447,0.7232130531821479,389830.09,559925.81,30.37826029130538
local_exp_open8,llama3.1_8b,10,0.3,50000.0,True,True,0.3638239712836726,0.3171922105961593,6.382397128367262,1.719221059615933,15663.86,9849.3,-59.03526138913427
