price,method,train_selected_fixed,test_oracle_fixed,mean_profit,baseline_profit,delta_profit,delta_ci_low,delta_ci_high,relative_profit_percent,quality,baseline_quality,cost,baseline_cost,samples,delta_vs_test_oracle
2e-08,dmrl_doubling,fixed_512,fixed_511,0.607369618081497,0.6155273998917731,-0.008157781810276144,-0.0134400197987475,-0.003866924864216984,-1.325332034237714,0.6268941834814971,0.6360411093417732,0.0195245654,0.02051370945,494.4,-0.008197819510276094
2e-08,dmrl_sequential,fixed_512,fixed_511,0.6030585179662631,0.6155273998917731,-0.012468881925510046,-0.01769974946377652,-0.007601571590105751,-2.025723294804167,0.621557042966263,0.6360411093417732,0.018498525,0.02051370945,477.74,-0.01250891962551004
1e-07,dmrl_doubling,fixed_367,fixed_315,0.5336132395571681,0.5452356769451336,-0.011622437387965619,-0.01805317067753159,-0.0047066731400361534,-2.1316355255922055,0.6204849540571682,0.6188202146951337,0.08687171449999999,0.07358453775,467.36,-0.015835190947838695
1e-07,dmrl_sequential,fixed_367,fixed_315,0.5357509845660645,0.5452356769451336,-0.009484692379069242,-0.01903743894600569,-0.0010211713777337373,-1.739558282798078,0.6054413360660644,0.6188202146951337,0.0696903515,0.07358453775,409.37,-0.013697445938942288
2e-07,dmrl_doubling,fixed_141,fixed_181,0.46472258728720867,0.4964241279470788,-0.031701540659870214,-0.05385269402257288,-0.006071081494942175,-6.38597901978885,0.6107613327872086,0.5529180474470788,0.14603874549999996,0.0564939195,421.36,-0.037565038580125776
2e-07,dmrl_sequential,fixed_141,fixed_181,0.4836062010351917,0.4964241279470788,-0.012817926911887134,-0.03051737712736987,0.007920136190360747,-2.5820515543623186,0.5875949670351917,0.5529180474470788,0.103988766,0.0564939195,342.4375,-0.018681424832142746
1e-06,dmrl_doubling,fixed_38,fixed_39,0.2712065295565397,0.3824602268811462,-0.11125369732460648,-0.14915399447314065,-0.07081497395474608,-29.088958669467036,0.5609902345565396,0.4586756793811461,0.289783705,0.07621545249999999,243.98,-0.11246883184046996
1e-06,dmrl_sequential,fixed_38,fixed_39,0.34597423385668746,0.3824602268811462,-0.03648599302445874,-0.06275903500333423,-0.009444171463577079,-9.53981367474249,0.5282001838566874,0.4586756793811461,0.18222594999999997,0.07621545249999999,176.005,-0.03770112754032218
2e-06,dmrl_doubling,fixed_25,fixed_19,0.18967231018721623,0.3300975427791438,-0.1404252325919276,-0.17577751238792308,-0.10401365864634896,-42.54052647882962,0.5310484801872162,0.43040607777914375,0.34137617,0.10030853499999999,175.16,-0.14640095861888067
2e-06,dmrl_sequential,fixed_25,fixed_19,0.2805488535895928,0.3300975427791438,-0.04954868918955099,-0.0686519749035283,-0.029167188659026268,-15.010317487489509,0.4968867085895928,0.43040607777914375,0.21633785500000002,0.10030853499999999,124.18,-0.055524415216504086
1e-05,dmrl_doubling,fixed_5,fixed_3,-0.03966957326071462,0.20236214398641367,-0.24203171724712827,-0.27973152170557314,-0.20634677379842273,-119.60325803989207,0.4366946017392855,0.3024002689864137,0.476364175,0.100038125,65.23,-0.24748853181076155
1e-05,dmrl_sequential,fixed_5,fixed_3,0.0826882812360636,0.20236214398641367,-0.11967386275035008,-0.14183114853238293,-0.0968877190793657,-59.13846354503183,0.40581683123606366,0.3024002689864137,0.32312855,0.100038125,38.6625,-0.1251306773139833
