reward_model,generator,price_per_million,fixed_n,fixed_utility,adaptive_utility,relative_utility_improvement_percent,fixed_output_tokens,adaptive_output_tokens,fixed_cost_dollars,adaptive_cost_dollars,fixed_profit,adaptive_profit,profit_gain,direct_cost_saving_percent,matched_utility_cost_saving_percent
rm_mistral_7b,qwen35_9b,0.1,531.6,0.6042232749196768,0.6001725847786961,-0.663256144272013,437293.58100000006,318666.9695,0.043729358100000004,0.03186669695,0.5604939168196766,0.5683058878286961,0.007811971009019358,26.025219804472027,15.616850661546351
rm_mistral_7b,qwen35_9b,0.2,279.0,0.5773019302679407,0.5777349252205721,0.07857818764927482,229245.6875,186183.5305,0.045849137500000005,0.0372367061,0.5314527927679408,0.540498219120572,0.009045426352631414,18.527699758211963,18.248756292435406
rm_mistral_7b,qwen35_9b,0.5,112.2,0.5344420540637282,0.5448833460458751,1.9600298274769554,92325.985,86771.024,0.0461629925,0.043385511999999994,0.48827906156372824,0.501497834045875,0.013218772482146802,5.195343381436201,25.2329264264483
rm_mistral_7b,qwen35_9b,1.0,73.4,0.5108945399530663,0.5105914359973978,-0.05646136284840815,60232.29600000001,47771.295,0.060232296,0.04777129499999999,0.45066224395306637,0.4628201409973978,0.012157897044331423,20.49188782877724,17.89941032790999
rm_mistral_7b,qwen35_9b,2.0,35.6,0.47004912214726674,0.4718742172059077,0.4021866159887651,29274.798499999997,26072.8825,0.058549596999999995,0.052145765,0.41149952514726673,0.41972845220590765,0.008228927058640933,9.964218802939936,11.849374425101262
rm_mistral_7b,qwen35_9b,5.0,17.2,0.41977258775027304,0.4158275252537759,-0.8797998028663473,14142.752499999999,11460.229,0.07071376250000001,0.057301145,0.34905882525027304,0.3585263802537759,0.00946755500350287,17.509933158318212,12.090862662984804
rm_mistral_7b,qwen35_9b,10.0,9.0,0.36918765301235706,0.37456649701097583,1.5391546772785052,7450.545999999999,6377.370000000001,0.07450546,0.0637737,0.29468219301235704,0.3107927970109758,0.01611060399861878,11.9386257094263,18.035248712246045
