price,method,train_selected_fixed,test_oracle_fixed,mean_profit,baseline_profit,delta_profit,delta_ci_low,delta_ci_high,relative_profit_percent,quality,baseline_quality,cost,baseline_cost,samples,delta_vs_test_oracle
2e-08,dmrl_doubling,fixed_494,fixed_505,0.6025304934407661,0.6121064882798778,-0.009575994839111496,-0.02246804988451275,-0.0006625051658189704,-1.5644328270431593,0.6163374129407662,0.6259760827298777,0.0138069195,0.01386959445,490.61,-0.011071870664590477
2e-08,dmrl_sequential,fixed_494,fixed_505,0.5975304059560524,0.6121064882798778,-0.014576082323825209,-0.02964748211778519,-0.004185399451987882,-2.381298450991175,0.6107976928060525,0.6259760827298777,0.013267286849999999,0.01386959445,476.6075,-0.016071958149304177
1e-07,dmrl_doubling,fixed_336,fixed_437,0.5474468870762736,0.5542339842433056,-0.0067870971670320746,-0.022284390932732438,0.009150262338433841,-1.2245905808714497,0.6119280383262736,0.6013852734933056,0.06448115125,0.04715128925,474.93,-0.011304684836369705
1e-07,dmrl_sequential,fixed_336,fixed_437,0.542102903116283,0.5542339842433056,-0.0121310811270227,-0.027438711869880793,0.0002679220813203506,-2.188801385679234,0.598072536366283,0.6013852734933056,0.05596963324999999,0.04715128925,433.855,-0.0166486687963604
2e-07,dmrl_doubling,fixed_202,fixed_201,0.4915188370455113,0.515441925647384,-0.023923088601872734,-0.03999186076108151,-0.005687432925045289,-4.641277205346819,0.6023005260455113,0.572139547147384,0.110781689,0.056697621499999996,441.33,-0.024152258531377313
2e-07,dmrl_sequential,fixed_202,fixed_201,0.49954346706442165,0.515441925647384,-0.01589845858296228,-0.028665186839845546,-0.002042185490406742,-3.0844325600782585,0.5810917000644218,0.572139547147384,0.081548233,0.056697621499999996,366.25,-0.016127628512466963
1e-06,dmrl_doubling,fixed_41,fixed_41,0.32329769838595923,0.41273585761162934,-0.08943815922567015,-0.1242609191768873,-0.053279436649402864,-21.669587843232286,0.5563521333859591,0.4702091026116293,0.233054435,0.057473244999999985,258.25,-0.08943815922567011
1e-06,dmrl_sequential,fixed_41,fixed_41,0.3824667376220715,0.41273585761162934,-0.030269119989557863,-0.051383195145163686,-0.004492118655107517,-7.333775205458425,0.5280822001220714,0.4702091026116293,0.1456154625,0.057473244999999985,184.23,-0.030269119989557836
2e-06,dmrl_doubling,fixed_20,fixed_24,0.25325074060066655,0.3688702046870141,-0.1156194640863476,-0.15028429308383465,-0.07629349501835646,-31.344213389219274,0.5273346906006665,0.42496099968701406,0.27408395,0.056090795,179.95,-0.11773993723174203
2e-06,dmrl_sequential,fixed_20,fixed_24,0.3275812561378433,0.3688702046870141,-0.0412889485491708,-0.06510896551487091,-0.013900839159432916,-11.193354200078161,0.4985800911378433,0.42496099968701406,0.17099883500000002,0.056090795,125.0175,-0.0434094216945653
1e-05,dmrl_doubling,fixed_6,fixed_5,0.051736276926144326,0.2650982848816836,-0.21336200795553925,-0.25153707060309816,-0.1766942756051928,-80.48411480699137,0.4488499769261443,0.3499873848816836,0.39711370000000007,0.08488910000000001,61.84,-0.21365684505640212
1e-05,dmrl_sequential,fixed_6,fixed_5,0.17111147671908625,0.2650982848816836,-0.09398680816259734,-0.11635204113345171,-0.0714105453289939,-35.45357081602574,0.4215866517190863,0.3499873848816836,0.250475175,0.08488910000000001,36.76,-0.0942816452634602
