method,target_accuracy,splits,train_accuracy_mean,train_accuracy_ci_low,train_accuracy_ci_high,train_predicted_accuracy_mean,train_predicted_accuracy_ci_low,train_predicted_accuracy_ci_high,selection_accuracy_mean,selection_accuracy_ci_low,selection_accuracy_ci_high,train_chars_mean,train_chars_ci_low,train_chars_ci_high,adaptive_accuracy_mean,adaptive_accuracy_ci_low,adaptive_accuracy_ci_high,adaptive_predicted_accuracy_mean,adaptive_predicted_accuracy_ci_low,adaptive_predicted_accuracy_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high,target_error_pp_mean,target_error_pp_ci_low,target_error_pp_ci_high,train_fixed_n_mean,train_fixed_n_ci_low,train_fixed_n_ci_high,train_fixed_train_accuracy_mean,train_fixed_train_accuracy_ci_low,train_fixed_train_accuracy_ci_high,train_fixed_test_accuracy_mean,train_fixed_test_accuracy_ci_low,train_fixed_test_accuracy_ci_high,train_fixed_test_chars_mean,train_fixed_test_chars_ci_low,train_fixed_test_chars_ci_high,saving_vs_train_fixed_pct_mean,saving_vs_train_fixed_pct_ci_low,saving_vs_train_fixed_pct_ci_high,oracle_fixed_n_mean,oracle_fixed_n_ci_low,oracle_fixed_n_ci_high,oracle_fixed_accuracy_mean,oracle_fixed_accuracy_ci_low,oracle_fixed_accuracy_ci_high,oracle_fixed_chars_mean,oracle_fixed_chars_ci_low,oracle_fixed_chars_ci_high,oracle_accuracy_overshoot_pp_mean,oracle_accuracy_overshoot_pp_ci_low,oracle_accuracy_overshoot_pp_ci_high,saving_vs_oracle_fixed_pct_mean,saving_vs_oracle_fixed_pct_ci_low,saving_vs_oracle_fixed_pct_ci_high,matched_fixed_n_low_mean,matched_fixed_n_low_ci_low,matched_fixed_n_low_ci_high,matched_fixed_n_high_mean,matched_fixed_n_high_ci_low,matched_fixed_n_high_ci_high,matched_fixed_high_weight_mean,matched_fixed_high_weight_ci_low,matched_fixed_high_weight_ci_high,matched_fixed_expected_n_mean,matched_fixed_expected_n_ci_low,matched_fixed_expected_n_ci_high,matched_fixed_accuracy_mean,matched_fixed_accuracy_ci_low,matched_fixed_accuracy_ci_high,matched_fixed_chars_mean,matched_fixed_chars_ci_low,matched_fixed_chars_ci_high,matched_accuracy_error_pp_mean,matched_accuracy_error_pp_ci_low,matched_accuracy_error_pp_ci_high,saving_vs_matched_fixed_pct_mean,saving_vs_matched_fixed_pct_ci_low,saving_vs_matched_fixed_pct_ci_high,equal_quality_fixed_n_low_mean,equal_quality_fixed_n_low_ci_low,equal_quality_fixed_n_low_ci_high,equal_quality_fixed_n_high_mean,equal_quality_fixed_n_high_ci_low,equal_quality_fixed_n_high_ci_high,equal_quality_fixed_high_weight_mean,equal_quality_fixed_high_weight_ci_low,equal_quality_fixed_high_weight_ci_high,equal_quality_fixed_expected_n_mean,equal_quality_fixed_expected_n_ci_low,equal_quality_fixed_expected_n_ci_high,equal_quality_fixed_accuracy_mean,equal_quality_fixed_accuracy_ci_low,equal_quality_fixed_accuracy_ci_high,equal_quality_fixed_chars_mean,equal_quality_fixed_chars_ci_low,equal_quality_fixed_chars_ci_high,equal_quality_accuracy_error_pp_mean,equal_quality_accuracy_error_pp_ci_low,equal_quality_accuracy_error_pp_ci_high,saving_vs_equal_quality_fixed_pct_mean,saving_vs_equal_quality_fixed_pct_ci_low,saving_vs_equal_quality_fixed_pct_ci_high,adaptive_target_hit_fraction,train_target_reached_fraction,train_fixed_test_target_hit_fraction,oracle_target_reached_fraction,matched_target_reached_fraction,equal_quality_target_reached_fraction,aggregate_saving_vs_train_fixed_pct,aggregate_saving_vs_train_fixed_ci_low,aggregate_saving_vs_train_fixed_ci_high,characters_saved_vs_train_fixed_mean,characters_saved_vs_train_fixed_ci_low,characters_saved_vs_train_fixed_ci_high,aggregate_saving_vs_oracle_fixed_pct,aggregate_saving_vs_oracle_fixed_ci_low,aggregate_saving_vs_oracle_fixed_ci_high,characters_saved_vs_oracle_fixed_mean,characters_saved_vs_oracle_fixed_ci_low,characters_saved_vs_oracle_fixed_ci_high,aggregate_saving_vs_matched_fixed_pct,aggregate_saving_vs_matched_fixed_ci_low,aggregate_saving_vs_matched_fixed_ci_high,characters_saved_vs_matched_fixed_mean,characters_saved_vs_matched_fixed_ci_low,characters_saved_vs_matched_fixed_ci_high,aggregate_saving_vs_equal_quality_fixed_pct,aggregate_saving_vs_equal_quality_fixed_ci_low,aggregate_saving_vs_equal_quality_fixed_ci_high,characters_saved_vs_equal_quality_fixed_mean,characters_saved_vs_equal_quality_fixed_ci_low,characters_saved_vs_equal_quality_fixed_ci_high
train_selected_ucb,0.25,10,0.2602134146341463,0.234649395945382,0.28577743332291067,0.258150384062718,0.22550108885344233,0.2907996792719937,0.2619047619047619,0.2619047619047619,0.2619047619047619,2950.257012195122,2683.0419546666103,3217.472069723634,0.26021825396825393,0.24117908226899434,0.27925742566751355,0.2497923580595116,0.20858752470833813,0.2909971914106851,2967.0445932539687,2712.816981732295,3221.2722047756424,6.306498015873015,5.651528209696757,6.961467822049274,1.021825396825396,-0.8820917731005633,2.9257425667513557,13.0,1.9023571105063937,24.097642889493606,0.2539035202265381,0.25163739750445646,0.25616964294861977,0.26547254278287596,0.2142569360121898,0.3166881495535621,6455.944842819941,1133.038658407434,11778.85102723245,17.158428172345882,-23.061369388321676,57.37822573301344,8.9,7.919731896120778,9.880268103879223,0.2636138853024129,0.24408499204572948,0.28314277855909636,4507.781682477679,4019.539273143296,4996.024091812062,0.3395631334158953,0.19805139061391003,0.48107487621788053,33.41732821859917,27.494632290720233,39.3400241464781,7.9,6.919731896120778,8.880268103879223,8.9,7.919731896120778,9.880268103879223,0.3927532527282571,0.19168911821025472,0.5938173872462595,8.292753252728257,7.346319011036337,9.239187494420177,0.26021825396825393,0.24117908226899434,0.27925742566751355,4198.395211093588,3740.353233461102,4656.437188726074,5.551115123125783e-16,-7.006379714170644e-16,1.810860996042221e-15,28.50934884022275,22.00718009412931,35.01151758631619,8.0,8.0,8.0,9.0,9.0,9.0,0.15789670135934483,0.15789670135934483,0.15789670135934483,8.157896701359345,8.157896701359345,8.157896701359345,0.26021825396825393,0.2411868201833172,0.2792496877531907,4135.821151812653,3957.6361718716785,4314.006131753627,-4.451994328746878e-15,-0.5618117967975069,0.561811796797498,28.10023641482723,21.52322196446335,34.67725086519111,0.5,1.0,0.6,1.0,1.0,1.0,54.04166755616254,8.061959184665042,74.70980924373526,3488.9002495659724,-1905.780161465129,8883.580660597074,34.17949665159587,29.272385691440974,39.13783746668196,1540.7370892237104,1141.7469653453363,1939.7272131020845,29.329078277003845,23.910803624843226,34.525217126559866,1231.3506178396199,858.757123852982,1603.9441118262578,28.259842862074223,22.771166101490735,33.289809635677834,1168.7765585586847,886.8653163859178,1450.6878007314515
train_selected_ucb,0.3,10,0.2861280487804878,0.2556896550466333,0.3165664425143423,0.2976209875326313,0.2604996876687628,0.33474228739649975,0.30773809523809526,0.30773809523809526,0.30773809523809526,7019.537957317074,6133.423846417267,7905.652068216881,0.2952876984126984,0.2721688616658686,0.3184065351595282,0.29257019783516247,0.24749828428587733,0.3376421113844476,7333.732787698413,6286.690428457726,8380.7751469391,15.701091269841267,13.092881505092555,18.30930103458998,-0.47123015873015817,-2.7831138334131382,1.840653515952822,58.1,6.4361844442364315,109.76381555576357,0.3010724448275653,0.3002397000044751,0.3019051896506555,0.3098717300082698,0.2592947634385857,0.36044869657795386,28654.36732700893,3648.913176575039,53659.82147744282,25.43708039563441,-19.33278284176138,70.20694363303019,20.5,15.518115628437746,25.481884371562252,0.2964883314193528,0.273435482057179,0.31954118078152666,10299.523976934524,8074.898000112369,12524.14995375668,0.12006330066543669,0.08055911532036539,0.159567486010508,25.97080725123165,15.126529082756878,36.81508541970642,19.5,14.518115628437746,24.481884371562252,20.5,15.518115628437746,25.481884371562252,0.4226742130561837,0.27489340072408963,0.5704550253882777,19.922674213056187,14.890839166190567,24.954509259921807,0.2952876984126984,0.2721688616658686,0.3184065351595282,10004.672556395733,7758.0435498526385,12251.301562938828,5.551115123125783e-16,-7.006379714170644e-16,1.810860996042221e-15,23.55211513493517,12.197593519392825,34.90663675047752,18.0,18.0,18.0,19.0,19.0,19.0,0.6025143095138101,0.60251430951381,0.6025143095138102,18.602514309513815,18.60251430951381,18.60251430951382,0.2952876984126985,0.27245673631245104,0.3181186605129459,9430.944638630306,9024.628064587381,9837.261212673231,3.3084646133829666e-15,-0.9157723205533912,0.9157723205533979,21.98201143397778,9.918648645622962,34.0453742223326,0.3,1.0,0.6,1.0,1.0,1.0,74.40623028244002,27.04106882800456,86.18550392357432,21320.63453931051,-3976.6335719956514,46617.90265061667,28.79542002016707,18.86440367698935,37.00446900986657,2965.7911892361108,1302.391880721315,4629.190497750907,26.69692339895579,16.200820918888642,35.2584251946454,2670.9397686973216,997.339859658108,4344.539677736535,22.237558710094177,12.14849891756677,31.167684062953132,2097.2118509318934,984.3109985452622,3210.112703318525
train_selected_ucb,0.35,10,0.3285060975609756,0.2955331314080428,0.36147906371390837,0.347117457074969,0.3048014876816027,0.3894334264683353,0.3511904761904762,0.3511904761904762,0.3511904761904762,37411.220579268294,29788.69468902504,45033.74646951155,0.34618055555555555,0.32475167587073817,0.36760943524037293,0.34581952092328894,0.2962746170756162,0.3953644247709617,38823.0101686508,30779.73091429411,46866.28942300749,86.00595238095238,65.99759167936776,106.014313082537,-0.38194444444444253,-2.5248324129261785,1.7609435240372937,170.6,52.89959591468548,288.30040408531454,0.3470447677666132,0.3396693593270387,0.3544201762061877,0.35266754150484236,0.3069782502449778,0.3983568327647069,84708.06374162948,27754.530663504374,141661.59681975457,-12.02235947596522,-88.92400648217847,64.87928753024804,126.8,26.59168612087528,227.00831387912473,0.3460449449017665,0.3244507793567098,0.36763911044682324,63174.54806547619,14500.30311512803,111848.79301582435,-0.013561065378895343,-0.0891750301223623,0.06205289936457162,-1.1078670852052948,-49.51911219510628,47.3033780246957,125.9,25.473667874920523,226.3263321250795,126.8,26.59168612087528,227.00831387912473,0.579281785842295,0.3597182306565291,0.7988453410280608,126.47928178584232,26.205231781372348,226.7533317903123,0.34586969821379615,0.32431549613577904,0.36742390029181327,63011.49905648434,14305.063304082752,111717.93480888593,-0.031085734175939628,-0.10140655040288102,0.03923508205100176,-1.6541315791641995,-50.49473204498499,47.18646888665659,77.0,77.0,77.0,78.0,78.0,78.0,0.4506229947612767,0.4506229947612767,0.4506229947612767,77.45062299476126,77.45062299476126,77.45062299476126,0.34618055555555555,0.31677046558340805,0.37559064552770305,39265.25874609642,37573.58033805309,40956.93715413975,-3.2862601528904635e-15,-1.6300286596580564,1.6300286596580498,0.7790976788673554,-20.958727320151,22.51692267788571,0.3,1.0,0.4,0.9,0.9,1.0,54.16845993899,0.8292100107889336,73.57684234148626,45885.05357297867,-14359.138139811388,106129.24528576873,38.546437833772316,-10.675850335437715,65.83470676069524,24351.5378968254,-24992.04658017335,73695.12237382415,38.387420153503506,-11.00752629737848,65.89877906928956,24188.488887833548,-25188.336348896453,73565.31412456355,1.1263101061051537,-16.924224191859295,17.1497188356453,442.2485774456287,-7757.124511571172,8641.62166646243
