split,fold,mixture,problem_id,n,predicted,correct,brier
0,0,0.0,2786,10,0.670231502999955,0.6013945498098914,0.17422022229210976
0,0,0.0,2786,16,0.7581138886615928,0.7083414689780367,0.14051446754960326
0,0,0.0,2786,32,0.8691871336883574,0.8669060534654383,0.07494880795652528
0,0,0.0,2786,64,0.9479304264682509,0.9686388731950011,0.02069119128371821
0,0,0.0,2786,128,0.9823453668726083,0.9986027705616249,0.0015602609426750038
0,0,0.0,2786,256,0.9927011213632604,0.9999997333881151,9.650920083727581e-05
0,0,0.0,2786,512,0.9951690821256038,1.0,2.333776750916028e-05
0,0,0.0,2833,10,0.36819570273140023,0.015743551458797356,0.1650196027507328
0,0,0.0,2833,16,0.43791082709677254,0.02176991314930876,0.21216138379093047
0,0,0.0,2833,32,0.5198574312318485,0.029244506762974576,0.2751562869781854
0,0,0.0,2833,64,0.5610371702618745,0.02530336762046201,0.31282342674602637
0,0,0.0,2833,128,0.573848242792574,0.007762139702752399,0.3284697550325056
0,0,0.0,2833,256,0.5813039427752322,0.00010955581588037211,0.33799788074048426
0,0,0.0,2833,512,0.5870020964360587,0.0,0.344571461220328
0,0,0.0,2877,10,0.6457933850370995,0.20813551183471357,0.3544840051897287
0,0,0.0,2877,16,0.6720946205640898,0.24103558339852627,0.3683222352509531
0,0,0.0,2877,32,0.7016909053122695,0.2997941068294314,0.375452943731575
0,0,0.0,2877,64,0.7166727431923092,0.3572388277285026,0.3706315352046049
0,0,0.0,2877,128,0.7305263683755784,0.3538895118906154,0.3921278327838057
0,0,0.0,2877,256,0.751246006711899,0.20602519162316674,0.4821620100885592
0,0,0.0,2877,512,0.7677824267782427,0.0,0.5894898548694877
0,0,0.0,2879,10,0.2784102465212439,0.011468772339135022,0.0990505492366846
0,0,0.0,2879,16,0.32329797628295376,0.008582215003980851,0.12144224899237388
0,0,0.0,2879,32,0.38032650759865805,0.0029372625802092794,0.15173220872212118
0,0,0.0,2879,64,0.4102955715431814,0.00018758748940239742,0.16915935373088817
0,0,0.0,2879,128,0.4159088521379148,1.7318482970106533e-07,0.17299175106256126
0,0,0.0,2879,256,0.41607393594149233,3.820859759698802e-16,0.17311752183758994
0,0,0.0,2879,512,0.41607396870554775,0.0,0.17311754743438512
0,0,0.0,3094,10,0.6120467199849606,0.9999999999961702,0.15455673406835943
0,0,0.0,3094,16,0.6327622898179183,1.0,0.139404366900725
0,0,0.0,3094,32,0.6691441374700222,1.0,0.11315691956947913
0,0,0.0,3094,64,0.7003285562985331,1.0,0.09142068886835697
0,0,0.0,3094,128,0.7175700369707265,0.9999999999999999,0.08065831784621677
0,0,0.0,3094,256,0.7346444792854407,0.9999999999999999,0.07151169606254473
0,0,0.0,3094,512,0.7677824267782427,1.0,0.05392500131300221
0,0,0.0,3141,10,0.5265840265523795,0.5726351470557826,0.20913109474598376
0,0,0.0,3141,16,0.5603442316123709,0.6915846212088157,0.2076306819799668
0,0,0.0,3141,32,0.5915710569755495,0.8347689227141833,0.18746211403625637
0,0,0.0,3141,64,0.616641906447905,0.9339052667340508,0.1585305063487776
0,0,0.0,3141,128,0.6487416449035506,0.9895233405921832,0.12785505588435625
0,0,0.0,3141,256,0.6843237315900799,0.9999371670318516,0.10106746475675357
0,0,0.0,3141,512,0.701507049100632,1.0,0.08909804173661252
