split,group,map,problem_id,n,predicted,correct,brier
0,calibration,original,2728,10,0.6730165380698716,0.9999999999999364,0.11587730556971548
0,calibration,original,2728,16,0.7082513085311406,0.9999999999999997,0.09120509253014038
0,calibration,original,2728,32,0.7436205995701857,0.9999999999999999,0.06714817568960511
0,calibration,original,2728,64,0.753245809256913,0.9999999999999999,0.06094848616985467
0,calibration,original,2728,128,0.7537823968169088,1.0,0.06062321312514697
0,calibration,original,2728,256,0.7537834691500944,1.0,0.06062258006377026
0,calibration,original,2728,512,0.7537834691501746,1.0,0.060622580063723036
0,calibration,original,2779,10,0.9817250532705668,0.9652557701078885,0.027982854725318976
0,calibration,original,2779,16,0.9954301029109,0.9899423634390865,0.008549378979031314
0,calibration,original,2779,32,0.9997714558722323,0.9995985509897714,0.0003624136646330332
0,calibration,original,2779,64,0.9999978029412337,0.9999993749725756,6.186824549814951e-07
0,calibration,original,2779,128,0.999999999856104,0.9999999999995757,1.606188940848286e-12
0,calibration,original,2779,256,1.0,1.0,6.1792818480536894e-24
0,calibration,original,2779,512,1.0,1.0,0.0
0,calibration,original,2786,10,0.6267672789542305,0.6013945498098914,0.17113759380842886
0,calibration,original,2786,16,0.7166323728728138,0.7083414689780367,0.1384863184118298
0,calibration,original,2786,32,0.8265259686156485,0.8669060534654383,0.07664992714749355
0,calibration,original,2786,64,0.9047178722262466,0.9686388731950011,0.02481242874674386
0,calibration,original,2786,128,0.9461026784154973,0.9986027705616249,0.005297051494030018
0,calibration,original,2786,256,0.9736452460237378,0.9999997333881151,0.0016885049220597805
0,calibration,original,2786,512,0.9917355371900827,1.0,6.830134553650662e-05
0,calibration,original,2810,10,0.4378103177360005,0.03675392690952292,0.20984225685721145
0,calibration,original,2810,16,0.49165671059295313,0.052113873366624514,0.24832700221402154
0,calibration,original,2810,32,0.537619612291282,0.0830927459693657,0.28480979255265104
0,calibration,original,2810,64,0.5547935597433734,0.10599971288534893,0.3006907039350022
0,calibration,original,2810,128,0.5697905033730768,0.0779505942978858,0.32082068730167723
0,calibration,original,2810,256,0.5987784718188919,0.011473691712835054,0.3609603331999988
0,calibration,original,2810,512,0.6567528035104827,0.0,0.4313242449188787
0,calibration,original,2811,10,0.6202522594743356,0.9904618671361125,0.14552330854674497
0,calibration,original,2811,16,0.6403281826576825,0.9988473178601919,0.13076489385644527
0,calibration,original,2811,32,0.6544144032302375,0.9999833328748502,0.1196480033311732
0,calibration,original,2811,64,0.6567100353573021,0.99999999673723,0.11785165042540194
0,calibration,original,2811,128,0.6567527960855024,1.0,0.11781864336692252
0,calibration,original,2811,256,0.6567528035104827,1.0,0.1178186378979133
0,calibration,original,2811,512,0.6567528035104827,1.0,0.11781863789791329
0,calibration,original,2817,10,0.7342363377231524,0.9996266800838876,0.07211140468508193
0,calibration,original,2817,16,0.7468997541208644,0.9999970840050767,0.06468485162070318
0,calibration,original,2817,32,0.7533429584360803,0.9999999999955682,0.06088224612192422
0,calibration,original,2817,64,0.7537821389928314,0.9999999999999999,0.06062336414322838
0,calibration,original,2817,128,0.753783469147493,1.0,0.06062258006530384
0,calibration,original,2817,256,0.7537834691501745,0.9999999999999999,0.060622580063723036
0,calibration,original,2817,512,0.7537834691501746,1.0,0.060622580063723036
0,calibration,original,2828,10,0.6238300986400658,0.776324828341282,0.21467715713543833
0,calibration,original,2828,16,0.6445594063047784,0.7585574693332027,0.2118951422693685
0,calibration,original,2828,32,0.6657829541372074,0.7571253434635141,0.21168099225304388
0,calibration,original,2828,64,0.6794612578935334,0.7253834116905187,0.23603019203731804
0,calibration,original,2828,128,0.6992393113083231,0.5597791841144317,0.3157591042580561
0,calibration,original,2828,256,0.7295732737116996,0.24951012247360013,0.45581733712593814
0,calibration,original,2828,512,0.7537834691501746,0.0,0.5681895183640722
0,calibration,original,2833,10,0.32631712775337607,0.015743551458797356,0.1369458465578014
0,calibration,original,2833,16,0.395956329331442,0.02176991314930876,0.18059750942633618
0,calibration,original,2833,32,0.4844396530325248,0.029244506762974576,0.24349739261090333
0,calibration,original,2833,64,0.5331188590455972,0.02530336762046201,0.28402132928569257
0,calibration,original,2833,128,0.5473554628190941,0.007762139702752399,0.2990862733619935
0,calibration,original,2833,256,0.5528969028110214,0.00010955581588037211,0.3057346869665398
0,calibration,original,2833,512,0.5569176882661997,0.0,0.31015731150376796
0,calibration,original,2837,10,0.6716262377935435,0.23696161350221046,0.3506318725858808
0,calibration,original,2837,16,0.6978033130055237,0.2921551428871413,0.3432428444857636
0,calibration,original,2837,32,0.7306703380402314,0.44102245792198175,0.3004148036399209
