split,price,method,predicted,correct,brier
0,1e-06,selected_map_frozen,0.5845890641212463,0.5872584541062802,0.1986183077096939
0,1e-06,selected_map_proxy_tuned,0.5822709202766418,0.5884661835748792,0.19841907918453217
0,1e-06,selected_map_observed_tuned,0.6103515028953552,0.6020531400966184,0.2042011171579361
0,1.25e-06,selected_map_frozen,0.5771786570549011,0.5866545893719807,0.19843019545078278
0,1.25e-06,selected_map_proxy_tuned,0.5791810750961304,0.5884661835748792,0.1983455866575241
0,1.25e-06,selected_map_observed_tuned,0.6115197539329529,0.6017512077294686,0.20487448573112488
0,1.5e-06,selected_map_frozen,0.5605976581573486,0.5785024154589372,0.19886860251426697
0,1.5e-06,selected_map_proxy_tuned,0.5764735341072083,0.5872584541062802,0.1981370896100998
0,1.5e-06,selected_map_observed_tuned,0.6108621954917908,0.6026570048309179,0.2046235352754593
0,1.75e-06,selected_map_frozen,0.5605976581573486,0.5785024154589372,0.19886860251426697
0,1.75e-06,selected_map_proxy_tuned,0.5605976581573486,0.5785024154589372,0.19886860251426697
0,1.75e-06,selected_map_observed_tuned,0.5578181147575378,0.5782004830917874,0.19892336428165436
0,2e-06,selected_map_frozen,0.5497385263442993,0.5785024154589372,0.1972428411245346
0,2e-06,selected_map_proxy_tuned,0.5603858828544617,0.5782004830917874,0.19860972464084625
0,2e-06,selected_map_observed_tuned,0.5578181147575378,0.5782004830917874,0.19892336428165436
0,2.25e-06,selected_map_frozen,0.5497385263442993,0.5785024154589372,0.1972428411245346
0,2.25e-06,selected_map_proxy_tuned,0.5475203394889832,0.5788043478260869,0.19699141383171082
0,2.25e-06,selected_map_observed_tuned,0.5578181147575378,0.5782004830917874,0.19892336428165436
0,2.5e-06,selected_map_frozen,0.5475203394889832,0.5788043478260869,0.19699141383171082
0,2.5e-06,selected_map_proxy_tuned,0.5475203394889832,0.5788043478260869,0.19699141383171082
0,2.5e-06,selected_map_observed_tuned,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,2.75e-06,selected_map_frozen,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,2.75e-06,selected_map_proxy_tuned,0.5475203394889832,0.5788043478260869,0.19699141383171082
0,2.75e-06,selected_map_observed_tuned,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,3e-06,selected_map_frozen,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,3e-06,selected_map_proxy_tuned,0.5475203394889832,0.5788043478260869,0.19699141383171082
0,3e-06,selected_map_observed_tuned,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,3.25e-06,selected_map_frozen,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,3.25e-06,selected_map_proxy_tuned,0.5475203394889832,0.5788043478260869,0.19699141383171082
0,3.25e-06,selected_map_observed_tuned,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,3.5e-06,selected_map_frozen,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,3.5e-06,selected_map_proxy_tuned,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,3.5e-06,selected_map_observed_tuned,0.528982937335968,0.561292270531401,0.19768072664737701
0,3.75e-06,selected_map_frozen,0.5296727418899536,0.561292270531401,0.19759111106395721
0,3.75e-06,selected_map_proxy_tuned,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,3.75e-06,selected_map_observed_tuned,0.528982937335968,0.561292270531401,0.19768072664737701
0,4e-06,selected_map_frozen,0.5296727418899536,0.561292270531401,0.19759111106395721
0,4e-06,selected_map_proxy_tuned,0.5437577962875366,0.5745772946859904,0.19685940444469452
0,4e-06,selected_map_observed_tuned,0.5063861608505249,0.5467995169082126,0.1930423378944397
0,4.25e-06,selected_map_frozen,0.5296727418899536,0.561292270531401,0.19759111106395721
0,4.25e-06,selected_map_proxy_tuned,0.5319538116455078,0.5625,0.19786186516284943
0,4.25e-06,selected_map_observed_tuned,0.5151464343070984,0.5528381642512077,0.19579444825649261
0,4.5e-06,selected_map_frozen,0.5296727418899536,0.561292270531401,0.19759111106395721
0,4.5e-06,selected_map_proxy_tuned,0.5319538116455078,0.5625,0.19786186516284943
0,4.5e-06,selected_map_observed_tuned,0.5058375597000122,0.5458937198067633,0.19290758669376373
0,4.75e-06,selected_map_frozen,0.5296727418899536,0.561292270531401,0.19759111106395721
0,4.75e-06,selected_map_proxy_tuned,0.5174436569213867,0.5531400966183575,0.1973486989736557
0,4.75e-06,selected_map_observed_tuned,0.514774739742279,0.5513285024154589,0.19608812034130096
0,5e-06,selected_map_frozen,0.5174436569213867,0.5531400966183575,0.1973486989736557
0,5e-06,selected_map_proxy_tuned,0.5174436569213867,0.5531400966183575,0.1973486989736557
0,5e-06,selected_map_observed_tuned,0.5135214328765869,0.5501207729468599,0.1959676742553711
0,5.25e-06,selected_map_frozen,0.5157767534255981,0.5516304347826086,0.1967564821243286
0,5.25e-06,selected_map_proxy_tuned,0.5174436569213867,0.5531400966183575,0.1973486989736557
0,5.25e-06,selected_map_observed_tuned,0.5030536651611328,0.5422705314009661,0.1940658539533615
0,5.5e-06,selected_map_frozen,0.5157767534255981,0.5516304347826086,0.1967564821243286
0,5.5e-06,selected_map_proxy_tuned,0.5174436569213867,0.5531400966183575,0.1973486989736557
0,5.5e-06,selected_map_observed_tuned,0.5030536651611328,0.5422705314009661,0.1940658539533615
0,5.75e-06,selected_map_frozen,0.5157767534255981,0.5516304347826086,0.1967564821243286
0,5.75e-06,selected_map_proxy_tuned,0.5157767534255981,0.5516304347826086,0.1967564821243286
0,5.75e-06,selected_map_observed_tuned,0.5030536651611328,0.5422705314009661,0.1940658539533615
0,6e-06,selected_map_frozen,0.5157767534255981,0.5516304347826086,0.1967564821243286
0,6e-06,selected_map_proxy_tuned,0.5136653184890747,0.5498188405797102,0.1964806467294693
0,6e-06,selected_map_observed_tuned,0.5030536651611328,0.5422705314009661,0.1940658539533615
