generator,reward_model,split_seed,price_per_million,policy,gain_factor,cost_beta,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent,mean_cost_discount
gemma3_4b,fsfairx_llama3_rm,71,2.0,current_beta0,1.0,0.0,40,0.4100723186262353,0.4705648077277045,23398.95,56.58,0.4237669077277045,3.339554629619191,1.0
gemma3_4b,fsfairx_llama3_rm,71,2.0,current_beta1,1.0,1.0,40,0.4100723186262353,0.47078498617232917,23802.52,57.4225,0.4231799461723292,3.1964185219829453,0.9818606191652617
gemma3_4b,fsfairx_llama3_rm,71,2.0,current_beta2,1.0,2.0,40,0.4100723186262353,0.47270707191979433,24159.0,58.19,0.42438907191979436,3.491275232017852,0.9649478314137281
gemma3_4b,fsfairx_llama3_rm,71,2.0,top2_factor4_beta0,4.0,0.0,40,0.4100723186262353,0.5415962975687898,113809.49,230.135,0.31397731756878977,-23.433671743405903,1.0
gemma3_4b,fsfairx_llama3_rm,71,2.0,top2_factor4_beta2,4.0,2.0,40,0.4100723186262353,0.5432794715253803,115916.1675,233.27,0.31144713652538025,-24.050680238855133,0.9831157956892933
gemma3_4b,fsfairx_llama3_rm,71,2.0,top2_factor1_beta2,1.0,2.0,40,0.4100723186262353,0.48334372164057077,37054.2275,85.095,0.40923526664057075,-0.20412301626910528,0.9707595550596321
gemma3_4b,fsfairx_llama3_rm,71,2.0,top2_factor0p25_beta2,0.25,2.0,40,0.4100723186262353,0.41052367849246224,11857.915,25.255,0.38680784849246225,-5.6732603194749345,0.9503623975087033
gemma3_4b,fsfairx_llama3_rm,71,5.0,current_beta0,1.0,0.0,16,0.35072130446525596,0.41072426163284814,10018.7275,25.0125,0.36063062413284813,2.8254113854591454,1.0
gemma3_4b,fsfairx_llama3_rm,71,5.0,current_beta1,1.0,1.0,16,0.35072130446525596,0.41229092201380724,10272.105,25.5425,0.36093039701380725,2.9108846307802922,0.973018972196462
gemma3_4b,fsfairx_llama3_rm,71,5.0,current_beta2,1.0,2.0,16,0.35072130446525596,0.41331255746830065,10496.5875,26.045,0.36082961996830065,2.8821504067044983,0.9487065216322048
gemma3_4b,fsfairx_llama3_rm,71,5.0,top2_factor4_beta0,4.0,0.0,16,0.35072130446525596,0.5012325538438734,53304.9075,122.0575,0.2347080163438734,-33.078483298374984,1.0
