reward_model,price_per_million,most_selected_model,model_selection_counts,fixed_n,adaptive_utility,fixed_utility,adaptive_output_tokens,fixed_output_tokens,adaptive_cost_dollars,fixed_cost_dollars,adaptive_profit,fixed_profit,profit_improvement_percent,direct_cost_saving_percent,matched_quality_cost_saving_percent
fsfairx_llama3_rm,0.02,ministral3_8b,"{""gemma3_4b"": 0, ""granite42_8b"": 2, ""ministral3_8b"": 3, ""qwen35_9b"": 0}",950.4,0.6406833526448782,0.6408819378354683,967191.8445,1021500.3495000001,0.01934383689,0.02043000699,0.6213395157548783,0.6204519308454683,0.14218938619160643,5.128111010601815,3.1982636962683153
fsfairx_llama3_rm,0.1,ministral3_8b,"{""gemma3_4b"": 0, ""granite42_8b"": 0, ""ministral3_8b"": 5, ""qwen35_9b"": 0}",425.8,0.609694042181252,0.6073259394179179,346084.1215,431007.80749999994,0.034608412150000004,0.043100780750000005,0.5750856300312519,0.5642251586679179,1.92607652801447,18.295520767070748,21.200541996991298
fsfairx_llama3_rm,0.2,ministral3_8b,"{""gemma3_4b"": 0, ""granite42_8b"": 0, ""ministral3_8b"": 5, ""qwen35_9b"": 0}",251.2,0.5828688048982535,0.582564501390609,199777.82749999998,254074.548,0.0399555655,0.0508149096,0.5429132393982535,0.531749591790609,2.0998743358904464,21.04583635130422,20.292084861357758
fsfairx_llama3_rm,1.0,qwen35_9b,"{""gemma3_4b"": 0, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 5}",66.4,0.5134695518457729,0.5033446324374339,48584.4715,54639.113,0.04858447149999999,0.054639113,0.464885080345773,0.44870551943743386,3.6052431926882926,9.982965857852786,24.277834456847177
fsfairx_llama3_rm,2.0,qwen35_9b,"{""gemma3_4b"": 1, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 4}",33.8,0.4738621275804369,0.4645783257222111,25976.239,27886.3145,0.05195247799999999,0.055772629,0.42190964958043686,0.408805696722211,3.206795762655463,5.930906477799767,19.83143615455868
fsfairx_llama3_rm,10.0,qwen35_9b,"{""gemma3_4b"": 2, ""granite42_8b"": 0, ""ministral3_8b"": 0, ""qwen35_9b"": 3}",10.0,0.37354024566479627,0.3747572404119951,6231.446500000001,8176.157000000001,0.062314465000000006,0.08176157,0.3112257806647962,0.2929956704119951,6.217884516674488,22.750037328954157,20.88902193386869
