reward_model,model,price_per_million,profit_improvement_percent,ci_low,ci_high,confidence,bootstrap_repetitions
armorm_llama3_8b,gemma3_4b,0.02,-0.027284511913225028,-0.05046419791875721,-0.006897346100604296,0.95,1000
armorm_llama3_8b,gemma3_4b,0.1,-0.017507097221565564,-0.036146550951639614,-0.00017955186349610477,0.95,1000
armorm_llama3_8b,gemma3_4b,0.2,0.0026940570335886407,-0.011687787539078176,0.01732757150832505,0.95,1000
armorm_llama3_8b,gemma3_4b,1.0,-0.21623071321942905,-0.256114250702808,-0.180954917402275,0.95,1000
armorm_llama3_8b,gemma3_4b,2.0,-0.6840339177164304,-0.7952322681482789,-0.5826157053639721,0.95,1000
armorm_llama3_8b,gemma3_4b,10.0,-4.671975039867997,-5.215590754062025,-4.176075793449882,0.95,1000
armorm_llama3_8b,granite42_8b,0.02,-0.10343823367115464,-0.12961362326581097,-0.07711651937559356,0.95,1000
armorm_llama3_8b,granite42_8b,0.1,-0.09248002820087056,-0.11814159686591842,-0.06550987183903777,0.95,1000
armorm_llama3_8b,granite42_8b,0.2,-0.0850128302658287,-0.11145283449848711,-0.05810494719181841,0.95,1000
armorm_llama3_8b,granite42_8b,1.0,-0.284326940714387,-0.343065481835131,-0.23413045073047908,0.95,1000
armorm_llama3_8b,granite42_8b,2.0,-0.9825840850312817,-1.1572284304964309,-0.8466368150486516,0.95,1000
armorm_llama3_8b,granite42_8b,10.0,-6.8313203330605266,-7.799026067982828,-6.031815735645989,0.95,1000
armorm_llama3_8b,ministral3_8b,0.02,-0.08929038677846102,-0.12704023154630215,-0.057871672735862814,0.95,1000
armorm_llama3_8b,ministral3_8b,0.1,-0.08177309459693147,-0.10794028764096224,-0.05764586124388464,0.95,1000
armorm_llama3_8b,ministral3_8b,0.2,-0.07139823132319376,-0.09763285679644246,-0.04705921287782943,0.95,1000
armorm_llama3_8b,ministral3_8b,1.0,-0.2335140319050244,-0.278875539390349,-0.19064280961629904,0.95,1000
armorm_llama3_8b,ministral3_8b,2.0,-0.7609268046422208,-0.897125854940734,-0.6435219445456225,0.95,1000
armorm_llama3_8b,ministral3_8b,10.0,-5.771720122652356,-6.609221764587365,-5.061551218411119,0.95,1000
armorm_llama3_8b,qwen35_9b,0.02,-0.05366469244338122,-0.07054971368197328,-0.0367997634735381,0.95,1000
armorm_llama3_8b,qwen35_9b,0.1,-0.027678176979296865,-0.043013613977583465,-0.00940573844679108,0.95,1000
armorm_llama3_8b,qwen35_9b,0.2,-0.0333405886830956,-0.0482245683793795,-0.0171488746522442,0.95,1000
armorm_llama3_8b,qwen35_9b,1.0,-0.20166173718054342,-0.2467483889071142,-0.16160363768156413,0.95,1000
armorm_llama3_8b,qwen35_9b,2.0,-0.6717872179874507,-0.7994971414864048,-0.5564799323947267,0.95,1000
armorm_llama3_8b,qwen35_9b,10.0,-4.723706309924276,-5.388725363791779,-4.138574005664817,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.02,-0.012286031920674251,-0.18242531751077806,0.09043541283161867,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.1,0.547458737102957,-0.32843372806904386,1.304370476674572,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.2,1.110623756746549,0.2744082495648722,1.973910251937035,0.95,1000
fsfairx_llama3_rm,gemma3_4b,1.0,3.6167919551228516,2.203075311231686,5.2376982260697025,0.95,1000
fsfairx_llama3_rm,gemma3_4b,2.0,3.2222809578440668,1.4471460974729167,5.274306608646403,0.95,1000
fsfairx_llama3_rm,gemma3_4b,10.0,4.6746883699254385,2.2826094442460465,7.095841712442039,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.02,-0.0850761531890882,-0.49542328317743906,0.20574295724257424,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.1,1.8310221168338034,0.48971293000885263,2.96497912760932,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.2,2.163325085416516,1.0907077574770019,3.3266215253829117,0.95,1000
fsfairx_llama3_rm,granite42_8b,1.0,3.0759029940378,1.5086257128943392,4.801023076767318,0.95,1000
fsfairx_llama3_rm,granite42_8b,2.0,4.460155426595114,2.505484785418512,6.514174687329538,0.95,1000
fsfairx_llama3_rm,granite42_8b,10.0,4.499781096739972,1.5692052404233678,7.736349283206634,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.02,0.13894831677186864,0.053330588461022635,0.2394964277136666,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.1,1.9260765280144618,1.389224954269403,2.4900744936499697,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.2,2.0998743358904504,1.3315932378954012,2.967955206899045,0.95,1000
fsfairx_llama3_rm,ministral3_8b,1.0,4.454169684751006,3.0393843406679766,6.293123532019339,0.95,1000
fsfairx_llama3_rm,ministral3_8b,2.0,6.130335737326092,4.20276254352248,8.407108556136157,0.95,1000
fsfairx_llama3_rm,ministral3_8b,10.0,6.973583218259859,4.280112903960605,10.083021524202744,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.02,0.04013597890270635,0.012308643398739482,0.08088831881194349,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.1,1.961642240623482,1.181102184081099,2.8107552229222614,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.2,2.868903344567659,1.9681114237760284,3.9182225348582267,0.95,1000
fsfairx_llama3_rm,qwen35_9b,1.0,3.6052431926882598,2.4239952067099835,4.817150095901314,0.95,1000
fsfairx_llama3_rm,qwen35_9b,2.0,2.9660604627568765,1.295910637922566,4.832206547243723,0.95,1000
fsfairx_llama3_rm,qwen35_9b,10.0,7.773821168139017,4.680658827015741,11.090335964698179,0.95,1000
rm_mistral_7b,gemma3_4b,0.02,-0.006976123892359794,-0.055538200073617525,0.028688414675886703,0.95,1000
rm_mistral_7b,gemma3_4b,0.1,0.6609206064590448,0.1743019015216896,1.0895468601821852,0.95,1000
rm_mistral_7b,gemma3_4b,0.2,1.4604159035164017,0.8171390533997138,2.151044059944763,0.95,1000
rm_mistral_7b,gemma3_4b,1.0,2.054334433821734,0.8399814839260531,3.405040951736359,0.95,1000
rm_mistral_7b,gemma3_4b,2.0,2.6251113119412297,1.1477606180686086,4.2805060710900475,0.95,1000
rm_mistral_7b,gemma3_4b,10.0,2.9321662271252413,0.9645157147619907,5.169735158744565,0.95,1000
rm_mistral_7b,granite42_8b,0.02,-0.2136947913748634,-0.7319775745872302,0.13525172930040244,0.95,1000
rm_mistral_7b,granite42_8b,0.1,0.02087216182202769,-1.2076696050808984,1.1536456941751203,0.95,1000
rm_mistral_7b,granite42_8b,0.2,0.6844910059590285,-0.3305717380476978,1.6895111445350997,0.95,1000
rm_mistral_7b,granite42_8b,1.0,2.205071371615936,0.7727751676342283,3.7353779844921657,0.95,1000
rm_mistral_7b,granite42_8b,2.0,2.7271986436403064,0.8522706181178054,4.522928732879395,0.95,1000
rm_mistral_7b,granite42_8b,10.0,4.143480391352514,0.8453306768267065,7.742021079627413,0.95,1000
rm_mistral_7b,ministral3_8b,0.02,-0.11944290162767157,-0.4271472791706628,0.14042017330741274,0.95,1000
rm_mistral_7b,ministral3_8b,0.1,1.2438275972130208,0.5058048146737155,2.0028048200053084,0.95,1000
rm_mistral_7b,ministral3_8b,0.2,2.020441930743104,1.0930011267145883,2.962434588343174,0.95,1000
rm_mistral_7b,ministral3_8b,1.0,3.6814134092081288,2.4868996744936744,4.960464834508156,0.95,1000
rm_mistral_7b,ministral3_8b,2.0,3.1286152363525117,0.8439825417773683,5.3014215847159685,0.95,1000
rm_mistral_7b,ministral3_8b,10.0,7.126925197485266,4.136548338630137,10.553676047129313,0.95,1000
rm_mistral_7b,qwen35_9b,0.02,0.009595829952735859,-0.10452964783098648,0.09110950933585903,0.95,1000
rm_mistral_7b,qwen35_9b,0.1,1.3934389584352924,0.6993576161618443,2.032989550583425,0.95,1000
rm_mistral_7b,qwen35_9b,0.2,1.7023030089142037,0.8812313908294785,2.651430247252021,0.95,1000
rm_mistral_7b,qwen35_9b,1.0,2.6960862266367562,1.6869701507058754,3.886095050952979,0.95,1000
rm_mistral_7b,qwen35_9b,2.0,1.9953108822417835,0.45585525418467054,3.6511063147239096,0.95,1000
rm_mistral_7b,qwen35_9b,10.0,5.460181257472556,2.469580234581716,8.477969836521211,0.95,1000
skywork_llama31_8b,gemma3_4b,0.02,-4.993623669541263,-6.108429554054782,-4.0170930907481885,0.95,1000
skywork_llama31_8b,gemma3_4b,0.1,-14.710876349985957,-17.23945573327259,-12.632864964597955,0.95,1000
skywork_llama31_8b,gemma3_4b,0.2,-21.517596952547404,-24.423170307448,-18.783952976063887,0.95,1000
skywork_llama31_8b,gemma3_4b,1.0,-35.463838451195414,-41.24244681931707,-29.925369828692084,0.95,1000
skywork_llama31_8b,gemma3_4b,2.0,-38.18461230640557,-45.50634166165872,-30.109029764619823,0.95,1000
skywork_llama31_8b,gemma3_4b,10.0,73.34902698588762,43.833857797453994,102.06534201806407,0.95,1000
skywork_llama31_8b,granite42_8b,0.02,-6.543365501540448,-8.114885621822797,-5.157061458555262,0.95,1000
skywork_llama31_8b,granite42_8b,0.1,-20.09984831585448,-23.01212252073059,-17.56321983292511,0.95,1000
skywork_llama31_8b,granite42_8b,0.2,-26.77590216967972,-30.495047009790515,-23.64384845419575,0.95,1000
skywork_llama31_8b,granite42_8b,1.0,-37.6949672999578,-43.12901679737666,-32.57080675813225,0.95,1000
skywork_llama31_8b,granite42_8b,2.0,-36.10498368200476,-43.00572898620891,-28.466316153967764,0.95,1000
skywork_llama31_8b,granite42_8b,10.0,340.3136527421867,186.5056510830387,510.9895820594556,0.95,1000
skywork_llama31_8b,ministral3_8b,0.02,-5.46664430085013,-6.6992269253027015,-4.296922637190337,0.95,1000
skywork_llama31_8b,ministral3_8b,0.1,-18.122150794332867,-21.37202466378651,-15.270220667450168,0.95,1000
skywork_llama31_8b,ministral3_8b,0.2,-25.769466692860796,-29.90362865640532,-22.00959130024945,0.95,1000
skywork_llama31_8b,ministral3_8b,1.0,-37.630527090908856,-43.28328482170511,-31.7626746220628,0.95,1000
skywork_llama31_8b,ministral3_8b,2.0,-41.91322709715271,-49.93826183940469,-34.352529756563754,0.95,1000
skywork_llama31_8b,ministral3_8b,10.0,380.20080858375024,229.34467343436273,553.0176584491085,0.95,1000
skywork_llama31_8b,qwen35_9b,0.02,-4.690455044644148,-5.838249436882629,-3.6424358418557663,0.95,1000
skywork_llama31_8b,qwen35_9b,0.1,-15.5639740921122,-18.466316955704094,-13.152600680506692,0.95,1000
skywork_llama31_8b,qwen35_9b,0.2,-20.39078259976718,-23.89083863691973,-17.436662173412426,0.95,1000
skywork_llama31_8b,qwen35_9b,1.0,-36.276604769841654,-40.975045180925804,-31.933264387148277,0.95,1000
skywork_llama31_8b,qwen35_9b,2.0,-38.173353719400914,-44.84825427877609,-32.15832020142189,0.95,1000
skywork_llama31_8b,qwen35_9b,10.0,10.528670691008394,-13.91414237463866,37.92546018986939,0.95,1000
