variant,utility_divisor,reservation_divisor,splits,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,adaptive_utility_std,fixed_utility_mean,fixed_utility_ci_low,fixed_utility_ci_high,fixed_utility_std,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,utility_gap_std,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,relative_utility_gain_pct_std,utility_delta_vs_reference_mean,utility_delta_vs_reference_ci_low,utility_delta_vs_reference_ci_high,utility_delta_vs_reference_std,adaptive_accuracy_mean,adaptive_accuracy_ci_low,adaptive_accuracy_ci_high,adaptive_accuracy_std,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_chars_std,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high,adaptive_opens_std,fixed_accuracy_mean,fixed_accuracy_ci_low,fixed_accuracy_ci_high,fixed_accuracy_std,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high,fixed_chars_std,fixed_n_mean,fixed_n_ci_low,fixed_n_ci_high,fixed_n_std,positive_gap_splits
global_exp_07x_running_cost,100000.0,70000.0,3,0.22778401785714286,0.013800346818952341,0.44176768889533335,0.08614001954320682,0.22977075396825397,0.06836481573771616,0.3911766921987918,0.0649746338405735,-0.0019867361111111093,-0.05547305947467784,0.05149958725245562,0.02153114262167057,-2.7738112105901567,-27.944572766557876,22.39695034537756,10.132595079937147,-0.009094662698412699,-0.041388606657070365,0.023199281260244967,0.013000061874952683,0.29365079365079366,0.09743881754941552,0.4898627697521718,0.078985949600647,6586.677579365079,4538.833652536578,8634.52150619358,824.3681166071848,13.618055555555555,12.278785424200155,14.957325686910956,0.5391287789805126,0.28472222222222227,0.1553224479158822,0.4141219965285623,0.05209041901914714,5495.146825396826,2262.1491315714006,8728.14451922225,1301.4567101223413,10.666666666666666,6.872083633069906,14.461249700263426,1.5275252316519468,1
global_exp_07x_running_cost,200000.0,140000.0,3,0.25602934523809523,0.04535346294661563,0.46670522752957483,0.08480845538270775,0.2566913343253968,0.06200601532324501,0.4513766533275486,0.07837138741594805,-0.0006619890873015843,-0.01862458251763767,0.0173006043430345,0.0072309169275803125,-0.7984014704382524,-7.723317131079933,6.126514190203429,2.787653690810228,-0.0052673115079365064,-0.020181910903522535,0.00964728788764952,0.00600393421227729,0.30456349206349204,0.10123744797280629,0.5078895361541778,0.081849747350529,9706.829365079366,7880.644630786233,11533.014099372498,735.1382838620478,19.969246031746035,17.590757999318757,22.347734064173313,0.9574702808047575,0.30654761904761907,0.13602099015153,0.4770742479437081,0.06864620592065951,9971.256944444445,5089.765961742351,14852.74792714654,1965.0645612809376,19.333333333333332,12.162245450417561,26.504421216249103,2.886751345948129,1
global_exp_07x_running_cost,300000.0,210000.0,3,0.26712338955026455,0.045264067642339756,0.48898271145818933,0.08931039565902411,0.2712811937830688,0.07901114588851096,0.4635512416776266,0.07739910995477134,-0.004157804232804217,-0.04472073425322412,0.03640512578761569,0.016328776713364718,-2.5535577085886785,-21.757237412954293,16.65012199577694,7.730521385158897,0.0018489285714285706,-0.0019628133314724006,0.005660670474329542,0.0015344326060793174,0.3075396825396825,0.08942786384406515,0.5256515012352998,0.08780182260585512,12124.8878968254,10188.1613379663,14061.6144556845,779.6373565354708,25.1359126984127,22.276138789928485,27.995686606896914,1.1512139181966727,0.31845238095238093,0.15099855561195838,0.48590620629280346,0.06740923602920312,14151.356150793648,6700.885205489008,21601.827096098288,2999.2181633340365,27.666666666666668,15.412706320739964,39.92062701259337,4.932882862316248,2
global_exp_07x_running_cost,400000.0,280000.0,3,0.2826282911706349,0.049662914413127424,0.5155936679281424,0.09378118437458102,0.2861633283730159,0.09553105737185727,0.4767955993741745,0.07673981603332232,-0.003535037202380927,-0.04804599915694317,0.040975924752181314,0.017918073440139397,-2.43580856758082,-21.001509344717004,16.12989220955536,7.473700306274381,0.00728355654761905,-0.004445047924997922,0.01901216102023602,0.00472139866366465,0.31845238095238093,0.08890364400726342,0.5480011178974984,0.0924058017634525,14329.635912698412,11985.150620911863,16674.12120448496,943.7823356961223,29.735119047619047,26.448506253480605,33.021731841757486,1.323039692442286,0.33134920634920634,0.16433117569777853,0.4983672370006341,0.06723380505895804,18074.351190476187,8596.547858118269,27552.154522834106,3815.329274027982,35.333333333333336,19.36256231044509,51.304104356221586,6.429100507328637,2
global_exp_07x_running_cost,500000.0,350000.0,3,0.28802567658730166,0.05539459449572265,0.5206567586788806,0.09364661266209212,0.2940683333333333,0.10062054669734746,0.4875161199693192,0.0778732135988073,-0.006042656746031734,-0.04627373042702954,0.03418841693496607,0.016195186559383973,-3.1871372208510795,-20.18871095242004,13.814436510717877,6.844054438346577,-0.0005871607142857142,-0.013036283603500237,0.01186196217492881,0.005011446358359432,0.3204365079365079,0.09120548565845912,0.5496675302145567,0.09227790439867845,16205.415674603175,13485.468089598071,18925.36325960828,1094.9262483071527,33.919642857142854,30.206875490522034,37.63241022376367,1.4945899935655316,0.33829365079365076,0.16819494384910927,0.5083923577381922,0.06847394415371984,22112.658730158728,10322.76533112676,33902.55212919069,4746.070776698115,43.333333333333336,23.101204643078546,63.565462023588125,8.144527815247077,1
global_exp_07x_running_cost,600000.0,420000.0,3,0.2983164847883598,0.055469605894075485,0.5411633636826442,0.09775902428661,0.30462111441798945,0.12018295891406044,0.48905926992191845,0.0742463489972838,-0.006304629629629632,-0.06503604828951767,0.05242678903025841,0.02364257761640184,-3.4959529350790994,-25.967066269746656,18.975160399588457,9.045840425180918,0.003903670634920635,-0.003656166880393907,0.011463508150235176,0.0030432441323826045,0.32837301587301587,0.0880823600366768,0.568663671709355,0.09673000602975011,18033.91865079365,15416.693503997067,20651.143797590234,1053.574902235384,38.02777777777778,33.099266435997954,42.9562891195576,1.983992803002528,0.34821428571428575,0.1855624117306332,0.5108661596979382,0.06547619047619047,26155.902777777777,12861.736678430516,39450.06887712504,5351.622028224899,51.333333333333336,28.792834801267244,73.87383186539942,9.073771725877465,1
global_exp_07x_running_cost,700000.0,489999.99999999994,3,0.30505149801587306,0.08074179907424314,0.5293611969575029,0.09029680515722323,0.31338873724489796,0.14483644444145455,0.4819410300483414,0.06785142868938655,-0.008337239229024926,-0.06413210355010836,0.0474576250920585,0.02246045541564208,-3.8122855731129994,-23.71335206733433,16.088780921108334,8.011257347000697,-0.0031113166099773237,-0.026417262558633654,0.020194629338679004,0.00938190577696874,0.3333333333333333,0.11116596754609992,0.5555006991205667,0.0894344000078376,19797.284722222223,16838.10356093006,22756.465883514385,1191.2307225540708,41.75297619047618,35.82035505311533,47.68559732783704,2.388201390486003,0.35714285714285715,0.20927751715771845,0.5050081971279958,0.059523809523809534,30627.88392857143,15751.583116736765,45504.1847404061,5988.516957601672,60.0,33.710357569086284,86.28964243091372,10.583005244258363,1
global_exp_07x_running_cost,800000.0,560000.0,3,0.31146244667658735,0.08423200839892356,0.5386928849542512,0.09147256096263545,0.3198785838293651,0.14913487584966076,0.49062229180906947,0.06873359201145007,-0.00841613715277779,-0.064907703593734,0.04807542928817843,0.022740915760725726,-3.7679354271019423,-23.604918710410477,16.06904785620659,7.985460383084537,-0.00207882564484127,-0.02883686037478161,0.02467920908509907,0.010771558518423102,0.33829365079365076,0.11254664624233326,0.5640406553449683,0.09087539852702271,21464.963293650795,18861.129871051187,24068.796716250403,1048.1840077879333,45.42162698412699,38.55998876344395,52.28326520481003,2.762181093353442,0.36408730158730157,0.2125103018819567,0.5156643012926465,0.06101795362968961,35366.97420634921,19884.35925227803,50849.589160420386,6232.591245177824,69.33333333333333,42.53993788060955,96.1267287860571,10.785793124908958,1
global_exp_07x_running_cost,900000.0,630000.0,3,0.3148026025132275,0.09382338731698509,0.53578181770947,0.08895610503032052,0.32487597111992944,0.15455902200563107,0.4951929202342278,0.06856179844968925,-0.010073368606701947,-0.06380809070103546,0.04366135348763157,0.021631136567091477,-4.05156985853215,-21.37318287207953,13.270043155015227,6.972887586551118,-0.002921914682539682,-0.01194759399137505,0.006103764626295685,0.0036333248620406995,0.34027777777777773,0.12041870698100102,0.5601368485745545,0.0885051862289323,22927.657738095237,19886.861062293676,25968.454413896798,1224.0853884300182,48.67361111111111,41.00639280441563,56.34082941780658,3.086470717959162,0.37003968253968256,0.21846268283433767,0.5216166822450274,0.06101795362968961,40647.34027777778,23761.672235356367,57533.008320199195,6797.396119607123,79.33333333333333,52.77125209815601,105.89541456851065,10.692676621563628,1
global_exp_07x_running_cost,1000000.0,700000.0,3,0.317827306547619,0.1008780707285307,0.5347765423667072,0.0873338200184664,0.3345458174603175,0.1672050859250424,0.5018865489955926,0.06736370964609943,-0.016718510912698437,-0.06671809520181538,0.0332810733764185,0.020127541260136942,-5.933075184814854,-23.249241498715474,11.383091129085766,6.970694994884001,-0.0032438065476190488,-0.013804993691567052,0.007317380596328953,0.004251449947397064,0.3422619047619047,0.12633293825966976,0.5581908712641397,0.0869231063482752,24434.598214285714,21086.043591685007,27783.15283688642,1347.9746339188684,51.85813492063492,43.17973264685897,60.53653719441086,3.4935270426940708,0.38095238095238093,0.23253358173985683,0.529371180164905,0.059746606844895016,46406.56349206349,27337.68932950285,65475.43765462413,7676.254851879635,90.66666666666667,63.30353927338905,118.0297940599443,11.015141094572204,1
