variant,split,utility_divisor,reservation_divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_accuracy,adaptive_chars,adaptive_opens,fixed_accuracy,fixed_chars,fixed_n
reference_profiled,60,100000.0,70000.0,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.5,0.5,0.238776755952381,0.23337648809523812,0.005400267857142871,2.313972543343392,0.0,0.2857142857142857,4693.752976190476,10.738095238095237,0.2857142857142857,5233.7797619047615,11
reference_profiled,60,200000.0,70000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2565543005952381,0.261764375,-0.0052100744047619,-1.990368018857379,0.0,0.2857142857142857,5831.997023809524,12.764880952380953,0.3125,10147.125,21
reference_profiled,60,300000.0,400000.0,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,0.26498546626984126,0.2605530555555556,0.004432410714285684,1.701154762831249,0.0,0.30357142857142855,11575.78869047619,26.607142857142858,0.30952380952380953,14691.22619047619,31
reference_profiled,60,400000.0,400000.0,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,0.2746319568452381,0.2772736681547619,-0.0026417113095237865,-0.9527451081468364,0.0,0.30357142857142855,11575.78869047619,26.607142857142858,0.3244047619047619,18852.4375,40
reference_profiled,60,500000.0,400000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2861759345238095,0.29018172023809524,-0.004005785714285726,-1.3804404050671981,0.0,0.31845238095238093,16138.223214285714,36.267857142857146,0.33630952380952384,23063.901785714286,49
reference_profiled,60,600000.0,400000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2915553422619048,0.30262357638888887,-0.011068234126984045,-3.6574262518002634,0.0,0.31845238095238093,16138.223214285714,36.267857142857146,0.3482142857142857,27354.425595238095,58
reference_profiled,60,700000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2938464838435374,0.31097343112244896,-0.017126947278911564,-5.507527513553932,0.0,0.3333333333333333,27640.79464285714,64.14285714285714,0.35714285714285715,32318.598214285714,68
reference_profiled,60,800000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2987823400297619,0.31743888764880956,-0.01865654761904767,-5.877209234581198,0.0,0.3333333333333333,27640.79464285714,64.14285714285714,0.3630952380952381,36525.080357142855,77
reference_profiled,60,900000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.30262133928571433,0.32331474537037036,-0.02069340608465603,-6.400390449545033,0.0,0.3333333333333333,27640.79464285714,64.14285714285714,0.36904761904761907,41159.58630952381,86
reference_profiled,60,1000000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.3056925386904762,0.32899711011904764,-0.023304571428571452,-7.0835185817099395,0.0,0.3333333333333333,27640.79464285714,64.14285714285714,0.375,46002.88988095238,96
