method,divisor,splits,accuracy_gap_pp_mean,accuracy_gap_pp_ci_low,accuracy_gap_pp_ci_high,adaptive_accuracy_mean,adaptive_accuracy_ci_low,adaptive_accuracy_ci_high,fixed_accuracy_mean,fixed_accuracy_ci_low,fixed_accuracy_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high,cost_mismatch_mean,cost_mismatch_ci_low,cost_mismatch_ci_high
gaussian_calibrated_probability,100000.0,10,1.2213045225179084,0.3362864028291709,2.106322642206646,0.2629464285714286,0.23200025782118855,0.2938925993216686,0.2507333833462495,0.22266116859401455,0.2788055980984845,4354.268750000001,3223.7525733664706,5484.7849266335315,4354.268750000001,3223.7525733664706,5484.7849266335315,0.0,0.0,0.0
gaussian_calibrated_probability,200000.0,10,0.8481174973070782,0.07617391017353581,1.6200610844406205,0.2858134920634921,0.2450212214732087,0.3266057626537755,0.2773323170904213,0.24001517524505714,0.31464945893578544,7768.358878968254,6197.464842920501,9339.252915016008,7768.358878968254,6197.464842920501,9339.252915016008,9.094947017729283e-14,-1.1479252523697185e-13,2.966914655915575e-13
gaussian_calibrated_probability,300000.0,10,0.7793596272414269,0.27993190549135777,1.278787348991496,0.2996031746031746,0.2605833505973772,0.338622998608972,0.29180957833076027,0.255203745003229,0.3284154116582915,11301.918055555556,9841.379566355505,12762.456544755607,11301.918055555556,9841.379566355505,12762.456544755607,-4.547473508864641e-13,-1.007662349779484e-12,9.816764800655584e-14
gaussian_calibrated_probability,400000.0,10,0.6025266446094621,0.2317635081453252,0.9732897810735991,0.3072420634920635,0.26803081882122487,0.34645330816290215,0.3012167970459688,0.2619109681577307,0.34052262593420696,14588.69851190476,11374.52570176898,17802.87132204054,14588.69851190476,11374.52570176898,17802.87132204054,3.637978807091713e-13,-4.591701009478874e-13,1.18676586236623e-12
gaussian_calibrated_probability,500000.0,10,0.350307067114812,-0.4451116591736431,1.1457257934032672,0.31646825396825395,0.2762725701079306,0.3566639378285773,0.3129651832971058,0.27139029217297117,0.35454007442124047,20930.91498015873,13720.465608354261,28141.3643519632,20930.91498015873,13720.465608354265,28141.364351963195,3.637978807091713e-13,-1.113474856696864e-12,1.841070618115207e-12
gaussian_calibrated_probability,600000.0,10,0.17624580163245004,-0.7107973959953725,1.0632889992602725,0.31994047619047616,0.2792945005126113,0.36058645186834104,0.3181780181741517,0.2767459489273363,0.3596100874209671,24013.491666666665,18883.7268570033,29143.25647633003,24013.491666666665,18883.7268570033,29143.25647633003,-1.8189894035458566e-13,-1.4758763422278183e-12,1.1120784615186471e-12
gaussian_calibrated_probability,700000.0,10,0.33019827678087144,-0.6804711907352387,1.3408677442969816,0.3248511904761905,0.2830525189194098,0.3666498620329712,0.32154920770838175,0.28094080582815045,0.36215760958861304,27572.365029761906,22144.358440597327,33000.37161892648,27572.365029761906,22144.358440597327,33000.37161892648,0.0,0.0,0.0
gaussian_calibrated_probability,800000.0,10,0.22011097369285304,-0.8881985327125226,1.3284204800982287,0.3300595238095238,0.2885366368307987,0.3715824107882489,0.3278584140725953,0.28826377712309154,0.3674530510220991,32551.325446428567,28147.80559322921,36954.84529962792,32551.325446428567,28147.80559322921,36954.84529962792,3.637978807091713e-13,-1.113474856696864e-12,1.841070618115207e-12
gaussian_calibrated_probability,900000.0,10,-0.1098318902370343,-1.0544241615085073,0.8347603810344387,0.3299603174603175,0.2868564820613205,0.37306415285931455,0.33105863636268784,0.29053123889583976,0.3715860338295359,35628.825892857145,31915.15110358663,39342.500682127655,35628.825892857145,31915.15110358663,39342.500682127655,-3.637978807091713e-13,-1.841070618115207e-12,1.113474856696864e-12
gaussian_calibrated_probability,1000000.0,10,-0.11700298552659247,-1.0995769517419864,0.8655709806888016,0.3352182539682539,0.2908404885724464,0.3795960193640614,0.3363882838235199,0.29543344527961674,0.377343122367423,41828.115079365074,33857.41255440694,49798.81760432321,41828.115079365074,33857.41255440694,49798.81760432321,-7.275957614183426e-13,-2.37353172473246e-12,9.183402018957748e-13
selected_ucb,100000.0,10,1.5165808738476105,0.5618818248022249,2.4712799228929963,0.2652777777777778,0.23349906681596436,0.29705648873959123,0.25011196903930166,0.22063737343193407,0.27958656464666926,4429.793303571429,3124.3789830534997,5735.2076240893575,4429.793303571429,3124.3789830534997,5735.2076240893575,0.0,0.0,0.0
selected_ucb,200000.0,10,1.1998933349679877,0.4071600543952987,1.9926266155406767,0.2883928571428572,0.24750145423829895,0.3292842600474154,0.2763939237931773,0.23772207108249804,0.31506577650385653,8405.067212301587,4886.696791103739,11923.437633499434,8405.067212301587,4886.696791103739,11923.437633499434,0.0,0.0,0.0
