generator,split_seed,method,price,selected,fixed_n,profit,fixed_profit,relative_percent,delta_profit,ci_low,ci_high,quality,fixed_quality,cost,fixed_cost,samples,delta_test_oracle
gemma2_9b,71,spacing,2e-08,49,951,0.6109440694492284,0.613544809837562,-0.42388760309489815,-0.002600740388333592,-0.007494770948119713,0.0001354398917232702,0.6398094055992284,0.6423332732875621,0.028865336150000004,0.028788463450000003,949.9675,-0.003471867751953739
gemma2_9b,71,spacing,1e-07,218,356,0.5550327089790146,0.5443691531680896,1.9588831859530862,0.010663555810924909,0.005811772099992104,0.016209373362390072,0.6063900032290146,0.5982500419180896,0.05135729425,0.053880888749999994,515.5875,0.008291892415258073
gemma2_9b,71,spacing,2e-07,466,235,0.5212883683971663,0.5043549212672535,3.357446594823607,0.016933447129912686,0.00801902682310861,0.02841903481922568,0.5728440988971663,0.5754888942672536,0.051555730499999994,0.07113397299999999,306.1275,0.012015644061420305
gemma2_9b,71,spacing,1e-06,226,49,0.4288119255670293,0.407524593984259,5.223569791125911,0.021287331582770276,0.004575881925684406,0.044748958287916314,0.49754624306702927,0.481681668984259,0.0687343175,0.07415707499999999,108.2,0.020169969980446234
gemma2_9b,71,spacing,2e-06,376,28,0.383359205926636,0.3589493090365462,6.800374391472786,0.0244098968900898,0.009131065105161299,0.04665769169250512,0.451421105926636,0.44364586903654624,0.0680619,0.08469655999999999,54.9275,0.02163346232273955
gemma2_9b,71,spacing,1e-05,334,7,0.25826478496374156,0.24384346329543266,5.914171933670669,0.01442132166830902,0.008789345585347016,0.02060026474458515,0.34312495996374165,0.3498288632954326,0.08486017500000001,0.10598540000000002,9.1125,0.005664051656793567
gemma2_9b,71,dmrl_envelope,2e-08,588,951,0.6007630780351815,0.613544809837562,-2.083259706127185,-0.012781731802380592,-0.030273336741285455,-0.0015165937389005134,0.6262649833351815,0.6423332732875621,0.0255019053,0.028788463450000003,814.9325,-0.013652859166000675
gemma2_9b,71,dmrl_envelope,1e-07,597,356,0.5262838602225465,0.5443691531680896,-3.322247934198952,-0.018085292945543188,-0.03257778046337897,-0.005115312281380113,0.6076693192225464,0.5982500419180896,0.081385459,0.053880888749999994,566.3725,-0.02045695634121003
gemma2_9b,71,dmrl_envelope,2e-07,605,235,0.509939640398913,0.5043549212672535,1.107299422721413,0.005584719131659335,-0.0071835441148403985,0.01805804868475384,0.5588315163989129,0.5754888942672536,0.048891876,0.07113397299999999,231.325,0.0006669160631670445
gemma2_9b,71,dmrl_envelope,1e-06,858,49,0.4186376704484956,0.407524593984259,2.7269707468663467,0.011113076464236595,-0.0028219542737056265,0.02788508402461888,0.47656553544849556,0.481681668984259,0.057927864999999995,0.07415707499999999,56.75,0.00999571486191253
gemma2_9b,71,dmrl_envelope,2e-06,861,28,0.3734326719371306,0.3589493090365462,4.034932659282471,0.014483362900584369,0.004602331253023788,0.027694958434497405,0.4480301719371307,0.44364586903654624,0.0745975,0.08469655999999999,35.85,0.011706928333234112
gemma2_9b,71,dmrl_envelope,1e-05,575,7,0.25589968323060036,0.24384346329543266,4.944245694444084,0.01205621993516777,0.007099994964876476,0.017482391201494727,0.3641257582306004,0.3498288632954326,0.108226075,0.10598540000000002,8.4475,0.0032989499236523723
gemma2_9b,71,moment_envelope,2e-08,1088,951,0.6113125151356171,0.613544809837562,-0.3638356426706522,-0.0022322947019449246,-0.006744748800062599,0.00024265219277628777,0.6400445698856171,0.6423332732875621,0.028732054750000003,0.028788463450000003,950.7825,-0.00310342206556502
gemma2_9b,71,moment_envelope,1e-07,1342,356,0.5460929183780651,0.5443691531680896,0.31665372660141383,0.0017237652099753142,-0.006493881416189892,0.009563636073542974,0.615606705628065,0.5982500419180896,0.06951378725,0.053880888749999994,604.685,-0.0006478981856914423
gemma2_9b,71,moment_envelope,2e-07,1101,235,0.5221221114159436,0.5043549212672535,3.522755385046652,0.017767190148689972,0.007563312371814032,0.030698622508208824,0.5772806454159436,0.5754888942672536,0.055158533999999995,0.07113397299999999,299.3075,0.01284938708019756
gemma2_9b,71,moment_envelope,1e-06,1353,49,0.43347980976893136,0.407524593984259,6.3689937166528034,0.025955215784672303,0.012191486685618166,0.04583648244206222,0.48989300976893135,0.481681668984259,0.0564132,0.07415707499999999,69.96,0.024837854182348296
gemma2_9b,71,moment_envelope,2e-06,1355,28,0.38310027073153796,0.3589493090365462,6.728237410406263,0.02415096169499169,0.010448390111078043,0.04432512214037106,0.45863734573153797,0.44364586903654624,0.075537075,0.08469655999999999,45.1575,0.021374527127641485
gemma2_9b,71,moment_envelope,1e-05,1164,7,0.2593072708690585,0.24384346329543266,6.341694530023339,0.015463807573625922,0.0070133128232732125,0.024230236141750086,0.3393988958690586,0.3498288632954326,0.08009162500000001,0.10598540000000002,9.47,0.006706537562110537
gemma2_9b,71,all_train_selected,2e-08,1088,951,0.6113125151356171,0.613544809837562,-0.3638356426706522,-0.0022322947019449246,-0.006744748800062599,0.00024265219277628777,0.6400445698856171,0.6423332732875621,0.028732054750000003,0.028788463450000003,950.7825,-0.00310342206556502
gemma2_9b,71,all_train_selected,1e-07,218,356,0.5550327089790146,0.5443691531680896,1.9588831859530862,0.010663555810924909,0.005811772099992104,0.016209373362390072,0.6063900032290146,0.5982500419180896,0.05135729425,0.053880888749999994,515.5875,0.008291892415258073
gemma2_9b,71,all_train_selected,2e-07,466,235,0.5212883683971663,0.5043549212672535,3.357446594823607,0.016933447129912686,0.00801902682310861,0.02841903481922568,0.5728440988971663,0.5754888942672536,0.051555730499999994,0.07113397299999999,306.1275,0.012015644061420305
gemma2_9b,71,all_train_selected,1e-06,1353,49,0.43347980976893136,0.407524593984259,6.3689937166528034,0.025955215784672303,0.012191486685618166,0.04583648244206222,0.48989300976893135,0.481681668984259,0.0564132,0.07415707499999999,69.96,0.024837854182348296
gemma2_9b,71,all_train_selected,2e-06,1355,28,0.38310027073153796,0.3589493090365462,6.728237410406263,0.02415096169499169,0.010448390111078043,0.04432512214037106,0.45863734573153797,0.44364586903654624,0.075537075,0.08469655999999999,45.1575,0.021374527127641485
