generator,split_seed,method,target,prompt_index,quality,length,samples
gemma2_9b,71,spacing,0.35,18,0.3220210853900596,6401.7030892473895,6.125
gemma2_9b,71,spacing,0.35,74,0.3645025057459367,3697.3457295539392,6.888524700459654
gemma2_9b,71,spacing,0.35,9,0.4480524421538821,8665.280804882623,4.23424417818636
gemma2_9b,71,spacing,0.35,87,0.3086124967197163,13444.641058583566,4.23424417818636
gemma2_9b,71,spacing,0.35,82,0.27350914905622387,8963.641583655828,5.029280522273295
gemma2_9b,71,spacing,0.35,23,0.29892045773968184,12290.488756801957,4.23424417818636
gemma2_9b,71,spacing,0.35,54,0.3625123571954779,6886.73881741769,4.23424417818636
gemma2_9b,71,spacing,0.35,31,0.28316829399046495,13036.28489692473,4.23424417818636
gemma2_9b,71,spacing,0.35,66,0.26194193387332443,21101.412629395905,4.23424417818636
gemma2_9b,71,spacing,0.35,37,0.2270716548258748,8753.285071948818,4.763524700459655
gemma2_9b,71,spacing,0.35,77,0.4033939984704357,7927.269178154667,4.263524700459655
gemma2_9b,71,spacing,0.35,34,0.24041881060630355,8205.428795881628,4.329963655913065
gemma2_9b,71,spacing,0.35,75,0.44341954028625574,2168.7286646690227,7.152049400919309
gemma2_9b,71,spacing,0.35,99,0.28959605186458215,7900.48124909165,4.23424417818636
gemma2_9b,71,spacing,0.35,63,0.3925338652713402,2701.7685724727053,7.013524700459655
gemma2_9b,71,spacing,0.35,98,0.3056856041191721,7162.869080677332,9.21507268817387
gemma2_9b,71,spacing,0.35,55,0.3100027094714338,6294.479667527125,7.162158433180115
gemma2_9b,71,spacing,0.35,57,0.31528548512945354,8136.9767431325345,4.521402611366475
gemma2_9b,71,spacing,0.35,7,0.44261758277650937,1930.7066529641365,7.064207834099424
gemma2_9b,71,spacing,0.35,19,0.49286367635690337,4119.374010629667,41.16780522273295
gemma2_9b,71,spacing,0.35,14,0.40329121263453427,6005.285489277381,4.74212208909318
gemma2_9b,71,spacing,0.35,39,0.2676344333169131,12593.588719781897,4.23424417818636
gemma2_9b,71,spacing,0.35,56,0.3746871998341484,5311.783110107479,8.154280522273295
gemma2_9b,71,spacing,0.35,62,0.3916947653587941,3898.726066758626,11.742122089093181
gemma2_9b,71,spacing,0.35,40,0.3720487520972099,4614.57790414709,6.242122089093179
gemma2_9b,71,spacing,0.35,80,0.32096415293274727,3280.8409778787905,6.644171490012489
gemma2_9b,71,spacing,0.35,22,0.33715069007886656,8583.309651335463,4.617122089093179
gemma2_9b,71,spacing,0.35,59,0.29408080432517336,11313.998589889547,4.23424417818636
gemma2_9b,71,spacing,0.35,71,0.3895077430264555,4998.224111581943,6.05856104454659
gemma2_9b,71,spacing,0.35,84,0.1946373953101095,5116.895608417547,33.138524700459655
gemma2_9b,71,spacing,0.35,81,0.30045640249634253,14786.169740088531,4.23424417818636
gemma2_9b,71,spacing,0.35,89,0.3465820147266012,11184.427274774378,4.23424417818636
gemma2_9b,71,spacing,0.35,96,0.3954917958438272,13583.678217016746,4.23424417818636
gemma2_9b,71,spacing,0.35,16,0.32881722495156307,8480.793030627883,4.60924417818636
gemma2_9b,71,spacing,0.35,8,0.37219136497225014,3641.1583624881687,11.73424417818636
gemma2_9b,71,spacing,0.35,95,0.342310662089017,5175.464726051556,6.8299636559130645
gemma2_9b,71,spacing,0.35,50,0.48724940721741933,2790.3662168984765,106.47135213522859
gemma2_9b,71,spacing,0.35,6,0.22355270150943993,6672.4596647915405,4.67568313363977
gemma2_9b,71,spacing,0.35,90,0.3882094548401398,5007.205963102458,10.859244178186358
gemma2_9b,71,spacing,0.35,27,0.2890109426883315,3077.387017080979,9.85136626727954
gemma2_9b,71,spacing,0.35,45,0.23718401488322902,3468.933836989218,14.029280522273295
gemma2_9b,71,spacing,0.35,32,0.3639115703734761,11305.636286755991,4.23424417818636
gemma2_9b,71,spacing,0.35,29,0.4016199919007862,2874.282016405006,6.263524700459654
gemma2_9b,71,spacing,0.35,70,0.3728706946209276,10207.90445879946,4.23424417818636
gemma2_9b,71,spacing,0.35,94,0.2908401034047714,8235.737518462493,4.42568313363977
gemma2_9b,71,spacing,0.35,86,0.35963690170452534,8705.429024698335,4.23424417818636
gemma2_9b,71,spacing,0.35,93,0.21640850082073754,9084.061169031156,4.74212208909318
gemma2_9b,71,spacing,0.35,0,0.27041314862497845,8169.419985804566,4.23424417818636
gemma2_9b,71,spacing,0.35,35,0.29097986221508665,9966.752789675353,4.329963655913065
gemma2_9b,71,spacing,0.4,33,0.40954597111441254,6886.431821963653,15.130340240192815
gemma2_9b,71,spacing,0.4,18,0.3835797517839057,12762.298012424752,11.895410228123014
gemma2_9b,71,spacing,0.4,74,0.43720607013524404,8229.210737770583,15.237944009655841
gemma2_9b,71,spacing,0.4,9,0.4537949406728158,14916.675279323788,7.267396230536973
gemma2_9b,71,spacing,0.4,87,0.3308504400819854,22360.34911120536,7.211505786360747
gemma2_9b,71,spacing,0.4,82,0.326814268669247,16170.914193279263,9.132191116475468
gemma2_9b,71,spacing,0.4,23,0.32050494540521446,20853.830794339978,7.336505786360747
gemma2_9b,71,spacing,0.4,54,0.38880859239818677,13388.038334118057,8.1982866747132
gemma2_9b,71,spacing,0.4,31,0.34780198327508793,21852.574311469692,7.211505786360747
gemma2_9b,71,spacing,0.4,66,0.29743241809630033,35873.85110594616,7.211505786360747
gemma2_9b,71,spacing,0.4,37,0.30547791168356775,16611.264060337726,9.004177118889427
gemma2_9b,71,spacing,0.4,77,0.4170137377583424,14285.948703123482,7.879177118889427
gemma2_9b,71,spacing,0.4,34,0.2733165208128927,14813.249071462626,7.8232866747132
gemma2_9b,71,spacing,0.4,75,0.4623662064395551,4564.018327324,14.801025570307534
gemma2_9b,71,spacing,0.4,99,0.354908134840521,14811.651541531395,7.849724898008294
gemma2_9b,71,spacing,0.4,63,0.4508455368677039,5943.361740757953,15.602738895594333
gemma2_9b,71,spacing,0.4,98,0.36524590360091735,12318.943997919181,16.03246621846717
gemma2_9b,71,spacing,0.4,55,0.3786128631363943,12577.814558674652,14.342533781532827
gemma2_9b,71,spacing,0.4,57,0.34458942171928914,15362.342960262904,8.560067563065655
gemma2_9b,71,spacing,0.4,7,0.46196216165410636,3692.2242700228985,13.671848451418107
gemma2_9b,71,spacing,0.4,19,0.5198321443378323,7100.362519232345,71.37198600241396
gemma2_9b,71,spacing,0.4,14,0.4246189489274007,11876.693767169385,9.474724898008294
gemma2_9b,71,spacing,0.4,39,0.334626267882162,21848.086083991155,7.379177118889427
gemma2_9b,71,spacing,0.4,56,0.3845609923235469,9234.065013549762,14.246986002413959
gemma2_9b,71,spacing,0.4,62,0.4414042898364669,8255.757767660827,24.276438223295095
gemma2_9b,71,spacing,0.4,40,0.4122056642928784,8354.806002080819,11.342533781532827
gemma2_9b,71,spacing,0.4,80,0.3826122966416793,7365.774415940786,14.879177118889427
gemma2_9b,71,spacing,0.4,22,0.35181068383766656,14763.905242857947,7.99095800724188
gemma2_9b,71,spacing,0.4,59,0.3382868424859772,19791.03802182942,7.336505786360747
gemma2_9b,71,spacing,0.4,71,0.4217448384410141,9072.083968007128,11.086505786360748
gemma2_9b,71,spacing,0.4,84,0.2409118122219437,9083.13357623302,58.62568775497927
gemma2_9b,71,spacing,0.4,81,0.35369704283882547,25179.383408660924,7.211505786360747
gemma2_9b,71,spacing,0.4,89,0.3709174295822978,19259.348321846337,7.267396230536973
gemma2_9b,71,spacing,0.4,96,0.4131441824289337,23261.792169276523,7.211505786360747
gemma2_9b,71,spacing,0.4,16,0.3608809046482112,15634.387047235788,8.57630067229924
gemma2_9b,71,spacing,0.4,8,0.4348504721717342,7582.258617215448,24.319109555823772
gemma2_9b,71,spacing,0.4,95,0.4257874163259011,10396.580114061508,13.342533781532826
gemma2_9b,71,spacing,0.4,50,0.5183933108609056,2978.2976173192255,114.43067805552107
gemma2_9b,71,spacing,0.4,6,0.31474106074407243,12677.807085367338,8.61595800724188
gemma2_9b,71,spacing,0.4,90,0.43339995590397645,8735.839530242562,18.895410228123012
gemma2_9b,71,spacing,0.4,27,0.363468060992191,7383.855277952871,24.25116312130339
gemma2_9b,71,spacing,0.4,45,0.34952146139098134,7564.228578417615,30.98376689076641
gemma2_9b,71,spacing,0.4,32,0.3940691217896346,19680.801210417252,7.392396230536974
gemma2_9b,71,spacing,0.4,29,0.4428810603675468,5877.912462794178,13.135205114061506
gemma2_9b,71,spacing,0.4,70,0.4456973077801061,17202.016195108907,7.267396230536973
gemma2_9b,71,spacing,0.4,94,0.3408582409627592,15001.92480353145,8.060067563065655
gemma2_9b,71,spacing,0.4,86,0.40176672747379943,14996.447024505456,7.3232866747132
gemma2_9b,71,spacing,0.4,93,0.3055088112828269,17223.044028481345,8.935067563065655
gemma2_9b,71,spacing,0.4,0,0.363120543153713,15587.535148288229,8.11595800724188
gemma2_9b,71,spacing,0.4,35,0.3153616037698622,17598.143430206088,7.629177118889427
gemma2_9b,71,spacing,0.45,33,0.4345172456105729,12247.277560383582,26.584264021574434
gemma2_9b,71,spacing,0.45,18,0.4137944092857985,25631.58765151773,23.626340191067186
gemma2_9b,71,spacing,0.45,74,0.462888131252703,18403.168033831673,33.66919813868247
gemma2_9b,71,spacing,0.45,9,0.45725318702689516,20509.536355141572,10.000223365177865
gemma2_9b,71,spacing,0.45,87,0.33743903995586433,29605.917440367346,9.666741121725956
gemma2_9b,71,spacing,0.45,82,0.39075019447905024,33191.5920936054,18.626116825889323
gemma2_9b,71,spacing,0.45,23,0.3596144533884943,30106.17397724122,10.583593926040841
gemma2_9b,71,spacing,0.45,54,0.4486102050214409,27831.771090661823,16.917746265026345
gemma2_9b,71,spacing,0.45,31,0.39354235377580393,34459.39452513848,11.333817291218708
gemma2_9b,71,spacing,0.45,66,0.326134366815368,45259.26787019778,9.083370560862978
gemma2_9b,71,spacing,0.45,37,0.38366385917819723,30800.790553565937,16.709599069341234
gemma2_9b,71,spacing,0.45,77,0.4415538648396108,24737.689808002317,13.87544673035573
gemma2_9b,71,spacing,0.45,34,0.37294941229603196,28984.494570472925,15.292969630204212
gemma2_9b,71,spacing,0.45,75,0.47468127369730745,8616.035852078148,28.126228508478256
gemma2_9b,71,spacing,0.45,99,0.39781922950675747,26676.21284868347,14.251005143300391
gemma2_9b,71,spacing,0.45,63,0.4972742750300516,13759.358111696736,35.834934117108034
gemma2_9b,71,spacing,0.45,98,0.44853523046498855,29235.333859227452,37.79475655162713
gemma2_9b,71,spacing,0.45,55,0.4156400897839777,28364.17934587389,33.1693098212714
gemma2_9b,71,spacing,0.45,57,0.37145842424787356,28952.209550604675,16.20904065639657
gemma2_9b,71,spacing,0.45,7,0.49374358728795265,9102.703767342382,32.58560421264163
gemma2_9b,71,spacing,0.45,19,0.5633516765191274,16772.427999781525,166.0110565763043
gemma2_9b,71,spacing,0.45,14,0.4422184813247529,25156.182803116397,19.917746265026345
gemma2_9b,71,spacing,0.45,39,0.4043171153920262,32054.331674040346,10.833705608629774
gemma2_9b,71,spacing,0.45,56,0.4610405602911979,21589.907145271027,33.08560421264163
gemma2_9b,71,spacing,0.45,62,0.4648465153109985,19348.024633387486,57.545538329749654
gemma2_9b,71,spacing,0.45,40,0.4525510686120009,18228.96024886674,24.668416360559938
gemma2_9b,71,spacing,0.45,80,0.4423928455504965,15857.913452878427,32.33560421264163
gemma2_9b,71,spacing,0.45,22,0.38542509122369867,27738.838101198733,15.042746265026347
gemma2_9b,71,spacing,0.45,59,0.36417433531229737,31382.64153787511,11.625558412944663
gemma2_9b,71,spacing,0.45,71,0.44366849358964044,18342.02083224526,22.625781778122526
gemma2_9b,71,spacing,0.45,84,0.5994495495608381,43279.01486004205,273.5791547890183
gemma2_9b,71,spacing,0.45,81,0.38381026056843437,34424.12807668072,9.833593926040843
gemma2_9b,71,spacing,0.45,89,0.3874726169296545,30106.613477378756,11.292187852081684
gemma2_9b,71,spacing,0.45,96,0.42400537584956866,33892.66580116344,10.458817291218708
gemma2_9b,71,spacing,0.45,16,0.41753723675012655,32353.93699367236,17.50089346071146
gemma2_9b,71,spacing,0.45,8,0.4690499536415863,18891.789792085947,60.46116262558629
gemma2_9b,71,spacing,0.45,95,0.47035300424185983,24374.900529798848,31.460715895230557
gemma2_9b,71,spacing,0.45,50,0.5840296079477074,6800.41009846656,257.68226500158755
gemma2_9b,71,spacing,0.45,6,0.39906974971902404,30021.9019011071,20.501563556245053
gemma2_9b,71,spacing,0.45,90,0.47949121079959833,21100.85524103371,45.04486823421606
gemma2_9b,71,spacing,0.45,27,0.45505386351958554,21319.43972743691,69.12924393837943
gemma2_9b,71,spacing,0.45,45,0.4982243745152142,27095.58520630337,109.47255424965738
gemma2_9b,71,spacing,0.45,32,0.4028241091484378,30555.0045878381,11.500558412944663
gemma2_9b,71,spacing,0.45,29,0.4592035970953846,15338.776531007947,33.9193098212714
gemma2_9b,71,spacing,0.45,70,0.4821572653294478,27974.892682867536,11.875670095533593
gemma2_9b,71,spacing,0.45,94,0.4015364344624509,27652.972787450337,14.87589346071146
gemma2_9b,71,spacing,0.45,86,0.4274236661385531,25046.716864338923,12.208817291218708
gemma2_9b,71,spacing,0.45,93,0.3944598464245288,36230.107532985654,18.667634582437415
gemma2_9b,71,spacing,0.45,0,0.4218674646154668,30431.318642228827,15.751228508478256
gemma2_9b,71,spacing,0.45,35,0.3673660380891599,30684.52885014288,13.20892897380764
gemma2_9b,71,spacing,0.5,33,0.48891132284192207,33199.8874596984,71.1033286595347
gemma2_9b,71,spacing,0.5,18,0.4856164526539299,65165.062902898484,59.897266404867764
gemma2_9b,71,spacing,0.5,74,0.5162780704004037,51434.05784682945,94.64264890623187
gemma2_9b,71,spacing,0.5,9,0.4549500327639294,32113.50243990973,15.655297438780407
gemma2_9b,71,spacing,0.5,87,0.3608311784254783,53936.46531180077,17.566813049157552
gemma2_9b,71,spacing,0.5,82,0.45000068915984104,68712.14983225414,37.90308786686286
gemma2_9b,71,spacing,0.5,23,0.41393411607065855,57724.61491175284,20.098314451297142
gemma2_9b,71,spacing,0.5,54,0.4729624590724773,65250.770329745836,39.6579037202996
gemma2_9b,71,spacing,0.5,31,0.41141649059368585,72528.29040544153,23.761034025033474
gemma2_9b,71,spacing,0.5,66,0.3672194488635078,77958.03375229915,15.70144475603102
gemma2_9b,71,spacing,0.5,37,0.4518615697747981,76498.37191525154,41.45043914747266
gemma2_9b,71,spacing,0.5,77,0.4479986781561483,43874.983905592024,24.550963170687346
gemma2_9b,71,spacing,0.5,34,0.5012317635279113,100582.0841908282,52.880014208237554
gemma2_9b,71,spacing,0.5,75,0.489558376314292,20380.23571899005,66.86576500272818
gemma2_9b,71,spacing,0.5,99,0.45897515984849724,62466.847134378855,33.33386689098695
gemma2_9b,71,spacing,0.5,63,0.5366434261155033,38813.162508098656,101.0296885398237
gemma2_9b,71,spacing,0.5,98,0.55583569932159,83484.17706651398,107.4335836604441
gemma2_9b,71,spacing,0.5,55,0.5320629234225914,74330.11371731013,87.45766292762777
gemma2_9b,71,spacing,0.5,57,0.45534274911443945,66599.37182254498,37.45766292762776
gemma2_9b,71,spacing,0.5,7,0.4990260893578654,21390.583226366158,76.8125922601233
gemma2_9b,71,spacing,0.5,19,0.6427889808191857,42362.411668861896,422.0065872120899
gemma2_9b,71,spacing,0.5,14,0.47850256286347076,57864.1262233618,45.62279042808245
gemma2_9b,71,spacing,0.5,39,0.48469272311509404,75711.19589674263,25.53410768365878
gemma2_9b,71,spacing,0.5,56,0.525936130570022,55700.3107017758,85.63021256303838
gemma2_9b,71,spacing,0.5,62,0.5140092514818039,49474.43345644268,146.96406561947106
gemma2_9b,71,spacing,0.5,40,0.4568554307425103,37119.99267955653,50.264645915111025
gemma2_9b,71,spacing,0.5,80,0.491432232186449,44957.0926740885,91.48373957737391
gemma2_9b,71,spacing,0.5,22,0.4232683003352803,65028.29123533622,35.41031164701796
gemma2_9b,71,spacing,0.5,59,0.4275843666328462,61194.56523608854,22.79133146381388
gemma2_9b,71,spacing,0.5,71,0.4861348390267793,44871.678805711046,54.85713890441308
gemma2_9b,71,spacing,0.5,84,0.8558215889172813,142728.77071729192,902.8169975694041
gemma2_9b,71,spacing,0.5,81,0.39206304712105766,56129.78947189108,16.331260609467755
gemma2_9b,71,spacing,0.5,89,0.4333986994247025,62888.89324468492,23.615368293126533
gemma2_9b,71,spacing,0.5,96,0.46027253975443694,63255.642990991895,19.866572256485718
gemma2_9b,71,spacing,0.5,16,0.4508380570379137,76142.35308088755,41.37399439144164
gemma2_9b,71,spacing,0.5,8,0.5152471517833053,48836.94767277234,154.76824397063433
gemma2_9b,71,spacing,0.5,95,0.5376336870967728,66310.08493358022,84.29895195357062
gemma2_9b,71,spacing,0.5,50,0.5804572532421499,13844.651062458051,520.0945457100815
gemma2_9b,71,spacing,0.5,6,0.46669116548225853,76881.7399593561,52.38502841647511
gemma2_9b,71,spacing,0.5,90,0.5954665979469168,56353.581796736034,120.21788969890369
gemma2_9b,71,spacing,0.5,27,0.5256181319214983,61644.04264806787,197.07702598587923
gemma2_9b,71,spacing,0.5,45,0.5709553898579918,80016.46404422853,322.7301138527421
gemma2_9b,71,spacing,0.5,32,0.45395232895948556,57892.10106428511,21.71729463450123
gemma2_9b,71,spacing,0.5,29,0.5034204665105506,38528.206916575975,84.82222396699676
gemma2_9b,71,spacing,0.5,70,0.5117780327622583,67597.35004017095,28.76705384182939
gemma2_9b,71,spacing,0.5,94,0.4489820759176109,67214.98275821688,36.251402318160004
gemma2_9b,71,spacing,0.5,86,0.43662107066617967,44272.607835124596,21.230538231452243
gemma2_9b,71,spacing,0.5,93,0.4704566575938157,73063.27910371035,37.6809773789249
