generator,split_seed,method,target,attained_quality,mean_length,samples,train_feasible,matched_feasible,matched_length,matched_saving_percent,adaptive_low,adaptive_high,adaptive_high_weight
gemma2_9b,71,spacing,0.3,0.31475488111132993,6101.69,4.2,True,True,6229.554308991035,2.0525434509253815,293,293,0.0
gemma2_9b,71,spacing,0.35,0.3358753300599677,7516.7256951378495,9.219705815053912,True,True,8372.096696235378,10.216926919658686,432,334,0.23424417818635987
gemma2_9b,71,spacing,0.4,0.3822271455168507,13576.846027654798,15.647484020687864,True,True,16407.02049409496,17.249777114978116,332,136,0.5528764465901868
gemma2_9b,71,spacing,0.45,0.43340468482835204,25610.430069566508,37.12114252272028,True,True,36618.60236886504,30.061694295187593,378,377,0.6669644869038196
gemma2_9b,71,spacing,0.5,0.488307387318477,59811.15826532132,95.14421765558289,True,True,83179.57275980576,28.093934266727306,374,226,0.39807365862530664
gemma2_9b,71,spacing,0.55,0.5378269532680244,140002.03891118238,194.8579571884761,True,True,175112.17886004242,20.05008456717431,175,223,0.7102305487031819
gemma2_9b,71,spacing,0.6,0.5894845508875514,371912.99332206295,403.0736808874575,True,True,443695.2100752582,16.178271733206174,465,464,0.5314904783080371
gemma2_9b,71,direct_gain,0.3,0.3147765267531707,6093.24,4.1825,True,True,6231.69640269888,2.2218091792616246,538,538,0.0
gemma2_9b,71,direct_gain,0.35,0.33571773546451794,6728.3297291916215,7.625014828071925,True,True,8355.399289597208,19.47327116289165,533,530,0.8947913698591901
gemma2_9b,71,direct_gain,0.4,0.3728634804051174,10669.274270106089,18.735360020294426,True,True,14339.486027979494,25.595141629985996,527,526,0.8234122311372792
gemma2_9b,71,direct_gain,0.45,0.4211469114226009,20874.593414620613,37.26547715250929,True,True,29815.922411876552,29.988436627049808,524,523,0.6782835502779706
gemma2_9b,71,direct_gain,0.5,0.4850298618368338,47983.44402688516,76.17015691115812,True,True,78716.43913048836,39.042664331725,520,519,0.05180205668143951
gemma2_9b,71,direct_gain,0.55,0.537504926004652,109162.03253055183,155.30396367672128,True,True,174163.56923428725,37.32212022842415,517,515,0.18728081347051956
gemma2_9b,71,direct_gain,0.6,0.5882268280247814,269162.1528339767,320.4947363401191,True,True,434616.84241737594,38.06909291943822,513,512,0.7152282697809483
gemma2_9b,71,log_gain,0.3,0.3142300407717436,6090.635,4.0775,True,True,6177.615115072857,1.4079885757310007,587,587,0.0
gemma2_9b,71,log_gain,0.35,0.3379133547918179,6803.399113990825,7.50286489178957,True,True,8588.028769218121,20.780434057509268,577,576,0.8458416152815225
gemma2_9b,71,log_gain,0.4,0.37315966473746653,10896.020906710119,17.643599784904385,True,True,14399.418070174346,24.330130192697496,573,572,0.7884123682174754
gemma2_9b,71,log_gain,0.45,0.42243159087979815,22605.48841837336,34.45050521013933,True,True,30528.879235709683,25.953755970406934,570,569,0.9440008594044266
gemma2_9b,71,log_gain,0.5,0.483768586710063,58686.50510159403,72.83303635654171,True,True,76998.91184789654,23.782682516964382,565,564,0.09586034506710889
gemma2_9b,71,log_gain,0.55,0.5381936633573949,141146.63136382433,141.26839012636302,True,True,176225.14112990446,19.905508113749782,561,556,0.4072426480241743
gemma2_9b,71,log_gain,0.6,0.5897820762363729,348667.6006533392,288.54213282358216,True,True,445842.7773844771,21.795839623378686,545,543,0.09082236906024944
gemma2_9b,71,learned_gain,0.3,0.3142300407717436,6090.635,4.0775,True,True,6177.615115072857,1.4079885757310007,587,587,0.0
gemma2_9b,71,learned_gain,0.35,0.3364387670555856,6736.96614082013,7.568814954295518,True,True,8431.793772800533,20.100439807335125,577,530,0.7742099695303459
gemma2_9b,71,learned_gain,0.4,0.3728634804051174,10669.274270106089,18.735360020294426,True,True,14339.486027979494,25.595141629985996,527,526,0.8234122311372792
gemma2_9b,71,learned_gain,0.45,0.4211469114226009,20874.593414620613,37.26547715250929,True,True,29815.922411876552,29.988436627049808,524,523,0.6782835502779706
gemma2_9b,71,learned_gain,0.5,0.4850298618368338,47983.44402688516,76.17015691115812,True,True,78716.43913048836,39.042664331725,520,519,0.05180205668143951
gemma2_9b,71,learned_gain,0.55,0.537504926004652,109162.03253055183,155.30396367672128,True,True,174163.56923428725,37.32212022842415,517,515,0.18728081347051956
gemma2_9b,71,learned_gain,0.6,0.5882268280247814,269162.1528339767,320.4947363401191,True,True,434616.84241737594,38.06909291943822,513,512,0.7152282697809483
gemma2_9b,71,all_train_selected,0.3,0.3142300407717436,6090.635,4.0775,True,True,6177.615115072857,1.4079885757310007,587,587,0.0
gemma2_9b,71,all_train_selected,0.35,0.3364387670555856,6736.96614082013,7.568814954295518,True,True,8431.793772800533,20.100439807335125,577,530,0.7742099695303459
gemma2_9b,71,all_train_selected,0.4,0.3728634804051174,10669.274270106089,18.735360020294426,True,True,14339.486027979494,25.595141629985996,527,526,0.8234122311372792
gemma2_9b,71,all_train_selected,0.45,0.4211469114226009,20874.593414620613,37.26547715250929,True,True,29815.922411876552,29.988436627049808,524,523,0.6782835502779706
gemma2_9b,71,all_train_selected,0.5,0.4850298618368338,47983.44402688516,76.17015691115812,True,True,78716.43913048836,39.042664331725,520,519,0.05180205668143951
gemma2_9b,71,all_train_selected,0.55,0.537504926004652,109162.03253055183,155.30396367672128,True,True,174163.56923428725,37.32212022842415,517,515,0.18728081347051956
gemma2_9b,71,all_train_selected,0.6,0.5882268280247814,269162.1528339767,320.4947363401191,True,True,434616.84241737594,38.06909291943822,513,512,0.7152282697809483
gemma2_9b,71,oracle_gain,0.3,0.3167474009983525,6100.9025,4.3525,True,True,6426.737850331366,5.069995974934082,636,636,0.0
gemma2_9b,71,oracle_gain,0.35,0.34206827977641896,6674.337559483107,7.074972537793429,True,True,9028.249906376854,26.072742461760235,631,630,0.8966586994785462
gemma2_9b,71,oracle_gain,0.4,0.3909130337612883,9426.489899350168,17.533762572157748,True,True,18442.388153330547,48.88682625602465,626,625,0.1165013113575245
gemma2_9b,71,oracle_gain,0.45,0.44463514121037306,17479.610348604107,34.398676575389516,True,True,42996.38888664221,59.3463293052628,624,622,0.6320975986889916
gemma2_9b,71,oracle_gain,0.5,0.49245061392753187,33392.905900051555,53.58029010282871,True,True,88821.56520695044,62.404506358058974,620,619,0.37101905586524586
gemma2_9b,71,oracle_gain,0.55,0.5379860187682709,67274.65012539999,84.48846190165746,True,True,175580.7449779518,61.68449442799216,617,616,0.5855333268676834
gemma2_9b,71,oracle_gain,0.6,0.5877959724894681,166549.58106915056,168.08810801997618,True,True,431506.884673272,61.40279866096263,613,612,0.5100504900966929
gemma2_9b,72,spacing,0.3,0.32331870504903415,5263.4175,4.075,True,True,5281.551431332921,0.3433447836054704,440,440,0.0
gemma2_9b,72,spacing,0.35,0.36345872566926085,8426.416100875053,15.25572887767283,True,True,9204.219912928538,8.450513127798676,479,332,0.060026390473903256
gemma2_9b,72,spacing,0.4,0.4069307452431111,14031.184017539588,18.326114154877253,True,True,17648.339762522246,20.495728174182116,331,380,0.7497858282553839
gemma2_9b,72,spacing,0.45,0.4497372954223701,26558.707658812502,39.2138911221647,True,True,35987.2441295804,26.19966240487399,377,376,0.33038178134679064
gemma2_9b,72,spacing,0.5,0.493573243822763,57002.8312473876,87.12021595770679,True,True,68747.14325354087,17.08334550403062,374,226,0.5571950089313679
gemma2_9b,72,spacing,0.55,0.5413419018422456,136225.24611727346,194.3375938926538,True,True,167289.93292660906,18.56937011443709,371,468,0.8056241360942996
gemma2_9b,72,spacing,0.6,0.5898840865707491,360872.3665612922,440.48757275786005,True,True,454253.52927312686,20.557058271238617,221,464,0.7487997930367327
gemma2_9b,72,direct_gain,0.3,0.3246037178292534,5264.38,4.1925,True,True,5380.116620025215,2.1511916599434633,538,538,0.0
gemma2_9b,72,direct_gain,0.35,0.367055457730477,7239.5318150117,11.744373398529676,True,True,9650.59831589018,24.983596062728473,529,528,0.5376045037074558
gemma2_9b,72,direct_gain,0.4,0.4142427147941128,14563.485533280065,26.072565084519002,True,True,20362.237398693927,28.47797003774155,526,525,0.7369845909994163
gemma2_9b,72,direct_gain,0.45,0.4596135973347119,26206.318468497124,45.05369233165135,True,True,40717.14211581083,35.63811921288803,523,522,0.11199742560142988
gemma2_9b,72,direct_gain,0.5,0.5045002092716004,54349.373752503416,87.73059679247542,True,True,82606.60826091416,34.20699034048204,520,519,0.1168143517194893
gemma2_9b,72,direct_gain,0.55,0.550517561205499,120160.5854148102,175.43609075170028,True,True,200031.30988044397,39.9291113543032,517,515,0.1950676994303204
gemma2_9b,72,direct_gain,0.6,0.5905944900909148,268742.40063877596,344.2367682618566,True,True,462018.6291416783,41.83299466992576,513,512,0.2725063886442713
gemma2_9b,72,log_gain,0.3,0.323923307190096,5260.8675,4.075,True,True,5327.9266308911365,1.2586346535316317,587,587,0.0
gemma2_9b,72,log_gain,0.35,0.36668025094335055,7194.561174544825,10.931333006914588,True,True,9604.032654737975,25.08812252949266,576,574,0.5903631082879371
gemma2_9b,72,log_gain,0.4,0.41712750622223477,15006.939753064471,25.17726756818052,True,True,21432.9514632179,29.981926293172513,572,571,0.6806356270676804
gemma2_9b,72,log_gain,0.45,0.4699368824894109,31470.402390690888,47.71640241621687,True,True,46287.30117943072,32.01072089146603,569,568,0.9063242577665112
gemma2_9b,72,log_gain,0.5,0.5296844042077885,87914.96650743051,105.75128026778776,True,True,128914.68852606256,31.803763005906948,564,563,0.9498685530722561
gemma2_9b,72,log_gain,0.55,0.5657400189740555,190416.66032245022,191.30198908665585,True,True,273273.5578542888,30.320129829765087,558,557,0.9432936652081488
