method,divisor,splits,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,fixed_utility_mean,fixed_utility_ci_low,fixed_utility_ci_high,adaptive_accuracy_mean,adaptive_accuracy_ci_low,adaptive_accuracy_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high
gaussian_calibrated_probability,100000.0,10,5.235530907452363,2.410657887294589,8.060403927610137,0.009837943948412697,0.005248334561530361,0.014427553335295034,0.21940374107142854,0.18476536659453593,0.2540421155483211,0.20956579712301587,0.17325389540125308,0.24587769884477867,0.2629464285714286,0.23200025782118855,0.2938925993216686,4354.268750000001,3223.7525733664706,5484.7849266335315,8.218799603174604,6.311166069001481,10.126433137347728
gaussian_calibrated_probability,200000.0,10,2.0905852164425496,-0.21774647594331364,4.398916908828413,0.004907780505952361,-0.0005316392663865434,0.010347200278291266,0.24697169766865076,0.20810030911428715,0.2858430862230144,0.24206391716269843,0.2033637906418322,0.28076404368356467,0.2858134920634921,0.2450212214732087,0.3266057626537755,7768.358878968254,6197.464842920501,9339.252915016008,15.164236111111109,11.837863516415988,18.49060870580623
gaussian_calibrated_probability,300000.0,10,2.1080944768404963,0.2078116725915642,4.0083772810894285,0.005222657738095229,-0.00020954068508784694,0.010654856161278306,0.2619301144179894,0.22117637820923777,0.302683850626741,0.2567074566798942,0.2160475529763881,0.2973673603834003,0.2996031746031746,0.2605833505973772,0.338622998608972,11301.918055555556,9841.379566355505,12762.456544755607,21.66001984126984,19.53898880551056,23.78105087702912
gaussian_calibrated_probability,400000.0,10,1.4429404636347114,-0.6685145866923226,3.5543955139617456,0.003269211309523787,-0.0019139145967517774,0.008452337215799351,0.2707703172123016,0.23077325870070525,0.31076737572389795,0.26750110590277776,0.22590280042083075,0.30909941138472474,0.3072420634920635,0.26803081882122487,0.34645330816290215,14588.69851190476,11374.52570176898,17802.87132204054,27.979513888888892,22.509840171118388,33.4491876066594
gaussian_calibrated_probability,500000.0,10,0.1149130448170319,-4.527796457553837,4.7576225471879,0.00028239176587299686,-0.010398869058611966,0.01096365259035796,0.2746064240079365,0.232201745722667,0.317011102293206,0.27432403224206353,0.2322089076197988,0.3164391568643283,0.31646825396825395,0.2762725701079306,0.3566639378285773,20930.91498015873,13720.465608354261,28141.3643519632,40.229414682539684,26.49665435093698,53.96217501414239
gaussian_calibrated_probability,600000.0,10,-0.27105090823123046,-3.4859685083600165,2.9438666918975556,-0.0010364948743386254,-0.009563965923744767,0.007490976175067517,0.2799179900793651,0.2372268523232392,0.32260912783549095,0.2809544849537037,0.23710874356130013,0.3248002263461072,0.31994047619047616,0.2792945005126113,0.36058645186834104,24013.491666666665,18883.7268570033,29143.25647633003,46.397023809523816,36.54277890636046,56.25126871268717
gaussian_calibrated_probability,700000.0,10,-0.05619846852025162,-3.0202893847406975,2.907892447700194,-9.183999433105827e-05,-0.007955307853245937,0.007771627864583821,0.2854620975765306,0.24124443140231097,0.32967976375075025,0.28555393757086167,0.24145944621706839,0.32964842892465496,0.3248511904761905,0.2830525189194098,0.3666498620329712,27572.365029761906,22144.358440597327,33000.37161892648,53.85873015873017,43.41675709955314,64.3007032179072
gaussian_calibrated_probability,800000.0,10,-0.41847602583207555,-3.966334890977282,3.1293828393131307,-0.0009970327380952298,-0.010028304156302964,0.008034238680112505,0.2893703670014881,0.2446607048042908,0.3340800291986854,0.29036739973958337,0.24622068371941624,0.3345141157597505,0.3300595238095238,0.2885366368307987,0.3715824107882489,32551.325446428567,28147.80559322921,36954.84529962792,63.348660714285714,54.98519705697777,71.71212437159366
gaussian_calibrated_probability,900000.0,10,-1.2735229356035047,-3.3716166623925106,0.8245707911855011,-0.003267802910052914,-0.00840613619413274,0.001870530374026912,0.2903727331349206,0.24539065954244266,0.3353548067273986,0.29364053604497353,0.24955045173496868,0.3377306203549784,0.3299603174603175,0.2868564820613205,0.37306415285931455,35628.825892857145,31915.15110358663,39342.500682127655,70.51676587301588,65.0501469823747,75.98338476365707
gaussian_calibrated_probability,1000000.0,10,-1.4785192648019438,-4.001848133962412,1.0448096043585244,-0.003442044246031753,-0.009596496512771389,0.002712408020707883,0.2933901388888889,0.2469733177961166,0.33980695998166116,0.29683218313492066,0.25303983509017736,0.34062453117966396,0.3352182539682539,0.2908404885724464,0.3795960193640614,41828.115079365074,33857.41255440694,49798.81760432321,84.7373511904762,67.13797624976745,102.33672613118496
selected_ucb,100000.0,10,5.933536696334326,3.257621212311908,8.609452180356744,0.011414047619047624,0.006837966277766189,0.01599012896032906,0.2209798447420635,0.18560546913720738,0.2563542203469196,0.20956579712301587,0.17325389540125308,0.24587769884477867,0.2652777777777778,0.23349906681596436,0.29705648873959123,4429.793303571429,3124.3789830534997,5735.2076240893575,8.996775793650794,5.735248703923778,12.25830288337781
selected_ucb,200000.0,10,1.7940764407316259,-1.0862966397299019,4.674449521193154,0.004303603918650786,-0.0022186375381306076,0.010825845375432179,0.24636752108134924,0.20649810647897457,0.2862369356837239,0.24206391716269843,0.2033637906418322,0.28076404368356467,0.2883928571428572,0.24750145423829895,0.3292842600474154,8405.067212301587,4886.696791103739,11923.437633499434,17.56056547619048,8.904586343676002,26.216544608704957
selected_ucb,300000.0,10,1.9071722048685367,0.16571753928962663,3.6486268704474467,0.004513876488095242,0.0003072293224582459,0.00872052365373224,0.26122133316798946,0.22143275731571233,0.3010099090202666,0.2567074566798942,0.2160475529763881,0.2973673603834003,0.29553571428571435,0.2565683439711183,0.3345030846003104,10294.31433531746,8610.458024048608,11978.170646586312,20.25719246031746,16.637918009901387,23.87646691073353
selected_ucb,400000.0,10,0.7087466165039926,-0.8684701133859891,2.2859633463939746,0.0016110028521825275,-0.0020982677447945043,0.005320273449159559,0.2691121087549603,0.2278830340706351,0.31034118343928546,0.26750110590277776,0.22590280042083075,0.30909941138472474,0.3063988095238095,0.2636357383817921,0.3491618806658269,14914.68030753968,9679.491959766285,20149.868655313076,30.189880952380946,18.707713753304795,41.6720481514571
selected_ucb,500000.0,10,-0.13877248237039863,-4.439262899458194,4.161717934717398,0.0002837151785714309,-0.00924145449515273,0.00980888485229559,0.27460774742063493,0.22992577175743995,0.3192897230838299,0.27432403224206353,0.2322089076197988,0.3164391568643283,0.3128472222222222,0.2701011665071509,0.35559327793729356,19119.737400793652,11433.584572585201,26805.890229002103,36.51111111111111,21.8678190194409,51.154403202781324
selected_ucb,600000.0,10,0.3945950911138478,-2.6041874120880486,3.3933775943157443,0.0006461214451058183,-0.007089623803968885,0.008381866694180522,0.28160060639880957,0.23927930490236143,0.3239219078952577,0.2809544849537037,0.23710874356130013,0.3248002263461072,0.32088293650793653,0.27883764703153346,0.3629282259843396,23569.39806547619,17842.925045242657,29295.871085709725,45.88105158730159,34.41752203038506,57.344581144218125
selected_ucb,700000.0,10,-0.5876951669608668,-4.720356085433842,3.544965751512109,-0.0027867783446712036,-0.01609801029576417,0.010524453606421763,0.28276715922619056,0.24267588993913886,0.32285842851324226,0.28555393757086167,0.24145944621706839,0.32964842892465496,0.31979166666666664,0.2806365315192008,0.35894680181413247,25917.155208333334,19779.522760816857,32054.78765584981,51.93675595238095,37.99157586460403,65.88193604015787
selected_ucb,800000.0,10,-0.09214602041981909,-3.5419283066138445,3.357636265774206,-7.38118179563374e-05,-0.008626355745198669,0.008478732109285993,0.29029358792162696,0.24568836004739691,0.334898815795857,0.29036739973958337,0.24622068371941624,0.3345141157597505,0.32881944444444444,0.2869732720631493,0.37066561682573956,30820.68521825397,24871.4863041559,36769.88413235204,59.80625000000001,48.20751929095398,71.40498070904604
selected_ucb,900000.0,10,-0.5710377221814575,-4.1356717458833545,2.99359630152044,-0.0019236059854497362,-0.011786778931482968,0.007939566960583497,0.2917169300595238,0.2489389978572348,0.3344948622618128,0.29364053604497353,0.24955045173496868,0.3377306203549784,0.332093253968254,0.2866352046652635,0.37755130327124453,36338.691517857136,27836.886397045055,44840.49663866922,69.96825396825395,53.772424442240776,86.16408349426712
selected_ucb,1000000.0,10,-1.969254857906264,-5.387438368028139,1.4489286522156104,-0.005119316666666676,-0.014435897842500815,0.004197264509167463,0.29171286646825395,0.24639515589080455,0.3370305770457034,0.29683218313492066,0.25303983509017736,0.34062453117966396,0.33883928571428573,0.2941096293694038,0.38356894205916764,47126.41924603174,34462.93751415034,59789.900977913145,90.69985119047618,66.28577420585563,115.11392817509673
shifted_exponential_calibrated_probability,100000.0,10,5.748809886644606,2.811975369967437,8.685644403321776,0.011043828373015882,0.00588421251213034,0.016203444233901423,0.22060962549603177,0.18510074823912817,0.2561185027529354,0.20956579712301587,0.17325389540125308,0.24587769884477867,0.26537698412698413,0.23357442131672002,0.29717954693724824,4476.7358630952385,3099.5093925861797,5853.962333604297,9.096428571428572,5.746926656224161,12.445930486632982
