split,method,divisor,adaptive_accuracy,fixed_accuracy,accuracy_gap_pp,adaptive_chars,fixed_chars,cost_mismatch,fixed_n_low,fixed_n_high,fixed_high_weight
75,gaussian_calibrated_probability,100000.0,0.22271825396825398,0.21079601108754667,1.1922242880707312,3915.8670634920636,3915.8670634920636,0.0,7,8,0.42172147509592717
75,shifted_exponential_calibrated_probability,100000.0,0.21676587301587302,0.1911195008402219,2.5646372175651133,2904.3258928571427,2904.3258928571427,0.0,5,6,0.47070473724530637
75,selected_ucb,100000.0,0.21676587301587302,0.1911195008402219,2.5646372175651133,2904.3258928571427,2904.3258928571427,0.0,5,6,0.47070473724530637
75,gaussian_calibrated_probability,200000.0,0.2371031746031746,0.230110444362612,0.69927302405626,5628.047123015873,5628.047123015872,9.094947017729282e-13,10,11,0.6558506483361968
75,shifted_exponential_calibrated_probability,200000.0,0.24305555555555555,0.22077034655371222,2.228520900184333,4609.359126984127,4609.359126984127,0.0,8,9,0.7247169503262598
75,selected_ucb,200000.0,0.24305555555555555,0.22077034655371222,2.228520900184333,4609.359126984127,4609.359126984127,0.0,8,9,0.7247169503262598
75,gaussian_calibrated_probability,300000.0,0.26339285714285715,0.25351895881749026,0.9873898325366892,11100.241567460318,11100.24156746032,-1.8189894035458565e-12,21,22,0.0235552440150982
75,shifted_exponential_calibrated_probability,300000.0,0.26438492063492064,0.2555734288691903,0.8811491765730317,11664.557043650793,11664.55704365079,3.637978807091713e-12,22,23,0.07867753342920765
75,selected_ucb,300000.0,0.26438492063492064,0.2555734288691903,0.8811491765730317,11664.557043650793,11664.55704365079,3.637978807091713e-12,22,23,0.07867753342920765
75,gaussian_calibrated_probability,400000.0,0.2628968253968254,0.2547599977002891,0.8136827696536286,11434.417658730159,11434.417658730159,0.0,21,22,0.6490388409457007
75,shifted_exponential_calibrated_probability,400000.0,0.24702380952380953,0.23802052319502068,0.9003286328788856,7195.933531746032,7195.933531746032,0.0,13,14,0.6164582537205826
75,selected_ucb,400000.0,0.24702380952380953,0.23802052319502068,0.9003286328788856,7195.933531746032,7195.933531746032,0.0,13,14,0.6164582537205826
75,gaussian_calibrated_probability,500000.0,0.26785714285714285,0.25780675687661075,1.0050385980532095,13952.307539682539,13952.307539682535,3.637978807091713e-12,26,27,0.3692109316236238
75,shifted_exponential_calibrated_probability,500000.0,0.2509920634920635,0.24369620541662826,0.729585807543523,8455.244543650793,8455.244543650793,0.0,16,17,0.04165001713179663
75,selected_ucb,500000.0,0.2509920634920635,0.24369620541662826,0.729585807543523,8455.244543650793,8455.244543650793,0.0,16,17,0.04165001713179663
75,gaussian_calibrated_probability,600000.0,0.27380952380952384,0.26887471288012765,0.4934810929396183,20645.74503968254,20645.745039682544,-3.637978807091713e-12,39,40,0.051421166337435084
75,shifted_exponential_calibrated_probability,600000.0,0.2693452380952381,0.2609810060996098,0.8364231995628302,15861.477182539682,15861.477182539682,0.0,30,31,0.06885414840666365
75,selected_ucb,600000.0,0.2693452380952381,0.2609810060996098,0.8364231995628302,15861.477182539682,15861.477182539682,0.0,30,31,0.06885414840666365
75,gaussian_calibrated_probability,700000.0,0.283234126984127,0.28144516396273306,0.1788963021393919,35823.24503968254,35823.24503968254,0.0,67,68,0.39345054886989334
75,shifted_exponential_calibrated_probability,700000.0,0.27033730158730157,0.2642626796682736,0.6074621919027967,16785.930555555555,16785.930555555555,0.0,31,32,0.7922603685399359
75,selected_ucb,700000.0,0.27033730158730157,0.2642626796682736,0.6074621919027967,16785.930555555555,16785.930555555555,0.0,31,32,0.7922603685399359
75,gaussian_calibrated_probability,800000.0,0.27976190476190477,0.27665488235022623,0.31070224116785394,29699.911706349205,29699.911706349205,0.0,55,56,0.7362428180561617
75,shifted_exponential_calibrated_probability,800000.0,0.2683531746031746,0.2616224942570672,0.6730680346107409,16223.763392857143,16223.763392857143,0.0,30,31,0.715474211123684
75,selected_ucb,800000.0,0.2683531746031746,0.2616224942570672,0.6730680346107409,16223.763392857143,16223.763392857143,0.0,30,31,0.715474211123684
75,gaussian_calibrated_probability,900000.0,0.2837301587301587,0.28284848116493944,0.08816775652192854,37112.673115079364,37112.673115079364,0.0,69,70,0.7774619714821827
75,shifted_exponential_calibrated_probability,900000.0,0.2822420634920635,0.282775553153749,-0.05334896616855378,37840.830357142855,37840.830357142855,0.0,71,72,0.07551515795814825
75,selected_ucb,900000.0,0.2822420634920635,0.282775553153749,-0.05334896616855378,37840.830357142855,37840.830357142855,0.0,71,72,0.07551515795814825
75,gaussian_calibrated_probability,1000000.0,0.28621031746031744,0.28422619047619047,0.1984126984126977,41746.34623015873,41746.34623015873,0.0,78,79,0.3886694614948541
75,shifted_exponential_calibrated_probability,1000000.0,0.2822420634920635,0.28273809523809523,-0.04960317460317443,37578.855158730155,37578.855158730155,0.0,70,71,0.6145624925484418
75,selected_ucb,1000000.0,0.2822420634920635,0.28273809523809523,-0.04960317460317443,37578.855158730155,37578.855158730155,0.0,70,71,0.6145624925484418
76,gaussian_calibrated_probability,100000.0,0.19940476190476192,0.1927253818038457,0.6679380100916205,3483.410218253968,3483.410218253968,0.0,6,7,0.883592429138226
76,shifted_exponential_calibrated_probability,100000.0,0.2013888888888889,0.19248785713093833,0.8901031757950567,3422.122023809524,3422.122023809524,0.0,6,7,0.7638799939929177
76,selected_ucb,100000.0,0.2013888888888889,0.19248785713093833,0.8901031757950567,3422.122023809524,3422.122023809524,0.0,6,7,0.7638799939929177
76,gaussian_calibrated_probability,200000.0,0.21081349206349206,0.21822248874960615,-0.7408996686114083,8048.164682539683,8048.164682539683,0.0,15,16,0.9682686596029787
76,shifted_exponential_calibrated_probability,200000.0,0.20188492063492064,0.20746825757035825,-0.5583336935437611,5168.302083333333,5168.302083333333,0.0,10,11,0.2512014523684473
76,selected_ucb,200000.0,0.20188492063492064,0.20746825757035825,-0.5583336935437611,5168.302083333333,5168.302083333333,0.0,10,11,0.2512014523684473
76,gaussian_calibrated_probability,300000.0,0.2296626984126984,0.22964311651535876,0.0019581897339637777,13597.307539682539,13597.307539682539,0.0,26,27,0.9901307237408229
76,shifted_exponential_calibrated_probability,300000.0,0.22916666666666666,0.22626732159871762,0.2899345067949033,12590.129464285714,12590.129464285714,0.0,25,26,0.05164011433825711
76,selected_ucb,300000.0,0.22916666666666666,0.22626732159871762,0.2899345067949033,12590.129464285714,12590.129464285714,0.0,25,26,0.05164011433825711
76,gaussian_calibrated_probability,400000.0,0.23809523809523808,0.23873300231218492,-0.06377642169468345,19779.879464285714,19779.879464285714,0.0,39,40,0.285732661364807
76,shifted_exponential_calibrated_probability,400000.0,0.2361111111111111,0.23320044956092445,0.2910661550186655,16858.87251984127,16858.87251984127,0.0,33,34,0.43394684258812566
76,selected_ucb,400000.0,0.2361111111111111,0.23320044956092445,0.2910661550186655,16858.87251984127,16858.87251984127,0.0,33,34,0.43394684258812566
76,gaussian_calibrated_probability,500000.0,0.2564484126984127,0.26541833629979233,-0.8969923601379659,43259.53918650794,43259.53918650794,0.0,85,86,0.5208414950953342
76,shifted_exponential_calibrated_probability,500000.0,0.25744047619047616,0.2663690476190476,-0.8928571428571452,43557.02678571428,43557.02678571428,0.0,86,87,0.09791373757519879
76,selected_ucb,500000.0,0.2564484126984127,0.26541833629979233,-0.8969923601379659,43259.53918650794,43259.53918650794,0.0,85,86,0.5208414950953342
76,gaussian_calibrated_probability,600000.0,0.25595238095238093,0.2604166666666667,-0.4464285714285754,39714.587797619046,39714.587797619046,0.0,78,79,0.5950309981130703
76,shifted_exponential_calibrated_probability,600000.0,0.2544642857142857,0.2599561175517817,-0.549183183749602,38931.46031746032,38931.46031746032,0.0,77,78,0.07153298439195166
76,selected_ucb,600000.0,0.2544642857142857,0.2599561175517817,-0.549183183749602,38931.46031746032,38931.46031746032,0.0,77,78,0.07153298439195166
76,gaussian_calibrated_probability,700000.0,0.25396825396825395,0.25987710463963437,-0.5908850671380417,38846.29712301587,38846.29712301587,0.0,76,77,0.9122429535029039
76,shifted_exponential_calibrated_probability,700000.0,0.2534722222222222,0.2599942695070964,-0.6522047284874211,38971.10565476191,38971.105654761916,-7.275957614183426e-12,77,78,0.14844732630639948
76,selected_ucb,700000.0,0.2534722222222222,0.2599942695070964,-0.6522047284874211,38971.10565476191,38971.105654761916,-7.275957614183426e-12,77,78,0.14844732630639948
76,gaussian_calibrated_probability,800000.0,0.25496031746031744,0.26133395736268533,-0.6373639902367889,41651.37202380953,41651.37202380953,0.0,82,83,0.42462902158682125
76,shifted_exponential_calibrated_probability,800000.0,0.2544642857142857,0.26089107289066943,-0.642678717638373,41424.40277777778,41424.40277777778,0.0,81,82,0.9564029475895462
76,selected_ucb,800000.0,0.2544642857142857,0.26089107289066943,-0.642678717638373,41424.40277777778,41424.40277777778,0.0,81,82,0.9564029475895462
76,gaussian_calibrated_probability,900000.0,0.25396825396825395,0.2604166666666667,-0.6448412698412731,39920.41121031746,39920.41121031746,0.0,78,79,0.9971681573737011
76,shifted_exponential_calibrated_probability,900000.0,0.2524801587301587,0.25943115221139407,-0.6950993481235346,38351.56597222222,38351.56597222222,0.0,76,77,0.01320285817045762
76,selected_ucb,900000.0,0.2524801587301587,0.25943115221139407,-0.6950993481235346,38351.56597222222,38351.56597222222,0.0,76,77,0.01320285817045762
76,gaussian_calibrated_probability,1000000.0,0.2698412698412698,0.28273809523809523,-1.2896825396825407,64770.24801587302,64770.24801587302,0.0,127,128,0.5868088852844104
76,shifted_exponential_calibrated_probability,1000000.0,0.27976190476190477,0.2915697462103542,-1.180784144844943,83753.21081349206,83753.21081349206,0.0,165,166,0.1953916399259226
76,selected_ucb,1000000.0,0.27976190476190477,0.2915697462103542,-1.180784144844943,83753.21081349206,83753.21081349206,0.0,165,166,0.1953916399259226
77,gaussian_calibrated_probability,100000.0,0.3308531746031746,0.30097520749854206,2.987796710463253,4323.679563492064,4323.679563492064,0.0,8,9,0.22075228963260193
77,shifted_exponential_calibrated_probability,100000.0,0.32936507936507936,0.2974046427592415,3.1960436605837863,3990.939484126984,3990.939484126984,0.0,7,8,0.582135369433149
77,selected_ucb,100000.0,0.32936507936507936,0.2974046427592415,3.1960436605837863,3990.939484126984,3990.939484126984,0.0,7,8,0.582135369433149
77,gaussian_calibrated_probability,200000.0,0.36706349206349204,0.34941257688205996,1.765091518143208,9416.445436507936,9416.445436507936,0.0,17,18,0.7736792848904057
77,shifted_exponential_calibrated_probability,200000.0,0.3680555555555556,0.3440549320614428,2.4000623494112805,8698.614583333334,8698.614583333334,0.0,16,17,0.40163811509650876
77,selected_ucb,200000.0,0.3680555555555556,0.3440549320614428,2.4000623494112805,8698.614583333334,8698.614583333334,0.0,16,17,0.40163811509650876
77,gaussian_calibrated_probability,300000.0,0.37549603174603174,0.3590152567302351,1.6480775015796645,11443.22123015873,11443.22123015873,0.0,21,22,0.774757568153975
77,shifted_exponential_calibrated_probability,300000.0,0.37549603174603174,0.35878483977940073,1.6711191966631012,11209.056547619048,11209.056547619048,0.0,21,22,0.310236995271903
77,selected_ucb,300000.0,0.37549603174603174,0.35878483977940073,1.6711191966631012,11209.056547619048,11209.056547619048,0.0,21,22,0.310236995271903
77,gaussian_calibrated_probability,400000.0,0.38392857142857145,0.3804563492063492,0.34722222222222654,17168.24255952381,17168.24255952381,0.0,33,34,0.08843240137451967
77,shifted_exponential_calibrated_probability,400000.0,0.40327380952380953,0.39342484193266225,0.9848967591147284,22279.725694444445,22279.725694444445,0.0,42,43,0.8555186637528753
77,selected_ucb,400000.0,0.40327380952380953,0.39342484193266225,0.9848967591147284,22279.725694444445,22279.725694444445,0.0,42,43,0.8555186637528753
77,gaussian_calibrated_probability,500000.0,0.40674603174603174,0.40625,0.04960317460317443,32398.539186507936,32398.539186507936,0.0,62,63,0.4730277533344512
77,shifted_exponential_calibrated_probability,500000.0,0.40625,0.4040154004114377,0.22345995885623138,28398.35863095238,28398.35863095238,0.0,54,55,0.5049527705416649
77,selected_ucb,500000.0,0.40625,0.4040154004114377,0.22345995885623138,28398.35863095238,28398.35863095238,0.0,54,55,0.5049527705416649
77,gaussian_calibrated_probability,600000.0,0.4027777777777778,0.4034326185491239,-0.0654840771346088,28766.754464285714,28766.754464285714,0.0,55,56,0.22661366832211524
77,shifted_exponential_calibrated_probability,600000.0,0.40625,0.40279464852749486,0.34553514725051415,27841.413194444445,27841.413194444445,0.0,53,54,0.40680228628595844
77,selected_ucb,600000.0,0.40625,0.40279464852749486,0.34553514725051415,27841.413194444445,27841.413194444445,0.0,53,54,0.40680228628595844
77,gaussian_calibrated_probability,700000.0,0.41121031746031744,0.40625,0.49603174603174427,32439.269345238095,32439.269345238095,0.0,62,63,0.55421342482277
77,shifted_exponential_calibrated_probability,700000.0,0.38392857142857145,0.4140500838901443,-3.012151246157285,38271.072916666664,38271.07291666666,7.275957614183426e-12,73,74,0.5749897075103059
