split,method,divisor,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,adaptive_accuracy,adaptive_chars,adaptive_opens,fixed_n,config_id
75,gaussian_calibrated_probability,100000.0,0.1835595833333333,0.17232473214285712,0.01123485119047618,6.5195814035344,0.22271825396825398,3915.8670634920636,7.754464285714286,7,3
75,shifted_exponential_calibrated_probability,100000.0,0.18772261408730156,0.17232473214285712,0.015397881944444441,8.935387133913897,0.21676587301587302,2904.3258928571427,5.411210317460317,7,255
75,selected_ucb,100000.0,0.18772261408730156,0.17232473214285712,0.015397881944444441,8.935387133913897,0.21676587301587302,2904.3258928571427,5.411210317460317,7,255
75,gaussian_calibrated_probability,200000.0,0.20896293898809523,0.20862418898809523,0.0003387499999999988,0.16237330946284897,0.2371031746031746,5628.047123015873,11.306051587301587,11,30
75,shifted_exponential_calibrated_probability,200000.0,0.22000875992063493,0.20862418898809523,0.011384570932539695,5.456975525110051,0.24305555555555555,4609.359126984127,8.49454365079365,11,265
75,selected_ucb,200000.0,0.22000875992063493,0.20862418898809523,0.011384570932539695,5.456975525110051,0.24305555555555555,4609.359126984127,8.49454365079365,11,265
75,gaussian_calibrated_probability,300000.0,0.22639205191798942,0.22146850694444448,0.004923544973544941,2.223135488415071,0.26339285714285715,11100.241567460318,21.036706349206348,16,39
75,shifted_exponential_calibrated_probability,300000.0,0.2255030638227513,0.22146850694444448,0.004034556878306811,1.82172938896404,0.26438492063492064,11664.557043650793,21.675099206349206,16,214
75,selected_ucb,300000.0,0.2255030638227513,0.22146850694444448,0.004034556878306811,1.82172938896404,0.26438492063492064,11664.557043650793,21.675099206349206,16,214
75,gaussian_calibrated_probability,400000.0,0.23431078125,0.23423138764880955,7.93936011904417e-05,0.03389537242953921,0.2628968253968254,11434.417658730159,21.77331349206349,22,29
75,shifted_exponential_calibrated_probability,400000.0,0.22903397569444445,0.23423138764880955,-0.0051974119543651,-2.2189220695553162,0.24702380952380953,7195.933531746032,14.26140873015873,22,129
75,selected_ucb,400000.0,0.22903397569444445,0.23423138764880955,-0.0051974119543651,-2.2189220695553162,0.24702380952380953,7195.933531746032,14.26140873015873,22,129
75,gaussian_calibrated_probability,500000.0,0.23995252777777776,0.23737201984126982,0.0025805079365079364,1.0871154646758774,0.26785714285714285,13952.307539682539,25.86904761904762,29,35
75,shifted_exponential_calibrated_probability,500000.0,0.2340815744047619,0.23737201984126982,-0.003290445436507916,-1.3861976818953767,0.2509920634920635,8455.244543650793,15.21031746031746,29,133
75,selected_ucb,500000.0,0.2340815744047619,0.23737201984126982,-0.003290445436507916,-1.3861976818953767,0.2509920634920635,8455.244543650793,15.21031746031746,29,133
75,gaussian_calibrated_probability,600000.0,0.23939994874338624,0.23590348792989418,0.0034964608134920583,1.4821573195777151,0.27380952380952384,20645.74503968254,39.30902777777778,37,30
75,shifted_exponential_calibrated_probability,600000.0,0.2429094427910053,0.23590348792989418,0.007005954861111108,2.969839455359447,0.2693452380952381,15861.477182539682,30.21279761904762,37,170
75,selected_ucb,600000.0,0.2429094427910053,0.23590348792989418,0.007005954861111108,2.969839455359447,0.2693452380952381,15861.477182539682,30.21279761904762,37,170
75,gaussian_calibrated_probability,700000.0,0.23205806264172338,0.24054905187074832,-0.008490989229024942,-3.529836913922785,0.283234126984127,35823.24503968254,70.1235119047619,45,61
75,shifted_exponential_calibrated_probability,700000.0,0.2463574007936508,0.24054905187074832,0.005808348922902468,2.414621416185588,0.27033730158730157,16785.930555555555,31.737103174603174,45,168
75,selected_ucb,700000.0,0.2463574007936508,0.24054905187074832,0.005808348922902468,2.414621416185588,0.27033730158730157,16785.930555555555,31.737103174603174,45,168
75,gaussian_calibrated_probability,800000.0,0.24263701512896826,0.24420851066468255,-0.0015714955357142846,-0.6435056384550296,0.27976190476190477,29699.911706349205,56.87202380952381,52,66
75,shifted_exponential_calibrated_probability,800000.0,0.24807347036210317,0.24420851066468255,0.0038649596974206224,1.582647421623858,0.2683531746031746,16223.763392857143,30.29513888888889,52,262
75,selected_ucb,800000.0,0.24807347036210317,0.24420851066468255,0.0038649596974206224,1.582647421623858,0.2683531746031746,16223.763392857143,30.29513888888889,52,262
75,gaussian_calibrated_probability,900000.0,0.24249385526895945,0.24382503527336863,-0.0013311800044091826,-0.5459570642189008,0.2837301587301587,37112.673115079364,71.97420634920636,60,67
