split,method,divisor,config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,train_accuracy,train_chars,train_utility,fixed_n
76,gaussian_calibrated_probability,50000.0,30,gaussian,bounded_identity,0.0,1000000.0,0.0,1.2,,0.34146341463414637,3011.7195121951218,0.28122902439024394,7
76,shifted_exponential_calibrated_probability,50000.0,184,shifted_exponential,bounded_identity,0.2,20.0,0.0,1.2,0.5,0.34146341463414637,3105.0,0.2793634146341464,7
76,selected_ucb,50000.0,30,gaussian,bounded_identity,0.0,1000000.0,0.0,1.2,,0.34146341463414637,3011.7195121951218,0.28122902439024394,7
76,gaussian_calibrated_probability,100000.0,35,gaussian,bounded_identity,0.0,1000000.0,10.0,1.0,,0.34146341463414637,3866.8475609756097,0.30279493902439025,12
76,shifted_exponential_calibrated_probability,100000.0,140,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.0,0.5,0.34146341463414637,3665.731707317073,0.30480609756097565,12
76,selected_ucb,100000.0,140,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.0,0.5,0.34146341463414637,3665.731707317073,0.30480609756097565,12
76,gaussian_calibrated_probability,200000.0,17,gaussian,bounded_identity,0.0,20.0,0.0,1.3,,0.36585365853658536,7163.134146341464,0.33003798780487803,20
76,shifted_exponential_calibrated_probability,200000.0,276,shifted_exponential,bounded_identity,0.0,20.0,10.0,1.3,0.75,0.3597560975609756,5491.59756097561,0.3322981097560975,20
76,selected_ucb,200000.0,276,shifted_exponential,bounded_identity,0.0,20.0,10.0,1.3,0.75,0.3597560975609756,5491.59756097561,0.3322981097560975,20
76,gaussian_calibrated_probability,300000.0,39,gaussian,bounded_identity,0.0,1000000.0,10.0,1.5,,0.39634146341463417,13418.55487804878,0.35161294715447156,29
76,shifted_exponential_calibrated_probability,300000.0,326,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,1.5,0.75,0.39634146341463417,12167.573170731708,0.3557828861788618,29
76,selected_ucb,300000.0,326,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,1.5,0.75,0.39634146341463417,12167.573170731708,0.3557828861788618,29
76,gaussian_calibrated_probability,400000.0,113,gaussian,bounded_identity,0.8,1000000.0,0.0,1.1,,0.4146341463414634,20644.878048780487,0.3630219512195122,39
76,shifted_exponential_calibrated_probability,400000.0,197,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,1.1,0.5,0.40853658536585363,16301.426829268292,0.3677830182926829,39
76,selected_ucb,400000.0,197,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,1.1,0.5,0.40853658536585363,16301.426829268292,0.3677830182926829,39
76,gaussian_calibrated_probability,500000.0,117,gaussian,bounded_identity,0.8,1000000.0,0.0,2.0,,0.4695121951219512,42536.506097560974,0.3844391829268292,49
76,shifted_exponential_calibrated_probability,500000.0,243,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,2.0,0.5,0.4634146341463415,41809.67682926829,0.3797952804878049,49
76,selected_ucb,500000.0,117,gaussian,bounded_identity,0.8,1000000.0,0.0,2.0,,0.4695121951219512,42536.506097560974,0.3844391829268292,49
76,gaussian_calibrated_probability,600000.0,116,gaussian,bounded_identity,0.8,1000000.0,0.0,1.5,,0.4695121951219512,39764.634146341465,0.4032378048780487,59
76,shifted_exponential_calibrated_probability,600000.0,368,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,1.5,0.75,0.4634146341463415,36004.134146341465,0.40340774390243905,59
76,selected_ucb,600000.0,368,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,1.5,0.75,0.4634146341463415,36004.134146341465,0.40340774390243905,59
76,gaussian_calibrated_probability,700000.0,73,gaussian,bounded_identity,0.2,1000000.0,0.0,1.3,,0.4573170731707317,35861.92682926829,0.40608574912891987,69
76,shifted_exponential_calibrated_probability,700000.0,206,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,1.3,0.5,0.4634146341463415,36099.91463414634,0.4118433275261324,69
76,selected_ucb,700000.0,206,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,1.3,0.5,0.4634146341463415,36099.91463414634,0.4118433275261324,69
76,gaussian_calibrated_probability,800000.0,79,gaussian,bounded_identity,0.2,1000000.0,10.0,1.2,,0.4695121951219512,39634.56707317073,0.4199689862804878,80
76,shifted_exponential_calibrated_probability,800000.0,198,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,1.2,0.5,0.4695121951219512,38771.170731707316,0.42104823170731703,80
76,selected_ucb,800000.0,198,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,1.2,0.5,0.4695121951219512,38771.170731707316,0.42104823170731703,80
76,gaussian_calibrated_probability,900000.0,70,gaussian,bounded_identity,0.2,1000000.0,0.0,1.0,,0.4634146341463415,38087.66463414634,0.4210950067750678,92
76,shifted_exponential_calibrated_probability,900000.0,154,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.0,0.5,0.4695121951219512,35300.37804878049,0.43028955284552844,92
76,selected_ucb,900000.0,154,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.0,0.5,0.4695121951219512,35300.37804878049,0.43028955284552844,92
76,gaussian_calibrated_probability,1000000.0,103,gaussian,bounded_identity,0.8,20.0,0.0,2.0,,0.4878048780487805,64930.29878048781,0.42287457926829264,104
76,shifted_exponential_calibrated_probability,1000000.0,159,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,2.0,0.5,0.5060975609756098,72978.53048780488,0.43311903048780487,104
76,selected_ucb,1000000.0,159,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,2.0,0.5,0.5060975609756098,72978.53048780488,0.43311903048780487,104
77,gaussian_calibrated_probability,50000.0,4,gaussian,bounded_identity,0.0,5.0,0.0,1.5,,0.18292682926829268,2524.237804878049,0.1324420731707317,5
77,shifted_exponential_calibrated_probability,50000.0,313,shifted_exponential,bounded_identity,0.2,20.0,0.0,2.0,0.75,0.18902439024390244,2665.829268292683,0.1357078048780488,5
77,selected_ucb,50000.0,313,shifted_exponential,bounded_identity,0.2,20.0,0.0,2.0,0.75,0.18902439024390244,2665.829268292683,0.1357078048780488,5
77,gaussian_calibrated_probability,100000.0,25,gaussian,bounded_identity,0.0,20.0,10.0,1.5,,0.21341463414634146,4093.298780487805,0.1724816463414634,8
77,shifted_exponential_calibrated_probability,100000.0,158,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.5,0.5,0.21341463414634146,3615.939024390244,0.17725524390243902,8
77,selected_ucb,100000.0,158,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.5,0.5,0.21341463414634146,3615.939024390244,0.17725524390243902,8
77,gaussian_calibrated_probability,200000.0,26,gaussian,bounded_identity,0.0,20.0,10.0,2.0,,0.25,8402.59756097561,0.20798701219512195,14
77,shifted_exponential_calibrated_probability,200000.0,346,shifted_exponential,bounded_identity,0.8,5.0,10.0,1.3,0.75,0.25,8202.060975609756,0.2089896951219512,14
77,selected_ucb,200000.0,346,shifted_exponential,bounded_identity,0.8,5.0,10.0,1.3,0.75,0.25,8202.060975609756,0.2089896951219512,14
77,gaussian_calibrated_probability,300000.0,121,gaussian,bounded_identity,0.8,1000000.0,10.0,1.2,,0.25,11152.121951219513,0.21282626016260162,20
77,shifted_exponential_calibrated_probability,300000.0,359,shifted_exponential,bounded_identity,0.8,20.0,10.0,1.2,0.75,0.25609756097560976,10778.487804878048,0.22016926829268293,20
77,selected_ucb,300000.0,359,shifted_exponential,bounded_identity,0.8,20.0,10.0,1.2,0.75,0.25609756097560976,10778.487804878048,0.22016926829268293,20
77,gaussian_calibrated_probability,400000.0,26,gaussian,bounded_identity,0.0,20.0,10.0,2.0,,0.2621951219512195,15075.158536585366,0.2245072256097561,27
77,shifted_exponential_calibrated_probability,400000.0,355,shifted_exponential,bounded_identity,0.8,20.0,0.0,2.0,0.75,0.2804878048780488,20127.914634146342,0.23016801829268296,27
77,selected_ucb,400000.0,355,shifted_exponential,bounded_identity,0.8,20.0,0.0,2.0,0.75,0.2804878048780488,20127.914634146342,0.23016801829268296,27
77,gaussian_calibrated_probability,500000.0,117,gaussian,bounded_identity,0.8,1000000.0,0.0,2.0,,0.3048780487804878,31361.573170731706,0.24215490243902438,36
77,shifted_exponential_calibrated_probability,500000.0,362,shifted_exponential,bounded_identity,0.8,20.0,10.0,2.0,0.75,0.29878048780487804,25610.591463414636,0.24755930487804878,36
77,selected_ucb,500000.0,362,shifted_exponential,bounded_identity,0.8,20.0,10.0,2.0,0.75,0.29878048780487804,25610.591463414636,0.24755930487804878,36
77,gaussian_calibrated_probability,600000.0,74,gaussian,bounded_identity,0.2,1000000.0,0.0,1.5,,0.2926829268292683,26837.09756097561,0.24795443089430894,44
77,shifted_exponential_calibrated_probability,600000.0,361,shifted_exponential,bounded_identity,0.8,20.0,10.0,1.5,0.75,0.3048780487804878,25035.29268292683,0.26315256097560974,44
77,selected_ucb,600000.0,361,shifted_exponential,bounded_identity,0.8,20.0,10.0,1.5,0.75,0.3048780487804878,25035.29268292683,0.26315256097560974,44
77,gaussian_calibrated_probability,700000.0,115,gaussian,bounded_identity,0.8,1000000.0,0.0,1.3,,0.3048780487804878,31160.29268292683,0.26036334494773516,54
77,shifted_exponential_calibrated_probability,700000.0,272,shifted_exponential,bounded_identity,0.0,20.0,0.0,,0.75,0.3170731707317073,33803.634146341465,0.26878226480836237,54
77,selected_ucb,700000.0,272,shifted_exponential,bounded_identity,0.0,20.0,0.0,,0.75,0.3170731707317073,33803.634146341465,0.26878226480836237,54
77,gaussian_calibrated_probability,800000.0,113,gaussian,bounded_identity,0.8,1000000.0,0.0,1.1,,0.3048780487804878,31310.10975609756,0.2657404115853659,64
77,shifted_exponential_calibrated_probability,800000.0,316,shifted_exponential,bounded_identity,0.2,20.0,10.0,1.1,0.75,0.29878048780487804,21738.94512195122,0.271606806402439,64
77,selected_ucb,800000.0,316,shifted_exponential,bounded_identity,0.2,20.0,10.0,1.1,0.75,0.29878048780487804,21738.94512195122,0.271606806402439,64
77,gaussian_calibrated_probability,900000.0,112,gaussian,bounded_identity,0.8,1000000.0,0.0,1.0,,0.3048780487804878,33026.884146341465,0.2681815108401084,75
77,shifted_exponential_calibrated_probability,900000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.32926829268292684,51597.615853658535,0.27193760840108405,75
