reward_model,generator,price_per_million,fixed_n,fixed_quality,adaptive_quality,fixed_cost_dollars,adaptive_cost_dollars,fixed_net_utility,adaptive_net_utility,net_utility_gain,relative_net_utility_gain_percent,fixed_output_tokens,adaptive_output_tokens,adaptive_calls,direct_cost_saving_percent
fsfairx_llama3_rm,qwen35_9b,0.1,482.0,0.591692767052828,0.6169712722012841,0.039796248750000006,0.07452355805000001,0.551896518302828,0.5424477141512841,-0.009448804151543899,-1.7136274557679059,397962.48749999993,745235.5804999999,929.5865,-90.47440187952391
fsfairx_llama3_rm,qwen35_9b,0.2,231.4,0.5602699390637225,0.6090012556354931,0.038099615600000004,0.1181966802,0.5221703234637225,0.490804575435493,-0.031365748028229515,-6.010071522704241,190498.07799999998,590983.401,802.8275,-214.68141737665218
fsfairx_llama3_rm,qwen35_9b,0.5,103.4,0.5257674717972306,0.5901049044309283,0.042386771499999996,0.16987733649999998,0.4833807002972306,0.42022756793092836,-0.06315313236630223,-13.067776204734457,84773.543,339754.673,562.0515000000001,-302.87358442890945
fsfairx_llama3_rm,qwen35_9b,1.0,66.4,0.5033446324374339,0.5689468479283523,0.054639113,0.20929000299999995,0.44870551943743386,0.35965684492835226,-0.08904867450908162,-19.850281267157737,54639.113,209290.003,396.127,-286.4642328398265
fsfairx_llama3_rm,qwen35_9b,2.0,32.6,0.4655117233738265,0.546363823319698,0.053476282,0.244273574,0.41203544137382647,0.30209024931969813,-0.10994519205412838,-26.692019844046957,26738.141000000003,122136.78700000001,254.18800000000002,-357.6892338779711
fsfairx_llama3_rm,qwen35_9b,5.0,18.6,0.4275319752754788,0.5089111192891693,0.07642122,0.291525185,0.35111075527547875,0.2173859342891693,-0.13372482098630942,-38.111541705216794,15284.244,58305.037,125.447,-283.4397863926873
fsfairx_llama3_rm,qwen35_9b,10.0,10.2,0.380101531998572,0.48067519477328835,0.083975605,0.33509049500000004,0.2961259269985721,0.14558469977328833,-0.15054122722528374,-50.89523805088906,8397.560500000001,33509.04950000001,72.365,-300.24153851202584
