split,method,target_accuracy,target_margin,target_reached_train,fallback_reason,config_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,selection_chars,adaptive_accuracy,adaptive_predicted_accuracy,adaptive_chars,adaptive_opens,target_error_pp,train_fixed_n,train_fixed_target_reached_train,train_fixed_train_accuracy,train_fixed_train_chars,train_fixed_test_accuracy,train_fixed_test_chars,saving_vs_train_fixed_pct,oracle_fixed_n,oracle_fixed_accuracy,oracle_fixed_chars,oracle_target_reached,oracle_accuracy_overshoot_pp,saving_vs_oracle_fixed_pct,cost_unit,policy_uses_fixed_n,policy_is_mixture
95,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25,0.25882265413141686,0.26071428571428573,2387.2088414634145,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.24206349206349206,0.23632665289003976,2814.907738095238,6.106646825396825,-0.7936507936507936,12,True,0.2514273898985882,6656.842797256097,0.26400254168647475,5870.706473214285,52.05163550692664,8,0.24713130082517307,3913.8043154761904,True,0.5067808761681003,28.077453260389955,output_characters,False,False
95,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.2850446559227764,0.3036411149825784,5327.745426829269,0.30773809523809526,7434.221686361343,7434.221686361343,0.28621031746031744,0.2775933301295233,6701.383432539683,14.780753968253968,-1.3789682539682546,202,True,0.30004649841925407,112056.85375381097,0.31965358735312727,98823.5589657738,93.21884022122637,27,0.2868962415411753,13209.089564732143,True,0.06859240808578804,49.26687869213812,output_characters,False,False
95,train_selected_ucb,0.35,0.0,True,,0,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.28353658536585363,0.31139151065740445,0.35085365853658534,30615.240853658535,0.35833333333333334,48822.3707817683,48822.3707817683,0.33482142857142855,0.32263772811719,39753.369047619046,93.97867063492063,-1.517857142857143,512,False,0.3177192505281277,284025.2926829268,0.3292326964236759,250483.47619047618,84.12934471677914,511,0.3292326964236759,249994.25065104166,False,-0.5588732147752629,84.0982866829568,output_characters,False,False
96,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2850609756097561,0.27455842821313203,0.2642203832752613,2712.2591463414633,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.24553571428571427,0.2745417273688765,3222.5223214285716,6.028769841269841,-0.4464285714285726,6,True,0.2578688735990125,2846.262576219512,0.23162063195572657,3406.0320870535716,5.387787341244554,9,0.2492896733666875,5109.048130580357,True,0.37539590809732293,36.925191560829695,output_characters,False,False
96,train_selected_ucb,0.3,0.0,True,,0,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.3094024628598164,0.3000261324041812,5325.949695121952,0.2988095238095238,6175.559636136172,6175.559636136172,0.2619047619047619,0.3128068873172921,6527.1567460317465,12.713789682539682,-3.809523809523807,14,True,0.3008597800961402,6641.279344512195,0.267698618788055,7947.408203125,17.870624243697417,13,0.26462551324959815,7379.736188616072,True,0.27207513448362364,11.552979954751066,output_characters,False,False
96,train_selected_ucb,0.35,0.0,True,,0,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.38414634146341464,0.35811342725646506,0.35180749128919864,29009.942073170732,0.34821428571428575,33279.738064009434,33279.738064009434,0.310515873015873,0.3743168174899487,34349.23809523809,71.22321428571429,-3.9484126984126955,54,True,0.35028592790758156,25616.36318597561,0.32762699201071965,30654.28878348214,-12.053612914832815,38,0.31118345006508674,21571.536551339286,True,0.0667577049213719,-59.23408151055189,output_characters,False,False
97,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.2867987914703093,0.2662020905923345,3533.699695121951,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.23511904761904762,0.296571726328859,3390.2361111111113,7.150297619047619,-1.4880952380952384,5,True,0.25657753046893955,2601.8859565548782,0.21776992974102846,2613.8357979910716,-29.703484576833844,9,0.2383055942789596,4704.904436383929,True,0.3186546659911971,27.94250856842565,output_characters,False,False
97,train_selected_ucb,0.3,0.0,True,,0,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.34146341463414637,0.32839212442189486,0.30307491289198607,7277.442073170731,0.2988095238095238,6175.559636136172,6175.559636136172,0.2614087301587302,0.3431153076102796,7225.3338293650795,14.891865079365079,-3.8591269841269815,10,True,0.30339718410488964,5203.7719131097565,0.24142992273926986,5227.671595982143,-38.21323120064178,22,0.2624821816896964,11500.877511160716,True,0.10734515309662185,37.175803999708286,output_characters,False,False
97,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3704268292682927,0.39723183450384236,0.3531141114982579,54750.45579268293,0.3511904761904762,40188.76546613821,40188.76546613821,0.3209325396825397,0.42753835045484817,46343.61954365079,95.40873015873017,-2.906746031746027,26,True,0.35063724265310325,13529.806974085366,0.26698516387459265,13591.946149553572,-240.96382544285572,117,0.32131855624637407,61163.75767299108,True,0.03860165638343571,24.230261012698737,output_characters,False,False
98,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.2686869842835598,0.26239111498257844,3476.6966463414633,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.2867063492063492,0.2093466927876858,3412.8333333333335,8.095238095238095,3.6706349206349187,7,True,0.2521115948250102,4081.141053734756,0.25964513324403377,3231.3098958333335,-5.6176424840609815,12,0.2890120569292651,5539.388392857143,True,0.23057077229159395,38.38970855096443,output_characters,False,False
98,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2820121951219512,0.3179341121763893,0.30516550522648084,8652.996951219513,0.30773809523809526,7434.221686361343,7434.221686361343,0.34077380952380953,0.2538289836825615,9848.251488095239,23.154761904761905,4.077380952380954,22,True,0.30121189194047765,12826.443311737805,0.31912137241171207,10155.545386904763,3.025872930524933,36,0.34098176101062105,16618.165178571428,True,0.020795148681151954,40.738033457543004,output_characters,False,False
98,train_selected_ucb,0.35,0.0,True,,0,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.32621951219512196,0.3949284242046071,0.3551219512195122,63751.64786585366,0.35833333333333334,48822.3707817683,48822.3707817683,0.4027777777777778,0.32993759603836326,68174.35863095238,166.6845238095238,5.277777777777781,77,True,0.3500437808423894,44892.551591082316,0.3691659220383318,35544.40885416667,-91.80051329777758,183,0.40304163683207944,84475.67299107143,True,0.02638590543016517,19.297051781809426,output_characters,False,False
99,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2926829268292683,0.27355479956633405,0.26498257839721256,2864.120426829268,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.24950396825396826,0.22043232696076262,3319.1364087301586,6.770337301587301,-0.04960317460317443,6,True,0.2590905522349957,3052.3479420731705,0.2321948038115905,3204.853515625,-3.5659318763862906,9,0.25131914741108546,4807.2802734375,True,0.18151791571172082,30.956045415742473,output_characters,False,False
