split,config_id,divisor_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,train_chars,test_accuracy,test_predicted_accuracy,test_chars,test_opens
95,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25,0.25882265413141686,2387.2088414634145,0.24206349206349206,0.23632665289003976,2814.907738095238,6.106646825396825
95,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2530487804878049,0.2673743101816448,2700.0213414634145,0.2524801587301587,0.2446144429371423,3285.277281746032,7.127976190476191
95,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2606707317073171,0.2727106761343255,3173.1341463414633,0.2693452380952381,0.2545838932416375,3922.7043650793653,8.516369047619047
95,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25914634146341464,0.2782159529142474,3721.112804878049,0.2777777777777778,0.26329153529111954,4643.0515873015875,10.139880952380953
95,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2652439024390244,0.2826428520055838,4462.943597560976,0.27976190476190477,0.27003842557651037,5576.764880952381,12.238095238095237
95,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.2850446559227764,5327.745426829269,0.28621031746031744,0.2775933301295233,6701.383432539683,14.780753968253968
95,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.28995589371713715,6434.161585365854,0.2931547619047619,0.28392269412105936,8133.358134920635,18.069940476190474
95,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2728658536585366,0.29277799745188393,7734.801829268293,0.2986111111111111,0.2897708111491545,9745.439484126984,21.78422619047619
95,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27134146341463417,0.2946818556740367,9263.364329268292,0.3040674603174603,0.2969583458078678,11801.020337301587,26.733630952380953
95,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27439024390243905,0.2980037484356892,10946.850609756097,0.3100198412698413,0.3005028289722499,14214.40376984127,32.489583333333336
95,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27439024390243905,0.29962487306619184,12256.001524390244,0.31200396825396826,0.3028981539988538,16114.073412698413,37.14087301587302
95,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2759146341463415,0.30116426635628596,14674.038109756097,0.31746031746031744,0.30690311581353674,19821.09623015873,46.28025793650794
95,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2804878048780488,0.30351274337602224,17692.17530487805,0.32043650793650796,0.31178620492085585,23979.34375,56.354662698412696
95,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27896341463414637,0.3057974409479811,21494.70731707317,0.3244047619047619,0.31561963971330087,28463.43998015873,66.60317460317461
95,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.28353658536585363,0.30953503887233985,25502.594512195123,0.3323412698412698,0.3186778472665287,33491.36755952381,78.45932539682539
95,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.28353658536585363,0.31139151065740445,30615.240853658535,0.33482142857142855,0.32263772811719,39753.369047619046,93.97867063492063
95,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29115853658536583,0.31676945979458165,36427.483231707316,0.33978174603174605,0.32567610930082913,46561.59027777778,110.93005952380952
95,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29115853658536583,0.3181212003651274,41383.80945121951,0.3382936507936508,0.3269079873404592,51292.427083333336,122.55109126984127
95,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2926829268292683,0.3188881791384717,51131.72103658537,0.3343253968253968,0.32879443021166804,60017.293650793654,143.8968253968254
96,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2850609756097561,0.27455842821313203,2712.2591463414633,0.24553571428571427,0.2745417273688765,3222.5223214285716,6.028769841269841
96,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2972560975609756,0.28388462344690896,3191.184451219512,0.25496031746031744,0.2843493641635052,3783.534226190476,7.131448412698413
96,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.2921403796883317,3770.8475609756097,0.25297619047619047,0.29306093084741913,4504.292658730159,8.59920634920635
96,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.2986353405861311,4463.894817073171,0.25148809523809523,0.30203294831811794,5341.354166666667,10.376488095238095
96,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.3094024628598164,5325.949695121952,0.2619047619047619,0.3128068873172921,6527.1567460317465,12.713789682539682
