generator,split_seed,method,price,selected,fixed_n,profit,fixed_profit,relative_percent,delta_profit,ci_low,ci_high,quality,fixed_quality,cost,fixed_cost,samples,delta_test_oracle
gemma2_9b,71,empirical_spacing,2e-08,49,951,0.6109440694492284,0.613544809837562,-0.42388760309489815,-0.002600740388333592,-0.007294434989997714,0.00012889941500324612,0.6398094055992284,0.6423332732875621,0.028865336150000004,0.028788463450000003,949.9675,-0.003471867751953739
gemma2_9b,71,empirical_spacing,1e-07,218,356,0.5550327089790146,0.5443691531680896,1.9588831859530862,0.010663555810924909,0.005482019562768234,0.016075333445046892,0.6063900032290146,0.5982500419180896,0.05135729425,0.053880888749999994,515.5875,0.008291892415258073
gemma2_9b,71,empirical_spacing,2e-07,221,235,0.5215590526090207,0.5043549212672535,3.4111159852549093,0.017204131341767095,0.008713546766408382,0.02779845820535246,0.5730291431090206,0.5754888942672536,0.0514700905,0.07113397299999999,306.0875,0.012286328273274694
gemma2_9b,71,empirical_spacing,1e-06,226,49,0.4288119255670293,0.407524593984259,5.223569791125911,0.021287331582770276,0.004367986148132871,0.04513961444465906,0.49754624306702927,0.481681668984259,0.0687343175,0.07415707499999999,108.2,0.020169969980446234
gemma2_9b,71,empirical_spacing,2e-06,132,28,0.38117367838007477,0.3589493090365462,6.191506372635407,0.02222436934352852,0.007801367609458725,0.04030255291806891,0.43974767338007476,0.44364586903654624,0.058573995,0.08469655999999999,41.275,0.01944793477617829
gemma2_9b,71,empirical_spacing,1e-05,89,7,0.25739474676931356,0.24384346329543266,5.557369999072984,0.013551283473880918,0.0070039343376990075,0.020277612786776346,0.3495208717693135,0.3498288632954326,0.092126125,0.10598540000000002,9.9325,0.004794013462365576
gemma2_9b,71,corrected_spacing,2e-08,294,951,0.6109440694492284,0.613544809837562,-0.42388760309489815,-0.002600740388333592,-0.007318156861898672,0.00013556223598593561,0.6398094055992284,0.6423332732875621,0.028865336150000004,0.028788463450000003,949.9675,-0.003471867751953739
gemma2_9b,71,corrected_spacing,1e-07,463,356,0.5549648359790146,0.5443691531680896,1.9464149923375962,0.01059568281092491,0.005800575268251555,0.016168656544398325,0.6063900032290146,0.5982500419180896,0.051425167249999994,0.053880888749999994,515.915,0.008224019415258077
gemma2_9b,71,corrected_spacing,2e-07,466,235,0.5212883683971663,0.5043549212672535,3.357446594823607,0.016933447129912686,0.00871518547423895,0.027674725355962902,0.5728440988971663,0.5754888942672536,0.051555730499999994,0.07113397299999999,306.1275,0.012015644061420305
gemma2_9b,71,corrected_spacing,1e-06,471,49,0.4262985152055,0.407524593984259,4.606819195301411,0.018773921221240983,0.002554533690354894,0.043328428986337965,0.4931967802055,0.481681668984259,0.066898265,0.07415707499999999,107.4175,0.017656559618916934
gemma2_9b,71,corrected_spacing,2e-06,376,28,0.383359205926636,0.3589493090365462,6.800374391472786,0.0244098968900898,0.009059519369813952,0.043663821754296846,0.451421105926636,0.44364586903654624,0.0680619,0.08469655999999999,54.9275,0.02163346232273955
gemma2_9b,71,corrected_spacing,1e-05,334,7,0.25826478496374156,0.24384346329543266,5.914171933670669,0.01442132166830902,0.008839851074817237,0.020194929541138197,0.34312495996374165,0.3498288632954326,0.08486017500000001,0.10598540000000002,9.1125,0.005664051656793567
gemma2_9b,71,train_selected_spacing,2e-08,49,951,0.6109440694492284,0.613544809837562,-0.42388760309489815,-0.002600740388333592,-0.007494770948119713,0.0001354398917232702,0.6398094055992284,0.6423332732875621,0.028865336150000004,0.028788463450000003,949.9675,-0.003471867751953739
gemma2_9b,71,train_selected_spacing,1e-07,218,356,0.5550327089790146,0.5443691531680896,1.9588831859530862,0.010663555810924909,0.005811772099992104,0.016209373362390072,0.6063900032290146,0.5982500419180896,0.05135729425,0.053880888749999994,515.5875,0.008291892415258073
gemma2_9b,71,train_selected_spacing,2e-07,466,235,0.5212883683971663,0.5043549212672535,3.357446594823607,0.016933447129912686,0.00801902682310861,0.02841903481922568,0.5728440988971663,0.5754888942672536,0.051555730499999994,0.07113397299999999,306.1275,0.012015644061420305
gemma2_9b,71,train_selected_spacing,1e-06,226,49,0.4288119255670293,0.407524593984259,5.223569791125911,0.021287331582770276,0.004575881925684406,0.044748958287916314,0.49754624306702927,0.481681668984259,0.0687343175,0.07415707499999999,108.2,0.020169969980446234
gemma2_9b,71,train_selected_spacing,2e-06,376,28,0.383359205926636,0.3589493090365462,6.800374391472786,0.0244098968900898,0.009131065105161299,0.04665769169250512,0.451421105926636,0.44364586903654624,0.0680619,0.08469655999999999,54.9275,0.02163346232273955
gemma2_9b,71,train_selected_spacing,1e-05,334,7,0.25826478496374156,0.24384346329543266,5.914171933670669,0.01442132166830902,0.008789345585347016,0.02060026474458515,0.34312495996374165,0.3498288632954326,0.08486017500000001,0.10598540000000002,9.1125,0.005664051656793567
gemma2_9b,72,empirical_spacing,2e-08,109,938,0.6088505196552323,0.6094161908336828,-0.0928218165120742,-0.0005656711784505131,-0.002624322081783842,0.0008952343644701293,0.6338539123052324,0.6338484239336828,0.02500339265,0.024432233100000002,957.63,-0.0016124153184380319
gemma2_9b,72,empirical_spacing,1e-07,218,320,0.5545061851945904,0.5429426569487849,2.1297881273116075,0.01156352824580541,0.0051316392194121286,0.019387840907007542,0.6043641039445903,0.5846383081987849,0.04985791875,0.04169565125,566.53,0.00988494894737757
gemma2_9b,72,empirical_spacing,2e-07,221,158,0.5242057979024569,0.5098505676564831,2.8155760053298127,0.01435523024597378,0.007283566574115675,0.02288259175424187,0.5739841389024569,0.5510138911564831,0.049778341,0.041163323499999994,327.4525,0.012708568149555455
gemma2_9b,72,empirical_spacing,1e-06,226,40,0.4359241190552677,0.4231312748582889,3.023374767384724,0.01279284419697881,0.0053698797281883995,0.02104495342205619,0.5003693265552676,0.4752263773582888,0.06444520749999999,0.0520951025,98.6575,0.010061561355783233
gemma2_9b,72,empirical_spacing,2e-06,132,24,0.3945962180306306,0.3765258789383323,4.799228978164855,0.018070339092298365,0.009287847205624243,0.028029088037784474,0.44776574303063055,0.4391186589383322,0.053169525,0.06259278,36.96,0.01610280729181729
gemma2_9b,72,empirical_spacing,1e-05,89,6,0.2813800271686324,0.27398408780819655,2.6994047061643545,0.007395939360435934,0.0008979606715889641,0.01459735200955352,0.36436160216863245,0.3528078878081966,0.082981575,0.07882380000000001,9.8,0.006979636530450417
gemma2_9b,72,corrected_spacing,2e-08,354,938,0.6088505196552323,0.6094161908336828,-0.0928218165120742,-0.0005656711784505131,-0.0025773437829772544,0.0008853631705293082,0.6338539123052324,0.6338484239336828,0.02500339265,0.024432233100000002,957.63,-0.0016124153184380319
gemma2_9b,72,corrected_spacing,1e-07,463,320,0.5545241741945903,0.5429426569487849,2.133101368548,0.011581517245805402,0.004940342517533643,0.018994363962824386,0.6043641039445903,0.5846383081987849,0.04983992975,0.04169565125,566.4125,0.00990293794737751
gemma2_9b,72,corrected_spacing,2e-07,466,158,0.5243040385799957,0.5098505676564831,2.83484452904459,0.014453470923512594,0.00719301288792039,0.02252509264462063,0.5740986750799958,0.5510138911564831,0.049794636499999996,0.041163323499999994,327.3575,0.012806808827094285
gemma2_9b,72,corrected_spacing,1e-06,471,40,0.4344761691646857,0.4231312748582889,2.681176027509756,0.011344894306396857,0.0036392041165600447,0.019559214871559077,0.49712436416468564,0.4752263773582888,0.062648195,0.0520951025,97.655,0.008613611465201232
gemma2_9b,72,corrected_spacing,2e-06,376,24,0.3963777123349638,0.3765258789383323,5.272368914616586,0.01985183339663151,0.010966763858787167,0.030015126259867898,0.45707591233496375,0.4391186589383322,0.060698199999999994,0.06259278,46.0825,0.01788430159615051
gemma2_9b,72,corrected_spacing,1e-05,431,6,0.28167601383284147,0.27398408780819655,2.8074353099037315,0.007691926024644955,-0.0015045890559767122,0.016423646879220676,0.35328696383284147,0.3528078878081966,0.07161095,0.07882380000000001,10.7325,0.007275623194659464
gemma2_9b,72,train_selected_spacing,2e-08,109,938,0.6088505196552323,0.6094161908336828,-0.0928218165120742,-0.0005656711784505131,-0.0023494045245206836,0.0009022910646143934,0.6338539123052324,0.6338484239336828,0.02500339265,0.024432233100000002,957.63,-0.0016124153184380319
gemma2_9b,72,train_selected_spacing,1e-07,218,320,0.5545061851945904,0.5429426569487849,2.1297881273116075,0.01156352824580541,0.005109772849761254,0.018894829681790126,0.6043641039445903,0.5846383081987849,0.04985791875,0.04169565125,566.53,0.00988494894737757
gemma2_9b,72,train_selected_spacing,2e-07,221,158,0.5242057979024569,0.5098505676564831,2.8155760053298127,0.01435523024597378,0.00720847444413606,0.023337401347261272,0.5739841389024569,0.5510138911564831,0.049778341,0.041163323499999994,327.4525,0.012708568149555455
gemma2_9b,72,train_selected_spacing,1e-06,226,40,0.4359241190552677,0.4231312748582889,3.023374767384724,0.01279284419697881,0.004931741876114632,0.020693171787661172,0.5003693265552676,0.4752263773582888,0.06444520749999999,0.0520951025,98.6575,0.010061561355783233
gemma2_9b,72,train_selected_spacing,2e-06,376,24,0.3963777123349638,0.3765258789383323,5.272368914616586,0.01985183339663151,0.011214677720151797,0.03011308185007223,0.45707591233496375,0.4391186589383322,0.060698199999999994,0.06259278,46.0825,0.01788430159615051
gemma2_9b,72,train_selected_spacing,1e-05,431,6,0.28167601383284147,0.27398408780819655,2.8074353099037315,0.007691926024644955,-0.0016428449882916977,0.016574045985306016,0.35328696383284147,0.3528078878081966,0.07161095,0.07882380000000001,10.7325,0.007275623194659464
gemma2_9b,73,empirical_spacing,2e-08,98,872,0.6321406547904549,0.630420932515488,0.27278952621465513,0.0017197222749670104,-0.00015766529316430363,0.0038697677302779523,0.658239074640455,0.654127424315488,0.02609841985,0.023706491800000003,957.63,-0.001621313368438293
gemma2_9b,73,empirical_spacing,1e-07,218,285,0.5712775723046482,0.551551085082187,3.576547622877334,0.0197264872224611,0.01094222851781752,0.030002647623639432,0.6201679938046482,0.590307889082187,0.0488904215,0.038756804,556.39,0.013833915161353016
gemma2_9b,73,empirical_spacing,2e-07,221,163,0.5364131833218995,0.5156416269517421,4.028293156421503,0.020771556370157526,0.01064931181589415,0.03302792972353993,0.5862754218218995,0.559967717451742,0.049862238499999996,0.0443260905,358.86,0.01841756158040231
gemma2_9b,73,empirical_spacing,1e-06,226,49,0.4416070732625424,0.41843733436116504,5.537206410310134,0.02316973890137728,0.0058031071915246235,0.047330462334722746,0.5107951507625423,0.4851862468611651,0.0691880775,0.06674891250000001,138.8275,0.022615140084863483
gemma2_9b,73,empirical_spacing,2e-06,132,26,0.3974318827191254,0.37284373046786184,6.59476081853624,0.024588152251263415,0.008734460730340428,0.04320924368210765,0.45429905271912546,0.443664955467862,0.056867169999999995,0.070821225,49.105,0.02342378288685315
gemma2_9b,73,empirical_spacing,1e-05,188,5,0.27174130886558456,0.2630995638920642,3.284591143247057,0.008641744973520372,0.0024835845820920348,0.01585391939165002,0.3372060588655847,0.33134098889206426,0.06546475,0.06824142500000001,9.3,0.006628773748965977
gemma2_9b,73,corrected_spacing,2e-08,343,872,0.6321406547904549,0.630420932515488,0.27278952621465513,0.0017197222749670104,-0.00017610860093131335,0.003809396357055978,0.658239074640455,0.654127424315488,0.02609841985,0.023706491800000003,957.63,-0.001621313368438293
gemma2_9b,73,corrected_spacing,1e-07,464,285,0.5688748482400515,0.551551085082187,3.1409172470910978,0.017323763157864505,0.009244802059061717,0.026525410434389843,0.6081621109900516,0.590307889082187,0.039287262749999996,0.038756804,480.5475,0.011431191096756388
gemma2_9b,73,corrected_spacing,2e-07,466,163,0.536336438916069,0.5156416269517421,4.0134098727959735,0.020694811964327,0.01001113500858595,0.032575627461424984,0.586410828916069,0.559967717451742,0.05007439,0.0443260905,359.19,0.01834081717457181
gemma2_9b,73,corrected_spacing,1e-06,471,49,0.43991889459807754,0.41843733436116504,5.133758026087383,0.02148156023691241,0.0037754558960204857,0.044691365300242224,0.5075168695980775,0.4851862468611651,0.067597975,0.06674891250000001,138.1625,0.020926961420398627
gemma2_9b,73,corrected_spacing,2e-06,377,26,0.3980370956233141,0.37284373046786184,6.757084294762924,0.0251933651554521,0.009531040856368213,0.04501039710945706,0.45074276062331414,0.443664955467862,0.052705665,0.070821225,48.025,0.02402899579104184
gemma2_9b,73,corrected_spacing,1e-05,432,5,0.27200156065501324,0.2630995638920642,3.3835087490304696,0.008901996762949001,0.0021372290557836104,0.016127458367289925,0.3381338856550132,0.33134098889206426,0.066132325,0.06824142500000001,9.8825,0.006889025538394655
gemma2_9b,73,train_selected_spacing,2e-08,98,872,0.6321406547904549,0.630420932515488,0.27278952621465513,0.0017197222749670104,-0.0001672189807926755,0.0038427685838457104,0.658239074640455,0.654127424315488,0.02609841985,0.023706491800000003,957.63,-0.001621313368438293
gemma2_9b,73,train_selected_spacing,1e-07,218,285,0.5712775723046482,0.551551085082187,3.576547622877334,0.0197264872224611,0.011003921258982417,0.029429218706824547,0.6201679938046482,0.590307889082187,0.0488904215,0.038756804,556.39,0.013833915161353016
gemma2_9b,73,train_selected_spacing,2e-07,221,163,0.5364131833218995,0.5156416269517421,4.028293156421503,0.020771556370157526,0.010144673217353038,0.03300995688920269,0.5862754218218995,0.559967717451742,0.049862238499999996,0.0443260905,358.86,0.01841756158040231
gemma2_9b,73,train_selected_spacing,1e-06,226,49,0.4416070732625424,0.41843733436116504,5.537206410310134,0.02316973890137728,0.005567183318629574,0.046535851454781604,0.5107951507625423,0.4851862468611651,0.0691880775,0.06674891250000001,138.8275,0.022615140084863483
gemma2_9b,73,train_selected_spacing,2e-06,377,26,0.3980370956233141,0.37284373046786184,6.757084294762924,0.0251933651554521,0.009391254826681327,0.04558513294092488,0.45074276062331414,0.443664955467862,0.052705665,0.070821225,48.025,0.02402899579104184
gemma2_9b,73,train_selected_spacing,1e-05,432,5,0.27200156065501324,0.2630995638920642,3.3835087490304696,0.008901996762949001,0.0025395374272951005,0.01596285445972216,0.3381338856550132,0.33134098889206426,0.066132325,0.06824142500000001,9.8825,0.006889025538394655
gemma2_9b,74,empirical_spacing,2e-08,110,938,0.6332278602915611,0.6338402612841919,-0.09661755966559077,-0.0006124009926307905,-0.0025370997845222155,0.0008481460366692269,0.6597691618915611,0.6597858234341919,0.0265413016,0.02594556215,957.38,-0.0018036846164812825
gemma2_9b,74,empirical_spacing,1e-07,218,316,0.5694998745983181,0.555686694686881,2.485785613279888,0.013813179911437025,0.005535857603945352,0.022663714940388456,0.620894923848318,0.5993855989368809,0.05139504925,0.04369890425,559.64,0.011760869704321664
gemma2_9b,74,empirical_spacing,2e-07,221,162,0.533634594099819,0.5165998875426321,3.297466176041524,0.017034706557186842,0.00708586334509456,0.02911617829515723,0.5835505610998191,0.5614155340426321,0.049915967,0.0448156465,334.3825,0.01660806434591433
gemma2_9b,74,empirical_spacing,1e-06,128,35,0.4418556319213219,0.4184915836772171,5.582919503137575,0.023364048244104655,0.004425821177537857,0.0488042907333028,0.5076064144213218,0.46689271367721724,0.0657507825,0.048401129999999994,120.9375,0.01771745512870032
gemma2_9b,74,empirical_spacing,2e-06,132,21,0.39334510906741454,0.3752803549274043,4.813669008468284,0.01806475414001024,0.004692169148437934,0.03696589919702912,0.44955172406741456,0.4332564399274043,0.056206614999999994,0.057976085,47.175,0.016504527471156327
gemma2_9b,74,empirical_spacing,1e-05,188,5,0.2734992957061807,0.2651726466456205,3.140085965083733,0.00832664906056021,0.0015134710256801689,0.01651208957547606,0.34033017070618077,0.33443389664562045,0.066830875,0.06926125000000001,9.315,0.005247423991151745
gemma2_9b,74,corrected_spacing,2e-08,355,938,0.6332278602915611,0.6338402612841919,-0.09661755966559077,-0.0006124009926307905,-0.0025533287446621064,0.0008142719323451016,0.6597691618915611,0.6597858234341919,0.0265413016,0.02594556215,957.38,-0.0018036846164812825
gemma2_9b,74,corrected_spacing,1e-07,463,316,0.5694851655983181,0.555686694686881,2.4831386181042565,0.013798470911437037,0.005474483076471014,0.0226601180278294,0.620894923848318,0.5993855989368809,0.05140975825,0.04369890425,559.65,0.011746160704321662
gemma2_9b,74,corrected_spacing,2e-07,466,162,0.5334822144325853,0.5165998875426321,3.267969524782354,0.016882326889953128,0.0062787924413965045,0.029054128870147564,0.5835178294325852,0.5614155340426321,0.050035615,0.0448156465,334.5425,0.016455684678680638
