generator,split_seed,method,target,attained_quality,fixed_attained_quality,mean_length,fixed_mean_length,samples,train_feasible,fixed_train_feasible,matched_feasible,matched_length,matched_saving_percent,unmatched_train_baseline_saving,adaptive_low,adaptive_high,adaptive_high_weight,fixed_low,fixed_high,fixed_high_weight
gemma2_9b,71,empirical_spacing,0.3,0.3149303015480987,0.2998215305742455,6110.7775,5014.529573875998,4.255,True,True,True,6246.914247614897,2.1792639088470733,-21.861431066935634,48,48,0.0,3,4,0.2971759435905217
gemma2_9b,71,empirical_spacing,0.35,0.33592952730703063,0.3418283949759796,7596.525993241811,9002.83371714892,9.056254649926794,True,True,True,8377.838983718624,9.325948994665634,15.620723075539244,188,89,0.19977593600620516,5,6,0.9414961736587459
gemma2_9b,71,empirical_spacing,0.4,0.381794782029453,0.38204930415892824,13790.618408440996,16483.62491941431,14.838335533442965,True,True,True,16305.70458551794,15.424578336288153,16.33746535812949,89,136,0.6769003840556005,10,11,0.8875437968193697
gemma2_9b,71,empirical_spacing,0.45,0.43408631462201513,0.43305874743943706,26506.972333047466,36815.76334792183,35.95537902549054,True,True,True,36996.88553514241,28.353503410796144,28.00102477151617,133,132,0.4528546182042208,21,28,0.47796596979824735
gemma2_9b,71,empirical_spacing,0.5,0.48847178434008093,0.4860344292252637,60034.03229563963,81864.9271559926,94.38124090530883,True,True,True,83403.43856337908,28.019715578010395,26.66696913899951,129,226,0.3503932732546168,51,69,0.17266953628915063
gemma2_9b,71,empirical_spacing,0.55,0.5378269532680243,0.5476949348787015,140002.0389111824,214228.60523523492,194.8579571884761,True,True,True,175112.17886004213,20.050084567174164,34.64829836451935,175,223,0.7102305487031819,131,153,0.4750458353734472
gemma2_9b,71,empirical_spacing,0.6,0.5894866076319953,0.5969993970631919,373392.44381320575,528788.2670965183,404.33800971663453,True,True,True,443710.05585948745,15.847648958523862,29.387154169770668,220,219,0.549458900837552,266,356,0.9264166846410935
gemma2_9b,71,corrected_spacing,0.3,0.31475488111132993,0.2998215305742455,6101.69,5014.529573875998,4.2,True,True,True,6229.554308991035,2.0525434509253815,-21.680207686634056,293,293,0.0,3,4,0.2971759435905217
gemma2_9b,71,corrected_spacing,0.35,0.3358753300599676,0.3418283949759796,7516.7256951378495,9002.83371714892,9.21970581505391,True,True,True,8372.096696235367,10.216926919658576,16.507113967686404,432,334,0.23424417818635987,5,6,0.9414961736587459
gemma2_9b,71,corrected_spacing,0.4,0.38282152054618124,0.38204930415892824,13722.866378812416,16483.62491941431,15.527432669975077,True,True,True,16546.300631958955,17.06383992379006,16.74849163396268,332,381,0.6729602540189876,10,11,0.8875437968193697
gemma2_9b,71,corrected_spacing,0.45,0.43340468482835204,0.43305874743943706,25610.430069566508,36815.76334792183,37.12114252272028,True,True,True,36618.60236886504,30.061694295187593,30.436237794286658,378,377,0.6669644869038196,21,28,0.47796596979824735
gemma2_9b,71,corrected_spacing,0.5,0.486905752814529,0.4860344292252637,59469.676526830466,81864.9271559926,95.45955378132741,True,True,True,81270.91266681222,26.825386137055773,27.35634343934401,374,471,0.4280547067476932,51,69,0.17266953628915063
gemma2_9b,71,corrected_spacing,0.55,0.5383265996905808,0.5476949348787015,141033.74120841522,214228.60523523492,195.85684528787363,True,True,True,176642.29425051782,20.15856575753132,34.166708944609745,420,468,0.7285373424219513,131,153,0.4750458353734472
gemma2_9b,71,corrected_spacing,0.6,0.5894845508875515,0.5969993970631919,371912.99332206295,528788.2670965183,403.0736808874574,True,True,True,443695.21007525915,16.17827173320635,29.666935432555906,465,464,0.5314904783080371,266,356,0.9264166846410935
gemma2_9b,71,train_selected_spacing,0.3,0.31475488111132993,0.2998215305742455,6101.69,5014.529573875998,4.2,True,True,True,6229.554308991035,2.0525434509253815,-21.680207686634056,293,293,0.0,3,4,0.2971759435905217
gemma2_9b,71,train_selected_spacing,0.35,0.3358753300599676,0.3418283949759796,7516.7256951378495,9002.83371714892,9.21970581505391,True,True,True,8372.096696235367,10.216926919658576,16.507113967686404,432,334,0.23424417818635987,5,6,0.9414961736587459
gemma2_9b,71,train_selected_spacing,0.4,0.3822271455168507,0.38204930415892824,13576.846027654796,16483.62491941431,15.647484020687864,True,True,True,16407.02049409496,17.249777114978126,17.63434260346417,332,136,0.5528764465901868,10,11,0.8875437968193697
gemma2_9b,71,train_selected_spacing,0.45,0.43340468482835204,0.43305874743943706,25610.430069566508,36815.76334792183,37.12114252272028,True,True,True,36618.60236886504,30.061694295187593,30.436237794286658,378,377,0.6669644869038196,21,28,0.47796596979824735
gemma2_9b,71,train_selected_spacing,0.5,0.48830738731847695,0.4860344292252637,59811.15826532132,81864.9271559926,95.14421765558289,True,True,True,83179.57275980567,28.093934266727228,26.939215188756105,374,226,0.39807365862530664,51,69,0.17266953628915063
gemma2_9b,71,train_selected_spacing,0.55,0.5378269532680243,0.5476949348787015,140002.0389111824,214228.60523523492,194.8579571884761,True,True,True,175112.17886004213,20.050084567174164,34.64829836451935,175,223,0.7102305487031819,131,153,0.4750458353734472
gemma2_9b,71,train_selected_spacing,0.6,0.5894845508875515,0.5969993970631919,371912.99332206295,528788.2670965183,403.0736808874574,True,True,True,443695.21007525915,16.17827173320635,29.666935432555906,465,464,0.5314904783080371,266,356,0.9264166846410935
gemma2_9b,72,empirical_spacing,0.3,0.3235213465332528,0.3114041636926145,5282.1375,4763.629294295971,4.225,True,True,True,5297.094775676541,0.28236752993777703,-10.884730395056085,48,48,0.0,3,5,0.31397694798443676
gemma2_9b,72,empirical_spacing,0.35,0.36206692825737113,0.3591953034477548,8054.511490690905,8840.28982170609,9.681680672572076,True,True,True,9031.488584769659,10.817453677860911,8.88860373203848,188,89,0.8674293250107292,6,7,0.7363991241607317
gemma2_9b,72,empirical_spacing,0.4,0.40731279446957197,0.4035225783613322,14131.043646257272,16594.90853772944,16.943389530079763,True,True,True,17790.140475088298,20.568116558466155,14.847113413553526,87,136,0.9015262153169303,12,13,0.6746374367926431
gemma2_9b,72,empirical_spacing,0.45,0.44813715644280677,0.4470195150877291,26771.32828452107,34891.98428943084,37.289150188048446,True,True,True,35220.91537573098,23.990254089285003,23.273700737534732,132,131,0.0323171515020563,24,28,0.6945344229181347
gemma2_9b,72,empirical_spacing,0.5,0.4938125975187534,0.5018759445499742,57072.374776190205,80656.7038326229,86.4012180941402,True,True,True,69050.73295458793,17.34718469429636,29.24038292635216,129,226,0.5161834834359105,51,68,0.6406450134863044
gemma2_9b,72,empirical_spacing,0.55,0.5420342289184937,0.5424862225967397,136848.23938644468,172969.96809297413,194.82111653398076,True,True,True,169760.35394829232,19.38739746729817,20.883237191275562,126,223,0.8092115383905727,132,137,0.14586325500724062
