price,price_per_million,accuracy,tokens,calls,profit,fixed_accuracy,fixed_tokens,fixed_calls,fixed_profit,cap_rate,minimum,minimum_low,minimum_high,relative_profit_percent,token_change_percent,call_change_percent,profit_ci_low,profit_ci_high
1e-06,1.0,0.5668176328502416,32841.38940217391,231.92650966183572,0.5339762434480677,0.56875,44691.99667874396,310.7,0.5240580033212561,9.057971014492752e-05,230.9,206,262,1.8925844207996256,-26.516173268683563,-25.353553375656347,-0.6790381554261665,4.734022686203864
1.25e-06,1.25,0.5620169082125603,26869.44224033816,189.19625603864736,0.5284301054121376,0.561231884057971,37173.5395531401,257.3,0.514764959616546,3.0193236714975845e-05,188.8,164,228,2.6546379158695954,-27.718902845052153,-26.468614054159602,0.4907223612747519,5.058044439429465
1.5e-06,1.5,0.5596014492753623,24520.74347826087,172.66304347826087,0.522820334057971,0.5554347826086956,29125.814583333336,203.6,0.5117460607336957,0.0,172.2,141,204,2.164017307411825,-15.810960726597589,-15.194968822072264,0.3118809565210745,4.042043279919499
1.75e-06,1.75,0.5559178743961353,20783.668387681166,146.8044384057971,0.5195464547176932,0.5477053140096617,17839.10893719807,125.3,0.5164868733695653,3.0193236714975845e-05,146.5,120,204,0.5923831767818521,16.506202528665014,17.162361058098252,-0.4088638812989267,1.6833379451275619
2e-06,2.0,0.5518719806763285,18533.67089371981,130.55042270531402,0.5148046388888889,0.54368961352657,15500.547524154588,108.9,0.5126885184782609,0.0,129.9,118,144,0.4127497172959904,19.56784665082758,19.881012585228653,-0.7507019236936604,1.5206955546018572
2.25e-06,2.25,0.5496678743961352,16850.92016908213,118.83212560386471,0.5117533040157005,0.541394927536232,13797.253985507248,96.9,0.5103511060688405,0.0,118.5,99,139,0.2747516229877345,22.132419877045663,22.633772553007958,-0.9146069084153802,1.472308913212985
2.5e-06,2.5,0.5476751207729469,16237.349033816423,114.63547705314011,0.5070817481884059,0.5397644927536233,12499.71992753623,87.8,0.5085151929347826,0.0,114.2,98,139,-0.28188828304301916,29.901702821727948,30.564324661890787,-1.690777322722815,1.084583202504602
2.75e-06,2.75,0.5473128019323672,14953.851690821257,105.54634661835749,0.5061897097826087,0.5377415458937198,11416.409118357487,80.2,0.5063464208182367,0.0,105.2,88,123,-0.030949371652466695,30.98559744828688,31.603923464286133,-1.4433789863715496,1.3638782661147681
3e-06,3.0,0.5457729468599034,13956.46681763285,98.3899154589372,0.5039035464070049,0.5361413043478261,10588.46002415459,74.4,0.5043759242753623,0.0,97.9,88,120,-0.09365591131973439,31.808277934610896,32.24451002545321,-1.5324987036780018,1.2628426397684556
3.25e-06,3.25,0.5442028985507246,13379.465096618358,94.19661835748792,0.500719636986715,0.5342089371980676,9848.555676328502,69.2,0.50220113125,0.0,94.0,85,102,-0.29500018440768994,35.85205319777573,36.12228086342184,-1.9597935608824721,1.1927986636404313
3.5e-06,3.5,0.5420893719806763,12471.172765700483,87.9473731884058,0.49844026730072466,0.5330615942028984,9192.838798309178,64.6,0.5008866584088165,0.0,86.9,74,94,-0.48841211220586045,35.66182372298623,36.14144456409569,-2.0204863630701566,0.8766391466974144
3.75e-06,3.75,0.5411835748792271,11989.002113526569,84.45235507246377,0.4962248169535025,0.5304951690821256,8637.945803140097,60.7,0.49810287232035017,0.0,83.8,74,94,-0.3770416657304043,38.794597543877664,39.13073323305398,-2.0373058941735187,1.1260093243273501
4e-06,4.0,0.5401871980676328,11429.522010869565,80.61859903381642,0.49446911002415456,0.5285628019323672,8139.774124396135,57.2,0.49600370543478267,0.0,79.9,69,94,-0.30939192465970766,40.41571468934939,40.941606702476264,-1.9768294282681114,1.2999460215967917
4.25e-06,4.25,0.538586956521739,10826.658333333333,76.30335144927537,0.4925736586050724,0.527536231884058,7696.346769323672,54.1,0.49482675811443233,0.0,76.0,66,86,-0.4553309764301128,40.672693913514266,41.041315063355576,-2.1024413266867756,1.0942039313428469
4.5e-06,4.5,0.5368357487922706,10179.273007246376,71.60658212560386,0.49102902025966183,0.526117149758454,7269.04658816425,51.1,0.49340644011171503,0.0,71.6,58,86,-0.48183802617470795,40.035875183695644,40.13029770176881,-2.045673832208226,0.9699920308416525
4.75e-06,4.75,0.5354770531400966,9746.359933574879,68.60652173913044,0.489181843455616,0.5253623188405797,6942.684057971014,48.8,0.4923845695652174,0.0,68.6,55,84,-0.6504521683994846,40.38316956660177,40.58713471133289,-2.08965735425233,0.713419612311488
5e-06,5.0,0.5343297101449276,9375.291515700483,65.90540458937197,0.4874532525664252,0.5245169082125603,6628.067663043478,46.6,0.491376569897343,0.0,65.9,54,77,-0.7984339448129374,41.44833746907668,41.42790684414586,-2.299560897501603,0.6207124801203209
5.25e-06,5.25,0.5344504830917873,9209.918568840581,64.74245169082126,0.4860984106053744,0.5233695652173912,6314.778592995169,44.4,0.4902169776041667,0.0,64.7,51,77,-0.8401518484571824,45.847054385357566,45.81633263698481,-2.49440711771152,0.6685457819229028
5.5e-06,5.5,0.5345108695652173,8968.973762077294,63.00452898550725,0.48518151387379227,0.5220108695652174,6043.932155797101,42.5,0.48876924270833333,0.0,63.0,51,77,-0.7340332658129167,48.396334222160476,48.245950554134694,-2.4042528363104703,0.8419492727843202
5.75e-06,5.75,0.532487922705314,8528.58408816425,60.02430555555556,0.4834485641983696,0.5213466183574879,5814.587832125603,40.9,0.4879127383227657,0.0,59.8,51,70,-0.9149533868990645,46.67564295862581,46.758693289866905,-2.564406579885274,0.6176635977535199
6e-06,6.0,0.5305253623188405,8149.171739130432,57.42397342995169,0.481630331884058,0.5203502415458938,5601.180012077295,39.4,0.48674316147343,0.0,57.4,49,70,-1.0504163168712721,45.490266721639784,45.746125456730184,-2.614272287427617,0.40691390730985466
6.25e-06,6.25,0.5297705314009661,7910.576781400965,55.78716787439614,0.4803294265172101,0.5196859903381643,5418.183242753624,38.1,0.4858223450709541,0.0,55.6,49,70,-1.1306434562909584,46.00053979312555,46.42301279369065,-2.6973351672062496,0.22695242179843297
6.5e-06,6.5,0.5295591787439613,7838.069836956523,55.2634963768116,0.4786117248037439,0.5185688405797102,5217.363254830919,36.7,0.4846559794233092,0.0,55.1,49,70,-1.2471226759148468,50.230479537705385,50.58173399676185,-2.8454502649419813,0.1927161786999086
6.75e-06,6.75,0.5291364734299516,7769.112741545893,54.742814009661835,0.47669496242451687,0.5174516908212561,5048.316515700483,35.5,0.4833755543402778,0.0,54.6,49,70,-1.3820707017091038,53.895119638073716,54.205109886371375,-3.089082367368145,0.14334440073434013
7e-06,7.0,0.5290458937198067,7753.793085748793,54.624064009661836,0.47476934211956523,0.5169685990338164,4892.9074879227055,34.4,0.4827182466183575,0.0,54.5,48,70,-1.646696505565648,58.47005292635692,58.79088374901698,-3.4850516647006855,-0.030272904712553395
7.25e-06,7.25,0.5280495169082126,7534.2856582125605,53.00923913043478,0.47342594588617154,0.5156400966183575,4765.372826086957,33.5,0.48109114362922706,0.0,53.0,47,70,-1.5932942945553363,58.10485208980536,58.23653471771575,-3.3842070332628755,-0.02915087816442526
7.5e-06,7.5,0.5260869565217392,7049.549758454106,49.61488526570048,0.4732153333333334,0.5150966183574879,4636.391968599035,32.6,0.48032367859299513,0.0,49.6,47,54,-1.479907315934148,52.048183289909545,52.19289958803828,-3.1215879342286934,-0.1092300205625415
7.75e-06,7.75,0.5265398550724638,6822.352053140096,48.013858695652175,0.473666626660628,0.5138586956521739,4494.259661835749,31.6,0.4790281832729468,0.0,48.0,42,54,-1.1192570290303405,51.801466013946374,51.94259080902586,-2.7990714254262676,0.263889582216035
