split,price,minimum,cap,accuracy,tokens,calls,profit,fixed_accuracy,fixed_tokens,fixed_calls,fixed_profit,cap_rate,minimum_rate
0,1e-06,220,512,0.5884661835748792,32691.335446859903,220.0,0.5557748481280194,0.6086956521739131,76113.82608695653,512,0.5325818260869565,0.0,1.0
0,1.25e-06,206,512,0.5884661835748792,30601.846920289856,206.0,0.5502138749245169,0.6086956521739131,76113.82608695653,512,0.5135533695652174,0.0,1.0
0,1.5e-06,194,512,0.5872584541062802,28797.031099033815,194.0,0.5440629074577294,0.6086956521739131,76113.82608695653,512,0.4945249130434783,0.0,1.0
0,1.75e-06,134,512,0.5785024154589372,19917.09208937198,134.00452898550725,0.5436475043025363,0.582427536231884,23791.360809178743,160,0.5407926548158213,0.0,0.9996980676328503
0,2e-06,133,512,0.5782004830917874,19769.400966183573,133.0006038647343,0.5386616811594203,0.5785024154589372,18436.808574879225,124,0.5416287983091788,0.0,0.9996980676328503
0,2.25e-06,99,512,0.5788043478260869,14720.273550724638,99.0054347826087,0.5456837323369566,0.5788043478260869,15017.950483091787,101,0.5450139592391304,0.0,0.9996980676328503
0,2.5e-06,99,512,0.5788043478260869,14719.873188405798,99.00150966183575,0.5420046648550725,0.5715579710144928,12777.033514492754,86,0.5396153872282609,0.0,0.9996980676328503
0,2.75e-06,99,512,0.5788043478260869,14719.62922705314,99.0,0.5383253674516909,0.5661231884057971,11286.705012077295,76,0.5350847496225846,0.0,1.0
0,3e-06,99,512,0.5788043478260869,14719.62922705314,99.0,0.5346454601449275,0.561292270531401,10105.452596618357,68,0.5309759127415459,0.0,1.0
0,3.25e-06,99,512,0.5788043478260869,14719.62922705314,99.0,0.5309655528381643,0.5606884057971014,9222.07185990338,62,0.5307166722524155,0.0,1.0
0,3.5e-06,90,512,0.5745772946859904,13375.66515700483,90.0,0.5277624666364734,0.5558574879227053,8479.140398550724,57,0.5261804965277778,0.0,1.0
0,3.75e-06,90,512,0.5745772946859904,13375.66515700483,90.0,0.5244185503472223,0.5516304347826086,7874.761473429951,53,0.5221000792572463,0.0,1.0
0,4e-06,90,512,0.5745772946859904,13375.66515700483,90.0,0.521074634057971,0.5486111111111112,7429.677838164252,50,0.5188923997584541,0.0,1.0
0,4.25e-06,72,512,0.5625,10692.397041062803,72.0006038647343,0.517057312575483,0.5483091787439613,6984.642814009662,47,0.5186244467844203,0.0,0.9996980676328503
0,4.5e-06,72,512,0.5625,10692.351449275362,72.0,0.5143844184782609,0.543780193236715,6548.519323671498,44,0.5143118562801933,0.0,1.0
0,4.75e-06,55,512,0.5531400966183575,8173.294987922705,55.0042270531401,0.5143169454257247,0.5422705314009661,6249.802838164252,42,0.512583967919686,0.0,0.9993961352657005
0,5e-06,55,512,0.5531400966183575,8173.176630434783,55.00271739130435,0.5122742134661836,0.5392512077294686,5951.716787439614,40,0.5094926237922706,0.0,0.9996980676328503
0,5.25e-06,55,512,0.5531400966183575,8173.096014492754,55.0018115942029,0.5102313425422705,0.5395531400966184,5654.312801932367,38,0.5098679978864734,0.0,0.9996980676328503
0,5.5e-06,55,512,0.5531400966183575,8173.005736714976,55.0006038647343,0.5081885650664251,0.5389492753623188,5502.667874396136,37,0.5086846020531401,0.0,0.9996980676328503
0,5.75e-06,53,512,0.5516304347826086,7874.817028985507,53.0006038647343,0.506350236865942,0.5383454106280193,5209.48097826087,35,0.5083908950030193,0.0,0.9996980676328503
0,6e-06,51,512,0.5498188405797102,7576.493357487922,51.00030193236715,0.5043598804347826,0.5383454106280193,5062.746074879227,34,0.507968934178744,0.0,0.9996980676328503
0,6.25e-06,51,512,0.5498188405797102,7576.474033816425,51.0,0.5024658778683574,0.5383454106280193,4914.192330917875,33,0.5076317085597826,0.0,1.0
0,6.5e-06,51,512,0.5498188405797102,7576.474033816425,51.0,0.5005717593599034,0.5371376811594203,4769.147342995169,32,0.5061382234299517,0.0,1.0
0,6.75e-06,51,512,0.5498188405797102,7576.474033816425,51.0,0.4986776408514493,0.5389492753623188,4622.790458937198,31,0.5077454397644927,0.0,1.0
0,7e-06,51,512,0.5498188405797102,7576.474033816425,51.0,0.49678352234299517,0.538647342995169,4475.753623188406,30,0.5073170676328502,0.0,1.0
0,7.25e-06,51,512,0.5498188405797102,7576.474033816425,51.0,0.49488940383454105,0.5374396135265701,4323.203502415459,29,0.506096388134058,0.0,1.0
0,7.5e-06,48,512,0.5474033816425121,7133.607487922705,48.0,0.49390132548309174,0.5362318840579711,4173.953804347826,28,0.5049272305253624,0.0,1.0
0,7.75e-06,48,512,0.5474033816425121,7133.607487922705,48.0,0.4921179236111111,0.5356280193236715,4023.897946859903,27,0.5044428102355073,0.0,1.0
0,8e-06,45,512,0.5446859903381642,6697.880132850241,45.0,0.4911029492753623,0.5356280193236715,4023.897946859903,27,0.5034368357487923,0.0,1.0
0,8.25e-06,45,512,0.5446859903381642,6697.880132850241,45.0,0.48942847924214977,0.5347222222222222,3875.2810990338166,26,0.5027511531551931,0.0,1.0
0,8.5e-06,45,512,0.5446859903381642,6697.880132850241,45.0,0.4877540092089372,0.5335144927536232,3725.620471014493,25,0.50184671875,0.0,1.0
0,8.75e-06,45,512,0.5446859903381642,6697.880132850241,45.0,0.4860795391757246,0.5335144927536232,3725.620471014493,25,0.5009153136322464,0.0,1.0
0,9e-06,38,512,0.5395531400966184,5654.312801932367,38.0,0.48866432487922706,0.529891304347826,3577.5815217391305,24,0.4976930706521739,0.0,1.0
0,9.25e-06,38,512,0.5395531400966184,5654.312801932367,38.0,0.487250746678744,0.529891304347826,3577.5815217391305,24,0.49679867527173915,0.0,1.0
0,9.5e-06,38,512,0.5395531400966184,5654.312801932367,38.0,0.48583716847826086,0.5314009661835749,3427.957427536232,23,0.4988353706219807,0.0,1.0
0,9.75e-06,38,512,0.5395531400966184,5654.312801932367,38.0,0.48442359027777776,0.5314009661835749,3427.957427536232,23,0.49797838126509664,0.0,1.0
0,1e-05,37,512,0.5389492753623188,5502.667874396136,37.0,0.48392259661835746,0.528683574879227,3276.423007246377,22,0.49591934480676336,0.0,1.0
1,1e-06,235,512,0.5848429951690821,32977.184782608696,235.1503623188406,0.5518658103864735,0.5942028985507246,71816.84057971014,512,0.5223860579710146,0.0,0.9981884057971014
1,1.25e-06,177,512,0.5839371980676329,24825.074879227053,177.149154589372,0.552905854468599,0.5942028985507246,71816.84057971014,512,0.504431847826087,0.0,0.9972826086956522
1,1.5e-06,141,512,0.5794082125603864,19758.397946859903,141.0,0.5497706156400967,0.5942028985507246,71816.84057971014,512,0.48647763768115937,0.0,1.0
1,1.75e-06,141,512,0.580012077294686,19964.812198067633,143.211654589372,0.5450736559480677,0.5836352657004831,28613.08031400966,204,0.5335623751509662,0.00030193236714975844,0.9381038647342995
1,2e-06,125,512,0.5815217391304348,17708.572463768116,127.07940821256038,0.5461045942028986,0.5830314009661836,24247.730072463768,173,0.5345359408212561,0.0,0.9293478260869565
1,2.25e-06,125,512,0.581219806763285,17506.51690821256,125.0,0.5418301437198068,0.581219806763285,21298.018115942028,152,0.5332992660024154,0.0,1.0
1,2.5e-06,125,512,0.581219806763285,17506.51690821256,125.0,0.5374535144927536,0.5797101449275363,19060.115640096617,136,0.5320598558272946,0.0,1.0
1,2.75e-06,88,512,0.5794082125603864,12319.914553140097,88.09661835748793,0.5455284475392511,0.5815217391304348,17225.243055555555,123,0.5341523207276571,0.0,0.9924516908212561
1,3e-06,88,512,0.5794082125603864,12316.830615942028,88.05736714975845,0.5424577207125604,0.5797101449275363,15675.169082125603,112,0.5326846376811595,0.0,0.9957729468599034
1,3.25e-06,88,512,0.5794082125603864,12315.416968599035,88.03623188405797,0.5393831074124396,0.5797101449275363,14403.940217391304,103,0.5328973392210146,0.0,0.9978864734299517
1,3.5e-06,88,512,0.5794082125603864,12314.746074879227,88.02536231884058,0.5363066012983091,0.5833333333333334,13142.017512077295,94,0.5373362720410628,0.0,0.9984903381642513
1,3.75e-06,84,512,0.5788043478260869,11752.862016908213,84.02113526570048,0.5347311152626812,0.5788043478260869,12174.85597826087,87,0.5331486379076087,0.0,0.998792270531401
1,4e-06,84,512,0.5788043478260869,11751.70350241546,84.0,0.5317975338164251,0.5772946859903382,11193.001811594202,80,0.5325226787439614,0.0,1.0
1,4.25e-06,84,512,0.5788043478260869,11751.70350241546,84.0,0.5288596079408213,0.5763888888888888,10483.10899758454,75,0.5318356756491546,0.0,1.0
1,4.5e-06,84,512,0.5788043478260869,11751.70350241546,84.0,0.5259216820652174,0.5733695652173914,9649.619263285023,69,0.5299462785326087,0.0,1.0
1,4.75e-06,84,512,0.5788043478260869,11751.70350241546,84.0,0.5229837561896136,0.5757850241545893,9092.531099033817,65,0.5325955014341787,0.0,1.0
1,5e-06,65,512,0.5757850241545893,9092.531099033817,65.0,0.5303223686594203,0.5769927536231884,8531.789553140097,61,0.5343338058574879,0.0,1.0
1,5.25e-06,65,512,0.5757850241545893,9092.531099033817,65.0,0.5280492358846618,0.5760869565217391,7968.470108695652,57,0.534252488451087,0.0,1.0
1,5.5e-06,65,512,0.5757850241545893,9092.531099033817,65.0,0.5257761031099034,0.5742753623188406,7406.236111111111,53,0.5335410637077295,0.0,1.0
1,5.75e-06,65,512,0.5757850241545893,9092.531099033817,65.0,0.5235029703351448,0.5715579710144928,6990.870169082125,50,0.5313604675422705,0.0,1.0
1,6e-06,65,512,0.5757850241545893,9092.531099033817,65.0,0.5212298375603865,0.571256038647343,6574.042572463768,47,0.5318117832125604,0.0,1.0
1,6.25e-06,49,512,0.5700483091787439,6853.708333333333,49.0,0.5272126320954107,0.5703502415458938,6299.530495169082,45,0.530978175951087,0.0,1.0
1,6.5e-06,49,512,0.5700483091787439,6853.708333333333,49.0,0.5254992050120774,0.5694444444444444,6017.982789855072,43,0.5303275563103864,0.0,1.0
1,6.75e-06,49,512,0.5700483091787439,6853.708333333333,49.0,0.523785777928744,0.5682367149758454,5742.027475845411,41,0.529478029513889,0.0,1.0
1,7e-06,48,512,0.5694444444444444,6716.715881642512,48.0,0.5224274332729468,0.5655193236714976,5464.674214975846,39,0.5272666041666666,0.0,1.0
1,7.25e-06,48,512,0.5694444444444444,6716.715881642512,48.0,0.5207482543025362,0.5631038647342995,5182.368055555556,37,0.5255316963315217,0.0,1.0
1,7.5e-06,48,512,0.5694444444444444,6716.715881642512,48.0,0.5190690753321255,0.5621980676328503,5044.531702898551,36,0.5243640798611111,0.0,1.0
1,7.75e-06,42,512,0.5715579710144928,5879.711654589372,42.0,0.5259902056914252,0.5640096618357487,4904.390700483092,35,0.5260006339070048,0.0,1.0
1,8e-06,42,512,0.5715579710144928,5879.711654589372,42.0,0.5245202777777778,0.5618961352657005,4627.842693236715,33,0.5248733937198068,0.0,1.0
1,8.25e-06,42,512,0.5715579710144928,5879.711654589372,42.0,0.5230503498641303,0.561292270531401,4489.086352657005,32,0.5242573081219807,0.0,1.0
1,8.5e-06,36,512,0.5621980676328503,5044.531702898551,36.0,0.5193195481582126,0.5594806763285024,4351.987620772947,31,0.5224887815519323,0.0,1.0
1,8.75e-06,36,512,0.5621980676328503,5044.531702898551,36.0,0.518058415232488,0.5600845410628019,4207.019625603864,30,0.523273119338768,0.0,1.0
1,9e-06,36,512,0.5621980676328503,5044.531702898551,36.0,0.5167972823067633,0.5594806763285024,4068.4628623188405,29,0.5228645105676328,0.0,1.0
1,9.25e-06,36,512,0.5621980676328503,5044.531702898551,36.0,0.5155361493810386,0.5594806763285024,4068.4628623188405,29,0.5218473948520531,0.0,1.0
1,9.5e-06,36,512,0.5621980676328503,5044.531702898551,36.0,0.514275016455314,0.5579710144927537,3923.138285024155,28,0.5207012007850241,0.0,1.0
1,9.75e-06,36,512,0.5621980676328503,5044.531702898551,36.0,0.5130138835295894,0.5579710144927537,3781.7569444444443,27,0.5210988842844202,0.0,1.0
1,1e-05,36,512,0.5621980676328503,5044.531702898551,36.0,0.5117527506038647,0.5579710144927537,3781.7569444444443,27,0.5201534450483093,0.0,1.0
2,1e-06,261,512,0.5368357487922706,37049.73278985507,262.0558574879227,0.4997860160024155,0.5652173913043478,72577.79710144928,512,0.49263959420289855,0.0,0.9867149758454107
2,1.25e-06,175,512,0.535024154589372,24772.600241545893,175.21557971014494,0.5040584042874396,0.529891304347826,20945.131340579712,148,0.5037098901721014,0.0,0.9957729468599034
2,1.5e-06,174,512,0.5359299516908212,24626.498490338163,174.10356280193236,0.498990203955314,0.527475845410628,17823.1681763285,126,0.5007410931461352,0.0,0.9972826086956522
2,1.75e-06,140,512,0.5289855072463768,19812.289855072464,140.12077294685992,0.4943140000000001,0.523852657004831,15542.019323671497,110,0.49665412318840585,0.0,0.9963768115942029
2,2e-06,139,512,0.528683574879227,19670.96195652174,139.07367149758454,0.4893416509661836,0.517512077294686,13838.629830917875,98,0.4898348176328502,0.0,0.9981884057971014
2,2.25e-06,139,512,0.528683574879227,19669.936292270533,139.04861111111111,0.4844262182216184,0.5178140096618358,12582.180253623188,89,0.48950410409118356,0.0,0.9984903381642513
2,2.5e-06,139,512,0.528683574879227,19669.262379227053,139.03200483091788,0.47951041893115937,0.5129830917874396,11454.091485507246,81,0.4843478630736715,0.0,0.998792270531401
2,2.75e-06,123,512,0.5253623188405797,17400.005434782608,123.03351449275362,0.47751230389492755,0.508756038647343,10599.28804347826,75,0.4796079965277778,0.0,0.9984903381642513
2,3e-06,99,512,0.5184178743961353,13981.972222222223,99.05585748792271,0.4764719577294686,0.509963768115942,9896.182971014492,70,0.48027521920289856,0.0,0.9984903381642513
2,3.25e-06,94,512,0.5172101449275363,13285.38768115942,94.04861111111111,0.4740326349637682,0.508756038647343,9335.16002415459,66,0.4784167685688406,0.0,0.9984903381642513
2,3.5e-06,94,512,0.5172101449275363,13284.895229468599,94.03623188405797,0.4707130116243961,0.5066425120772947,8782.162439613527,62,0.4759049435386474,0.0,0.9984903381642513
2,3.75e-06,94,512,0.5172101449275363,13284.408514492754,94.02324879227054,0.46739361299818843,0.5051328502415459,8354.872282608696,59,0.47380207918176326,0.0,0.9984903381642513
2,4e-06,94,512,0.5172101449275363,13283.96195652174,94.01328502415458,0.46407429710144926,0.5018115942028986,7932.822161835748,56,0.4700803055555556,0.0,0.9984903381642513
2,4.25e-06,86,512,0.5141908212560387,12156.476449275362,86.01841787439614,0.4625257963466184,0.4993961352657005,7646.486111111111,54,0.4668985692934782,0.0,0.9984903381642513
