split,price,problem_id,profit,fixed_profit,accuracy,tokens,calls,fixed_calls,fixed_accuracy,fixed_tokens
0,1e-06,1883_B,0.3058961458333333,0.886921,0.3541666666666667,48270.520833333336,220.0,512,1.0,113079.0
0,1e-06,1899_B,0.27179381249999995,0.953501,0.2916666666666667,19872.854166666668,220.0,512,1.0,46499.0
0,1e-06,1899_C,-0.028240541666666664,-0.06544300000000002,0.0,28240.541666666668,220.0,512,0.0,65443.0
0,1e-06,2730,0.9706029375000002,0.931086,1.0,29397.0625,220.0,512,1.0,68914.0
0,1e-06,2754,0.7696630624999999,0.8997580000000002,0.8125,42836.9375,220.0,512,1.0,100242.0
0,1e-06,2755,0.5972160624999999,-0.064749,0.625,27783.9375,220.0,512,0.0,64749.0
0,1e-06,2784,0.6807425208333333,0.936356,0.7083333333333334,27590.8125,220.0,512,1.0,63644.0
0,1e-06,2792,0.7487248125,0.947658,0.7708333333333334,22108.520833333332,220.0,512,1.0,52342.0
0,1e-06,2802,0.8875799791666669,0.9322499999999999,0.9166666666666666,29086.6875,220.0,512,1.0,67750.0
0,1e-06,2808,0.10074845833333335,-0.05648599999999999,0.125,24251.541666666668,220.0,512,0.0,56486.0
0,1e-06,2827,0.7812362083333332,0.8791779999999999,0.8333333333333334,52097.125,220.0,512,1.0,120822.0
0,1e-06,2832,0.9522423125,0.937271,0.9791666666666666,26924.354166666668,220.0,512,1.0,62729.0
0,1e-06,2834,0.9810570000000002,0.955841,1.0,18943.0,220.0,512,1.0,44159.0
0,1e-06,2839,-0.06271791666666666,-0.14607100000000003,0.0,62717.916666666664,220.0,512,0.0,146071.0
0,1e-06,2845,0.9852763333333332,0.9657409999999998,1.0,14723.666666666666,220.0,512,1.0,34259.0
0,1e-06,2848,0.5833886041666666,0.9031269999999999,0.625,41611.395833333336,220.0,512,1.0,96873.0
0,1e-06,2867,0.8918080416666667,0.942073,0.9166666666666666,24858.625,220.0,512,1.0,57927.0
0,1e-06,2868,0.9681132708333333,0.9260830000000001,1.0,31886.729166666668,220.0,512,1.0,73917.0
0,1e-06,2869,0.9454165833333333,0.8730180000000001,1.0,54583.416666666664,220.0,512,1.0,126982.0
0,1e-06,2878,0.015878854166666668,-0.060189,0.041666666666666664,25787.8125,220.0,512,0.0,60189.0
0,1e-06,2882,0.5540249999999999,-0.06795799999999998,0.5833333333333334,29308.333333333332,220.0,512,0.0,67958.0
0,1e-06,2883,0.45037235416666666,0.8364950000000001,0.5208333333333334,70460.97916666667,220.0,512,1.0,163505.0
0,1e-06,2884,0.28777872916666664,-0.05756,0.3125,24721.270833333332,220.0,512,0.0,57560.0
0,1e-06,2887,0.9771878958333332,0.946776,1.0,22812.104166666668,220.0,512,1.0,53224.0
0,1e-06,2893,0.9716214375000001,0.9335589999999999,1.0,28378.5625,220.0,512,1.0,66441.0
0,1e-06,2915,0.952156125,0.937561,0.9791666666666666,27010.541666666668,220.0,512,1.0,62439.0
0,1e-06,2920,0.47006577083333334,0.931169,0.5,29934.229166666668,220.0,512,1.0,68831.0
0,1e-06,2953,0.0414475625,-0.049026999999999994,0.0625,21052.4375,220.0,512,0.0,49027.0
0,1e-06,2979,0.054572249999999996,-0.066955,0.08333333333333333,28761.083333333332,220.0,512,0.0,66955.0
0,1e-06,3000,-0.029637874999999998,-0.069203,0.0,29637.875,220.0,512,0.0,69203.0
0,1e-06,3018,0.9753140416666667,0.942524,1.0,24685.958333333332,220.0,512,1.0,57476.0
0,1e-06,3025,0.09125214583333334,-0.078423,0.125,33747.854166666664,220.0,512,0.0,78423.0
0,1e-06,3106,0.7468767291666666,0.944276,0.7708333333333334,23956.604166666668,220.0,512,1.0,55724.0
0,1e-06,3114,0.9454390625000001,0.8727900000000001,1.0,54560.9375,220.0,512,1.0,127210.0
0,1e-06,3153,0.9339196666666668,0.9429230000000001,0.9583333333333334,24413.666666666668,220.0,512,1.0,57077.0
0,1e-06,3166,-0.030696354166666665,-0.071531,0.0,30696.354166666668,220.0,512,0.0,71531.0
0,1e-06,3174,0.9870862708333333,0.969928,1.0,12913.729166666666,220.0,512,1.0,30072.0
0,1e-06,3195,0.46392829166666666,-0.03542299999999999,0.4791666666666667,15238.375,220.0,512,0.0,35423.0
0,1e-06,3203,-0.09813279166666666,-0.22737499999999997,0.0,98132.79166666667,220.0,512,0.0,227375.0
0,1e-06,3212,0.9738372083333333,0.9389649999999999,1.0,26162.791666666668,220.0,512,1.0,61035.0
