variant,generator,target_quality,splits,adaptive_test_quality_mean,adaptive_test_quality_ci_low,adaptive_test_quality_ci_high,fixed_test_quality_mean,fixed_test_quality_ci_low,fixed_test_quality_ci_high,adaptive_target_error_pp_mean,adaptive_target_error_pp_ci_low,adaptive_target_error_pp_ci_high,fixed_target_error_pp_mean,fixed_target_error_pp_ci_low,fixed_target_error_pp_ci_high,adaptive_test_chars_mean,adaptive_test_chars_ci_low,adaptive_test_chars_ci_high,fixed_test_chars_mean,fixed_test_chars_ci_low,fixed_test_chars_ci_high,character_saving_vs_train_fixed_pct_mean,character_saving_vs_train_fixed_pct_ci_low,character_saving_vs_train_fixed_pct_ci_high
local_exp_open3,gemma2_9b,0.3,3,0.29562268333155056,0.28126493435009703,0.3099804323130041,0.2892515994283115,0.25840363175108855,0.3200995671055345,-0.43773166684494086,-1.873506564990295,0.9980432313004133,-1.0748400571688503,-4.159636824891148,2.009956710553448,4394.345,3285.690165300313,5502.999834699687,4626.661666666667,2054.6304803483213,7198.692852985012,2.7214856964093372,-39.73185687476309,45.174828267581766
local_exp_open3,gemma2_9b,0.35,3,0.35385453942455297,0.32758807280047414,0.3801210060486318,0.34568616625156795,0.33634409512534674,0.35502823737778916,0.3854539424552994,-2.2411927199525827,3.012100604863181,-0.43138337484320094,-1.365590487465324,0.5028237377789222,9074.573333333334,4620.252783233896,13528.893883432771,8777.38,8503.699329274732,9051.060670725266,-3.243629226228401,-50.78283512827179,44.29557667581499
local_exp_open3,gemma2_9b,0.4,3,0.42988608660477184,0.413609425370209,0.4461627478393347,0.3954297717265745,0.381425270006144,0.409434273447005,2.9886086604771855,1.3609425370209014,4.61627478393347,-0.45702282734255323,-1.8574729993856,0.9434273447004937,25609.35666666667,17963.872268990515,33254.84106434283,17196.05,12154.1972690953,22237.902730904698,-49.76784480286812,-96.20346615759719,-3.3322234481390467
local_exp_open3,gemma2_9b,0.45,3,0.46374268052830775,0.3799697034717503,0.5475156575848652,0.4480848147413663,0.4094331271032528,0.4867365023794798,1.3742680528307736,-7.003029652824971,9.751565758486517,-0.191518525863373,-4.056687289674722,3.673650237947976,41023.39833333334,15333.778465665073,66713.0182010016,35959.275,22019.131686981287,49899.418313018716,-13.371914647518707,-61.17799973437944,34.434170439342026
local_exp_open3,gemma2_9b,0.5,3,0.5245034229667233,0.4641018722763518,0.5849049736570947,0.4925730970742082,0.4791942369597846,0.5059519571886318,2.450342296672329,-3.5898127723648137,8.490497365709471,-0.7426902925791826,-2.0805763040215455,0.5951957188631801,83872.78833333333,25303.48460669644,142442.09205997022,76675.00333333334,48719.92317752795,104630.08348913873,-10.309045110834633,-90.43537856580944,69.81728834414018
local_exp_open3,gemma2_9b,0.55,3,0.5750251778376582,0.5047227247922461,0.6453276308830702,0.5467972004731357,0.5313452618999766,0.5622491390462949,2.5025177837658155,-4.527727520775384,9.532763088307014,-0.32027995268643084,-1.8654738100023485,1.2249139046294868,196878.285,-4296.413108986249,398052.9831089863,182072.93166666667,147765.17080047628,216380.69253285707,-6.552146819122861,-104.44290179688514,91.3386081586394
local_exp_open3,gemma2_9b,0.6,3,0.6192742769648508,0.5653271563612834,0.6732213975684183,0.6031748073872684,0.5964778823071031,0.6098717324674336,1.927427696485088,-3.4672843638716504,7.3221397568418265,0.31748073872684596,-0.3522117692896845,0.9871732467433765,532108.6833333332,44543.63978256605,1019673.7268841004,533772.57,389966.55962719664,677578.5803728033,-3.1411845435384778,-128.10523733520242,121.82286824812546
local_exp_open3,llama3.1_8b,0.3,3,0.3003929161955648,0.2459980460006606,0.354787786390469,0.3063173856765668,0.25282211067788585,0.35981266067524775,0.03929161955648445,-5.400195399933932,5.478778639046902,0.631738567656683,-4.7177889322114135,5.981266067524779,8387.528333333334,5199.020390565407,11576.03627610126,12062.436666666666,5768.359805106707,18356.513528226627,29.853288987151682,17.213232017811404,42.493345956491964
local_exp_open3,llama3.1_8b,0.35,3,0.3754581985459122,0.34871758604649955,0.4021988110453249,0.3520794664248621,0.29432741623198677,0.4098315166177374,2.5458198545912194,-0.12824139535004786,5.219881104532487,0.2079466424862102,-5.567258376801323,5.983151661773743,21294.068333333333,18181.491464713297,24406.645201953368,22822.235,10136.042497292716,35508.42750270729,2.144379345776901,-74.07852591829817,78.36728460985196
local_exp_open3,llama3.1_8b,0.4,3,0.4465581280428919,0.43075249579792574,0.4623637602878581,0.39970555541938485,0.3370264948362538,0.4623846160025159,4.655812804289194,3.075249579792577,6.236376028785812,-0.029444458061515338,-6.297350516374625,6.238461600251593,44161.263333333336,34594.30071650465,53728.22595016202,40140.556666666664,19692.390516122337,60588.72281721099,-13.33281675063597,-79.52750157492432,52.861868073652374
local_exp_open3,llama3.1_8b,0.45,3,0.4928572769029298,0.37800526164385995,0.6077092921619996,0.4491077214416237,0.37597684791233404,0.5222385949709133,4.285727690292984,-7.199473835614,15.770929216199967,-0.08922785583762953,-7.402315208766594,7.223859497091335,79650.72333333333,-3926.529880140428,163227.9765468071,71587.84000000001,37962.20024286112,105213.4797571389,-13.081656569636285,-145.99797779663166,119.83466465735908
local_exp_open3,llama3.1_8b,0.5,3,0.5187791895224102,0.49780037123313414,0.5397580078116863,0.5010908649695135,0.43294431567156455,0.5692374142674624,1.8779189522410273,-0.21996287668657977,3.9758007811686342,0.10908649695135327,-6.705568432843542,6.923741426746249,93151.76166666667,66537.83105639945,119765.6922769339,142627.20666666667,49933.86576459816,235320.54756873517,31.59718924058126,-19.56252153811965,82.75690001928217
local_exp_open3,llama3.1_8b,0.55,3,0.5773001191616975,0.5670561325708713,0.5875441057525238,0.5517850716399805,0.5144634474961004,0.5891066957838605,2.730011916169746,1.7056132570871223,3.7544105752523698,0.1785071639980429,-3.5536552503899665,3.9106695783860523,224706.15333333332,157044.66009213717,292367.64657452947,262759.175,183820.69909157767,341697.6509084223,12.93767076824649,-38.69886755926079,64.57420909575377
local_exp_open3,llama3.1_8b,0.6,3,0.6104792911326768,0.5995491789246966,0.6214094033406571,0.5952125197036188,0.5589547589126119,0.6314702804946256,1.0479291132676833,-0.04508210753033737,2.140940334065704,-0.4787480296381245,-4.104524108738806,3.147028049462557,413342.0433333333,357410.35052198975,469273.7361446768,485065.18,284420.13770559826,685710.2222944017,12.545407960040228,-37.761589405876705,62.852405325957164
local_exp_open3,llama3.2_3b,0.3,3,0.31156678887128464,0.2710288000224671,0.3521047777201022,0.29641540320414833,0.25683999471571123,0.33599081169258543,1.156678887128467,-2.897119997753287,5.210477772010221,-0.3584596795851676,-4.316000528428878,3.5990811692585427,9742.775,9103.021279920837,10382.528720079163,9714.713333333333,5719.040648521604,13710.386018145062,-1.9955673243086942,-41.57327938231927,37.58214473370188
local_exp_open3,llama3.2_3b,0.35,3,0.3785586250242326,0.33925891247695206,0.41785833757151314,0.34335859325598134,0.33055789526107693,0.35615929125088575,2.855862502423262,-1.0741087523047925,6.785833757151316,-0.6641406744018604,-1.9442104738923027,0.615929125088582,22230.696666666667,19952.76581645213,24508.627516881203,17695.571666666667,14081.800785271118,21309.342548062214,-26.400450456436122,-61.98048245344816,9.179581540575914
local_exp_open3,llama3.2_3b,0.4,3,0.4541407854911788,0.4003178740311032,0.5079636969512544,0.38804480126613644,0.3781980603662943,0.3978915421659786,5.414078549117879,0.03178740311031536,10.796369695125442,-1.1955198733863563,-2.180193963370571,-0.21084578340214188,44139.88333333333,41429.227263486246,46850.53940318042,30554.329999999998,21924.481594289755,39184.17840571024,-45.74075293404949,-88.52711052121556,-2.954395346883416
local_exp_open3,llama3.2_3b,0.45,3,0.4541407854911788,0.4003178740311032,0.5079636969512544,0.4420373250351249,0.4039140391092082,0.48016061096104157,0.41407854911788,-4.968212596889684,5.796369695125444,-0.796267496487509,-4.608596089079176,3.016061096104158,44139.88333333333,41429.227263486246,46850.53940318042,55748.74166666666,45573.511693114415,65923.97164021891,20.604619758990577,9.143392603098508,32.06584691488264
