variant,generator,split,divisor,fixed_n,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_quality,adaptive_chars,adaptive_opens
reference_train_scale,llama3.1_8b,13,100000.0,5,0.22529857459310748,0.19564946658920718,0.029649108003900304,15.154198230528612,0.0,0.33045322459310744,10515.465,12.47
reference_train_scale,llama3.1_8b,13,500000.0,21,0.34544786641009695,0.3053656490434331,0.04008221736666384,13.125974546325876,0.0,0.417037226410097,35794.68,49.725
reference_train_scale,llama3.1_8b,13,1000000.0,50,0.4021057502487065,0.36027015331613454,0.04183559693257194,11.6122849887766,0.0,0.46709347524870654,64987.725,103.31
reference_train_scale,llama3.1_8b,13,5000000.0,156,0.5284981748604671,0.49718002273312406,0.03131815212734307,6.299157386730723,0.0,0.581928443860467,267151.345,332.125
reference_train_scale,llama3.1_8b,13,10000000.0,195,0.5716126081103385,0.5392298239784185,0.032382784131920084,6.0053770566696505,0.0,0.6169358321103384,453232.24,447.03
reference_train_scale,llama3.1_8b,13,50000000.0,793,0.6228718872294811,0.6220186775373392,0.0008532096921418653,0.13716785732541736,0.0,0.659072285729481,1810019.925,935.35
local_exp_open3,llama3.1_8b,13,100000.0,5,0.22786254467357991,0.19564946658920718,0.03221307808437274,16.464689961055967,0.0025639700804724256,0.29815264467357994,7029.01,7.335
local_exp_open3,llama3.1_8b,13,500000.0,21,0.34315749486515307,0.3053656490434331,0.03779184582171996,12.375932243886641,-0.002290371544943861,0.3845000248651531,20671.265,37.475
local_exp_open3,llama3.1_8b,13,1000000.0,50,0.39776817577325885,0.36027015331613454,0.0374980224571243,10.408306686515896,-0.004337574475447669,0.4462320257732588,48463.85,97.41
local_exp_open3,llama3.1_8b,13,5000000.0,156,0.5275680577362541,0.49718002273312406,0.030388035003130087,6.112078847432241,-0.0009301171242129214,0.5784480707362541,254400.065,328.825
local_exp_open3,llama3.1_8b,13,10000000.0,195,0.5707594974234124,0.5392298239784185,0.03152967344499391,5.847167950090205,-0.0008531106869261063,0.6140693504234124,433098.53,440.665
local_exp_open3,llama3.1_8b,13,50000000.0,793,0.6228718872294811,0.6220186775373392,0.0008532096921418653,0.13716785732541736,0.0,0.659072285729481,1810019.925,935.35
local_exp_open4,llama3.1_8b,13,100000.0,5,0.2257640003172208,0.19564946658920718,0.03011453372801362,15.392085781272895,0.00046542572411334025,0.3159513003172208,9018.73,8.305
local_exp_open4,llama3.1_8b,13,500000.0,21,0.35172347391973086,0.3053656490434331,0.04635782487629775,15.181087008808946,0.006275607509633884,0.39606999391973086,22173.26,38.045
local_exp_open4,llama3.1_8b,13,1000000.0,50,0.4012276687073894,0.36027015331613454,0.04095751539125486,11.368556349799793,-0.0008780815413169974,0.45091180370738954,49684.135,97.8
local_exp_open4,llama3.1_8b,13,5000000.0,156,0.5275680577362541,0.49718002273312406,0.030388035003130087,6.112078847432241,-0.0009301171242129214,0.5784480707362541,254400.065,328.825
local_exp_open4,llama3.1_8b,13,10000000.0,195,0.5707594974234124,0.5392298239784185,0.03152967344499391,5.847167950090205,-0.0008531106869261063,0.6140693504234124,433098.53,440.665
local_exp_open4,llama3.1_8b,13,50000000.0,793,0.6228718872294811,0.6220186775373392,0.0008532096921418653,0.13716785732541736,0.0,0.659072285729481,1810019.925,935.35
local_exp_open5,llama3.1_8b,13,100000.0,5,0.21846521235578806,0.19564946658920718,0.02281574576658088,11.661542535398606,-0.006833362237319476,0.328748512355788,11028.33,9.03
local_exp_open5,llama3.1_8b,13,500000.0,21,0.35431826645763304,0.3053656490434331,0.04895261741419993,16.030819958808543,0.008870400047536075,0.40103757645763305,23359.655,38.34
local_exp_open5,llama3.1_8b,13,1000000.0,50,0.4026234695634824,0.36027015331613454,0.04235331624734784,11.755988071035986,0.0005177193147758957,0.45270307456348235,50079.605,97.905
local_exp_open5,llama3.1_8b,13,5000000.0,156,0.5275680577362541,0.49718002273312406,0.030388035003130087,6.112078847432241,-0.0009301171242129214,0.5784480707362541,254400.065,328.825
local_exp_open5,llama3.1_8b,13,10000000.0,195,0.5707594974234124,0.5392298239784185,0.03152967344499391,5.847167950090205,-0.0008531106869261063,0.6140693504234124,433098.53,440.665
local_exp_open5,llama3.1_8b,13,50000000.0,793,0.6228718872294811,0.6220186775373392,0.0008532096921418653,0.13716785732541736,0.0,0.659072285729481,1810019.925,935.35
local_exp_open6,llama3.1_8b,13,100000.0,5,0.209325515953206,0.19564946658920718,0.013676049363998827,6.990077510772653,-0.015973058639901463,0.339276715953206,12995.12,9.76
local_exp_open6,llama3.1_8b,13,500000.0,21,0.3557087420023559,0.3053656490434331,0.05034309295892281,16.486167686713955,0.010260875592259045,0.404965152002356,24628.205,38.715
local_exp_open6,llama3.1_8b,13,1000000.0,50,0.40422217982101083,0.36027015331613454,0.043952026504876285,12.199741249813911,0.002116429572304268,0.4553338948210107,51111.715,98.21
local_exp_open6,llama3.1_8b,13,5000000.0,156,0.5275680577362541,0.49718002273312406,0.030388035003130087,6.112078847432241,-0.0009301171242129214,0.5784480707362541,254400.065,328.825
local_exp_open6,llama3.1_8b,13,10000000.0,195,0.5707594974234124,0.5392298239784185,0.03152967344499391,5.847167950090205,-0.0008531106869261063,0.6140693504234124,433098.53,440.665
local_exp_open6,llama3.1_8b,13,50000000.0,793,0.6228718872294811,0.6220186775373392,0.0008532096921418653,0.13716785732541736,0.0,0.659072285729481,1810019.925,935.35
local_exp_open8,llama3.1_8b,13,100000.0,5,0.179482107601902,0.19564946658920718,-0.016167358987305175,-8.2634311604083,-0.04581646699120548,0.34901455760190203,16953.245,11.475
local_exp_open8,llama3.1_8b,13,500000.0,21,0.3567260266011033,0.3053656490434331,0.0513603775576702,16.819304240197972,0.011278160191006338,0.4131936266011033,28233.8,39.88
local_exp_open8,llama3.1_8b,13,1000000.0,50,0.40512702653686744,0.36027015331613454,0.044856873220732896,12.450899084435479,0.0030212762881609303,0.4592232915368675,54096.265,99.095
local_exp_open8,llama3.1_8b,13,5000000.0,156,0.5275680577362541,0.49718002273312406,0.030388035003130087,6.112078847432241,-0.0009301171242129214,0.5784480707362541,254400.065,328.825
local_exp_open8,llama3.1_8b,13,10000000.0,195,0.5707594974234124,0.5392298239784185,0.03152967344499391,5.847167950090205,-0.0008531106869261063,0.6140693504234124,433098.53,440.665
local_exp_open8,llama3.1_8b,13,50000000.0,793,0.6228718872294811,0.6220186775373392,0.0008532096921418653,0.13716785732541736,0.0,0.659072285729481,1810019.925,935.35
local_exp_open5_bonus_only,llama3.1_8b,13,100000.0,5,0.20804755409428122,0.19564946658920718,0.01239808750507404,6.336887966633469,-0.017251020498826264,0.3132035040942812,10515.595,7.29
local_exp_open5_bonus_only,llama3.1_8b,13,500000.0,21,0.33472221671274055,0.3053656490434331,0.029356567669307443,9.613578921292476,-0.010725649697356352,0.36879897671274064,17038.38,32.52
local_exp_open5_bonus_only,llama3.1_8b,13,1000000.0,50,0.38720619893094754,0.36027015331613454,0.026936045614812998,7.47662424069218,-0.0148995513177589,0.4195125739309475,32306.375,89.015
local_exp_open5_bonus_only,llama3.1_8b,13,5000000.0,156,0.5232888615815484,0.49718002273312406,0.026108838848424354,5.25138534426574,-0.005209313278918601,0.5639034365815485,203072.875,311.81
local_exp_open5_bonus_only,llama3.1_8b,13,10000000.0,195,0.5674958713119342,0.5392298239784185,0.028266047333515787,5.241929521807584,-0.004116736798404258,0.6068539418119342,393580.705,427.71
local_exp_open5_bonus_only,llama3.1_8b,13,50000000.0,793,0.6228718872294811,0.6220186775373392,0.0008532096921418653,0.13716785732541736,0.0,0.659072285729481,1810019.925,935.35
local_exp_open5_bonus_only_004,llama3.1_8b,13,100000.0,5,0.21734595279795738,0.19564946658920718,0.0216964862087502,11.089468623139638,-0.007952621795150105,0.3253249027979574,10797.895,9.035
local_exp_open5_bonus_only_004,llama3.1_8b,13,500000.0,21,0.3512605553895332,0.3053656490434331,0.045894906346100106,15.029492180887814,0.005812688979436241,0.4017620153895332,25250.73,78.925
local_exp_open5_bonus_only_004,llama3.1_8b,13,1000000.0,50,0.4083482236012497,0.36027015331613454,0.04807807028511518,13.345005086482146,0.006242473352543325,0.4619953986012498,53647.175,153.005
local_exp_open5_bonus_only_004,llama3.1_8b,13,5000000.0,156,0.5310230639615052,0.49718002273312406,0.033843041228381165,6.806999412876131,0.0025248891010381147,0.6029259529615052,359514.445,418.345
local_exp_open5_bonus_only_004,llama3.1_8b,13,10000000.0,195,0.55721912008644,0.5392298239784185,0.01798929610802158,3.336109263263147,-0.014393488023898449,0.63341658208644,761974.62,598.43
local_exp_open5_bonus_only_004,llama3.1_8b,13,50000000.0,793,0.6219469402397224,0.6220186775373392,-7.173729761678072e-05,-0.011532981276510687,-0.000924946989758541,0.6610696122397224,1956133.6,960.0
local_exp_open5_conf02,llama3.1_8b,13,100000.0,5,0.21312132485854676,0.19564946658920718,0.017471858269339585,8.930184464046684,-0.012177249734560741,0.32046992485854675,10734.86,8.195
local_exp_open5_conf02,llama3.1_8b,13,500000.0,21,0.3465680415511867,0.3053656490434331,0.041202392507753594,13.492805309576012,0.0011201751410897616,0.38690453155118676,20168.245,35.905
local_exp_open5_conf02,llama3.1_8b,13,1000000.0,50,0.39692909855041547,0.36027015331613454,0.036658945234280926,10.175404456031348,-0.0051766516982910404,0.4362754435504154,39346.345,92.835
local_exp_open5_conf02,llama3.1_8b,13,5000000.0,156,0.5250608039895037,0.49718002273312406,0.02788078125637966,5.607783897492898,-0.0034373708709633023,0.5708140159895038,228766.06,320.305
local_exp_open5_conf02,llama3.1_8b,13,10000000.0,195,0.5703071262106093,0.5392298239784185,0.03107730223219085,5.76327585201123,-0.001305481899729126,0.6119065827106094,415994.565,435.12
local_exp_open5_conf02,llama3.1_8b,13,50000000.0,793,0.6228718872294811,0.6220186775373392,0.0008532096921418653,0.13716785732541736,0.0,0.659072285729481,1810019.925,935.35
local_exp_open5_conf06,llama3.1_8b,13,100000.0,5,0.22165302803122422,0.19564946658920718,0.026003561442017042,13.290893093317285,-0.003645546561883256,0.33541807803122425,11376.505,10.12
local_exp_open5_conf06,llama3.1_8b,13,500000.0,21,0.3566425925024818,0.3053656490434331,0.05127694345904871,16.79198155381106,0.01119472609238485,0.41191021250248183,27633.81,43.33
local_exp_open5_conf06,llama3.1_8b,13,1000000.0,50,0.4062286173708536,0.36027015331613454,0.04595846405471904,12.75666708210236,0.004122867122147133,0.46736382737085364,61135.21,102.925
local_exp_open5_conf06,llama3.1_8b,13,5000000.0,156,0.5306749269207455,0.49718002273312406,0.03349490418762141,6.736977081961473,0.002176752060278455,0.5856811229207455,275030.98,335.43
local_exp_open5_conf06,llama3.1_8b,13,10000000.0,195,0.5720972236860259,0.5392298239784185,0.032867399707607436,6.095248861628782,0.00048461557568732494,0.6177814736860258,456842.5,448.265
