split,price,problem_id,profit,fixed_profit,accuracy,tokens,calls,fixed_calls,fixed_accuracy,fixed_tokens
0,1e-06,1883_B,0.302966625,0.886921,0.3541666666666667,51200.041666666664,233.0,512,1.0,113079.0
0,1e-06,1899_B,0.2914332708333333,0.953501,0.3125,21066.729166666668,233.0,512,1.0,46499.0
0,1e-06,1899_C,-0.029864979166666666,-0.06544300000000002,0.0,29864.979166666668,233.0,512,0.0,65443.0
0,1e-06,2730,0.9688825416666668,0.931086,1.0,31117.458333333332,233.0,512,1.0,68914.0
0,1e-06,2754,0.7878728958333333,0.8997580000000002,0.8333333333333334,45460.4375,233.0,512,1.0,100242.0
0,1e-06,2755,0.574744875,-0.064749,0.6041666666666666,29421.791666666668,233.0,512,0.0,64749.0
0,1e-06,2784,0.7207192291666668,0.936356,0.75,29280.770833333332,233.0,512,1.0,63644.0
0,1e-06,2792,0.7056741249999999,0.947658,0.7291666666666666,23492.541666666668,233.0,512,1.0,52342.0
0,1e-06,2802,0.8858517708333333,0.9322499999999999,0.9166666666666666,30814.895833333332,233.0,512,1.0,67750.0
0,1e-06,2808,0.09929454166666667,-0.05648599999999999,0.125,25705.458333333332,233.0,512,0.0,56486.0
0,1e-06,2827,0.7991220208333334,0.8791779999999999,0.8541666666666666,55044.645833333336,233.0,512,1.0,120822.0
0,1e-06,2832,0.9506634374999999,0.937271,0.9791666666666666,28503.229166666668,233.0,512,1.0,62729.0
0,1e-06,2834,0.9799388125,0.955841,1.0,20061.1875,233.0,512,1.0,44159.0
0,1e-06,2839,-0.06668691666666667,-0.14607100000000003,0.0,66686.91666666667,233.0,512,0.0,146071.0
0,1e-06,2845,0.9844098958333333,0.9657409999999998,1.0,15590.104166666666,233.0,512,1.0,34259.0
0,1e-06,2848,0.5809454583333333,0.9031269999999999,0.625,44054.541666666664,233.0,512,1.0,96873.0
0,1e-06,2867,0.8903080208333334,0.942073,0.9166666666666666,26358.645833333332,233.0,512,1.0,57927.0
0,1e-06,2868,0.9663141250000001,0.9260830000000001,1.0,33685.875,233.0,512,1.0,73917.0
0,1e-06,2869,0.942171375,0.8730180000000001,1.0,57828.625,233.0,512,1.0,126982.0
0,1e-06,2878,-0.006503124999999999,-0.060189,0.020833333333333332,27336.458333333332,233.0,512,0.0,60189.0
0,1e-06,2882,0.5523027083333333,-0.06795799999999998,0.5833333333333334,31030.625,233.0,512,0.0,67958.0
0,1e-06,2883,0.42593604166666665,0.8364950000000001,0.5,74063.95833333333,233.0,512,1.0,163505.0
0,1e-06,2884,0.3071496458333333,-0.05756,0.3333333333333333,26183.6875,233.0,512,0.0,57560.0
0,1e-06,2887,0.9758292083333333,0.946776,1.0,24170.791666666668,233.0,512,1.0,53224.0
0,1e-06,2893,0.9699463750000001,0.9335589999999999,1.0,30053.625,233.0,512,1.0,66441.0
0,1e-06,2915,0.9505366249999999,0.937561,0.9791666666666666,28630.041666666668,233.0,512,1.0,62439.0
0,1e-06,2920,0.5516840416666666,0.931169,0.5833333333333334,31649.291666666668,233.0,512,1.0,68831.0
0,1e-06,2953,0.0401951875,-0.049026999999999994,0.0625,22304.8125,233.0,512,0.0,49027.0
0,1e-06,2979,0.03206202083333332,-0.066955,0.0625,30437.979166666668,233.0,512,0.0,66955.0
0,1e-06,3000,-0.0313956875,-0.069203,0.0,31395.6875,233.0,512,0.0,69203.0
0,1e-06,3018,0.9738597916666666,0.942524,1.0,26140.208333333332,233.0,512,1.0,57476.0
0,1e-06,3025,0.08934020833333334,-0.078423,0.125,35659.791666666664,233.0,512,0.0,78423.0
0,1e-06,3106,0.7662931875,0.944276,0.7916666666666666,25373.479166666668,233.0,512,1.0,55724.0
0,1e-06,3114,0.9422557291666668,0.8727900000000001,1.0,57744.270833333336,233.0,512,1.0,127210.0
0,1e-06,3153,0.9324795833333331,0.9429230000000001,0.9583333333333334,25853.75,233.0,512,1.0,57077.0
0,1e-06,3166,-0.032567895833333325,-0.071531,0.0,32567.895833333332,233.0,512,0.0,71531.0
0,1e-06,3174,0.986326,0.969928,1.0,13674.0,233.0,512,1.0,30072.0
0,1e-06,3195,0.3796996458333333,-0.03542299999999999,0.3958333333333333,16133.6875,233.0,512,0.0,35423.0
0,1e-06,3203,-0.10409060416666666,-0.22737499999999997,0.0,104090.60416666667,233.0,512,0.0,227375.0
0,1e-06,3212,0.9722570208333333,0.9389649999999999,1.0,27742.979166666668,233.0,512,1.0,61035.0
0,1e-06,3213,0.9709565208333334,0.936546,1.0,29043.479166666668,233.0,512,1.0,63454.0
0,1e-06,3225,0.9710779375,0.9363589999999998,1.0,28922.0625,233.0,512,1.0,63641.0
0,1e-06,3228,0.4843408333333333,0.9204819999999999,0.5208333333333334,36492.5,233.0,512,1.0,79518.0
0,1e-06,3229,0.9390611249999999,0.9121069999999999,0.9791666666666666,40105.541666666664,233.0,512,1.0,87893.0
0,1e-06,3235,0.9340557083333333,0.8551510000000001,1.0,65944.29166666667,233.0,512,1.0,144849.0
0,1e-06,3239,0.011162333333333331,-0.06787599999999999,0.041666666666666664,30504.333333333332,233.0,512,0.0,67876.0
0,1e-06,3249,0.9878569375,0.973306,1.0,12143.0625,233.0,512,1.0,26694.0
0,1e-06,3262,0.9825468541666668,0.9617889999999999,1.0,17453.145833333332,233.0,512,1.0,38211.0
0,1e-06,3265,-0.01871558333333333,-0.08702399999999999,0.020833333333333332,39548.916666666664,233.0,512,0.0,87024.0
0,1e-06,3279,0.9056673125,0.975882,0.9166666666666666,10999.354166666666,233.0,512,1.0,24118.0
0,1e-06,3297,0.9833706041666668,0.9634679999999999,1.0,16629.395833333332,233.0,512,1.0,36532.0
0,1e-06,3306,0.9623872499999999,0.9172890000000001,1.0,37612.75,233.0,512,1.0,82711.0
0,1e-06,3355,0.6031287916666667,0.95179,0.625,21871.208333333332,233.0,512,1.0,48210.0
0,1e-06,3373,0.31434547916666666,-0.087627,0.3541666666666667,39821.1875,233.0,512,0.0,87627.0
0,1e-06,3387,-0.0026796458333333308,-0.051493000000000004,0.020833333333333332,23512.979166666668,233.0,512,0.0,51493.0
0,1e-06,3420,0.9750330833333334,0.9452920000000001,1.0,24966.916666666668,233.0,512,1.0,54708.0
0,1e-06,abc308_d,-0.10136645833333331,-0.222799,0.0,101366.45833333333,233.0,512,0.0,222799.0
0,1e-06,abc313_b,0.157704375,-0.111225,0.20833333333333334,50628.958333333336,233.0,512,0.0,111225.0
0,1e-06,abc322_c,-0.003948625000000001,-0.055429,0.020833333333333332,24781.958333333332,233.0,512,0.0,55429.0
0,1e-06,abc326_c,0.9389653750000001,0.957766,0.9583333333333334,19367.958333333332,233.0,512,1.0,42234.0
0,1e-06,abc327_c,0.9519284791666666,0.8946500000000001,1.0,48071.520833333336,233.0,512,1.0,105350.0
0,1e-06,abc329_d,0.12551864583333333,-0.044632,0.14583333333333334,20314.6875,233.0,512,0.0,44632.0
0,1e-06,abc330_d,-0.043290416666666665,-0.09679399999999999,0.0,43290.416666666664,233.0,512,0.0,96794.0
0,1e-06,abc339_b,0.9179584166666667,0.865279,0.9791666666666666,61208.25,233.0,512,1.0,134721.0
0,1e-06,abc339_c,0.9887843125,0.9753679999999999,1.0,11215.6875,233.0,512,1.0,24632.0
0,1e-06,abc340_d,-0.0018266874999999978,-0.096102,0.041666666666666664,43493.354166666664,233.0,512,0.0,96102.0
0,1e-06,abc343_c,0.2709848333333333,-0.046046,0.2916666666666667,20681.833333333332,233.0,512,0.0,46046.0
0,1e-06,abc352_c,-0.03168310416666666,-0.069473,0.0,31683.104166666668,233.0,512,0.0,69473.0
0,1e-06,abc355_c,-0.04977904166666666,-0.10829299999999999,0.0,49779.041666666664,233.0,512,0.0,108293.0
0,1.25e-06,1883_B,0.2580516145833333,0.85865125,0.3125,43558.708333333336,198.0,512,1.0,113079.0
0,1.25e-06,1899_B,0.24842234374999997,0.94187625,0.2708333333333333,17928.791666666668,198.0,512,1.0,46499.0
0,1.25e-06,1899_C,-0.031881875000000004,-0.08180375000000001,0.0,25505.5,198.0,512,0.0,65443.0
0,1.25e-06,2730,0.9668891145833335,0.9138574999999999,1.0,26488.708333333332,198.0,512,1.0,68914.0
0,1.25e-06,2754,0.7433641927083333,0.8746975,0.7916666666666666,38641.979166666664,198.0,512,1.0,100242.0
0,1.25e-06,2755,0.6354008333333333,-0.08093625,0.6666666666666666,25012.666666666668,198.0,512,0.0,64749.0
0,1.25e-06,2784,0.69823203125,0.920445,0.7291666666666666,24747.708333333332,198.0,512,1.0,63644.0
0,1.25e-06,2792,0.745948046875,0.9345724999999999,0.7708333333333334,19908.229166666668,198.0,512,1.0,52342.0
0,1.25e-06,2802,0.8214783333333333,0.9153124999999999,0.8541666666666666,26150.666666666668,198.0,512,1.0,67750.0
0,1.25e-06,2808,0.097694609375,-0.0706075,0.125,21844.3125,198.0,512,0.0,56486.0
0,1.25e-06,2827,0.7330155208333333,0.8489725,0.7916666666666666,46920.916666666664,198.0,512,1.0,120822.0
0,1.25e-06,2832,0.9488735677083334,0.9215887499999998,0.9791666666666666,24234.479166666668,198.0,512,1.0,62729.0
0,1.25e-06,2834,0.957858828125,0.9448012500000001,0.9791666666666666,17046.270833333332,198.0,512,1.0,44159.0
0,1.25e-06,2839,-0.070645546875,-0.18258875000000005,0.0,56516.4375,198.0,512,0.0,146071.0
0,1.25e-06,2845,0.9834415885416666,0.95717625,1.0,13246.729166666666,198.0,512,1.0,34259.0
0,1.25e-06,2848,0.5574080729166667,0.87890875,0.6041666666666666,37406.875,198.0,512,1.0,96873.0
0,1.25e-06,2867,0.8887215625000001,0.92759125,0.9166666666666666,22356.083333333332,198.0,512,1.0,57927.0
0,1.25e-06,2868,0.9641011979166666,0.9076037499999999,1.0,28719.041666666668,198.0,512,1.0,73917.0
0,1.25e-06,2869,0.9385406510416666,0.8412725,1.0,49167.479166666664,198.0,512,1.0,126982.0
0,1.25e-06,2878,0.012612838541666662,-0.07523625,0.041666666666666664,23243.0625,198.0,512,0.0,60189.0
0,1.25e-06,2882,0.6127590885416666,-0.08494750000000001,0.6458333333333334,26459.395833333332,198.0,512,0.0,67958.0
0,1.25e-06,2883,0.48349955729166666,0.79561875,0.5625,63200.354166666664,198.0,512,1.0,163505.0
0,1.25e-06,2884,0.34719695312499993,-0.07195,0.375,22242.4375,198.0,512,0.0,57560.0
0,1.25e-06,2887,0.9743325,0.9334699999999999,1.0,20534.0,198.0,512,1.0,53224.0
0,1.25e-06,2893,0.9680579687499998,0.9169487499999999,1.0,25553.625,198.0,512,1.0,66441.0
0,1.25e-06,2915,0.9280028124999999,0.9219512500000001,0.9583333333333334,24264.416666666668,198.0,512,1.0,62439.0
0,1.25e-06,2920,0.5080275,0.91396125,0.5416666666666666,26911.333333333332,198.0,512,1.0,68831.0
0,1.25e-06,2953,0.01798692708333333,-0.061283750000000005,0.041666666666666664,18943.791666666668,198.0,512,0.0,49027.0
0,1.25e-06,2979,0.092687734375,-0.08369375000000001,0.125,25849.8125,198.0,512,0.0,66955.0
0,1.25e-06,3000,-0.03335955729166667,-0.08650375,0.0,26687.645833333332,198.0,512,0.0,69203.0
0,1.25e-06,3018,0.972230390625,0.928155,1.0,22215.6875,198.0,512,1.0,57476.0
0,1.25e-06,3025,0.06629260416666666,-0.09802875000000001,0.10416666666666667,30299.25,198.0,512,0.0,78423.0
0,1.25e-06,3106,0.7021695052083334,0.930345,0.7291666666666666,21597.729166666668,198.0,512,1.0,55724.0
0,1.25e-06,3114,0.8760644270833332,0.8409874999999999,0.9375,49148.458333333336,198.0,512,1.0,127210.0
0,1.25e-06,3153,0.8475801562499999,0.9286537500000002,0.875,21935.875,198.0,512,1.0,57077.0
0,1.25e-06,3166,-0.034587708333333335,-0.08941375000000001,0.0,27670.166666666668,198.0,512,0.0,71531.0
0,1.25e-06,3174,0.9854736197916667,0.9624100000000001,1.0,11621.104166666666,198.0,512,1.0,30072.0
0,1.25e-06,3195,0.5037111458333333,-0.044278750000000006,0.5208333333333334,13697.75,198.0,512,0.0,35423.0
0,1.25e-06,3203,-0.109141484375,-0.28421875,0.0,87313.1875,198.0,512,0.0,227375.0
0,1.25e-06,3212,0.970553671875,0.9237062500000001,1.0,23557.0625,198.0,512,1.0,61035.0
0,1.25e-06,3213,0.9692599999999999,0.9206825,1.0,24592.0,198.0,512,1.0,63454.0
0,1.25e-06,3225,0.9692552864583334,0.9204487500000001,1.0,24595.770833333332,198.0,512,1.0,63641.0
0,1.25e-06,3228,0.44069739583333334,0.9006024999999999,0.4791666666666667,30775.416666666668,198.0,512,1.0,79518.0
0,1.25e-06,3229,0.9364214583333333,0.8901337500000001,0.9791666666666666,34196.166666666664,198.0,512,1.0,87893.0
0,1.25e-06,3235,0.9299700260416666,0.81893875,1.0,56023.979166666664,198.0,512,1.0,144849.0
0,1.25e-06,3239,0.030153046874999995,-0.084845,0.0625,25877.5625,198.0,512,0.0,67876.0
0,1.25e-06,3249,0.98709953125,0.9666325000000001,1.0,10320.375,198.0,512,1.0,26694.0
0,1.25e-06,3262,0.9814769270833335,0.95223625,1.0,14818.458333333334,198.0,512,1.0,38211.0
0,1.25e-06,3265,-0.021151067708333336,-0.10878,0.020833333333333332,33587.520833333336,198.0,512,0.0,87024.0
0,1.25e-06,3279,0.842528359375,0.9698525,0.8541666666666666,9310.645833333334,198.0,512,1.0,24118.0
0,1.25e-06,3297,0.9823424218749999,0.954335,1.0,14126.0625,198.0,512,1.0,36532.0
0,1.25e-06,3306,0.9600482552083335,0.89661125,1.0,31961.395833333332,198.0,512,1.0,82711.0
0,1.25e-06,3355,0.6226299479166667,0.9397375,0.6458333333333334,18562.708333333332,198.0,512,1.0,48210.0
0,1.25e-06,3373,0.39519164062499995,-0.10953375,0.4375,33846.6875,198.0,512,0.0,87627.0
0,1.25e-06,3387,0.016672213541666668,-0.06436625,0.041666666666666664,19995.5625,198.0,512,0.0,51493.0
0,1.25e-06,3420,0.9735091145833333,0.931615,1.0,21192.708333333332,198.0,512,1.0,54708.0
0,1.25e-06,abc308_d,-0.10797354166666667,-0.27849875,0.0,86378.83333333333,198.0,512,0.0,222799.0
0,1.25e-06,abc313_b,0.154704140625,-0.13903125000000002,0.20833333333333334,42903.354166666664,198.0,512,0.0,111225.0
0,1.25e-06,abc322_c,0.015081953124999999,-0.06928625000000001,0.041666666666666664,21267.770833333332,198.0,512,0.0,55429.0
0,1.25e-06,abc326_c,0.8754482552083335,0.9472075000000001,0.8958333333333334,16308.0625,198.0,512,1.0,42234.0
0,1.25e-06,abc327_c,0.9489588541666666,0.8683125,1.0,40832.916666666664,198.0,512,1.0,105350.0
0,1.25e-06,abc329_d,0.12424557291666667,-0.055790000000000006,0.14583333333333334,17270.208333333332,198.0,512,0.0,44632.0
0,1.25e-06,abc330_d,-0.046394296875,-0.12099250000000002,0.0,37115.4375,198.0,512,0.0,96794.0
0,1.25e-06,abc339_b,0.9352351302083334,0.8315987499999998,1.0,51811.895833333336,198.0,512,1.0,134721.0
0,1.25e-06,abc339_c,0.9880870833333333,0.96921,1.0,9530.333333333334,198.0,512,1.0,24632.0
0,1.25e-06,abc340_d,0.037200234374999995,-0.12012750000000001,0.08333333333333333,36906.479166666664,198.0,512,0.0,96102.0
0,1.25e-06,abc343_c,0.31134416666666664,-0.057557500000000004,0.3333333333333333,17591.333333333332,198.0,512,0.0,46046.0
0,1.25e-06,abc352_c,-0.03333630208333334,-0.08684125,0.0,26669.041666666668,198.0,512,0.0,69473.0
0,1.25e-06,abc355_c,-0.05268033854166668,-0.13536625000000002,0.0,42144.270833333336,198.0,512,0.0,108293.0
0,1.5e-06,1883_B,0.22508570833333333,0.8303815,0.2708333333333333,30498.416666666668,134.0,512,1.0,113079.0
0,1.5e-06,1899_B,0.10693384375,0.9302514999999999,0.125,12044.104166666666,134.0,512,1.0,46499.0
0,1.5e-06,1899_C,-0.02561103125,-0.0981645,0.0,17074.020833333332,134.0,512,0.0,65443.0
0,1.5e-06,2730,0.9731079687499999,0.896629,1.0,17928.020833333332,134.0,512,1.0,68914.0
0,1.5e-06,2754,0.585874875,0.8496369999999999,0.625,26083.416666666668,134.0,512,1.0,100242.0
0,1.5e-06,2755,0.7661850416666667,-0.09712350000000002,0.7916666666666666,16987.75,134.0,512,0.0,64749.0
0,1.5e-06,2784,0.7245457812499999,0.904534,0.75,16969.479166666668,134.0,512,1.0,63644.0
0,1.5e-06,2792,0.7716206979166667,0.921487,0.7916666666666666,13363.979166666666,134.0,512,1.0,52342.0
0,1.5e-06,2802,0.8068447083333333,0.898375,0.8333333333333334,17659.083333333332,134.0,512,1.0,67750.0
0,1.5e-06,2808,0.29034906250000003,-0.084729,0.3125,14767.291666666666,134.0,512,0.0,56486.0
0,1.5e-06,2827,0.6608336458333334,0.8187670000000001,0.7083333333333334,31666.458333333332,134.0,512,1.0,120822.0
0,1.5e-06,2832,0.9337566770833333,0.9059065000000001,0.9583333333333334,16384.4375,134.0,512,1.0,62729.0
0,1.5e-06,2834,0.9202456875,0.9337615,0.9375,11502.875,134.0,512,1.0,44159.0
0,1.5e-06,2839,-0.05758984375,-0.2191065,0.0,38393.229166666664,134.0,512,0.0,146071.0
0,1.5e-06,2845,0.9865590625,0.9486115,1.0,8960.625,134.0,512,1.0,34259.0
0,1.5e-06,2848,0.5454780833333334,0.8546905000000001,0.5833333333333334,25236.833333333332,134.0,512,1.0,96873.0
0,1.5e-06,2867,0.8522948437500001,0.9131095,0.875,15136.770833333334,134.0,512,1.0,57927.0
0,1.5e-06,2868,0.9708990000000001,0.8891245,1.0,19400.666666666668,134.0,512,1.0,73917.0
0,1.5e-06,2869,0.9500840625000001,0.809527,1.0,33277.291666666664,134.0,512,1.0,126982.0
0,1.5e-06,2878,0.038848875,-0.0902835,0.0625,15767.416666666666,134.0,512,0.0,60189.0
0,1.5e-06,2882,0.6397738854166667,-0.10193699999999999,0.6666666666666666,17928.520833333332,134.0,512,0.0,67958.0
0,1.5e-06,2883,0.6646772916666667,0.7547425,0.7291666666666666,42992.916666666664,134.0,512,1.0,163505.0
0,1.5e-06,2884,0.35241840625,-0.08633999999999999,0.375,15054.395833333334,134.0,512,0.0,57560.0
0,1.5e-06,2887,0.9792297812499999,0.9201639999999999,1.0,13846.8125,134.0,512,1.0,53224.0
0,1.5e-06,2893,0.97411353125,0.9003385,1.0,17257.645833333332,134.0,512,1.0,66441.0
0,1.5e-06,2915,0.8918021354166666,0.9063415,0.9166666666666666,16576.354166666668,134.0,512,1.0,62439.0
0,1.5e-06,2920,0.49339070833333337,0.8967535,0.5208333333333334,18295.083333333332,134.0,512,1.0,68831.0
0,1.5e-06,2953,0.06415364583333333,-0.07354050000000001,0.08333333333333333,12786.458333333334,134.0,512,0.0,49027.0
0,1.5e-06,2979,0.18219192708333332,-0.10043250000000002,0.20833333333333334,17427.604166666668,134.0,512,0.0,66955.0
0,1.5e-06,3000,-0.027104093750000002,-0.10380450000000001,0.0,18069.395833333332,134.0,512,0.0,69203.0
0,1.5e-06,3018,0.97744759375,0.913786,1.0,15034.9375,134.0,512,1.0,57476.0
0,1.5e-06,3025,0.05225070833333333,-0.11763449999999999,0.08333333333333333,20721.75,134.0,512,0.0,78423.0
0,1.5e-06,3106,0.7905947812499999,0.916414,0.8125,14603.479166666666,134.0,512,1.0,55724.0
0,1.5e-06,3114,0.82499953125,0.8091850000000002,0.875,33333.645833333336,134.0,512,1.0,127210.0
0,1.5e-06,3153,0.6652714375000001,0.9143845,0.6875,14819.041666666666,134.58333333333334,512,1.0,57077.0
0,1.5e-06,3166,-0.028263625,-0.1072965,0.0,18842.416666666668,134.0,512,0.0,71531.0
0,1.5e-06,3174,0.9882003125,0.954892,1.0,7866.458333333333,134.0,512,1.0,30072.0
0,1.5e-06,3195,0.42360753125000006,-0.053134499999999994,0.4375,9261.645833333334,134.0,512,0.0,35423.0
0,1.5e-06,3203,-0.08855946875,-0.3410625,0.0,59039.645833333336,134.0,512,0.0,227375.0
0,1.5e-06,3212,0.9761500624999999,0.9084475,1.0,15899.958333333334,134.0,512,1.0,61035.0
