price,price_per_million,accuracy,tokens,calls,profit,fixed_accuracy,fixed_tokens,fixed_calls,fixed_profit,cap_rate,minimum,minimum_low,minimum_high,relative_profit_percent,token_change_percent,call_change_percent,profit_ci_low,profit_ci_high
1e-06,1.0,0.5686594202898549,34163.84205917874,240.7883152173913,0.5344955782306763,0.56875,44691.99667874396,310.7,0.5240580033212561,0.0007246376811594202,239.4,186,287,1.991683142566525,-23.557136404631773,-22.501346888512618,-0.49530781290615056,4.762417070486457
1.25e-06,1.25,0.5647946859903381,29946.79842995169,211.92678140096618,0.5273611879528987,0.561231884057971,37173.5395531401,257.3,0.514764959616546,0.0006038647342995168,210.1,175,260,2.4469863577613493,-19.440551559147824,-17.63436401050673,0.35157113372507265,4.744377713818037
1.5e-06,1.5,0.5596316425120773,24719.743085748796,174.5151268115942,0.5225520278834541,0.5554347826086956,29125.814583333336,203.6,0.5117460607336957,3.0193236714975845e-05,173.3,134,215,2.1115877539469086,-15.127719380957084,-14.285301173087328,0.2369154582066241,3.91212231434515
1.75e-06,1.75,0.5566425120772946,21798.035084541065,154.2076992753623,0.518495950679348,0.5477053140096617,17839.10893719807,125.3,0.5164868733695653,0.00015096618357487922,152.5,121,204,0.38898903599917656,22.19239851766279,23.070789525428825,-0.7881367806020791,1.5665623707166303
2e-06,2.0,0.5544384057971016,19953.0014794686,141.0612922705314,0.5145324028381644,0.54368961352657,15500.547524154588,108.9,0.5126885184782609,3.0193236714975845e-05,139.7,103,174,0.3596500201284769,28.72449472107825,29.532867098743232,-0.9841836957492014,1.6936587659943336
2.25e-06,2.25,0.5516908212560387,17378.983423913047,122.53547705314008,0.5125881085522342,0.541394927536232,13797.253985507248,96.9,0.5103511060688405,0.0,121.9,103,143,0.43832617521397665,25.9597267845332,26.45560067403516,-0.841694635899168,1.7488812446145725
2.5e-06,2.5,0.549788647342995,16156.421799516907,113.7298007246377,0.5093975928442029,0.5397644927536233,12499.71992753623,87.8,0.5085151929347826,0.0,113.7,99,143,0.1735247877900692,29.254270441093276,29.532802647651145,-1.1525447313067585,1.518889385135963
2.75e-06,2.75,0.5466183574879226,14840.873490338165,104.72116545893718,0.5058059553894927,0.5377415458937198,11416.409118357487,80.2,0.5063464208182367,0.0,104.7,90,125,-0.10673827374361178,29.995985046420316,30.575019275482763,-1.50894390769143,1.181085139534383
3e-06,3.0,0.5460144927536232,14522.770561594205,102.64347826086956,0.5024461810688405,0.5361413043478261,10588.46002415459,74.4,0.5043759242753623,0.0,101.9,90,125,-0.38260018245204197,37.15658866789497,37.96166432912573,-1.9613022555298987,1.1189168931692817
3.25e-06,3.25,0.5444746376811594,13482.63161231884,95.17113526570049,0.5006560849411232,0.5342089371980676,9848.555676328502,69.2,0.50220113125,0.0,94.5,82,120,-0.3076548842156246,36.89958259285697,37.530542291474674,-1.95257179584611,1.1551528899245442
3.5e-06,3.5,0.5421799516908213,12209.62904589372,85.83345410628019,0.49944625003019316,0.5330615942028984,9192.838798309178,64.6,0.5008866584088165,0.0,85.8,72,98,-0.2875717199573913,32.81674261643113,32.869124003529706,-1.8030105257194622,1.092108155842011
3.75e-06,3.75,0.5405495169082125,11752.664553140097,82.70899758454105,0.4964770248339373,0.5304951690821256,8637.945803140097,60.7,0.49810287232035017,0.0,82.7,69,95,-0.32640797248147946,36.05855860854934,36.258645114565155,-1.9121763307052717,1.065438640797453
4e-06,4.0,0.539824879227053,11529.34586352657,81.15226449275363,0.4937074957729467,0.5285628019323672,8139.774124396135,57.2,0.49600370543478267,0.0,80.9,69,95,-0.46294203786707566,41.64208597596555,41.8745882740448,-2.1086181725335256,1.0518646674996373
4.25e-06,4.25,0.5386171497584541,11121.596739130435,78.23943236714976,0.49135036361714973,0.527536231884058,7696.346769323672,54.1,0.49482675811443233,0.0,77.9,69,92,-0.7025477988558237,44.504880984043325,44.62002285979623,-2.4555192169330193,0.9240344967683255
4.5e-06,4.5,0.5371074879227054,10428.224939613527,73.52249396135265,0.49018047569444445,0.526117149758454,7269.04658816425,51.1,0.49340644011171503,0.0,73.2,66,88,-0.6538148177677172,43.46069753622401,43.87963593219697,-2.278917072360723,0.8888593334103373
