variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
local_exp_open5_conf06,qwen2.5_7b,30,0.35,200000.0,True,True,0.34618559410180455,0.355851179323721,-0.38144058981954276,0.5851179323721034,14754.8525,20989.515,29.703699680530963
local_exp_open5_conf06,qwen2.5_7b,30,0.4,500000.0,True,True,0.4013811074400702,0.39628080627529316,0.1381107440070195,-0.37191937247068596,30239.0625,35620.82,15.10846044532383
local_exp_open5_conf06,qwen2.5_7b,30,0.45,1000000.0,True,True,0.46043272640545607,0.46195646362528875,1.043272640545606,1.1956463625288738,58035.3625,75896.2275,23.533271136566032
local_exp_open5_conf06,qwen2.5_7b,30,0.5,2000000.0,True,True,0.5145548045701367,0.4976162017260509,1.4554804570136692,-0.23837982739490782,107111.9275,124818.32,14.185732110478655
local_exp_open5_conf06,qwen2.5_7b,30,0.55,5000000.0,True,True,0.5593552139254651,0.5486739602592223,0.9355213925465011,-0.1326039740777718,254071.295,285848.435,11.11677942193386
local_exp_open5_conf06,qwen2.5_7b,30,0.6,20000000.0,True,True,0.6183313162534619,0.5860239473427717,1.833131625346196,-1.3976052657228233,899700.08,508798.3175,-76.82843064825974
reference_train_scale,qwen2.5_7b,31,0.3,100000.0,True,True,0.34342086867458926,0.3316387751826568,4.342086867458928,3.1638775182656786,11683.4725,12214.6375,4.3485940536508005
reference_train_scale,qwen2.5_7b,31,0.35,500000.0,True,True,0.4279365634459176,0.378284556564254,7.79365634459176,2.8284556564254046,32219.045,24452.6575,-31.7609139211147
reference_train_scale,qwen2.5_7b,31,0.4,1000000.0,True,True,0.47949207396320953,0.40760427196120935,7.949207396320951,0.760427196120933,54944.985,38697.55,-41.98569418477396
reference_train_scale,qwen2.5_7b,31,0.45,2000000.0,True,True,0.5156703192386377,0.4431626177098799,6.5670319238637695,-0.6837382290120098,99571.345,68922.8675,-44.46779220263871
reference_train_scale,qwen2.5_7b,31,0.5,2000000.0,True,True,0.5156703192386377,0.49265044584399986,1.5670319238637709,-0.7349554156000138,99571.345,123819.4875,19.583462175128126
reference_train_scale,qwen2.5_7b,31,0.55,5000000.0,True,True,0.556262277194251,0.545091009284309,0.6262277194250987,-0.4908990715691064,223746.24,263840.515,15.196405677119005
