generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars,cost_mismatch,fixed_n_low,fixed_n_high,fixed_high_weight
qwen2.5_7b,38,500000.0,0.5930843862142594,28684.6375,28684.6375,0.0,13,14,0.3777075857160389
qwen2.5_7b,38,1000000.0,0.5987576678061188,52216.8025,52216.8025,0.0,24,25,0.3326517505672158
qwen2.5_7b,38,5000000.0,0.6175,240949.7325,240949.7325,0.0,112,113,0.7512351221309034
qwen2.5_7b,38,10000000.0,0.59125,448080.4425,448080.4425,0.0,209,210,0.7650450626714105
qwen2.5_7b,38,50000000.0,0.52625,1848243.46,1848243.46,0.0,866,867,0.08088488972210572
qwen2.5_7b,39,100000.0,0.53490148448376,10253.3,10253.3,0.0,4,5,0.9553212189067911
qwen2.5_7b,39,500000.0,0.5456535435006247,25982.565,25982.565,0.0,12,13,0.4128608665833762
qwen2.5_7b,39,1000000.0,0.5984538515823389,47452.8775,47452.8775,0.0,22,23,0.5394864556881501
qwen2.5_7b,39,5000000.0,0.6175,221275.7925,221275.7925,0.0,105,106,0.372885896770323
qwen2.5_7b,39,10000000.0,0.61125,445036.24,445036.24000000005,-5.820766091346741e-11,211,212,0.8685278427177983
qwen2.5_7b,39,50000000.0,0.5325,1799001.0325,1799001.0325,0.0,856,857,0.6006423891616892
mistral_7b,30,100000.0,0.6286061648017287,10800.8925,10800.8925,0.0,6,7,0.06043051881762829
mistral_7b,30,500000.0,0.5594363816240463,34403.145,34403.145,0.0,19,20,0.40848245012715856
mistral_7b,30,1000000.0,0.5922485082551282,57557.2975,57557.2975,0.0,32,33,0.5335322326495692
mistral_7b,30,5000000.0,0.62125,233198.4625,233198.46249999997,2.9103830456733704e-11,131,132,0.5596995117984294
mistral_7b,30,10000000.0,0.5937792115831748,404893.9125,404893.9124999999,5.820766091346741e-11,228,229,0.4883153667300559
mistral_7b,30,50000000.0,0.5220776664880075,1650160.4975,1650160.4975,0.0,930,931,0.3378668095940043
mistral_7b,31,100000.0,0.5522241367672648,9821.1225,9821.1225,0.0,5,6,0.9114942701145973
mistral_7b,31,500000.0,0.5474612376729894,30693.86,30693.86,0.0,18,19,0.34366995386950405
mistral_7b,31,1000000.0,0.5907450156988205,51408.1825,51408.1825,0.0,30,31,0.7639988582676007
mistral_7b,31,5000000.0,0.5962693525762149,201688.795,201688.795,0.0,119,120,0.9845179390280434
mistral_7b,31,10000000.0,0.56625,437644.5325,437644.5325,0.0,260,261,0.6203959742316603
mistral_7b,31,50000000.0,0.51375,1554079.6975,1554079.6975,0.0,925,926,0.6314118079024338
mistral_7b,32,100000.0,0.5650735706850099,9679.99,9679.99,0.0,5,6,0.5904127204441544
mistral_7b,32,500000.0,0.6227838791109425,28611.625,28611.625,0.0,16,17,0.6196261426971611
