generator,split,divisor,fixed_n,fixed_utility,adaptive_utility,utility_gap,relative_utility_gain_pct,adaptive_quality,adaptive_chars,adaptive_opens
qwen2.5_7b,30,100000.0,3,0.20458268901360835,0.21406167835632192,0.009478989342713573,4.633329138656034,0.3228040783563219,10874.24,23.595
qwen2.5_7b,30,500000.0,18,0.3257941560963269,0.34544992787764583,0.019655771781318943,6.0331873403853695,0.4089722728776458,31761.1725,68.645
qwen2.5_7b,30,1000000.0,42,0.38359269338765045,0.39805858456557425,0.014465891177923795,3.771159208005268,0.4515306020655742,53472.0175,104.025
qwen2.5_7b,30,5000000.0,186,0.4909171795456713,0.5098725338256811,0.018955354280009773,3.8612122512299054,0.5554684703256811,227979.6825,282.11
qwen2.5_7b,30,10000000.0,256,0.5346526395226736,0.5371764251890093,0.0025237856663357094,0.47204212226257614,0.5835663799390093,463899.5475,439.935
qwen2.5_7b,30,50000000.0,955,0.6041885848021664,0.6041110552328398,-7.752956932660648e-05,-0.012832014916665881,0.6392271001828399,1755802.2475,922.8725
qwen2.5_7b,31,100000.0,4,0.21911730283111283,0.22658614367458926,0.007468840843476432,3.408603860569207,0.34342086867458926,11683.4725,30.1825
qwen2.5_7b,31,500000.0,23,0.32629583239020077,0.3634984734459177,0.03720264105571691,11.401506658297782,0.4279365634459176,32219.045,76.7425
qwen2.5_7b,31,1000000.0,23,0.3729767798902008,0.4245470889632095,0.05157030907300869,13.826680869567879,0.47949207396320953,54944.985,120.34
qwen2.5_7b,31,5000000.0,146,0.49568046629213924,0.511513029194251,0.01583256290211177,3.194106683393194,0.556262277194251,223746.24,322.1475
qwen2.5_7b,31,10000000.0,261,0.5394840526314005,0.5422490822759812,0.0027650296445806966,0.5125322298395886,0.5858065735259812,435574.9125,466.1925
qwen2.5_7b,31,50000000.0,959,0.609329911491499,0.608167449601834,-0.0011624618896649563,-0.19077709262942927,0.6427073939518341,1726997.2175,929.1575
qwen2.5_7b,32,100000.0,3,0.20233492626014915,0.21245719093425094,0.010122264674101794,5.002727339859873,0.3283331409342509,11587.595,25.4775
qwen2.5_7b,32,500000.0,14,0.3280174356659358,0.3327549023065693,0.004737466640633514,1.4442728116008787,0.4021791223065692,34712.11,75.3625
qwen2.5_7b,32,1000000.0,28,0.37851183133906363,0.3863578982636225,0.007846066924558859,2.0728723054182425,0.44724609326362247,60888.195,110.505
qwen2.5_7b,32,5000000.0,154,0.49480739965140513,0.5024693901380499,0.0076619904866447874,1.5484793663236862,0.54715806613805,223443.38,305.05
qwen2.5_7b,32,10000000.0,243,0.5454974880904274,0.5406652565877086,-0.004832231502718831,-0.8858393683231387,0.5835068208377087,428415.6425,457.4125
qwen2.5_7b,32,50000000.0,879,0.6179940704120468,0.6167336085894044,-0.0012604618226423892,-0.2039601806861962,0.6532550996894045,1826074.555,934.62
qwen2.5_7b,33,100000.0,4,0.20298441642977705,0.23207793247633277,0.029093516046555717,14.332881586809247,0.3397678824763327,10768.995,10.6225
qwen2.5_7b,33,500000.0,30,0.31330382119252276,0.350751168029422,0.037447346836899265,11.952406674889598,0.42931273802942216,39280.785,39.565
qwen2.5_7b,33,1000000.0,37,0.3784845265102929,0.406026299452392,0.027541772942099085,7.276855726716237,0.476874481952392,70848.1825,89.0025
qwen2.5_7b,33,5000000.0,181,0.4891245798882858,0.5141737369184858,0.025049157030199998,5.121222293903352,0.5673869899184858,266066.265,304.7775
qwen2.5_7b,33,10000000.0,250,0.5325918073760982,0.5465410088668397,0.013949201490741414,2.619116797808901,0.5926977436168396,461567.3475,446.9775
qwen2.5_7b,33,50000000.0,921,0.609407541814488,0.6113664912537401,0.0019589494392521223,0.32145145979313355,0.6483478612037402,1849068.4975,930.58
qwen2.5_7b,34,100000.0,4,0.2143018149106645,0.2232426377228637,0.008940822812199212,4.172070505294765,0.3404593877228637,11721.675,25.98
qwen2.5_7b,34,500000.0,16,0.3265746101444953,0.3518224954874053,0.025247885342910004,7.731123167149735,0.4211819004874053,34679.7025,54.39
qwen2.5_7b,34,1000000.0,43,0.3785267950443994,0.40485966548058644,0.02633287043618704,6.9566727589517985,0.46950328798058644,64643.6225,98.9175
qwen2.5_7b,34,5000000.0,192,0.4870945770607712,0.5150405073950466,0.027945930334275393,5.7372698548415135,0.5658720763950467,254157.845,307.055
qwen2.5_7b,34,10000000.0,303,0.5213055067796003,0.5323298709652525,0.011024364185652225,2.114760738622535,0.5854833707152526,531534.9975,495.0025
qwen2.5_7b,34,50000000.0,773,0.5892563918936841,0.5919141399531845,0.0026577480595004754,0.45103423502277373,0.6282196045031846,1815273.2275,947.5575
qwen2.5_7b,35,100000.0,5,0.19077351137607262,0.20420648731445074,0.013432975938378111,7.041321324687278,0.3259772123144507,12177.0725,27.5775
qwen2.5_7b,35,500000.0,16,0.31989102228643423,0.3351626259098374,0.015271603623403185,4.774001944239876,0.40376190090983743,34299.6375,76.3525
qwen2.5_7b,35,1000000.0,31,0.37545200923675254,0.3919987495190065,0.016546740282253947,4.40715187964806,0.4484478545190065,56449.105,104.2925
qwen2.5_7b,35,5000000.0,158,0.5041956973687177,0.5089184609813071,0.004722763612589387,0.9366925654535356,0.5561297084813072,236056.2375,306.9225
qwen2.5_7b,35,10000000.0,238,0.5443874550422096,0.5508919593673369,0.0065045043251272805,1.194829944165952,0.5957864588673369,448944.995,470.635
qwen2.5_7b,35,50000000.0,766,0.6240718728113179,0.6278916416333984,0.0038197688220804604,0.6120719405079373,0.6641921999833984,1815027.9175,931.65
qwen2.5_7b,36,100000.0,3,0.21115664612269555,0.2444991773530576,0.033342531230362044,15.790424711987466,0.3491564273530576,10465.725,11.3025
qwen2.5_7b,36,500000.0,19,0.3269554041352181,0.3610055302604402,0.03405012612522207,10.414302897143747,0.42858809526044017,33791.2825,39.31
qwen2.5_7b,36,1000000.0,31,0.37843821652015697,0.41747867756241974,0.039040461042262775,10.316204690226717,0.4802261250624197,62747.4475,84.2725
qwen2.5_7b,36,5000000.0,116,0.48678379071101746,0.5212352364059066,0.03445144569488917,7.077360904841942,0.5721431774059067,254539.705,286.72
qwen2.5_7b,36,10000000.0,303,0.5395573638882915,0.5565648957902013,0.017007531901909845,3.152126732057917,0.6032020270402012,466371.3125,417.2525
qwen2.5_7b,36,50000000.0,760,0.6176226264568916,0.625156764670883,0.007534138213991404,1.21986110794101,0.6645340146208832,1968862.4975,938.8225
qwen2.5_7b,37,100000.0,5,0.1962494221451849,0.22888609715574795,0.032636675010563054,16.63020183897332,0.338369772155748,10948.3675,9.1725
qwen2.5_7b,37,500000.0,21,0.318505935325621,0.354908463884512,0.036402528558891034,11.429152339555404,0.42414709388451205,34619.315,34.13
qwen2.5_7b,37,1000000.0,34,0.3767818553609882,0.39732737460486306,0.020545519243874877,5.452895077495324,0.46344220960486304,66114.835,74.38
qwen2.5_7b,37,5000000.0,163,0.48741898967802966,0.5045804659158303,0.01716147623780062,3.5208879016258345,0.5570503844158303,262349.5925,256.295
qwen2.5_7b,37,10000000.0,275,0.5303656997699528,0.5427062019330479,0.012340502163095013,2.326791149662908,0.5881099386830478,454037.3675,369.505
qwen2.5_7b,37,50000000.0,730,0.6128037887670059,0.615369135950986,0.002565347183980049,0.41862456319691904,0.657991633950986,2131124.9,932.525
qwen2.5_7b,38,100000.0,4,0.18108068860431473,0.21743118178426912,0.036350493179954396,20.07419645911831,0.3172995317842691,9986.835,12.3
qwen2.5_7b,38,500000.0,19,0.32081784173711286,0.34646133736187745,0.02564349562476459,7.993163810938418,0.4038306123618775,28684.6375,48.43
qwen2.5_7b,38,1000000.0,29,0.3785250270424008,0.4135051074367259,0.0349800803943251,9.241153925182012,0.4657219099367259,52216.8025,86.35
qwen2.5_7b,38,5000000.0,146,0.5112606050738426,0.5218304521625581,0.010569847088715445,2.067408868162024,0.5700203986625582,240949.7325,303.1125
qwen2.5_7b,38,10000000.0,246,0.5526099205869454,0.5530657634928563,0.00045584290591094145,0.08248909202114496,0.5978738077428564,448080.4425,429.7975
qwen2.5_7b,38,50000000.0,939,0.6320197440269785,0.6308880253904243,-0.0011317186365541465,-0.1790638104663132,0.6678528945904244,1848243.46,934.515
