generator,target_quality,splits,matched_char_saving_pct_mean,matched_char_saving_pct_ci_low,matched_char_saving_pct_ci_high,direct_char_saving_pct_mean,direct_char_saving_pct_ci_low,direct_char_saving_pct_ci_high,adaptive_quality_mean,adaptive_quality_ci_low,adaptive_quality_ci_high,fixed_quality_mean,fixed_quality_ci_low,fixed_quality_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high,quality_gap_mean,quality_gap_ci_low,quality_gap_ci_high
gemma2_9b,0.3,10,26.825641440860164,23.268944573364273,30.382338308356054,-24.865407217447586,-33.52382909104035,-16.206985343854825,0.3449861028960825,0.3364858418300378,0.3534863639621272,0.30451893910479433,0.2958323951472976,0.31320548306229107,6017.058,5824.816447579104,6209.299552420896,4861.237966583963,4487.562701075078,5234.9132320928475,0.04046716379128822,0.035463066386262176,0.04547126119631427
gemma2_9b,0.35,10,26.289700671124173,23.234245421749726,29.34515592049862,21.782681859905058,12.938894019690663,30.62646970011945,0.35672379928122977,0.3431521759012072,0.3702954226612523,0.35335977931369195,0.3461170055138735,0.3606025531135104,7192.569494801175,6468.505451332615,7916.633538269735,9303.480949143062,8351.073980582418,10255.887917703707,0.0033640199675378014,-0.006828382611114108,0.01355642254618971
gemma2_9b,0.4,10,22.790806620534347,17.5187889929826,28.062824248086095,14.512764100822485,-0.04786484883347164,29.073393050478444,0.4021717668436807,0.3872508827718002,0.41709265091556125,0.39718880256940514,0.3901635742730164,0.4042140308657939,14630.247341499839,12423.526466160878,16836.9682168388,17362.015765042343,15775.296586340177,18948.73494374451,0.004982964274275703,-0.00877050301121551,0.018736431559766918
gemma2_9b,0.45,10,20.67404935722488,12.670034431901232,28.67806428254853,13.507457638995996,0.7357473364198128,26.27916794157218,0.4484868910492672,0.4333958607287986,0.4635779213697358,0.4437736145965979,0.4385433934900694,0.44900383570312646,30012.619811871155,25988.634947517538,34036.60467622477,35052.37656524932,32299.300764314594,37805.452366184036,0.004713276452669374,-0.008907650298607156,0.018334203203945902
gemma2_9b,0.5,10,28.73047268740401,19.77638844510133,37.68455692970669,23.98010168446934,10.757663685433313,37.202539683505364,0.49805768567938785,0.4838767340923943,0.5122386372663814,0.4964913372108389,0.4910289204536327,0.501953753968045,59635.872170920695,52586.99091844407,66684.75342339733,80165.23220180796,73086.16829597803,87244.29610763789,0.0015663484685490225,-0.013894882619167158,0.0170275795562652
gemma2_9b,0.55,10,34.181915765566075,28.373128190817816,39.99070334031433,30.819987997609182,18.570221939008352,43.069754056210016,0.5494509972151284,0.535213831357635,0.5636881630726217,0.5485102255400973,0.5431978741914882,0.5538225768887064,136393.265123103,116925.89373264863,155860.63651355734,200260.65469359217,185079.75607228192,215441.5533149024,0.0009407716750310047,-0.012742897733267622,0.014624441083329632
gemma2_9b,0.6,10,32.01771741061937,26.10419541118734,37.9312394100514,35.98894605454872,24.74510748142025,47.23278462767719,0.5992679865767145,0.5848472197709416,0.6136887533824875,0.602409828015988,0.5945632525845714,0.6102564034474045,353887.4871992344,302124.7062119295,405650.26818653935,561613.1725712118,512789.6141461343,610436.7309962893,-0.003141841439273241,-0.014714919821771777,0.008431236943225296
llama3.1_8b,0.3,10,27.868964935558534,23.935277262660225,31.802652608456842,21.984895856369942,12.082293337279896,31.887498375459987,0.30969820488029487,0.2955404687822144,0.32385594097837533,0.3040081064281955,0.29534990129214106,0.3126663115642499,8402.263518667214,7733.231935795711,9071.295101538717,10926.094377190746,9941.293640340915,11910.895114040577,0.005690098452099451,-0.009641263760143827,0.02102146066434273
llama3.1_8b,0.35,10,26.66485642961491,21.64986355883883,31.67984930039099,22.979998497832618,12.220231965315731,33.7397650303495,0.3545874028938322,0.33846987867489553,0.3707049271127689,0.35183263510075313,0.3443149308681495,0.35935033933335675,14699.60347283052,12914.013916992975,16485.193028668065,19255.04437166338,17816.47666415044,20693.612079176324,0.00275476779307911,-0.010878893209238363,0.016388428795396585
llama3.1_8b,0.4,10,20.3635849621079,11.996690629604982,28.730479294610817,16.417437157711745,5.439085969219276,27.395788346204213,0.4054321506721064,0.3897932146429106,0.4210710867013022,0.40090280335545714,0.39500796302000524,0.40679764369090904,29515.062560359638,26032.437127934118,32997.68799278516,35543.41674338712,33375.2750229678,37711.55846380644,0.004529347316649307,-0.009551750748981907,0.018610445382280523
llama3.1_8b,0.45,10,26.202848061955052,17.362375140603994,35.04332098330611,21.12629428190504,11.785289680869978,30.4672988829401,0.4556005475110469,0.4395733966620959,0.4716276983599979,0.4500934845252232,0.44635354962339774,0.45383341942704863,51800.819345836746,47274.476699955085,56327.16199171841,66333.79609844947,61703.22872110449,70964.36347579445,0.00550706298582374,-0.008471357888386544,0.019485483860034025
llama3.1_8b,0.5,10,34.98602854731349,27.44028386914134,42.53177322548564,29.78039709971519,22.116794396357047,37.44399980307333,0.5048373486389152,0.48896903447579004,0.5207056628020402,0.49811627629065935,0.4927723109906284,0.5034602415906902,88506.36365046407,82716.40943621953,94296.31786470862,127793.36978020961,116726.04571288083,138860.6938475384,0.006721072348255863,-0.007265873233253955,0.020708017929765683
llama3.1_8b,0.55,10,37.51817567261328,32.4789303697025,42.55742097552406,34.25048111838476,25.334390648294146,43.16657158847538,0.5499284189187582,0.5339988871621658,0.5658579506753506,0.5467589693508778,0.5359542105103144,0.5575637281914411,161731.08779654483,146630.0692001314,176832.10639295826,250884.80859110382,221528.06587414013,280241.5513080675,0.0031694495678804115,-0.00983179105006269,0.01617069018582351
llama3.1_8b,0.6,10,36.70333007260123,33.04294589391052,40.363714251291945,38.89970603832961,31.353586509783543,46.44582556687568,0.594473146872531,0.5780761326156292,0.6108701611294329,0.5981802345843871,0.581729871599075,0.6146305975696992,319941.7979377018,278537.87901080627,361345.71686459734,532887.1507509036,448525.2454563017,617249.0560455056,-0.0037070877118560385,-0.01278001476584048,0.005365839342128403
llama3.2_3b,0.3,10,24.594021851668266,18.758237075685052,30.42980662765148,18.334192103040152,12.668739300445885,23.99964490563442,0.3091429648107353,0.2946524874522255,0.32363344216924506,0.30276665119477597,0.288833353391771,0.3166999489977809,8454.897363545333,7454.851681695869,9454.943045394797,10376.864101698311,9312.95391951071,11440.774283885912,0.006376313615959301,-0.0028003550178418313,0.015552982249760433
llama3.2_3b,0.35,10,19.046455390995757,11.59243259764741,26.500478184344104,16.588410173784688,6.011301531914755,27.16551881565462,0.3548374995514718,0.33639168855142637,0.37328331055151726,0.3522138493110675,0.3408673419977279,0.36356035662440706,15845.59358550663,13039.344540035781,18651.842630977477,18915.665590431432,17098.891733152173,20732.43944771069,0.002623650240404285,-0.009868448040346778,0.015115748521155348
llama3.2_3b,0.4,10,10.277188137978397,1.6711852364330078,18.883191039523787,7.714942545759136,-6.213052287590768,21.642937379109043,0.4043365528581731,0.38624020296542394,0.42243290275092227,0.4024381336688031,0.39182430865023604,0.41305195868737016,31725.927719024687,26828.78713125298,36623.06830679639,34646.15532532635,31062.888611512175,38229.42203914052,0.0018984191893699931,-0.015772088540712582,0.01956892691945257
llama3.2_3b,0.45,10,18.235778340144382,10.748483195100228,25.723073485188536,13.641226818381307,-1.5725455941098918,28.854999230872508,0.45745317073220065,0.43773172474268796,0.47717461672171335,0.4546187481495786,0.4461878884267347,0.4630496078724225,55158.92001757673,48412.08263573797,61905.757399415495,65241.138439043345,59049.16037234148,71433.11650574522,0.0028344225826221537,-0.019107757150095286,0.024776602315339596
llama3.2_3b,0.5,10,25.91797634364614,19.858403329861837,31.97754935743044,19.716106866150042,6.5701275281596505,32.86208620414043,0.5060645746883642,0.4870187497355149,0.5251103996412135,0.4997447522645799,0.49091854640650257,0.5085709581226572,89712.33346600118,79133.4939908805,100291.17294112185,113585.64526033858,103358.5565881109,123812.73393256626,0.006319822423784344,-0.012268888036735176,0.024908532884303863
llama3.2_3b,0.55,10,28.583868455191293,24.069503316039594,33.09823359434299,18.748005977173737,3.360420281137035,34.13559167321044,0.5520042380285719,0.5340913419058935,0.5699171341512503,0.546585531334613,0.5409653842797002,0.5522056783895257,165759.1476584614,143056.2662856566,188462.02903126623,207645.4596068401,194597.5390458646,220693.3801678156,0.005418706693958964,-0.011067937946168999,0.021905351334086928
llama3.2_3b,0.6,10,28.571436784665178,25.115299449107148,32.02757412022321,25.79688170394876,12.366188574411318,39.2275748334862,0.5959696771468223,0.5806435526003474,0.6112958016932971,0.5941947810344617,0.5854589119168175,0.6029306501521058,311031.8115051226,267645.21112720424,354418.4118830409,426012.5105055662,390949.7088926673,461075.3121184651,0.0017748961123606132,-0.01109609948870791,0.014645891713429138
mistral_7b,0.3,10,17.110098133068384,14.3256211008756,19.894575165261166,14.923231785014721,10.92121564974422,18.925247920285223,0.3032386610755574,0.2905263816076793,0.31595094054343553,0.3016685472897298,0.2903731337875205,0.3129639607919391,8488.475759182847,7746.882384089437,9230.069134276258,10018.035172632131,9023.81308714744,11012.257258116822,0.0015701137858276704,-0.0023553998607064677,0.005495627432361809
mistral_7b,0.35,10,18.43931813239863,15.608793995565025,21.26984226923223,13.404490249882807,7.517688171414778,19.291292328350835,0.3536916522091126,0.338532211989772,0.36885109242845315,0.34928235459117263,0.3376044207712738,0.3609602884110715,15260.776555250417,13273.33966124275,17248.213449258084,17581.084586769393,15801.706561385221,19360.462612153566,0.004409297617939861,-0.001177840104248211,0.009996435340127934
mistral_7b,0.4,10,18.357442010308308,14.065232921646103,22.649651098970512,13.492038808205361,4.301023737556168,22.683053878854555,0.40294084146111986,0.38938641724928236,0.41649526567295736,0.3983394397145404,0.38681596319481887,0.4098629162342619,28035.897110930197,24210.09478189053,31861.699439969863,32489.053276182683,29001.68692684244,35976.419625522925,0.004601401746579525,-0.0030897553766026436,0.012292558869761695
