generator,split,target_quality,adaptive_divisor_low,adaptive_divisor_high,adaptive_high_weight,target_reached_train,fixed_quality,adaptive_quality,quality_gap,fixed_chars,adaptive_chars,direct_char_saving_pct,matched_fixed_chars,matched_char_saving_pct
qwen2.5_7b,30,0.3,50000.0,75000.0,0.18536258978991646,True,0.309386529772638,0.3022116775583785,-0.007174852214259453,11501.74342925226,8768.362358342805,23.764928227816974,10584.862837842526,17.16130390471806
qwen2.5_7b,30,0.35,100000.0,200000.0,0.4840804624884912,True,0.35307978247600813,0.3380515367104619,-0.015028245765546233,20245.538018334908,13384.318218118447,33.89003440660729,16782.946906607205,20.25048823309312
qwen2.5_7b,30,0.4,200000.0,500000.0,0.632613543499632,True,0.395754030617496,0.3888871018306326,-0.006866928786863402,35477.80716663015,25992.58700523116,26.73564382615122,33613.52409313919,22.67223474334704
qwen2.5_7b,30,0.45,500000.0,1000000.0,0.6420682183966103,True,0.4598935185460889,0.4362976234772755,-0.023595895068813377,74495.16794364055,45701.01606903495,38.652375274044445,56650.4099411378,19.3280046578299
qwen2.5_7b,30,0.5,1000000.0,2000000.0,0.7056477994621463,True,0.49691515797606456,0.48876326087409583,-0.00815189710196873,123010.73891680542,86897.22714265888,29.35801548072223,112064.11892408032,22.45758234040207
qwen2.5_7b,30,0.55,2000000.0,5000000.0,0.7549136656149982,True,0.5485570685819599,0.5429264053282656,-0.0056306632536942125,284442.8961877076,196819.51746057303,30.805261759573266,257942.52726881488,23.69636773564775
qwen2.5_7b,30,0.6,10000000.0,20000000.0,0.1949853054400823,True,0.5859767908197742,0.5898546009396427,0.003877810119868541,507529.92208252737,546972.2769275191,-7.771434378321875,547789.5059030297,0.1491866796833528
qwen2.5_7b,31,0.3,75000.0,100000.0,0.906728316813482,True,0.32786862282527324,0.3425247705918592,0.01465614776658597,11703.581312823451,11543.891892469794,1.3644491894005824,14616.627633954758,21.022193480163168
qwen2.5_7b,31,0.35,200000.0,500000.0,0.34381600904670223,True,0.3752498897561054,0.39260455645383674,0.017354666697731336,23306.194740735842,22416.090897051738,3.8191727718138915,30959.324848573782,27.595026678741057
qwen2.5_7b,31,0.4,500000.0,1000000.0,0.20018222003413763,True,0.40648061271204555,0.43825705999626235,0.0317764472842168,37580.488328014166,36768.37412156261,2.1609996106574614,63492.29885267669,42.09002542674113
qwen2.5_7b,31,0.45,1000000.0,2000000.0,0.07500034785197478,True,0.44250451436278143,0.4822054549435407,0.03970094058075929,67870.78786508254,58291.97752336745,14.113303592049649,107495.93315938154,45.77285315813819
qwen2.5_7b,31,0.5,1000000.0,2000000.0,0.8597716619340035,True,0.4915423555347803,0.5105971040295205,0.019054748494740203,122437.6035142944,93313.46470326513,23.78692327772413,158215.42235193087,41.02125866358292
qwen2.5_7b,31,0.55,2000000.0,5000000.0,0.6365582903638812,True,0.545091009284309,0.5415094665973855,-0.0035815426869234557,262601.2582365039,178615.90386731445,31.98208376197139,243588.68755682735,26.673153150576933
qwen2.5_7b,31,0.6,5000000.0,10000000.0,0.9323959246944291,True,0.5916814769141249,0.5838092586919208,-0.007872218222204075,520272.73305275367,421254.43097243086,19.031999140013117,458099.02194208594,8.04293159445188
