variant,split,utility_divisor,reservation_divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_accuracy,adaptive_chars,adaptive_opens,fixed_accuracy,fixed_chars,fixed_n
global_exp_q75_conf08_085x,75,900000.0,765000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2616859854497354,0.24382503527336863,0.017860950176366797,7.325314300207805,-0.0002225424382716057,0.28125,17607.613095238095,34.97420634920635,0.27976190476190477,32343.18253968254,60
global_exp_q75_conf08_085x,75,1000000.0,850000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2650735054563492,0.24560710416666665,0.019466401289682578,7.925829896383153,0.0008340049603174599,0.2837301587301587,18656.653273809523,37.21180555555556,0.28174603174603174,36138.92757936508,67
reference_profiled,76,100000.0,70000.0,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.5,0.5,0.15957358630952378,0.15368751984126985,0.005886066468253931,3.829892286851349,0.0,0.20684523809523808,4727.165178571428,9.35763888888889,0.21478174603174602,6109.422619047619,12
reference_profiled,76,200000.0,70000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.18037128968253968,0.17434761656746034,0.006023673115079342,3.4549787566201697,0.0,0.21180555555555555,6286.853174603175,11.995535714285714,0.22470238095238096,10070.952876984127,20
reference_profiled,76,300000.0,400000.0,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,0.1837721742724868,0.18328129464285714,0.0004908796296296536,0.2678285476901416,0.0,0.2177579365079365,10195.72867063492,19.72172619047619,0.23214285714285715,14658.46875,29
reference_profiled,76,400000.0,400000.0,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,0.19226861483134922,0.19158222098214286,0.0006863938492063515,0.358276381643122,0.0,0.2177579365079365,10195.72867063492,19.72172619047619,0.24107142857142858,19795.683035714286,39
reference_profiled,76,500000.0,400000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.20152474007936508,0.19837896130952382,0.003145778769841262,1.5857421316633533,0.0,0.2326388888888889,15557.074404761905,30.486607142857142,0.24801587301587302,24818.455853174604,49
reference_profiled,76,600000.0,400000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.20671043154761903,0.20161685846560848,0.005093573082010555,2.526362686520785,0.0,0.2326388888888889,15557.074404761905,30.486607142857142,0.25148809523809523,29922.742063492064,59
reference_profiled,76,700000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2078609920634921,0.20388832270408164,0.003972669359410458,1.948453597892553,0.0,0.2435515873015873,24983.416666666668,50.50297619047619,0.25396825396825395,35055.951884920636,69
reference_profiled,76,800000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.212322316468254,0.20874720672123012,0.00357510974702388,1.7126503406573643,0.0,0.2435515873015873,24983.416666666668,50.50297619047619,0.2594246031746032,40541.91716269841,80
reference_profiled,76,900000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.21579223544973544,0.21452317019400352,0.0012690652557319215,0.5915749122037706,0.0,0.2435515873015873,24983.416666666668,50.50297619047619,0.2663690476190476,46661.28968253968,92
reference_profiled,76,1000000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.21856817063492065,0.21850527976190476,6.289087301589169e-05,0.028782312758950726,0.0,0.2435515873015873,24983.416666666668,50.50297619047619,0.27132936507936506,52824.08531746032,104
global_exp_q75_conf08_085x,76,100000.0,85000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.155115625,0.15368751984126985,0.001428105158730153,0.9292264981601079,-0.00445796130952381,0.21329365079365079,5817.8025793650795,11.65079365079365,0.21478174603174602,6109.422619047619,12
global_exp_q75_conf08_085x,76,200000.0,170000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.17735721974206348,0.17434761656746034,0.003009603174603137,1.726208384063932,-0.0030140699404761907,0.2197420634920635,8476.96875,17.001984126984127,0.22470238095238096,10070.952876984127,20
global_exp_q75_conf08_085x,76,300000.0,255000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.18915437003968252,0.18328129464285714,0.0058730753968253835,3.204405233097948,0.005382195767195768,0.22470238095238096,10664.403273809523,21.251984126984127,0.23214285714285715,14658.46875,29
global_exp_q75_conf08_085x,76,400000.0,340000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.19514254340277776,0.19158222098214286,0.0035603224206348927,1.8583782996057583,0.002873928571428571,0.2261904761904762,12419.173115079366,24.86111111111111,0.24107142857142858,19795.683035714286,39
global_exp_q75_conf08_085x,76,500000.0,425000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.20007584920634922,0.19837896130952382,0.0016968878968253998,0.8553769440186777,-0.001448890873015873,0.22817460317460317,14049.376984126984,28.01388888888889,0.24801587301587302,24818.455853174604,49
global_exp_q75_conf08_085x,76,600000.0,510000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.20494260912698412,0.20161685846560848,0.003325750661375637,1.649539967384691,-0.0017678224206349202,0.23065476190476192,15427.291666666666,30.90674603174603,0.25148809523809523,29922.742063492064,59
global_exp_q75_conf08_085x,76,700000.0,595000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2117495741213152,0.20388832270408164,0.007861251417233567,3.8556653529604974,0.0038885820578231276,0.23561507936507936,16705.853670634922,33.59474206349206,0.25396825396825395,35055.951884920636,69
global_exp_q75_conf08_085x,76,800000.0,680000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2127548474702381,0.20874720672123012,0.0040076407490079735,1.919853593231524,0.0004325310019841259,0.23511904761904762,17891.36011904762,36.15674603174603,0.2594246031746032,40541.91716269841,80
global_exp_q75_conf08_085x,76,900000.0,765000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.21498126984126983,0.21452317019400352,0.00045809964726631347,0.21354320228068238,-0.0008109656084656081,0.2361111111111111,19016.85714285714,38.62450396825397,0.2663690476190476,46661.28968253968,92
global_exp_q75_conf08_085x,76,1000000.0,850000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2154250084325397,0.21850527976190476,-0.0030802713293650585,-1.409701098628596,-0.003143162202380952,0.23561507936507936,20190.070932539682,41.03422619047619,0.27132936507936506,52824.08531746032,104
