split,config_id,divisor_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,train_chars,test_accuracy,test_predicted_accuracy,test_chars,test_opens
55,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.30361473905560654,3154.0914634146343,0.19047619047619047,0.37417614665033416,2673.6071428571427,5.1398809523809526
55,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.3113389906047737,3864.0243902439024,0.19047619047619047,0.3849921213387226,3054.4196428571427,5.872023809523809
55,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.32926829268292684,0.3206877320357122,4432.823170731707,0.19642857142857142,0.3930075341968091,3510.5119047619046,6.818452380952381
55,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3170731707317073,0.3309870089007102,5392.317073170731,0.21726190476190477,0.4043089847928608,4300.651785714285,7.934523809523809
55,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3231707317073171,0.34669247581134394,6385.835365853659,0.21726190476190477,0.41999835837303606,5072.535714285715,9.395833333333334
55,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.32926829268292684,0.3511979244693484,7672.878048780488,0.22023809523809523,0.42919682689978683,5910.377976190476,10.955357142857142
55,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3353658536585366,0.3636402789103406,9193.609756097561,0.21428571428571427,0.4382085882118737,7061.3452380952385,13.0
55,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.34146341463414637,0.37002286981856525,10687.323170731708,0.22321428571428573,0.45249874945334867,8199.14880952381,15.288690476190476
55,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.32926829268292684,0.3758749630250147,12666.060975609756,0.22023809523809523,0.4585648719994654,9497.779761904761,18.05654761904762
55,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.32926829268292684,0.3805453812985372,15324.524390243903,0.2261904761904762,0.47060026376645614,11052.625,21.226190476190474
55,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.34146341463414637,0.38436092348443524,17498.780487804877,0.22916666666666666,0.478639266947819,12206.818452380952,23.595238095238095
55,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35365853658536583,0.39253808268433715,21697.60975609756,0.24404761904761904,0.49516243538017857,14161.973214285714,27.68452380952381
55,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.3972336155018919,26032.0,0.25,0.5004714199082239,16537.083333333332,32.517857142857146
55,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.3991978630996654,30675.908536585364,0.25892857142857145,0.5081429092057579,19648.758928571428,38.476190476190474
55,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3902439024390244,0.4062388241095843,36558.5243902439,0.2619047619047619,0.5127849647633027,23109.553571428572,45.26488095238095
55,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.4024390243902439,0.4162640324599114,43340.16463414634,0.27976190476190477,0.5202492376647886,27697.636904761905,54.089285714285715
55,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.4146341463414634,0.42973342113038576,51028.45121951219,0.28273809523809523,0.5293751636536792,32967.505952380954,64.15178571428571
55,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.4146341463414634,0.43042924549105455,57493.756097560974,0.29464285714285715,0.5333070214273026,37132.666666666664,72.44345238095238
55,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.40853658536585363,0.436867955132035,69514.39634146342,0.3125,0.5401251006775032,44884.69642857143,87.49702380952381
56,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2865853658536585,0.2829862874796069,3520.2926829268295,0.2619047619047619,0.2809739169446403,3125.2113095238096,6.9375
56,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.29192095997718126,4198.829268292683,0.27976190476190477,0.28709489291764456,3988.1041666666665,8.273809523809524
56,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.30759621669708986,5172.969512195122,0.29464285714285715,0.30109118746642355,4833.571428571428,10.06547619047619
56,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.3175664916521121,6306.1463414634145,0.29464285714285715,0.30866212936789406,5778.5922619047615,12.044642857142858
56,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.32794217929718156,7769.823170731707,0.30357142857142855,0.31717244546779394,6967.056547619048,14.62797619047619
56,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3231707317073171,0.3387184135447836,9508.542682926829,0.31547619047619047,0.3290429370075961,8523.592261904761,17.613095238095237
56,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3231707317073171,0.3559936277274606,11699.701219512195,0.32142857142857145,0.3372229378749111,10234.32142857143,21.613095238095237
56,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3353658536585366,0.36536565738771193,13889.670731707318,0.3125,0.3472732500792402,12288.604166666666,26.25595238095238
56,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3475609756097561,0.3740537519304565,16835.95731707317,0.30952380952380953,0.35332019650395136,15171.806547619048,32.61607142857143
56,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.38257145112281726,20297.98780487805,0.31845238095238093,0.36166697009387244,18553.97619047619,40.00297619047619
56,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.38710835127518056,22995.908536585364,0.3244047619047619,0.3670526199760181,21364.196428571428,46.044642857142854
56,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.3936666526035981,28162.981707317074,0.31845238095238093,0.3727348842637326,26491.33035714286,57.88690476190476
56,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.36585365853658536,0.4008747184141006,34606.78048780488,0.32142857142857145,0.3820205581309994,31382.63988095238,67.73511904761905
56,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.36585365853658536,0.40500185364814906,43682.79878048781,0.32142857142857145,0.38890713629676166,37235.51488095238,81.41964285714286
56,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3597560975609756,0.41048601793392364,54155.37195121951,0.3244047619047619,0.39672366485404414,45061.94940476191,97.61904761904762
56,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4147965178532291,64381.76829268293,0.34226190476190477,0.4068952084733266,54873.24107142857,118.89583333333333
56,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4189835067859616,76640.28658536586,0.34523809523809523,0.4127004498595261,64733.354166666664,140.93154761904762
56,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.42260351249197936,87034.28048780488,0.34226190476190477,0.41826393483838004,72002.46130952382,156.3154761904762
56,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4259149931752515,103613.70731707317,0.34226190476190477,0.42623869215367094,85655.83333333333,185.09821428571428
57,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23170731707317074,0.23395313006926544,3198.5243902439024,0.32142857142857145,0.20782779494798062,3013.1160714285716,6.973214285714286
57,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.24488637173616798,3887.7865853658536,0.33035714285714285,0.21920906092877018,3607.0238095238096,8.425595238095237
57,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.25651998802243253,4874.713414634146,0.35119047619047616,0.2353564307461154,4319.973214285715,10.303571428571429
57,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.26619378807747524,5935.323170731707,0.3541666666666667,0.2456909644031809,5225.678571428572,12.398809523809524
57,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24390243902439024,0.27326012291568613,7360.914634146341,0.375,0.2568848243220669,6529.122023809524,15.223214285714286
57,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.28371122811689614,8854.310975609756,0.3898809523809524,0.2664032828505582,7969.005952380952,18.410714285714285
57,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24390243902439024,0.2940789872130803,10837.865853658537,0.39880952380952384,0.27550224731709316,9911.35119047619,22.598214285714285
57,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24390243902439024,0.3003209675954339,13239.219512195123,0.4017857142857143,0.28309669170380003,12123.497023809523,27.94345238095238
57,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25609756097560976,0.3075224519673588,16603.85975609756,0.4107142857142857,0.2925709589636021,15032.306547619048,34.17857142857143
57,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2621951219512195,0.3135823779664204,20952.670731707316,0.41964285714285715,0.29719914685256654,18329.57738095238,42.12797619047619
57,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25609756097560976,0.31945744618895616,24280.384146341465,0.43154761904761907,0.30441841213662263,21231.880952380954,48.99404761904762
57,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2682926829268293,0.32782410442578525,29902.30487804878,0.43154761904761907,0.3129803664559942,26873.818452380954,62.461309523809526
57,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2621951219512195,0.3339566454473038,36189.53658536585,0.44642857142857145,0.322575449181015,33214.65476190476,78.14583333333333
57,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25609756097560976,0.3364891666941858,43869.56707317073,0.44642857142857145,0.32913670952164936,41151.76488095238,97.01190476190476
57,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2621951219512195,0.3474780038120864,54645.76829268293,0.4583333333333333,0.3396567059849633,49613.666666666664,117.41666666666667
57,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2682926829268293,0.35017067152267867,66689.37804878049,0.4523809523809524,0.34837978979377426,59028.833333333336,140.61011904761904
