split,target_accuracy,config_id,divisor_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,eligible
56,0.25,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3597560975609756,0.41048601793392364,0.3597560975609756,54155.37195121951,,,True
56,0.25,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4147965178532291,0.3719512195121951,64381.76829268293,,,True
56,0.25,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4189835067859616,0.3719512195121951,76640.28658536586,,,True
56,0.25,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.42260351249197936,0.3719512195121951,87034.28048780488,,,True
56,0.25,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4259149931752515,0.3719512195121951,103613.70731707317,,,True
56,0.3,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2865853658536585,0.2829862874796069,0.2865853658536585,3520.2926829268295,,,False
56,0.3,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.29192095997718126,0.29878048780487804,4198.829268292683,,,False
56,0.3,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.30759621669708986,0.3048780487804878,5172.969512195122,,,True
56,0.3,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.3175664916521121,0.31097560975609756,6306.1463414634145,,,True
56,0.3,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.32794217929718156,0.3048780487804878,7769.823170731707,,,True
56,0.3,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3231707317073171,0.3387184135447836,0.3231707317073171,9508.542682926829,,,True
56,0.3,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3231707317073171,0.3559936277274606,0.3231707317073171,11699.701219512195,,,True
56,0.3,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3353658536585366,0.36536565738771193,0.3353658536585366,13889.670731707318,,,True
56,0.3,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3475609756097561,0.3740537519304565,0.3475609756097561,16835.95731707317,,,True
56,0.3,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.38257145112281726,0.3719512195121951,20297.98780487805,,,True
56,0.3,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.38710835127518056,0.3719512195121951,22995.908536585364,,,True
56,0.3,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.3936666526035981,0.3719512195121951,28162.981707317074,,,True
56,0.3,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.36585365853658536,0.4008747184141006,0.36585365853658536,34606.78048780488,,,True
56,0.3,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.36585365853658536,0.40500185364814906,0.36585365853658536,43682.79878048781,,,True
56,0.3,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3597560975609756,0.41048601793392364,0.3597560975609756,54155.37195121951,,,True
56,0.3,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4147965178532291,0.3719512195121951,64381.76829268293,,,True
56,0.3,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4189835067859616,0.3719512195121951,76640.28658536586,,,True
56,0.3,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.42260351249197936,0.3719512195121951,87034.28048780488,,,True
56,0.3,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4259149931752515,0.3719512195121951,103613.70731707317,,,True
56,0.35,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2865853658536585,0.2829862874796069,0.2865853658536585,3520.2926829268295,,,False
56,0.35,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.29192095997718126,0.29878048780487804,4198.829268292683,,,False
56,0.35,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.30759621669708986,0.3048780487804878,5172.969512195122,,,False
56,0.35,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.3175664916521121,0.31097560975609756,6306.1463414634145,,,False
56,0.35,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3048780487804878,0.32794217929718156,0.3048780487804878,7769.823170731707,,,False
56,0.35,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3231707317073171,0.3387184135447836,0.3231707317073171,9508.542682926829,,,False
56,0.35,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3231707317073171,0.3559936277274606,0.3231707317073171,11699.701219512195,,,False
56,0.35,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3353658536585366,0.36536565738771193,0.3353658536585366,13889.670731707318,,,False
56,0.35,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3475609756097561,0.3740537519304565,0.3475609756097561,16835.95731707317,,,False
56,0.35,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.38257145112281726,0.3719512195121951,20297.98780487805,,,True
56,0.35,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.38710835127518056,0.3719512195121951,22995.908536585364,,,True
56,0.35,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.3936666526035981,0.3719512195121951,28162.981707317074,,,True
56,0.35,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.36585365853658536,0.4008747184141006,0.36585365853658536,34606.78048780488,,,True
56,0.35,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.36585365853658536,0.40500185364814906,0.36585365853658536,43682.79878048781,,,True
56,0.35,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3597560975609756,0.41048601793392364,0.3597560975609756,54155.37195121951,,,True
56,0.35,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4147965178532291,0.3719512195121951,64381.76829268293,,,True
56,0.35,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4189835067859616,0.3719512195121951,76640.28658536586,,,True
56,0.35,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.42260351249197936,0.3719512195121951,87034.28048780488,,,True
56,0.35,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.4259149931752515,0.3719512195121951,103613.70731707317,,,True
57,0.25,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23170731707317074,0.23395313006926544,0.23170731707317074,3198.5243902439024,,,False
57,0.25,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.24488637173616798,0.23780487804878048,3887.7865853658536,,,False
57,0.25,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.25651998802243253,0.23780487804878048,4874.713414634146,,,False
57,0.25,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.26619378807747524,0.23780487804878048,5935.323170731707,,,False
57,0.25,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24390243902439024,0.27326012291568613,0.24390243902439024,7360.914634146341,,,False
57,0.25,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.28371122811689614,0.23780487804878048,8854.310975609756,,,False
57,0.25,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24390243902439024,0.2940789872130803,0.24390243902439024,10837.865853658537,,,False
57,0.25,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.24390243902439024,0.3003209675954339,0.24390243902439024,13239.219512195123,,,False
57,0.25,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25609756097560976,0.3075224519673588,0.25609756097560976,16603.85975609756,,,True
57,0.25,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2621951219512195,0.3135823779664204,0.2621951219512195,20952.670731707316,,,True
57,0.25,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25609756097560976,0.31945744618895616,0.25609756097560976,24280.384146341465,,,True
