variant,generator,split,divisor,fixed_n,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_quality,adaptive_chars,adaptive_opens
reference_train_scale,qwen2.5_7b,19,100000.0,6,0.20823839514456424,0.19291501698952082,0.015323378155043421,7.94307171840116,0.0,0.3319361951445643,12369.78,28.61
reference_train_scale,qwen2.5_7b,19,500000.0,18,0.3448110273418199,0.32640957336604126,0.018401453975778637,5.63753501039105,0.0,0.4184413573418199,36815.165,75.805
reference_train_scale,qwen2.5_7b,19,1000000.0,37,0.39766380783417515,0.3725536332692508,0.02511017456492437,6.740016019861716,0.0,0.4618108178341751,64147.01,118.16
reference_train_scale,qwen2.5_7b,19,5000000.0,160,0.5095491617337256,0.4911627827659501,0.018386378967775452,3.7434389601414417,0.0,0.5624555607337256,264531.995,319.685
reference_train_scale,qwen2.5_7b,19,10000000.0,215,0.5494661256524693,0.5322230563089448,0.017243069343524486,3.239820060240913,0.0,0.5963019571524693,468358.315,469.965
reference_train_scale,qwen2.5_7b,19,50000000.0,879,0.6161422854201889,0.6162450719995668,-0.00010278657937790037,-0.016679497175430984,0.0,0.651982693720189,1792020.415,918.66
local_exp_open5_conf06,qwen2.5_7b,19,100000.0,6,0.21289362647046758,0.19291501698952082,0.019978609480946763,10.356171226438015,0.004655231325903317,0.3366351764704676,12374.155,11.525
local_exp_open5_conf06,qwen2.5_7b,19,500000.0,18,0.34965837909227315,0.32640957336604126,0.02324880572623189,7.122586965352356,0.004847351750453374,0.41122731909227317,30784.47,72.115
local_exp_open5_conf06,qwen2.5_7b,19,1000000.0,37,0.3997154483625815,0.3725536332692508,0.02716181509333071,7.290712710269131,0.0020516405284063317,0.4571723583625814,57456.91,116.06
local_exp_open5_conf06,qwen2.5_7b,19,5000000.0,160,0.5129745845408624,0.4911627827659501,0.02181180177491232,4.44084986490235,0.003425422807136907,0.5644811145408625,257532.65,319.29
local_exp_open5_conf06,qwen2.5_7b,19,10000000.0,215,0.5491345437350094,0.5322230563089448,0.01691148742606452,3.177518753762471,-0.00033158191745999877,0.5969759337350093,478413.9,473.025
local_exp_open5_conf06,qwen2.5_7b,19,50000000.0,879,0.6161422854201889,0.6162450719995668,-0.00010278657937790037,-0.016679497175430984,0.0,0.651982693720189,1792020.415,918.66
local_rayleigh_open5_conf00,qwen2.5_7b,19,100000.0,6,0.2005536955852578,0.19291501698952082,0.00763867859573697,3.9596080776603846,-0.007684699559306439,0.3106293455852578,11007.565,5.345
local_rayleigh_open5_conf00,qwen2.5_7b,19,500000.0,18,0.31614623701305494,0.32640957336604126,-0.010263336352986319,-3.1443122967097654,-0.028664790328764917,0.34389582701305493,13874.795,25.135
local_rayleigh_open5_conf00,qwen2.5_7b,19,1000000.0,37,0.3644615989983865,0.3725536332692508,-0.008092034270864301,-2.1720454582215956,-0.03320220883578867,0.3847383389983865,20276.74,61.67
local_rayleigh_open5_conf00,qwen2.5_7b,19,5000000.0,160,0.48433931304744976,0.4911627827659501,-0.006823469718500341,-1.3892481185309749,-0.025209848686275765,0.5096723930474498,126665.4,273.115
local_rayleigh_open5_conf00,qwen2.5_7b,19,10000000.0,215,0.5379454988339423,0.5322230563089448,0.005722442524997429,1.0751962841827103,-0.01152062681852704,0.5676167633339422,296712.645,416.045
local_rayleigh_open5_conf00,qwen2.5_7b,19,50000000.0,879,0.615872538272875,0.6162450719995668,-0.00037253372669177054,-0.060452203777141514,-0.0002697471473139812,0.651673316472875,1790038.91,918.36
local_rayleigh_open5_conf02,qwen2.5_7b,19,100000.0,6,0.20142792663156314,0.19291501698952082,0.008512909642042321,4.412777074013239,-0.006810468513001111,0.31330202663156315,11187.41,6.755
local_rayleigh_open5_conf02,qwen2.5_7b,19,500000.0,18,0.3288785300080771,0.32640957336604126,0.0024689566420358355,0.7563983545504364,-0.015932497333742784,0.3586638600080771,14892.665,26.195
local_rayleigh_open5_conf02,qwen2.5_7b,19,1000000.0,37,0.3677370661148137,0.3725536332692508,-0.004816567154437068,-1.2928520149355391,-0.029926741719361452,0.39064801111481373,22910.945,63.41
local_rayleigh_open5_conf02,qwen2.5_7b,19,5000000.0,160,0.4942168752080557,0.4911627827659501,0.0030540924421055826,0.6218086038414122,-0.015332286525669828,0.5218850642080557,138340.945,276.895
local_rayleigh_open5_conf02,qwen2.5_7b,19,10000000.0,215,0.540430942696015,0.5322230563089448,0.008207886387070151,1.542189179851246,-0.009035182956454248,0.5711772226960151,307462.8,419.335
local_rayleigh_open5_conf02,qwen2.5_7b,19,50000000.0,879,0.615872538272875,0.6162450719995668,-0.00037253372669177054,-0.060452203777141514,-0.0002697471473139812,0.651673316472875,1790038.91,918.36
local_rayleigh_open5_conf04,qwen2.5_7b,19,100000.0,6,0.20419247055707823,0.19291501698952082,0.01127745356755741,5.845814257254013,-0.004045924587485973,0.31783787055707824,11364.54,7.425
local_rayleigh_open5_conf04,qwen2.5_7b,19,500000.0,18,0.3325015592643667,0.32640957336604126,0.006091985898325436,1.866362507540114,-0.012309468077453128,0.3654399392643667,16469.19,28.17
local_rayleigh_open5_conf04,qwen2.5_7b,19,1000000.0,37,0.3785760830922851,0.3725536332692508,0.006022449823034293,1.6165323017214455,-0.019087724741890043,0.4054346980922851,26858.615,66.485
local_rayleigh_open5_conf04,qwen2.5_7b,19,5000000.0,160,0.5024209232362566,0.4911627827659501,0.011258140470306544,2.292140378981299,-0.007128238497468937,0.5334732652362566,155261.71,282.58
local_rayleigh_open5_conf04,qwen2.5_7b,19,10000000.0,215,0.5450013133647745,0.5322230563089448,0.01277825705582969,2.4009213626423893,-0.0044648122876947615,0.5766061948647745,316048.815,421.76
local_rayleigh_open5_conf04,qwen2.5_7b,19,50000000.0,879,0.615872538272875,0.6162450719995668,-0.00037253372669177054,-0.060452203777141514,-0.0002697471473139812,0.651673316472875,1790038.91,918.36
local_rayleigh_open5_conf06,qwen2.5_7b,19,100000.0,6,0.20529225971106968,0.19291501698952082,0.012377242721548859,6.415904222853316,-0.0029461354334945618,0.32074195971106967,11544.97,8.025
local_rayleigh_open5_conf06,qwen2.5_7b,19,500000.0,18,0.33565367832381127,0.32640957336604126,0.009244104957770005,2.832056934618002,-0.009157349018008543,0.3749288583238113,19637.59,30.53
local_rayleigh_open5_conf06,qwen2.5_7b,19,1000000.0,37,0.38752681686379864,0.3725536332692508,0.014973183594547856,4.019067929402391,-0.010136990970376472,0.42170743686379863,34180.62,72.475
local_rayleigh_open5_conf06,qwen2.5_7b,19,5000000.0,160,0.5072478318173758,0.4911627827659501,0.01608504905142566,3.2748916684696243,-0.00230132991634983,0.5415121728173758,171321.705,288.105
local_rayleigh_open5_conf06,qwen2.5_7b,19,10000000.0,215,0.5478653327806238,0.5322230563089448,0.01564227647167893,2.9390452529735764,-0.001600792871845521,0.5804625202806237,325971.875,424.72
