variant,generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars
local_rayleigh_open5_conf04,qwen2.5_7b,20,50000000.0,0.5375,1913087.88,1913087.88
local_rayleigh_open5_conf06,qwen2.5_7b,20,100000.0,0.5071302289128718,12271.315,12271.315
local_rayleigh_open5_conf06,qwen2.5_7b,20,500000.0,0.5237066101765903,24683.105,24683.105
local_rayleigh_open5_conf06,qwen2.5_7b,20,1000000.0,0.48,51904.135,51904.135
local_rayleigh_open5_conf06,qwen2.5_7b,20,5000000.0,0.555,220363.27,220363.27
local_rayleigh_open5_conf06,qwen2.5_7b,20,10000000.0,0.595,406324.3,406324.3
local_rayleigh_open5_conf06,qwen2.5_7b,20,50000000.0,0.5375,1913087.88,1913087.88
reference_train_scale,qwen2.5_7b,21,100000.0,0.5775691910487162,9850.405,9850.405000000002
reference_train_scale,qwen2.5_7b,21,500000.0,0.6301608946062179,27414.66,27414.66
reference_train_scale,qwen2.5_7b,21,1000000.0,0.5825883403006933,51228.115,51228.115
reference_train_scale,qwen2.5_7b,21,5000000.0,0.5775,234354.78,234354.78
reference_train_scale,qwen2.5_7b,21,10000000.0,0.5775,466626.84,466626.84
reference_train_scale,qwen2.5_7b,21,50000000.0,0.53,1891816.98,1891816.98
local_exp_open5_conf06,qwen2.5_7b,21,100000.0,0.5247053407676386,11275.63,11275.629999999997
local_exp_open5_conf06,qwen2.5_7b,21,500000.0,0.5508507058189265,24396.35,24396.349999999995
local_exp_open5_conf06,qwen2.5_7b,21,1000000.0,0.5589243452484493,49127.315,49127.315
local_exp_open5_conf06,qwen2.5_7b,21,5000000.0,0.5805046590643957,248128.445,248128.445
local_exp_open5_conf06,qwen2.5_7b,21,10000000.0,0.585,478157.55,478157.55
local_exp_open5_conf06,qwen2.5_7b,21,50000000.0,0.53,1891816.98,1891816.98
local_rayleigh_open5_conf00,qwen2.5_7b,21,100000.0,0.4881070904152043,10588.995,10588.995
local_rayleigh_open5_conf00,qwen2.5_7b,21,500000.0,0.531250193345953,12277.87,12277.87
local_rayleigh_open5_conf00,qwen2.5_7b,21,1000000.0,0.5232498787383077,17692.505,17692.505
local_rayleigh_open5_conf00,qwen2.5_7b,21,5000000.0,0.5137699513230751,129088.41,129088.41
local_rayleigh_open5_conf00,qwen2.5_7b,21,10000000.0,0.5745149835097426,303105.295,303105.295
local_rayleigh_open5_conf00,qwen2.5_7b,21,50000000.0,0.53,1889659.495,1889659.495
local_rayleigh_open5_conf02,qwen2.5_7b,21,100000.0,0.49141372779170894,10663.565,10663.565
local_rayleigh_open5_conf02,qwen2.5_7b,21,500000.0,0.5383086133980055,13360.26,13360.26
local_rayleigh_open5_conf02,qwen2.5_7b,21,1000000.0,0.5056563055458461,21447.735,21447.735
local_rayleigh_open5_conf02,qwen2.5_7b,21,5000000.0,0.5236721403911747,139110.605,139110.605
local_rayleigh_open5_conf02,qwen2.5_7b,21,10000000.0,0.57,312463.175,312463.17499999993
local_rayleigh_open5_conf02,qwen2.5_7b,21,50000000.0,0.53,1889659.495,1889659.495
local_rayleigh_open5_conf04,qwen2.5_7b,21,100000.0,0.4993138551096118,10759.555,10759.555
local_rayleigh_open5_conf04,qwen2.5_7b,21,500000.0,0.5193110653518432,16412.925,16412.925
local_rayleigh_open5_conf04,qwen2.5_7b,21,1000000.0,0.5076505219483546,26244.565,26244.565
local_rayleigh_open5_conf04,qwen2.5_7b,21,5000000.0,0.5225,161164.66,161164.66000000003
local_rayleigh_open5_conf04,qwen2.5_7b,21,10000000.0,0.57,331952.73,331952.73
local_rayleigh_open5_conf04,qwen2.5_7b,21,50000000.0,0.53,1889659.495,1889659.495
local_rayleigh_open5_conf06,qwen2.5_7b,21,100000.0,0.5049236130036509,11034.655,11034.655
local_rayleigh_open5_conf06,qwen2.5_7b,21,500000.0,0.4835540321209764,20195.31,20195.31
local_rayleigh_open5_conf06,qwen2.5_7b,21,1000000.0,0.4887816877325298,35331.085,35331.085
local_rayleigh_open5_conf06,qwen2.5_7b,21,5000000.0,0.545,182006.11,182006.11
local_rayleigh_open5_conf06,qwen2.5_7b,21,10000000.0,0.555,359943.635,359943.635
local_rayleigh_open5_conf06,qwen2.5_7b,21,50000000.0,0.53,1889659.495,1889659.495
reference_train_scale,llama3.1_8b,19,100000.0,0.5958459821808828,10352.23,10352.230000000001
reference_train_scale,llama3.1_8b,19,500000.0,0.5577234832872088,32371.125,32371.125
reference_train_scale,llama3.1_8b,19,1000000.0,0.6213476578935347,57072.565,57072.565
reference_train_scale,llama3.1_8b,19,5000000.0,0.6,241076.64,241076.64000000004
reference_train_scale,llama3.1_8b,19,10000000.0,0.615,406644.64,406644.64
reference_train_scale,llama3.1_8b,19,50000000.0,0.5312974173606687,1859673.89,1859673.89
local_exp_open5_conf06,llama3.1_8b,19,100000.0,0.5608354794772086,11500.055,11500.055
local_exp_open5_conf06,llama3.1_8b,19,500000.0,0.5670430322488244,29217.76,29217.76
