variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
reference_train_scale,qwen2.5_7b,19,0.3,75000.0,True,True,0.3209124965734078,0.3231936669895208,2.091249657340782,2.31936669895208,10544.2,13027.865,19.064251893921217
reference_train_scale,qwen2.5_7b,19,0.35,500000.0,True,True,0.4184413573418199,0.36808679130258554,6.844135734181994,1.8086791302585559,36815.165,24011.135,-53.325384243601995
reference_train_scale,qwen2.5_7b,19,0.4,1000000.0,True,True,0.4618108178341751,0.4046649033660412,6.181081783417508,0.46649033660411954,64147.01,39127.665,-63.94285219933262
reference_train_scale,qwen2.5_7b,19,0.45,2000000.0,True,True,0.5096691672956674,0.4451053176596016,5.9669167295667345,-0.4894682340398415,115923.225,69843.025,-65.9768101395952
reference_train_scale,qwen2.5_7b,19,0.5,5000000.0,True,True,0.5624555607337256,0.5036663935141643,6.24555607337256,0.3666393514164312,264531.995,141537.76,-86.898531529678
reference_train_scale,qwen2.5_7b,19,0.55,5000000.0,True,True,0.5624555607337256,0.5482342848095455,1.2455560733725557,-0.1765715190454542,264531.995,290183.2,8.839658877564249
reference_train_scale,qwen2.5_7b,19,0.6,20000000.0,True,True,0.6279428231246985,0.5790558258089449,2.7942823124698535,-2.09441741910551,811935.07,468327.695,-73.36900607596993
local_exp_open5_conf06,qwen2.5_7b,19,0.3,50000.0,True,True,0.3182375059030588,0.3231936669895208,1.8237505903058837,2.31936669895208,11319.945,13027.865,13.109745917692576
local_exp_open5_conf06,qwen2.5_7b,19,0.35,500000.0,True,True,0.41122731909227317,0.36808679130258554,6.122731909227319,1.8086791302585559,30784.47,24011.135,-28.20914130048414
local_exp_open5_conf06,qwen2.5_7b,19,0.4,1000000.0,True,True,0.4571723583625814,0.4046649033660412,5.717235836258139,0.46649033660411954,57456.91,39127.665,-46.84471971429934
local_exp_open5_conf06,qwen2.5_7b,19,0.45,1000000.0,True,True,0.4571723583625814,0.4451053176596016,0.7172358362581399,-0.4894682340398415,57456.91,69843.025,17.734218986076264
local_exp_open5_conf06,qwen2.5_7b,19,0.5,2000000.0,True,True,0.5114787225113736,0.5036663935141643,1.1478722511373607,0.3666393514164312,107723.695,141537.76,23.89049042460471
local_exp_open5_conf06,qwen2.5_7b,19,0.55,5000000.0,True,True,0.5644811145408625,0.5482342848095455,1.4481114540862428,-0.1765715190454542,257532.65,290183.2,11.25170237284585
local_exp_open5_conf06,qwen2.5_7b,19,0.6,20000000.0,True,True,0.6279428231246985,0.5790558258089449,2.7942823124698535,-2.09441741910551,823236.635,468327.695,-75.78218068013253
local_rayleigh_open5_conf00,qwen2.5_7b,19,0.3,200000.0,True,True,0.31641939701951705,0.3231936669895208,1.6419397019517057,2.31936669895208,11319.95,13027.865,13.109707538418606
