variant,description,uses_training_scale,model,confidence_scale,ei_bonus_scale,min_open,mean_relative_utility_gain_pct,mean_utility_delta_vs_reference,positive_utility_cells,utility_cells,mean_h2h_score,minimum_h2h_cell_mean,h2h_cells_above_half,mean_target_abs_error_pp,mean_target_character_saving_pct,positive_target_saving_cells,target_cells
local_exp_open5_conf06,local tail with stronger scale confidence inflation,False,exp_tail_exponentiated,0.6,0.002,5,5.532616189829957,0.0007858843452731559,30,30,0.5705250224050815,0.5108333333333333,30,2.1885404741447023,5.201660942902113,25,35
local_rayleigh_open5_conf00,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,0.0,0.002,5,-1.588306865732016,-0.0251846128489552,17,30,0.5291923498594671,0.48200719854197854,26,2.8444311017028627,-17.992713755911996,16,35
local_rayleigh_open5_conf02,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,0.2,0.002,5,-0.1388922508055939,-0.019698337295135485,20,30,0.532421760281137,0.4792733446842548,26,2.5284212731889224,-12.584181161456788,14,35
local_rayleigh_open5_conf04,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,0.4,0.002,5,1.3897387238127152,-0.014032639944599305,22,30,0.5375597993924884,0.49308421250476875,29,2.706209299569023,-13.59544579863556,13,35
local_rayleigh_open5_conf06,fit a shifted Rayleigh upper tail directly to raw rewards,False,rayleigh_tail_raw,0.6,0.002,5,2.780450149522344,-0.009166575394378892,27,30,0.5417140978980532,0.49996769510376377,29,2.367079977957704,-6.372456591786967,20,35
reference_train_scale,retained exponentiated-tail UCB with five training pseudo-observations,True,exp_tail_exponentiated,0.4,0.002,3,5.687257656284998,0.0,29,30,0.5773515553506716,0.5108333333333333,30,2.008482848264307,5.549792021656108,25,35
