variant,generator,divisor,splits,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,utility_delta_vs_reference_mean,utility_delta_vs_reference_ci_low,utility_delta_vs_reference_ci_high,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,adaptive_quality_mean,adaptive_quality_ci_low,adaptive_quality_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high
local_exp_open5_conf06,gemma2_9b,100000.0,3,6.153496204946818,2.601921841913627,9.705070567980009,0.015747400568070485,0.0072808212500699125,0.024213979886071057,-0.0062318581111966516,-0.03360041362255869,0.021136697400165383,0.2723172490340062,0.26248086464134646,0.282153633426666,0.3625752657006729,0.3524074201648663,0.37274311123647946,9025.801666666666,8789.046818997154,9262.556514336178,13.505,9.953530038295568,17.056469961704433
local_exp_open5_conf06,gemma2_9b,500000.0,3,4.5250461182681105,0.0046167642299908,9.04547547230623,0.016903626947416983,0.0004951975114500413,0.03331205638338393,0.0015502754325301584,-0.0015371241470890217,0.004637675012149339,0.39139894758436916,0.3767513162938621,0.4060465788748762,0.4542177975843691,0.4440557861759354,0.4643798089928028,31409.425,24388.274839691476,38430.57516030852,80.64166666666667,48.54390053348007,112.73943279985326
local_exp_open5_conf06,gemma2_9b,1000000.0,3,7.756936227991893,5.6669331395973455,9.846939316386441,0.03201273066663305,0.02449709181040164,0.03952836952286446,0.0036983812114152388,-0.012134544757861273,0.01953130718069175,0.4451587457742965,0.43720364343035784,0.45311384811823513,0.5063599191076298,0.4949628139949967,0.5177570242202629,61201.17333333334,57155.10041046652,65247.24625620016,140.0683333333333,122.360846598417,157.7758200682496
local_exp_open5_conf06,gemma2_9b,5000000.0,3,7.155403933170748,4.11737757819385,10.193430288147646,0.036198815808296425,0.02150200717524932,0.05089562444134353,0.0018216648312788762,-0.00224479947976579,0.0058881291423235425,0.5425254860380481,0.5181745058237552,0.5668764662523409,0.5929901733713814,0.571155547141585,0.6148247996011778,252323.43666666668,239741.53519023026,264905.33814310306,383.695,368.5431191683988,398.8468808316012
local_exp_open5_conf06,gemma2_9b,10000000.0,3,5.233258568895061,2.1038248683885103,8.362692269401611,0.028550581510232598,0.011391235730255606,0.04570992729020959,0.0018941027624052316,-0.0017651445124873065,0.005553350037297769,0.5740420978271955,0.5528554986450726,0.5952286970093185,0.6179188331605289,0.6027497787498961,0.6330878875711616,438767.35333333333,359830.5274376442,517704.17922902247,549.4616666666667,471.55238275389695,627.3709505794365
local_exp_open5_conf06,gemma2_9b,50000000.0,3,0.1221604390826672,-0.33861047226569074,0.5829313504310252,0.0007560559015987364,-0.0020967328875463732,0.003608844690743846,-4.96970000000004e-06,-2.6352593271036113e-05,1.6413193271036037e-05,0.6234331056844679,0.6160543075871197,0.6308119037818161,0.6509283880511346,0.6439506728316327,0.6579061032706366,1374764.1183333334,1267025.3576333148,1482502.879033352,945.7083333333334,930.4188474574911,960.9978192091756
local_exp_open5_conf06,llama3.1_8b,100000.0,3,7.881420980696301,-1.1739895884277498,16.936831549820354,0.01509550067680207,-0.001846728449897108,0.03203772980350125,-0.01394090865649677,-0.03513118142108915,0.007249364108095605,0.20738480955300267,0.19649303431928522,0.21827658478672013,0.3215600762196693,0.3031203507371695,0.33999980170216915,11417.526666666667,10410.964812459692,12424.088520873642,9.521666666666667,5.6644212181448275,13.378912115188506
local_exp_open5_conf06,llama3.1_8b,500000.0,3,10.684819997029093,0.02249545612915682,21.34714453792903,0.03394007658489386,0.003910250905834727,0.063969902263953,0.008798795030374755,-0.002255262465078626,0.019852852525828135,0.35571548371700973,0.34692846149463863,0.3645025059393808,0.41268048038367633,0.40938410910017714,0.4159768516671755,28482.498333333333,24575.676117927225,32389.32054873944,48.15833333333334,-6.369142064115344,102.68580873078201
local_exp_open5_conf06,llama3.1_8b,1000000.0,3,7.699483965792126,3.844625727549728,11.554342204034524,0.029255477545078012,0.016337848669185417,0.04217310642097061,0.008267919161976767,-0.00871839577041059,0.025254234094364125,0.41065065703297665,0.3945476375401335,0.4267536765258198,0.46516400536631003,0.44670120619081205,0.483626804541808,54513.34833333333,52039.39217437005,56987.30449229661,83.83666666666667,7.147382136943051,160.52595119639028
local_exp_open5_conf06,llama3.1_8b,5000000.0,3,6.962539837747909,1.9003582458167667,12.024721429679051,0.034539768835736194,0.00986435261846252,0.059215185053009864,0.0045233503880240155,-0.002001374647947773,0.011048075423995805,0.5312941994833348,0.5116414495393576,0.5509469494273119,0.5798945821500016,0.5668784989421716,0.5929106653578315,243001.91333333333,204777.0912447703,281226.73542189633,282.675,213.03822599360956,352.31177400639046
local_exp_open5_conf06,llama3.1_8b,10000000.0,3,4.640245420726469,2.49709859330015,6.783392248152788,0.025038924615799412,0.013688240235926206,0.03638960899567262,-0.0006058202223349216,-0.0022359407194311783,0.0010243002747613353,0.5648998569242637,0.5470304164717833,0.5827692973767441,0.6074826139242637,0.5898902374140795,0.6250749904344479,425827.57,399143.1950081595,452511.9449918405,400.01500000000004,378.0933010262107,421.93669897378936
local_exp_open5_conf06,llama3.1_8b,50000000.0,3,0.01039303124595567,-0.4546421303634628,0.4754281928553742,4.740667527795376e-05,-0.0028158271150963195,0.0029106404656522268,-1.008713333333346e-05,-3.661203906379405e-05,1.6437772397127125e-05,0.6246142118273522,0.5871669845906723,0.6620614390640321,0.6614510265273522,0.6248102539356561,0.6980917991190483,1841840.735,1800806.615847572,1882874.8541524282,938.2399999999999,903.4440578306464,973.0359421693533
local_exp_open5_conf06,llama3.2_3b,100000.0,3,16.545289310175846,-1.5581724597883486,34.648751080140045,0.029855764415603735,0.0003983371535617765,0.05931319167764569,-0.000648969640215173,-0.030204806164362583,0.02890686688393224,0.21395736446064365,0.20493728643103049,0.2229774424902568,0.32408829779397696,0.3115142807061608,0.33666231488179316,11013.093333333332,9395.234106827947,12630.952559838717,13.01833333333333,7.403957694167049,18.632708972499614
local_exp_open5_conf06,llama3.2_3b,500000.0,3,5.806062274244577,-5.791396932713931,17.403521481203086,0.019204182508855916,-0.01847872571517325,0.05688709073288508,0.019604265331312598,-0.0006849549449234223,0.039893485607548615,0.35383044269597463,0.33261867761243846,0.3750422077795108,0.412162666029308,0.4043185984968031,0.4200067335618129,29166.111666666668,20745.777869739824,37586.44546359351,52.78,-0.13484912283417572,105.69484912283417
local_exp_open5_conf06,llama3.2_3b,1000000.0,3,5.968782627729856,-1.3750709282801727,13.312636183739883,0.023276511815162954,-0.004894766583651674,0.05144779021397758,0.010660671139542222,-0.0033846958658347095,0.024706038144919153,0.4153690278357512,0.39509515397753076,0.43564290169397163,0.47038636116908455,0.43934566716001916,0.5014270551781499,55017.333333333336,44195.05828206983,65839.60838459684,91.76833333333332,19.91549882669625,163.62116783997038
local_exp_open5_conf06,llama3.2_3b,5000000.0,3,5.675591467929903,-0.23075935000428238,11.581942285864088,0.02866775808445939,-7.51653060714029e-05,0.05741068147499018,0.004179901299883903,-0.0034685964725654503,0.011828399072333257,0.5362500923531864,0.5259444563445294,0.5465557283618435,0.5851573290198532,0.573271530633727,0.5970431274059793,244536.18333333335,234766.7843846938,254305.5822819729,308.67333333333335,250.92389875833345,366.42276790833324
local_exp_open5_conf06,llama3.2_3b,10000000.0,3,4.970738524793833,-1.5418765779583277,11.483353627545995,0.027110625618136003,-0.007027132937588405,0.061248384173860415,0.0005582884516386121,-0.0025932993066622393,0.0037098762099394634,0.5762374155799638,0.5683139300046638,0.5841609011552638,0.6212854299132972,0.6156297068665035,0.6269411529600908,450480.1433333333,421633.7943233967,479326.4923432699,442.01500000000004,421.26701769669836,462.7629823033017
local_exp_open5_conf06,llama3.2_3b,50000000.0,3,0.5981422766612252,-0.5822357807812013,1.7785203341036517,0.003766820583955129,-0.0036277929626194606,0.011161434130529719,-1.979333333333259e-07,-1.0495717303083708e-06,6.53705063641719e-07,0.638994262056153,0.6205546128785447,0.6574339112337612,0.6732791931228196,0.6569927479418732,0.6895656383037659,1714246.5533333335,1602576.717167295,1825916.3894993719,940.2483333333333,912.8414251929088,967.6552414737579
