split,method,target_accuracy,target_margin,target_reached_train,fallback_reason,config_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,selection_chars,adaptive_accuracy,adaptive_predicted_accuracy,adaptive_chars,adaptive_opens,target_error_pp,train_fixed_n,train_fixed_target_reached_train,train_fixed_train_accuracy,train_fixed_train_chars,train_fixed_test_accuracy,train_fixed_test_chars,saving_vs_train_fixed_pct,oracle_fixed_n,oracle_fixed_accuracy,oracle_fixed_chars,oracle_target_reached,oracle_accuracy_overshoot_pp,saving_vs_oracle_fixed_pct,cost_unit,policy_uses_fixed_n,policy_is_mixture
75,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.28353658536585363,0.29381960601584284,0.2640679442508711,2881.922256097561,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.22271825396825398,0.2890404265997216,2946.3005952380954,5.8898809523809526,-2.728174603174602,4,True,0.25964783001772074,2035.8104039634147,0.17835903082119334,2135.6789434523807,-37.95615695284815,9,0.2234554113747978,4805.277622767857,True,0.07371574065438147,38.68615246540083,output_characters,False,False
75,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.3360734119865244,0.30699477351916377,6861.266768292683,0.30773809523809526,7434.221686361343,7434.221686361343,0.2534722222222222,0.32864787250545374,6943.726686507936,13.587797619047619,-4.652777777777778,12,True,0.30047572841648756,6107.431211890244,0.23663033853048934,6407.036830357142,-8.376568925090414,19,0.25423295855207306,10144.47498139881,True,0.0760736329850853,31.55164067889027,output_characters,False,False
75,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35823170731707316,0.38235114630059575,0.35189459930313594,32894.634146341465,0.3511904761904762,40188.76546613821,40188.76546613821,0.3055555555555556,0.36476530543535485,38439.89732142857,78.6359126984127,-4.444444444444439,64,True,0.35032463684773985,32572.966463414636,0.28404772947303963,34170.86309523809,-12.493199877018602,187,0.30566316147803263,99842.9906063988,True,0.010760592247704981,61.499653518025724,output_characters,False,False
76,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3307926829268293,0.30093979700814644,0.2687935540069687,3020.0899390243903,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.19890873015873015,0.3158904002078016,3054.873511904762,6.155257936507937,-5.109126984126985,4,True,0.26321611701518116,2144.9163490853657,0.18172013016144728,2029.1707589285713,-50.54787767185128,8,0.2006352839146064,4058.3415178571427,True,0.17265537558762423,24.72606116407436,output_characters,False,False
76,train_selected_ucb,0.3,0.0,True,,0,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3643292682926829,0.34307997440260557,0.3053614982578397,6275.495426829269,0.2988095238095238,6175.559636136172,6175.559636136172,0.21478174603174602,0.35506492454143573,6368.185019841269,12.737103174603174,-8.521825396825397,7,True,0.3089388924287169,3753.60361089939,0.19748784964653,3551.048828125,-79.33251070511902,16,0.21592376953802336,8116.683035714285,True,0.11420235062773454,21.542026566510422,output_characters,False,False
76,train_selected_ucb,0.35,0.0,True,,0,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.4253048780487805,0.40086451107625165,0.35592334494773525,31591.274390243903,0.34821428571428575,33279.738064009434,33279.738064009434,0.24751984126984128,0.4185394165822307,32107.90128968254,66.56448412698413,-10.24801587301587,13,True,0.3524831001955305,6970.978134527439,0.2113505480773547,6594.804966517857,-386.86657835517354,56,0.247809302228443,28408.390625,True,0.028946095860171717,-13.02259854673672,output_characters,False,False
77,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2027439024390244,0.18463894449249418,0.2559886759581882,2611.5396341463415,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.31646825396825395,0.18187779703525628,2828.6825396825398,5.783234126984127,6.646825396825395,29,True,0.25079148603628976,15023.51824504573,0.38780997728973704,15226.062686011905,81.42210105123739,8,0.3198983591293046,4200.293154761905,True,0.3430105161050634,32.65511631073558,output_characters,False,False
77,train_selected_ucb,0.3,0.0,True,,0,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23170731707317074,0.2245590574409961,0.3017421602787456,7963.304878048781,0.3095238095238095,8989.34939618774,8989.34939618774,0.3645833333333333,0.22276843436114596,9308.365575396825,18.84325396825397,6.458333333333332,99,True,0.3003512859636523,51287.182974466465,0.44428137462418454,51978.62779017857,82.09193668410836,19,0.36692068166502134,9975.696242559523,True,0.23373483316880272,6.689564827722511,output_characters,False,False
77,train_selected_ucb,0.35,0.0,True,,0,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2896341463414634,0.2775114636273054,0.3514634146341463,41273.42682926829,0.35833333333333334,48822.3707817683,48822.3707817683,0.41617063492063494,0.26864438970135174,57919.94246031746,118.62549603174604,6.6170634920634965,230,True,0.3502100368797549,119152.04125381097,0.4839647946743145,120758.42819940476,52.03652173687124,54,0.41679035777048085,28351.978794642855,True,0.06197228498459051,-104.28888889851143,output_characters,False,False
78,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26371951219512196,0.24054962291107893,0.26208623693379796,3171.391768292683,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.3040674603174603,0.24240012597560093,2969.3903769841268,6.772321428571429,5.406746031746029,10,True,0.25235650385976693,5503.118330792682,0.2947827276677516,4935.452473958333,39.8354985150406,12,0.30504770566055867,5922.54296875,True,0.09802453430983737,49.862915429200505,output_characters,False,False
