variant,generator,split,divisor,fixed_n,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_quality,adaptive_chars,adaptive_opens
reference_train_scale,qwen2.5_7b,41,500000.0,16,0.3699042230161531,0.3458823024639032,0.024021920552249887,6.945114098388092,0.0,0.4303376880161531,30216.7325,61.095
reference_train_scale,qwen2.5_7b,41,1000000.0,36,0.4274115835320545,0.39645227611408046,0.030959307417974036,7.809088075222802,0.0,0.4811710835320545,53759.5,109.48
reference_train_scale,qwen2.5_7b,41,5000000.0,132,0.5203881170458348,0.5058207682744269,0.014567348771407862,2.8799427949752596,0.0,0.5644745135458347,220431.9825,311.585
reference_train_scale,qwen2.5_7b,41,10000000.0,309,0.5478367299147444,0.5376376614765271,0.010199068438217274,1.8970152519091257,0.0,0.5904933206647445,426565.9075,441.0125
reference_train_scale,qwen2.5_7b,41,50000000.0,841,0.6150427053946976,0.6142431354233124,0.0007995699713851945,0.13017157624955172,0.0,0.6488560640446976,1690667.9325,919.905
local_exp_open5_conf06,qwen2.5_7b,41,100000.0,3,0.22486177260860646,0.20761403931551464,0.017247733293091816,8.30759487651032,-0.012089773179134924,0.34289514760860645,11803.3375,10.7475
local_exp_open5_conf06,qwen2.5_7b,41,500000.0,16,0.3668648870249864,0.3458823024639032,0.02098258456108315,6.066394380866862,-0.0030393359911667084,0.42521763702498633,29176.375,58.255
local_exp_open5_conf06,qwen2.5_7b,41,1000000.0,36,0.4309611002037032,0.39645227611408046,0.03450882408962275,8.704408113851443,0.0035495166716486837,0.4885091102037032,57548.01,112.6425
local_exp_open5_conf06,qwen2.5_7b,41,5000000.0,132,0.521507969781964,0.5058207682744269,0.015687201507537107,3.101335985284457,0.0011198527361293662,0.5695698992819641,240309.6475,319.98
local_exp_open5_conf06,qwen2.5_7b,41,10000000.0,309,0.5491344857140834,0.5376376614765271,0.011496824237556269,2.1383963701468134,0.0012977557993390026,0.5930673072140834,439328.215,445.3025
local_exp_open5_conf06,qwen2.5_7b,41,50000000.0,841,0.6150427053946976,0.6142431354233124,0.0007995699713851945,0.13017157624955172,0.0,0.6488560640446976,1690667.9325,919.905
local_rayleigh_open5_conf12,qwen2.5_7b,41,100000.0,3,0.21728693662562834,0.20761403931551464,0.009672897310113698,4.659076689613283,-0.019664609162113055,0.34660453662562835,12931.76,10.5875
local_rayleigh_open5_conf12,qwen2.5_7b,41,500000.0,16,0.3520311222574584,0.3458823024639032,0.006148819793555194,1.777720267777185,-0.01787310075869469,0.44098270225745834,44475.79,50.595
local_rayleigh_open5_conf12,qwen2.5_7b,41,1000000.0,36,0.4042415600512508,0.39645227611408046,0.0077892839371703215,1.9647469333557135,-0.02317002348080375,0.4919437375512507,87702.1775,118.6725
local_rayleigh_open5_conf12,qwen2.5_7b,41,5000000.0,132,0.5136810135700955,0.5058207682744269,0.007860245295668644,1.5539585933735651,-0.006707103475739173,0.5710305830700955,286747.8475,343.315
local_rayleigh_open5_conf12,qwen2.5_7b,41,10000000.0,309,0.5507893103923223,0.5376376614765271,0.013151648915795122,2.4461918980296944,0.0029525804775778898,0.5928186291423223,420293.1875,438.145
local_rayleigh_open5_conf12,qwen2.5_7b,41,50000000.0,841,0.6150427053946976,0.6142431354233124,0.0007995699713851945,0.13017157624955172,0.0,0.6488560640446976,1690667.9325,919.905
reference_train_scale,qwen2.5_7b,42,100000.0,3,0.21782612147356414,0.19000779259766543,0.027818328875898718,14.640625258356122,0.0,0.31722537147356417,9939.925,18.875
reference_train_scale,qwen2.5_7b,42,500000.0,17,0.3469795322819658,0.32205357250733047,0.024925959774635353,7.739693610778995,0.0,0.4018678622819658,27444.165,53.5425
reference_train_scale,qwen2.5_7b,42,1000000.0,27,0.4127189629554604,0.3837344028211602,0.028984560134300175,7.553286836210111,0.0,0.46128808795546034,48569.125,87.0575
reference_train_scale,qwen2.5_7b,42,5000000.0,133,0.53493125441451,0.5221334548511176,0.012797799563392331,2.451059100788998,0.0,0.5785591174145099,218139.315,312.315
reference_train_scale,qwen2.5_7b,42,10000000.0,213,0.5772817172854974,0.5594468233827736,0.017834893902723747,3.187951590265999,0.0,0.6180249465354974,407432.2925,484.045
reference_train_scale,qwen2.5_7b,42,50000000.0,735,0.6491704350344901,0.6440321936670992,0.005138241367390939,0.7978236830264576,0.0,0.6809096306344901,1586959.78,920.16
local_exp_open5_conf06,qwen2.5_7b,42,100000.0,3,0.20110852061706772,0.19000779259766543,0.01110072801940229,5.842248819187999,-0.01671760085649643,0.3139918956170677,11288.3375,12.215
local_exp_open5_conf06,qwen2.5_7b,42,500000.0,17,0.35056876292030625,0.32205357250733047,0.02851519041297579,8.854176089702198,0.003589230638340388,0.4090523379203062,29241.7875,54.7825
local_exp_open5_conf06,qwen2.5_7b,42,1000000.0,27,0.4200203562397893,0.3837344028211602,0.03628595341862906,9.45600737172897,0.00730139328432882,0.4717385462397893,51718.19,90.3525
local_exp_open5_conf06,qwen2.5_7b,42,5000000.0,133,0.5404029167254949,0.5221334548511176,0.01826946187437728,3.499002353639009,0.005471662310984955,0.5868620517254949,232295.675,318.1525
local_exp_open5_conf06,qwen2.5_7b,42,10000000.0,213,0.5805098694858198,0.5594468233827736,0.021063046103046212,3.764977335233678,0.003228152200322403,0.6224163182358198,419064.4875,488.125
local_exp_open5_conf06,qwen2.5_7b,42,50000000.0,735,0.64916336548449,0.6440321936670992,0.005131171817390867,0.7967259816895387,-7.069550000000091e-06,0.6809096306344901,1587313.2575,920.215
local_rayleigh_open5_conf12,qwen2.5_7b,42,100000.0,3,0.20204396824958507,0.19000779259766543,0.01203617565191964,6.3345694865293245,-0.015782153223979026,0.3222363182495851,12019.235,11.8325
local_rayleigh_open5_conf12,qwen2.5_7b,42,500000.0,17,0.34879063753048767,0.32205357250733047,0.026737065023157203,8.302055094435763,0.0018111052485218582,0.4136115325304877,32410.4475,37.3075
local_rayleigh_open5_conf12,qwen2.5_7b,42,1000000.0,27,0.41685424929667614,0.3837344028211602,0.03311984647551591,8.630929682619946,0.004135286341215715,0.4737643267966762,56910.0775,80.2975
local_rayleigh_open5_conf12,qwen2.5_7b,42,5000000.0,133,0.5436687209843114,0.5221334548511176,0.021535266133193787,4.124475444565107,0.008737466569801493,0.5891231989843115,227272.39,319.9075
local_rayleigh_open5_conf12,qwen2.5_7b,42,10000000.0,213,0.5796267234741361,0.5594468233827736,0.0201799000913625,3.6071167531780604,0.002345006188638689,0.6197001547241361,400734.3125,484.705
local_rayleigh_open5_conf12,qwen2.5_7b,42,50000000.0,735,0.6491894587344901,0.6440321936670992,0.005157265067390893,0.8007775260465764,1.9023700000000006e-05,0.6809096306344901,1586008.595,920.01
reference_train_scale,qwen2.5_7b,43,100000.0,4,0.23804178227794714,0.2097672877064728,0.02827449457147435,13.478981818670807,0.0,0.3509749072779472,11293.3125,26.015
reference_train_scale,qwen2.5_7b,43,500000.0,18,0.37208864930735414,0.3312077133312009,0.04088093597615322,12.342990314139552,0.0,0.44012224930735416,34016.8,77.645
reference_train_scale,qwen2.5_7b,43,1000000.0,35,0.431389318122133,0.38396029674683185,0.04742902137530114,12.35258483159626,0.0,0.49408319312213295,62693.875,130.4775
reference_train_scale,qwen2.5_7b,43,5000000.0,125,0.5213335885716935,0.4993981742671771,0.021935414304516454,4.392369743182331,0.0,0.5735908860716935,261286.4875,393.39
