variant,generator,divisor,splits,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,utility_delta_vs_reference_mean,utility_delta_vs_reference_ci_low,utility_delta_vs_reference_ci_high,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,adaptive_quality_mean,adaptive_quality_ci_low,adaptive_quality_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high
local_exp_open5_conf06,gemma2_9b,100000.0,10,8.084289870861836,6.735183563119338,9.433396178604333,0.020465694323521043,0.017238774242354468,0.023692614404687617,-0.00815527026702995,-0.010816061761708644,-0.005494478772351255,0.27456039177686403,0.2643078940463693,0.2848128895073588,0.36159256177686394,0.3540234496532127,0.3691616739005152,8703.216999999999,8264.501155354137,9141.93284464586,12.047500000000001,10.417905732995937,13.677094267004065
local_exp_open5_conf06,gemma2_9b,500000.0,10,6.261837616573951,4.733496060382452,7.79017917276545,0.023064240647367736,0.01776945684571461,0.028359024449020862,0.00032216172416411247,-0.0030531551973802078,0.0036974786457084326,0.39344719268539485,0.3857083031662755,0.4011860822045142,0.45602198718539483,0.44817615652050774,0.4638678178502819,31287.39725,29381.439314542393,33193.355185457614,70.86625000000001,56.58774974497641,85.14475025502361
local_exp_open5_conf06,gemma2_9b,1000000.0,10,7.876289088156288,6.805480391905265,8.947097784407312,0.03261941462975055,0.028338690556695228,0.03690013870280587,0.0028444557594665817,0.0011345559122906783,0.004554355606642485,0.44741883614796657,0.4389367150171335,0.45590095727879965,0.5066114323979666,0.49758366953712124,0.515639195258812,59192.59625,57180.936968063994,61204.25553193601,125.62175000000002,103.74844516341057,147.49505483658947
local_exp_open5_conf06,gemma2_9b,5000000.0,10,6.720186410402592,5.581274478600656,7.859098342204528,0.034172404603593574,0.028442069000436478,0.03990274020675067,0.0019312248218998252,0.0011309504273191741,0.002731499216480476,0.5430112167584581,0.5355009573320012,0.550521476184915,0.5907888420584582,0.5841054567999412,0.5974722273169751,238888.12649999995,232386.16967706836,245390.08332293155,372.83175,337.8165691657738,407.8469308342262
local_exp_open5_conf06,gemma2_9b,10000000.0,10,4.91158276716285,4.291181065111516,5.5319844692141835,0.026840903957584393,0.02344066114154464,0.030241146773624147,0.0009527955773133898,0.000500409391040624,0.0014051817635861556,0.5735574212058945,0.5664966944280636,0.5806181479837254,0.6165239265558944,0.6106992101978097,0.6223486429139791,429665.05350000004,414051.9128198098,445278.1941801903,543.8422499999999,508.99768584726695,578.6868141527328
local_exp_open5_conf06,gemma2_9b,50000000.0,10,0.12181159872957277,0.009111522020991317,0.2345116754381542,0.0007648202839222185,5.26872855212368e-05,0.0014769532823232,-2.0433499999999993e-07,-6.099967182517157e-07,2.013267182517158e-07,0.6259171461266899,0.621437904116109,0.6303963881372708,0.65246373974669,0.6493912046002029,0.6555362748931771,1327329.681,1230462.8051850223,1424196.556814978,947.83825,943.1342432122217,952.5422567877783
local_exp_open5_conf06,llama3.1_8b,100000.0,10,10.412175768453308,7.816951141192135,13.00740039571448,0.020228880353626043,0.015149842479506907,0.02530791822774518,-0.010477024176559175,-0.014301662955536833,-0.006652385397581516,0.21377764402143934,0.20137550897543827,0.2261797790674404,0.3300615090214394,0.3216892179689103,0.33843380007396845,11628.386499999999,11092.289482873784,12164.483517126213,11.626249999999999,10.479357558915705,12.773142441084293
local_exp_open5_conf06,llama3.1_8b,500000.0,10,8.932128038886123,7.150978682669706,10.71327739510254,0.029178841966307746,0.023477391255709374,0.034880292676906115,0.004198860666026623,-3.09490701969747e-05,0.008428670402250222,0.35672439610845313,0.34613944560596654,0.3673093466109397,0.4154745171084532,0.40491193741038617,0.4260370968065202,29375.0605,28197.425698009618,30552.69530199038,55.203500000000005,47.082291626591854,63.32470837340816
local_exp_open5_conf06,llama3.1_8b,1000000.0,10,9.159451306239818,8.034030853517773,10.284871758961863,0.03514754960384469,0.030562323564010913,0.03973277564367847,0.007330366313821268,0.003416526109962466,0.01124420651768007,0.4183264303467725,0.4074732577795338,0.42917960291401125,0.4740476930967725,0.4629684816088746,0.48512690458467045,55721.262749999994,53706.64295420637,57735.88254579362,95.82325,82.6455644154582,109.0009355845418
local_exp_open5_conf06,llama3.1_8b,5000000.0,10,7.319707568994977,6.592183666222905,8.047231471767049,0.036529982757583214,0.0326669678995493,0.04039299761561713,0.0021416869099988704,0.00100921202417682,0.0032741617958209207,0.5351582832539823,0.5244065827917724,0.5459099837161921,0.5813449465039822,0.5706730006646868,0.5920168923432775,230933.31624999997,225770.29659455127,236096.33590544868,289.136,258.3573546930243,319.91464530697573
local_exp_open5_conf06,llama3.1_8b,10000000.0,10,4.528425174427435,3.538629631585007,5.518220717269862,0.02446297939802423,0.01970880302153745,0.029217155774511012,0.0009470314976373826,0.0003475290651170119,0.0015465339301577532,0.5682981466828039,0.558480618430338,0.5781156749352697,0.6099795823328039,0.6009309349891397,0.6190282296764681,416814.3565,399417.28973776754,434211.42326223245,400.82925,369.62771397170087,432.03078602829913
local_exp_open5_conf06,llama3.1_8b,50000000.0,10,-0.01268776167257849,-0.27237494780769667,0.24699942446253967,-6.728106656740395e-05,-0.0016913077282578355,0.0015567455951230277,0.00010350517739336233,-5.35434140518176e-05,0.00026055376883854227,0.6276800869635988,0.6193252466516331,0.6360349272755644,0.6641861942985987,0.6572368381816548,0.6711355504155426,1825305.36675,1729224.2309460635,1921386.5025539366,935.0322499999999,928.8655997630328,941.1989002369669
local_exp_open5_conf06,llama3.2_3b,100000.0,10,11.810519155342101,7.241245271639788,16.379793039044415,0.023169677785770657,0.014695172449438887,0.031644183122102425,-0.0027529156234045713,-0.007304905782284094,0.0017990745354749516,0.22156303427840088,0.2121592349890076,0.23096683356779416,0.33173664677840087,0.32597041209314837,0.33750288146365337,11017.36125,10488.84284749546,11545.87965250454,12.077499999999997,10.380958582157705,13.77404141784229
